-0.0012565+0.0008533i,-0.00043459+0.00040176i,-0.00075402+3.8287e-05i,-0.0010423+0.00010666i,-0.00089764+0.00090152i,-0.00063783+0.00074946i,-0.00069855+0.0010911i,0.00031426+0.0011258i,0.00078149+0.00048808i,0.00060203-5.8748e-05i,0.00072706-0.00078493i,1.4122e-05-0.001035i,0.00021536-0.00038569i,0.00024124+0.00029289i,7.3322e-05-0.00060834i,-5.7819e-05-0.0011072i,-8.1765e-05-7.6406e-05i,-0.00020529+0.00012417i,-0.00070866-0.00075149i,-0.00018811-0.00048859i,-0.00019576+0.0011713i,-0.00017894+0.0014852i,0.00031334+0.0004211i
-0.00099785+0.0014994i,-0.00095038+0.00087088i,-0.00040769-2.1278e-05i,0.00017905+0.00029447i,0.00082292+0.00083496i,0.00019923+0.0012336i,-0.00018625+0.0013311i,0.00010855+0.00012334i,-0.00018026-0.0009677i,-0.00035481-0.0007428i,-9.4905e-05+0.00039186i,0.00036664+0.0010598i,0.00079549+0.00042225i,0.00058219+6.4045e-05i,0.00013602-0.00040057i,0.00072037-0.00075388i,0.0011224-0.00023808i,0.00069008+0.00027301i,0.00061353-7.186e-05i,0.00084996-9.6293e-05i,0.00055413+0.00047608i,-0.00029796+0.00032294i,-0.00074647-0.00056795i
8.9788e-05-0.00048327i,5.7227e-05-0.0015296i,0.00074469-0.001784i,0.0011385-0.0012043i,0.00091045-0.0007064i,0.00010767+0.0003166i,-0.00026059+0.0002284i,0.00042165-0.0006634i,0.00045675-0.00092713i,0.00023579-0.00069003i,0.00021222-0.00090411i,-0.00048777-0.00075267i,7.9863e-05-0.0001022i,0.00087614+0.00012753i,0.00046751-2.3245e-05i,-0.00014919+0.00043788i,-0.0003383+0.0010158i,-0.00038145+7.9617e-05i,-0.00020004-0.00021011i,5.7693e-05-1.4331e-05i,-0.00021311-0.00060631i,-0.0010493-0.00074299i,-0.001647-0.00042109i
-0.0014558+0.00050571i,-0.0014202+0.00088135i,0.00026342+0.0019806i,0.0022494+0.00089971i,0.0016188+0.00024327i,0.0003168+0.00066411i,0.00061936-0.00050872i,0.0004606-0.0012785i,-0.00016656-0.00076185i,-3.2255e-05-0.00023836i,0.00031047+0.00012663i,3.1069e-05+0.000322i,0.00015348+0.00055958i,0.0007822+0.00030216i,0.0012127+0.00035144i,0.0015515+0.00083534i,0.0016148+0.00062785i,0.00048874-0.00051411i,-0.00022441-0.0010896i,-0.00058435-0.00067402i,-0.001338-0.00031092i,-0.00022858-3.1949e-05i,0.0012168-3.8985e-05i
0.00045354+0.0016368i,0.00019315+0.0019154i,0.00050326+0.0021126i,0.0011038+0.00044365i,0.00037602-0.0012059i,-0.00019053-0.00060922i,0.00027954+9.7763e-05i,0.00034969-0.00018145i,-2.7951e-05-0.00083692i,-4.1094e-05-0.0006717i,0.00022009-0.00012123i,0.00016103+9.9146e-05i,-0.00062003+0.00023873i,-0.00070086-0.00043627i,0.00022697-0.00069788i,0.00067705-0.00041059i,0.00081375-0.00080083i,0.00035046-0.00079901i,-2.3956e-05-0.00068789i,-0.00052594-0.00086491i,-0.0011069+7.47e-05i,-0.00059182+0.00077263i,0.00013013+0.0005869i
0.00040794+0.00063606i,0.00053714+0.00055518i,0.0016849+0.0010953i,0.0015196+0.00056074i,0.00064462-0.00032145i,0.00051858-0.00052072i,0.0012325-0.00070157i,0.0014603-0.00010256i,0.00087217+2.1769e-05i,0.00080395-0.00042416i,0.00041742-0.00063088i,-6.7196e-05+0.00024359i,0.0001178+0.00071775i,0.00045526-0.0001876i,0.00056463-0.00017332i,0.00013805+7.6363e-05i,-9.91e-05-0.00031976i,-0.00098975-0.001162i,-0.0014729-0.001346i,-0.0011644-0.00048619i,-0.00069381+1.7454e-05i,-0.00056991-0.00010126i,-0.00047334+0.00022455i
-0.0010702-0.00015512i,-0.00076264+0.00060858i,-8.786e-05-0.0002623i,0.00096548+0.00014668i,0.00042006+0.0006263i,0.00042512+4.7127e-05i,0.00088588+1.7954e-05i,0.00062969-0.00056338i,-0.00018341-0.0016916i,-0.0011044-0.0016142i,-0.0013272-0.0014554i,-0.0014969-0.00091266i,-0.0013425-0.00025907i,-0.00097772-0.00057265i,-3.5945e-05-0.00077032i,0.00052419-0.00040534i,0.0001842-0.00058867i,0.00022468-0.00031005i,0.0002272+0.00052112i,0.0002092+0.00032869i,-4.3685e-05+0.00020425i,0.00027402-8.6855e-05i,0.00052925-0.00023818i
-0.0019124+0.0005491i,-0.0018462+0.00041439i,-0.001789+0.00086105i,-8.7837e-05+0.00092935i,0.00079458+0.00057959i,0.00033344+0.0009813i,0.00010151+0.001119i,0.00051381+6.4423e-05i,-0.00042152-0.00054295i,-0.0013523-0.00019827i,-0.00057791+0.00021394i,-7.2059e-05+0.00031563i,3.6969e-05+0.0002875i,0.00055205+0.00029099i,0.0010094+0.00069947i,0.00093402+0.00090584i,0.00051703+0.00049999i,0.00057506-3.2404e-05i,0.00038202-0.00025082i,-0.00051721-0.00030775i,-0.00030643+0.00019839i,0.00044092+0.00097942i,0.00047368+0.0012159i
-0.00097333-0.00029959i,0.00013021+0.00010182i,0.00071358+0.00072312i,0.00091161+0.00049156i,0.0012733-0.00084979i,0.00088012-0.00054051i,0.00030643-6.9176e-05i,-0.00012788-0.0005701i,-0.00034697-0.0010433i,-0.00039369-0.0017718i,0.00030201-0.0006927i,0.00043549+0.001207i,-0.00048363+0.0014359i,-0.00041384+0.00071919i,0.00027527+9.8899e-05i,0.0005748+0.00018649i,0.00062794-0.0005396i,0.00084713-0.0013762i,0.00076341-0.00045321i,0.00012408+0.00037993i,-5.6813e-05-0.00018107i,0.00048657-3.7315e-06i,0.00076563+0.00028916i
0.00018657+0.00079483i,0.00015003+0.0013546i,7.4794e-05+0.0014181i,0.00097037+0.00063611i,0.0015722+0.00020632i,0.0014087-6.5607e-05i,0.0014025-0.00081221i,0.0011714-0.00053204i,0.00066116-0.00040764i,0.00031197-0.00041657i,0.00038438-9.6858e-05i,0.00073277-0.00016707i,0.00051473+0.00025384i,0.00082875+0.00013955i,0.00073584-0.00086026i,0.00017238-0.0012761i,3.6848e-05-0.00056528i,0.00030994-0.0003091i,-0.00029138-8.2082e-05i,-0.0010747+0.00018533i,-0.00097639-0.00045572i,-0.00079755-0.0011006i,0.00012363-0.00060062i
-0.00086925+0.0011173i,0.00023576+0.0014741i,0.00044009+0.0013029i,0.00091541+0.001599i,0.00080506+0.0011486i,0.00057764+0.00095126i,0.0012457-0.00027647i,0.0016447-0.0013279i,0.0010852-0.00021748i,0.00080963-4.5426e-05i,0.00075173-0.00071264i,0.00012593-0.00014963i,-0.0003777+2.2217e-05i,-0.00065416-0.00010225i,-0.00043294-0.00017856i,8.1237e-06+0.00011381i,0.00013751+0.0002027i,0.0001939+9.3449e-05i,-0.00020486+0.00037483i,-5.5505e-06+0.00069754i,0.00046248-6.4705e-06i,1.9175e-05-1.8652e-05i,3.0766e-05+0.00036845i
