0.00078071-0.00020667i,0.00074292-0.001561i,-0.00052607-0.0028276i,-0.0023833-0.0024482i,-0.0033882-0.0012861i,-0.0029018-0.00036118i,-0.0012965+0.0010039i,-0.00050722+0.001627i,0.00015032+0.00086274i,0.00070519-2.4039e-07i,2.5797e-05-0.00095864i,-0.00016791-0.0015213i,-0.00025601-0.0010427i,-0.00067535-0.0008209i,-0.00089102-0.0010694i,-0.0010302-0.00041421i,-0.0012133+0.00036061i,-0.00076283+0.00040559i,-0.00072746+5.5583e-05i,-0.00077997+7.2006e-05i,-4.4453e-05-0.0001737i,0.00013339-0.00048779i,3.2445e-06+3.3962e-05i
-0.0017359-1.3317e-05i,-0.0019678-0.00024184i,-0.001268+0.00043932i,-0.00045954+0.00087277i,-0.00051232+0.00069781i,1.2145e-05+0.00080921i,0.00018987+0.00091261i,-0.00033469+0.00043165i,-0.00064156+0.00055478i,-0.00089388+0.0010188i,-0.000879+0.00063272i,-0.00073683-2.7826e-05i,-0.00073349-1.5623e-05i,-0.00014975+0.00030934i,0.00036316+0.00010024i,-0.00035107-0.00040537i,-0.00029444-0.00063148i,0.00026953-0.000564i,7.3484e-05-0.0012452i,5.9982e-05-0.0012842i,2.1337e-05-0.00010441i,5.67e-06+0.00069595i,-0.00023506+0.00026418i
-0.001033+9.6026e-06i,-0.0012541-0.0010784i,-0.00051448-0.00095438i,-4.1465e-05-0.00026015i,-0.0015059+0.00080755i,-0.0014636+0.0019322i,-9.0785e-05+0.000972i,0.00019753+0.00012354i,-0.00044886-2.4966e-05i,-0.00060982+0.000238i,-5.6851e-05+0.0003101i,0.00030093+0.00018963i,0.00038456-0.00043773i,0.00048215-0.00066532i,-0.00012956-0.00021465i,-0.00044734+0.00034095i,0.00018727+0.00091932i,7.4047e-05+0.0008168i,7.2194e-05+0.00059467i,0.00059856+0.00080669i,-0.00017199+0.00079996i,-0.00066519+8.1856e-05i,-0.00010991-9.5208e-05i
-0.0013525+0.00035381i,-0.0014194-0.00059506i,-0.0026701-0.00063337i,-0.0024306+0.00074657i,-0.0019561+0.0012114i,-0.0016177+0.0011521i,-0.00094712+0.00053211i,-0.00096894-0.00047186i,-0.0014749-0.00033309i,-0.0011551+3.6601e-06i,-0.00037582+0.00023017i,8.389e-05+0.0001496i,1.1276e-05+0.00050516i,0.00013991+0.00039818i,0.00050146+0.00014559i,0.00076728+0.00086407i,7.6493e-05+0.00067855i,-0.00019166-0.00019406i,0.0001471-0.00032252i,-0.00019625+0.00057547i,-0.00068234+0.0010556i,-0.00065785+0.00099559i,-0.00084895+0.0009124i
-0.00047321-0.00042766i,-0.00061953-0.00057808i,-0.0016423-0.0011465i,-0.0018898-0.0009568i,-0.0026407-0.00067859i,-0.0021615-0.00023494i,-0.0011983-2.6579e-05i,-0.00079517+0.00066418i,6.7348e-06+0.0004964i,0.00059753+3.6439e-05i,0.00016965+9.4363e-05i,0.00021836+0.00059823i,0.00034294+0.00021055i,-0.00012025-0.00025081i,-0.00061912+0.0002301i,-0.0012108+0.00015352i,-0.00071141+0.00016614i,-0.00032959-2.5308e-05i,-0.00033609-0.00022968i,-0.00022491-0.00059891i,-0.00083323-0.00066181i,-0.0010911-1.718e-05i,-0.00041552+6.7809e-05i
0.0014964-0.00037858i,0.0019516-0.00016573i,0.0015122+0.0002275i,0.00027299-0.00042609i,-0.00054684-0.00053603i,-0.0005532+8.9173e-07i,-0.00036049+0.00026577i,0.00010999+0.00042025i,-6.0152e-05+0.0003029i,-0.00055071-5.2662e-05i,0.0001009-0.00046823i,0.0013653-0.0004122i,0.00038136-0.00036021i,-0.0012348-0.00053426i,-0.00098967-0.00063937i,-0.00011134-0.00099638i,-5.5209e-05-0.0010099i,-0.00070387-0.0007575i,-0.00045492-0.00034186i,-0.00013702+0.00031816i,0.00038264+0.00012814i,0.00091186-0.00077582i,0.0002317-0.0012302i
0.00018879-0.001111i,0.00024045-0.00089452i,-0.00031876-0.0015073i,-0.0014884-0.00087633i,-0.0023468-0.00020946i,-0.0017825+0.00028058i,-0.00052381+0.00059789i,-0.00056403+0.00028409i,-0.0011485+9.055e-05i,-0.0018186-3.9165e-05i,-0.0014627-0.00022655i,-0.00066376-0.00028872i,-0.00059215-0.0005303i,-0.00074289-0.00085122i,-0.0011276-0.00055928i,-0.00071193+0.0002075i,-0.00011783-9.8661e-05i,0.0001429-0.00029394i,8.0947e-05+9.116e-05i,-0.00060848+0.00010867i,-0.00074048-0.00038268i,-0.0007182-0.00088454i,-0.0002359-0.00039621i
0.00016675-0.00059318i,-0.00037563-0.0012837i,-5.0015e-05-0.0022579i,0.00012834-0.0016346i,-0.00087844-0.00057664i,-0.0013938+0.00046982i,-0.0011864+0.00095893i,-0.00064442+0.00063305i,-3.287e-05-0.00014234i,-0.0001243-0.00060784i,2.3078e-05-0.00038255i,2.5102e-05+0.00055844i,0.00013695+0.00069027i,9.3537e-05-0.00061002i,-9.479e-05-0.00062054i,-0.00043231-0.00024876i,-0.00092106-0.00025046i,-0.0010616+0.00039467i,-0.00070188+0.00083497i,-0.00021871+0.00042929i,-0.00021355+0.00011172i,8.6199e-05+7.6171e-05i,0.00051895-0.00012487i
-0.0024561-0.0012492i,-0.0028699-0.00047952i,-0.0027651+0.0012639i,-0.0020382+0.0011629i,-0.0013598+0.0011964i,-0.00064338+0.0017191i,-0.00015733+0.00075913i,-0.00011704+6.0063e-05i,-0.0010036-1.4573e-05i,-0.00086611-0.00047034i,9.0976e-05-0.00040706i,0.00052051+0.00049346i,0.00061267+0.0011802i,0.0003115+0.0015321i,-0.00038269+0.001234i,-0.00033079-0.0001123i,0.00014878-0.00011273i,5.5852e-05+0.00017081i,-0.00049281+0.00030884i,-0.00022224-6.3037e-05i,9.4593e-05-0.00015975i,-0.00010777+0.00039998i,-0.00023158+0.00039952i
0.00042723-0.0011339i,0.00083756-0.00041029i,0.0017267-0.0016149i,0.0010775-0.001431i,8.1147e-05-0.00012918i,-8.704e-05-0.00069808i,-0.00020059-0.00058129i,-0.00070653+7.3871e-05i,-0.0010694+0.00039214i,-0.0012026+0.00034856i,-0.00053709-0.00032955i,-0.00016578-0.00040373i,0.00017141-0.00057202i,0.00038648-0.00027562i,0.00011134-0.00020168i,-0.00061587-0.00020875i,-0.00054684+0.00012977i,0.00056966-0.00024006i,0.00078538-0.00086154i,0.00047597-0.0012959i,0.00095146-0.00072742i,0.00078489-0.0005868i,0.00055353-0.00087889i
0.000893+0.0013859i,4.8866e-06+0.00069546i,7.049e-05+0.00037165i,-0.00043987+0.00046914i,-0.0012088-0.0002329i,-0.0012425-0.00055273i,-0.00075613-0.00066163i,-0.00069355-0.00055977i,-0.00043908-0.00013155i,0.0001447+0.00050096i,0.00030468+0.0010477i,4.4779e-05+0.000714i,0.00035414-0.00029997i,0.00040531-0.0004333i,-8.4602e-05-0.00018303i,-0.00010676-0.00026197i,2.1058e-05+7.3265e-05i,0.00039041-0.00030723i,0.00051226-0.00027563i,0.00033059+0.00060885i,0.00038352+0.00073447i,-0.00043177+0.00036955i,-0.0009206+0.00026027i
