-0.0012151-0.0010687i,-0.0011739-0.0021901i,-0.00055494-0.0019679i,-0.00073476-0.00094725i,-0.00088794+0.0011425i,-0.00071884+0.0033391i,0.00031952+0.0029796i,0.0014771+0.0017884i,0.00085582+0.00062869i,0.00023191-0.00051541i,0.00051044-0.00054795i,0.00060139-0.00059434i,4.5783e-05-0.0010119i,-0.00054236-0.0010957i,-0.00063508-0.00043799i,-0.0003587+3.8043e-05i,2.7299e-05+2.7819e-05i,0.00036948+0.00073765i,0.0007377+0.00092089i,0.00074884-0.00034569i,0.00085977-0.00095143i,0.00060458-0.0005872i,-0.00033463+0.00029116i
0.0010051+0.0010639i,0.00011056+0.00032559i,-0.00075338+0.00043456i,0.00033115+0.00082512i,0.0014457+0.00016629i,0.0015413-0.00050299i,0.0019206+7.9908e-05i,0.0018127-0.00078923i,0.00085906-0.0013801i,0.00034371-0.00073822i,0.00044676-0.00069923i,0.00046751-0.00096261i,-0.00033919-0.0008373i,-0.00055668-0.00051937i,0.00025591-0.0002196i,-1.2097e-05-0.00015146i,-0.00018022-0.00088732i,0.00031956-0.0008271i,-6.1809e-05-0.00087273i,-0.00015622-0.00089104i,0.00038963+2.6993e-05i,-5.8677e-05+0.00019284i,-0.00035961-0.00051809i
-0.0014554+0.0010679i,-0.0007724+0.0013871i,0.00058423+0.0018438i,0.0018565+0.00066796i,0.0021011-0.00036571i,0.0023713-0.00014441i,0.00183-0.00064969i,0.00062972-0.00074538i,-0.00065014-0.00041108i,-0.0010097-0.00034153i,-0.00086182-5.9956e-05i,1.3406e-05-0.00040878i,0.0006972-0.00093142i,0.00053321-0.00071742i,0.00095539-0.00036522i,0.00071888-0.00051296i,-0.00047709-0.00048425i,-0.00095336-0.00033278i,-0.00064334-0.00058033i,-0.00040604-0.0002903i,-0.00028822+0.0001525i,-4.1196e-05-0.00034804i,-0.00064478-0.00057402i
-0.0010675+0.0013257i,-0.0015021+0.00011946i,0.00049818+0.0002111i,0.0020766+0.00014242i,0.0025993-0.0010821i,0.0026009-0.001862i,0.0011409-0.00074197i,-0.000321+4.9582e-05i,-0.00037735+0.00011811i,0.00039077+0.00021699i,0.00078697-0.00021357i,-0.0002338-0.00080266i,-0.0012538-0.00070549i,-0.00064705-0.00017172i,0.00014113+7.9703e-05i,-0.00018268-0.00021458i,-0.00084249-0.00058167i,-0.00075811+0.00024264i,-0.00033761+0.0003184i,-0.00050959-0.00029212i,-0.00045425-0.00071705i,0.00040003-0.00068715i,0.00025928+0.00012729i
-0.0010193-0.00044564i,-0.0011563-0.00047339i,-0.0016725-0.0012511i,-0.001785-0.0016219i,-0.002265-0.00052415i,-0.0019011+0.0005125i,-0.00045047+0.0013052i,0.00022699+0.0012007i,0.00035644+0.00041409i,-0.00058666+2.9695e-05i,-0.0013875-0.00034656i,-0.00096934-0.00077423i,-0.00060339-0.00059786i,-0.00075648+0.00035086i,-0.00060535+0.00033584i,-0.00024606+0.00011493i,-0.00012489+0.0011339i,0.00021552+0.0013394i,0.00019908+0.00046791i,-0.00029092-9.0182e-05i,-0.00048215-0.0003313i,-0.00064335-0.00041648i,-0.00085393+8.7963e-05i
-0.00058074-0.0016423i,-0.0017018-0.00081364i,-0.0017582+0.00040408i,-0.00039821+0.0016225i,-9.3508e-05+0.0022136i,-0.00033123+0.0023871i,0.0006806+0.0020453i,0.00084472+0.0010497i,-9.6827e-05-0.00024717i,-0.00032838-0.00055134i,-0.00040463+0.00056601i,-0.00031411+0.00097172i,0.0002081+0.0003124i,-0.00015496-0.00040305i,-0.00039722-0.00039451i,-0.00056795-0.00079409i,-0.00033334-0.0012064i,-0.00039428-0.00033248i,-0.00066388+3.0266e-05i,0.00037764+0.00016364i,0.0011112-0.0001915i,0.0011642-0.0011237i,0.00086425-0.00072383i
-0.00069749-0.00098732i,-0.00037772-0.00031164i,-0.00023799+0.00056501i,-0.00031048+0.0008272i,0.00011978+0.0013653i,0.0012006+0.0018662i,0.0014577+0.0017637i,0.00081365+0.0011604i,0.00059051+0.00035783i,0.00038367+0.0001992i,2.4724e-05+0.00027615i,0.00079072+8.7425e-05i,0.00073286+8.8897e-05i,7.0901e-05+0.00037552i,-0.00011924+0.00012281i,-0.00017789-0.00057204i,-0.00023819-0.00097382i,-0.00029182-0.0004629i,0.00012085+8.0844e-05i,4.6154e-05+9.8879e-05i,-0.00033095-0.00060355i,-0.00016484-0.00085324i,-0.00068486-0.00022585i
0.00025478-0.00092714i,-0.00035364-2.9386e-05i,-0.00095529-0.0012403i,-0.00049735-0.00062646i,0.00037539+0.00051337i,0.0006576+0.00070736i,0.00041403+0.00062581i,0.00035642-0.00033506i,0.00022982-0.0012818i,-0.00047329-0.0012023i,-0.0014489-0.0017255i,-0.0011691-0.0020869i,-0.00095135-0.0014245i,-0.00033826-0.00015965i,0.00062613+0.00065132i,-0.00014103+0.00040351i,-0.00044203-0.00016873i,-0.00014515-0.00071045i,-0.00032316-0.00030458i,-0.00024463+0.00028905i,0.00023375+0.00019356i,0.00038516-6.3128e-05i,-0.00039797+0.00027547i
-0.0012722-0.00033i,-0.00082931+0.00042005i,0.0014764+0.0006699i,0.0026629+0.00012681i,0.0020211-0.00027702i,0.00091082-0.00022527i,0.00054549+0.00019158i,0.00080286+0.00044635i,0.00069034+0.00045076i,0.00052849-2.3234e-05i,0.0002406-0.00080624i,-0.00028997-0.0012147i,8.8502e-05-0.0011334i,0.0010452-0.0012429i,0.0008062-0.0010721i,-0.00010185-5.1014e-05i,-0.00041299+0.00034494i,6.2808e-05+0.00034367i,6.6206e-05+0.00057924i,-0.00033102+0.00036526i,-0.00046348-0.00062913i,-0.00019427-0.00065729i,-0.00039729-0.00042476i
-0.00021038-0.00014781i,-0.00028617+0.00050173i,0.00010983+0.00083072i,0.0011698-0.00076947i,0.0016093-0.0021438i,0.00040096-0.002159i,-0.0010942-0.001466i,-0.0006798-0.0010501i,0.00031737-0.0010037i,0.00017725-0.00081954i,-0.00038458-0.00043667i,-0.00047027-0.0003778i,-0.00022335-0.00041736i,-8.484e-05-0.00017274i,-0.00018338-0.00031784i,-0.00071252-0.00023632i,-0.0005792+5.0616e-05i,-0.00062103+0.00064268i,-0.001111+0.0002544i,-0.00050271-0.00057597i,5.2561e-05-0.00064843i,0.00054311+2.0802e-06i,0.0006078+0.00063191i
-0.00032803-0.00085934i,0.00031683-0.00071991i,0.00028672-0.0011771i,-0.0013782-0.0008398i,-0.0027712-0.00040706i,-0.0020263+0.00066605i,-0.00077614+0.0018203i,0.00030509+0.0013191i,0.00060925+0.0011221i,-0.00042882+0.001015i,-0.0013712+0.00030033i,-0.0014758+0.00020076i,-0.00010802-5.0349e-05i,0.0010858-0.00015811i,0.00065305-7.6489e-05i,-0.00023978-0.00067025i,-0.00048189-0.00065884i,8.8715e-05+0.00015934i,0.00028212+0.00029451i,-0.00049704+0.00026539i,-0.0010895+0.0005229i,-0.0013468+0.00036424i,-0.00089502-0.00051608i
-0.00037337-0.0016303i,-0.00060818-0.0012134i,-0.00096254+0.00043504i,-0.0011867+0.0015946i,-0.00135+0.0020326i,-0.00052089+0.0018013i,0.00096445+0.0018066i,0.0010104+0.0015567i,0.00017884+0.00077876i,-0.000267+0.00020055i,-0.00057801-0.00020323i,-0.00056665-0.00044976i,0.0001418-0.00027246i,0.00097848+4.8957e-05i,0.00092411+0.00012142i,-0.00023556-0.00017051i,-0.00077216-0.00053389i,1.4817e-07-0.00071445i,0.0012901-0.00025774i,0.00159+0.00023108i,8.4857e-05+0.00031266i,-0.0011831-2.6219e-05i,-0.00022984-0.00034448i
-0.0014+0.00042141i,-0.00081989+0.00069453i,-0.00058413+0.0012184i,0.00028738+0.0016381i,0.0012276+0.0019979i,0.0019467+0.0025424i,0.001996+0.002039i,0.0015692+0.0011152i,0.00088512+0.00011716i,0.00034067-8.6427e-05i,0.00042571+0.00014342i,0.00047101-0.00026707i,0.001064-0.00056158i,0.00094994-0.00035726i,0.00024853+4.1906e-05i,0.00069194+0.0005934i,-0.00019145+0.0008067i,-0.001769-3.6799e-05i,-0.0012591-0.0002361i,-0.00058714-0.00019392i,-0.00059451-0.00034648i,0.00012986+0.00047604i,0.00050203+0.00041493i
0.00049704-0.00077259i,-0.00011713-0.0008802i,0.0008717-0.0017062i,0.0016054-0.0018657i,0.0023875-0.00068686i,0.0027176+0.00096497i,0.0016319+0.0018894i,0.0006166+0.001394i,0.00030622-0.00030849i,-1.9878e-05-0.001162i,-0.00077901-0.0004557i,-0.00092357+0.00012949i,-0.001099-7.0289e-05i,-0.0012679-0.00039177i,-0.0011576-0.00061918i,-0.0010411-0.00067962i,-0.00064115-0.00044383i,-0.00025898-0.00027448i,-0.00030678-0.00044248i,-0.00012238-0.00030193i,-4.6077e-05+0.00015078i,-2.9585e-05+0.00025441i,-0.00041165+0.00064044i
0.00064752+0.00038833i,0.0012889-0.00048628i,0.00065002-0.00052878i,0.0010267-0.0011586i,0.0020863-0.0020566i,0.0016117-0.0023293i,0.00072848-0.0016202i,0.00017953-0.0006252i,-0.00030503-0.00082682i,4.414e-05-0.0011653i,-0.00026403-0.00054109i,-0.00058947+7.3683e-05i,0.00024063-0.00016942i,0.00047182-1.0362e-05i,0.00038982+0.00027139i,0.0008664+0.00011261i,0.00096027+0.00036566i,0.00057628+0.00022469i,0.00046108-0.00055767i,0.00056784-0.00077035i,0.00034254-0.0010242i,7.738e-05-0.0011143i,0.00020296-8.3668e-05i
-0.0019671+0.0013301i,-0.0030338+0.00037617i,-0.0025454+0.00028325i,-0.00074722-0.00033788i,-2.5762e-05-0.0019805i,-0.00095796-0.0023429i,-0.0011272-0.00073348i,-0.0008153+0.00016533i,-0.00061453-0.00047339i,-0.00060626-0.00039231i,-0.00061276+0.00021325i,-0.00047064+0.00079006i,-0.00044692+0.001167i,0.00036729+0.00070385i,0.00084001+0.00016071i,0.00044724-0.00012875i,-7.5456e-05-8.7355e-06i,0.00030115+0.00045225i,0.00043954+0.0010425i,0.00017011+0.0013158i,-0.00033689+0.00045307i,-0.00081657-0.00049209i,-0.00054834-0.00024739i
