0.0024732-0.00053771i,0.0021317-0.0027004i,0.001597-0.0049492i,0.00012477-0.0047045i,-0.00089297-0.0017417i,-0.0007418+0.00013448i,0.00063039+0.00035267i,0.001554+0.00081564i,0.0019179+0.00056949i,0.0019614-0.0005274i,0.0010259-0.00072075i,0.00028425+0.00010089i,-0.00038904+0.00035281i,-0.0013402+0.00081699i,-0.0017976+0.0013086i,-0.00099272+0.00069851i,0.00051756+0.0001345i,0.00050283-0.00014958i,0.0003408+0.0003671i,0.00049145+0.00097225i,0.00014433+0.00020744i,0.00022648-0.00069389i,0.00080815-0.00017001i
0.0012524+0.0011516i,0.0013383+0.0014777i,0.0020225+0.0024354i,0.002561+0.0024807i,0.0025521+0.00022991i,0.0021992-0.0010489i,0.0018622-0.00098757i,0.0017334-0.00034411i,0.0010469+0.00067722i,-0.00024087+0.00019795i,-0.00055163-0.00065573i,-0.00046518-0.00061921i,-0.00070155-0.00065036i,-0.00036638-0.00087642i,-0.00085874-0.0005703i,-0.0013755+9.7658e-05i,-0.0012581-0.00027524i,-0.00088268-0.00037873i,-0.00013101+4.8175e-05i,0.00015635+0.00051783i,-0.0002141+0.00059494i,-0.00060986+0.00013396i,-0.00011306-0.00035645i
-0.00087297-0.00016081i,-0.0020787-0.00046495i,-0.0017875-0.00097504i,-0.000477-0.00072126i,0.00059699-0.00077152i,0.001051-0.00079027i,0.00099181-0.0012093i,0.00054802-0.0010407i,-8.8031e-05+0.00019861i,-0.00060344+0.00042775i,-0.0010778+8.6688e-05i,-0.00059377-0.00072457i,0.00068342-0.00077072i,0.00093187-7.2088e-05i,0.00086995+0.00046791i,0.00073803+0.00028708i,0.00056828-3.4203e-05i,0.00031803-0.00043619i,0.00039793-0.0014209i,0.00060969-0.0012307i,0.00056014+6.2757e-05i,-4.6749e-05+0.0011332i,-0.00052+0.0012511i
-0.0020873-4.7727e-05i,-0.0023595+0.00026338i,-0.001903+0.00022879i,-0.00083821+0.0007766i,0.00092641+0.00075742i,0.0024854+6.8773e-06i,0.0028807-0.00044634i,0.0015278-0.00032746i,-0.00034428-0.00028823i,-0.00024613+0.00053895i,0.00036991+0.00068817i,0.00042978-0.00011985i,0.0007136+0.00011989i,0.00087729+0.00032833i,0.00041676+0.00033896i,0.00051415+2.6548e-05i,0.00068453-0.00058599i,0.00073034-0.001346i,0.00046941-0.00090077i,-0.00016633-3.4837e-07i,-0.00040218-3.9655e-05i,-0.00020733-0.00047499i,-9.0742e-05-0.00062672i
0.00060695+0.0016049i,0.0021283+0.0017113i,0.0020776+0.0017085i,0.001523+0.00056489i,0.0017571-0.00038969i,0.0020935-0.0010532i,0.0013749-0.0013929i,-8.6185e-05-0.00069185i,-2.5728e-05-0.00048424i,0.00044929-0.00059624i,-0.00048809-3.7069e-05i,-0.0013688+0.00016519i,-0.0010919-0.00045645i,-0.00076003-0.00062678i,-0.0012729+0.0005394i,-0.0011917+0.00089866i,-0.00053154+0.00052761i,-0.00048355+0.00015154i,-0.00032281-0.00010569i,0.00045365+0.00042952i,0.00046138+0.00063572i,0.00019565+7.3576e-05i,0.00028125-7.1619e-05i
0.00070501+0.00027316i,0.0011969-0.00013411i,0.00056844-0.00062211i,-0.00015694+6.6839e-05i,0.00058123+0.00032889i,0.0020199-0.00041289i,0.0017211-0.00074615i,0.00011374-0.00030855i,-0.000378+0.00041811i,9.9072e-05+9.1944e-05i,0.00054118-0.00046846i,0.00012764-0.00057827i,-0.00060189-0.00018186i,-0.00029942+2.9231e-06i,0.00020462+0.0007354i,0.00030113+0.00097943i,0.00048006+0.00026514i,0.00018965+0.00051065i,-0.00038562+0.00091204i,0.00020075+0.00044971i,0.00020784+0.00013956i,-0.00041151+0.00013905i,-0.00058769+1.0379e-06i
-0.001485+0.00070766i,-0.002333+0.00079642i,-0.0013189-0.00031209i,0.00021453-0.0002384i,0.001238-0.00029881i,0.0025411-0.000655i,0.0024585-0.00072025i,0.00075699-0.00071983i,-0.00071442-0.00036238i,-0.0011132-0.00010069i,-0.00095038+0.00078196i,-0.00080224+0.00053371i,-0.00064253-0.00090769i,-0.00096629-0.0010792i,-0.00085162-0.00060212i,-0.00026464-0.00037903i,-0.00063581-0.00044694i,-0.001074-0.00030701i,-0.00023703+0.0003161i,0.00043699+0.00049948i,0.00017374-0.00013489i,-0.00051158+0.00066687i,-0.00035535+0.0016107i
0.00086761-0.00041384i,-0.00044433-0.00060239i,-0.00053291-0.00080123i,0.00021078-0.0010231i,0.0010326-0.0013244i,0.0011033-0.0015083i,0.00036311-0.0016151i,-0.00046268-0.0012507i,-0.00031533-0.0010176i,3.6571e-05-0.00079869i,-0.00070361-0.00010649i,-0.0010309+0.00014983i,-0.00070421+0.00079148i,-0.0013127+0.0011169i,-0.0014755+1.3608e-05i,-0.00085128-0.00096739i,-0.00063102-0.00024845i,-0.00046027+0.00027409i,-0.00028573+6.3623e-06i,0.00025443-0.00049372i,0.00016988-6.7297e-05i,-0.00061665+0.00071112i,-0.00096182+0.001037i
0.0014289-0.00085874i,0.00078292-0.0014391i,-0.00097228-0.0011065i,-0.000804-0.00056164i,8.1735e-05-0.00032876i,0.00071545-0.00075774i,0.002154-0.0014904i,0.0025993-0.0015294i,0.00096285-0.00053051i,-0.00073156+5.4653e-05i,-0.0010046-0.0002348i,0.00052511-9.4726e-05i,0.0012355+0.00060818i,0.0003639+0.00069627i,3.4334e-05+0.00070888i,-5.709e-05+0.00027379i,-0.00023286-0.00018485i,0.00030473+7.2314e-05i,0.00066665+0.00085483i,-5.3518e-05+0.0010765i,-0.00044135+0.00085294i,-0.00011419+0.00045733i,-0.00058597-7.5448e-05i
0.0010836-0.0017655i,0.00048675-0.0013714i,-0.00035436-0.0014758i,-0.001645-0.00099558i,-0.0012863-0.0001905i,0.00097878-0.00032063i,0.0024206-0.00082967i,0.0014583-0.00047074i,0.00018399+3.3142e-05i,0.0001928+0.00018026i,-8.4978e-06-0.00017394i,0.00042307+0.00033962i,0.00050587+0.0010343i,-0.00059341+0.00038826i,-0.0011632+0.00059358i,-0.00080701+0.0012595i,-0.00032358+0.00060128i,0.00041946-0.00022185i,0.00085361-0.00042728i,0.00047002-0.0012645i,0.0005982-0.00091456i,4.7542e-05-0.00027786i,0.0001225+3.7742e-05i
0.0011984-0.0005664i,0.00087722-0.00015198i,0.00065373+0.00049787i,0.00068047-0.00019126i,0.00068694-0.0013114i,0.00093315-0.0016392i,0.0011218-0.0019478i,0.00050472-0.001319i,0.00017251-0.00021057i,-0.00032015+0.00024243i,-0.00080109+0.00077441i,5.6465e-05+0.00061779i,0.00071458+0.00081939i,-3.9913e-05+0.0015923i,-0.00065137+0.00072008i,-0.00014013+1.6298e-05i,0.00020325+0.00053242i,8.2933e-05+0.00029396i,-0.00037525+1.9253e-05i,-0.00066474+0.00075999i,-0.00049822+0.0011201i,-0.00032907+0.00090919i,-0.00016823+0.00099151i
