0.0024732-0.00053771i,0.0021317-0.0027004i,0.001597-0.0049492i,0.00012477-0.0047045i,-0.00089297-0.0017417i,-0.0007418+0.00013448i,0.00063039+0.00035267i,0.001554+0.00081564i,0.0019179+0.00056949i,0.0019614-0.0005274i,0.0010259-0.00072075i,0.00028425+0.00010089i,-0.00038904+0.00035281i,-0.0013402+0.00081699i,-0.0017976+0.0013086i,-0.00099272+0.00069851i,0.00051756+0.0001345i,0.00050283-0.00014958i,0.0003408+0.0003671i,0.00049145+0.00097225i,0.00014433+0.00020744i,0.00022648-0.00069389i,0.00080815-0.00017001i
0.0012697+0.00028217i,0.00069954-0.0018502i,0.00041719-0.0019174i,0.0013773-0.0011479i,0.0018829-0.00095076i,0.0017078-0.00088772i,0.0013852-0.0002236i,0.0010706+0.00031346i,-0.00019916-0.00010501i,-0.001286-0.00085483i,-0.0013973-0.00055464i,-0.001033+0.00042832i,-0.00048429-0.00013149i,-0.00040715-0.00061657i,-0.00028662+4.2236e-05i,-0.00022773+7.6545e-05i,-0.00016746-0.00087811i,0.00064351-0.001228i,0.0011688-0.0003309i,0.00039336+9.4755e-06i,-0.00021281+0.00068647i,-1.1345e-05+0.00065409i,0.00040537-7.2967e-05i
0.0015328-0.00031922i,0.00042286+3.8538e-05i,-0.00023914+0.00029976i,0.0002919+0.00054793i,0.00091703-0.00020671i,0.001847-0.00050521i,0.0022063-0.00054549i,0.001265-0.0011814i,0.00043794-0.00085602i,-0.00017306-4.7231e-05i,-0.00054422-0.00030071i,-0.00047889-5.4106e-05i,-0.00072663+0.00028472i,-0.001056-7.8949e-05i,-0.00084378+0.00055038i,-0.00035698+0.00053727i,0.0003387+0.00034667i,0.0009476+0.00015154i,0.00067463-0.00053668i,0.00065754-0.00022112i,0.00087356+1.3956e-06i,0.00038805-0.00018688i,1.3551e-05-8.8223e-05i
-0.0025633+0.0011568i,-0.00086979+0.00025052i,0.0006837-0.00047512i,0.00090896-0.00012297i,0.0016636-1.328e-05i,0.0035987-0.00097438i,0.00336-0.0018062i,0.0011327-0.0012353i,-0.00036164-0.0004605i,-0.00083707-0.00064008i,-0.0010623-0.00036084i,-0.00078324+9.2685e-05i,-0.00026195+0.00010699i,-0.00057582-0.000324i,-0.00045431-0.00049373i,1.1708e-05+0.00038487i,1.7763e-05+0.0013728i,-0.00031384+0.00065616i,-0.00046104-8.1488e-05i,-0.000195+8.5431e-05i,0.00074176+0.00031379i,0.0013474+0.00014063i,0.0012408+0.00030474i
0.00081573-0.00023394i,0.00094397-0.00069249i,0.001407-0.0010076i,0.00077124-0.0011584i,0.0011459-0.0012881i,0.0021683-0.0012625i,0.0024639-0.0019302i,0.0017077-0.0016302i,0.00061011-0.0011461i,0.0001324-0.0012558i,-0.00063344-0.00053254i,-0.0002844+0.00015574i,0.00045976+6.3225e-05i,-0.00010069+0.00066172i,-0.00089976+0.0011983i,-0.00069731+0.00047378i,6.9944e-05+2.61e-05i,0.00017895-0.00023692i,2.3571e-06-0.0012213i,0.0003991-0.00055069i,0.0003726+0.00036918i,-7.6346e-05-0.00029477i,1.3708e-05-0.00071971i
-0.00039914+0.0014455i,-0.00045228+0.0014995i,-0.00065302+0.0015011i,0.00081702+0.001001i,0.0019661+5.2693e-05i,0.0014694-0.0006938i,0.00097122-0.00063946i,0.00069517+0.00018292i,0.00059049+0.0010983i,4.3603e-05+0.00062896i,-0.0005985-0.00058093i,-0.00015523-0.0013218i,0.00036114-0.00077668i,0.00019115-0.0007634i,7.4497e-05-0.0006458i,-0.00030442+0.0002834i,-0.00061495+0.00091165i,-0.00027667+0.00072873i,-9.0535e-05+0.00056284i,0.00027493+0.001339i,0.00064159+0.0015877i,0.00021369+0.00075435i,-0.0001681-0.00041433i
0.0023304-0.0014066i,0.00074675-0.0018399i,-2.6823e-05-0.0025706i,-0.00069923-0.0021966i,-0.00057546-0.0011997i,0.00054289-0.00077615i,0.0016566+0.00030644i,0.0010133+0.00052744i,0.00023157-0.00068901i,2.1351e-05-0.00096067i,-0.00059441+0.0001468i,-0.0015621+0.0011259i,-0.0017838+0.00042283i,-0.001072+0.00069157i,-0.00093974+0.0012653i,-0.00097224+0.00028461i,-0.00027641-0.00069409i,0.00028012-0.00060762i,0.00034571+8.3173e-05i,0.00030128+0.00074609i,-1.2093e-05+0.00051303i,-9.452e-05-0.00083795i,0.00011615-0.0014433i
-0.00027424-0.00013303i,0.00066476-0.0011272i,0.0014179-0.001615i,0.0015431-0.00083929i,0.0018941-0.00072872i,0.0017053-0.00097175i,0.00097902-0.0017326i,0.00048965-0.0019043i,-0.00061869-0.0010685i,-0.0011521-0.00064392i,-0.00074155-0.00097637i,-0.00049706-0.00056056i,-0.00053568+0.00017262i,-0.0010835+0.00038438i,-0.0018825+6.8965e-05i,-0.0015157-5.8081e-05i,-0.00015843+0.0004209i,0.00073926+0.00080785i,0.00077791+0.00061205i,0.00050038+0.00011598i,0.00022319-7.2487e-05i,-0.00047277+3.8042e-06i,-0.00079111+4.0853e-06i
-0.00050914+0.0019917i,-0.00067006+0.00079728i,1.5827e-05+0.00060649i,0.0011643+0.00047014i,0.0017786+0.00035087i,0.0018798-0.00042705i,0.0015077-0.00043907i,0.00069714-9.4654e-05i,0.00056054-0.00038898i,-0.00011425-0.00028597i,-0.00091499-5.5252e-05i,-0.0012374-0.00032514i,-0.00082084-0.00058985i,-0.00046296-0.0010992i,-0.00051431-0.00076921i,-0.00017561-6.4172e-05i,9.5609e-05+0.00023476i,-3.3737e-05+0.00031924i,2.769e-05+0.00044142i,7.145e-05+0.00043753i,-0.00025543+0.00054399i,0.00045979+3.3126e-05i,0.00049249-0.00029807i
0.0014339+0.0010978i,0.002411+0.0014001i,0.0020395+0.00061872i,0.0013047-0.000106i,0.00061769-0.00037085i,0.00065199-0.00045984i,0.00091569-0.0005173i,0.000666-0.00078394i,5.4658e-05-0.00078038i,-0.00021743+1.2652e-06i,8.9539e-05+9.7307e-05i,-4.7313e-05-0.00065109i,-0.00040155-0.00068145i,-6.9358e-05-7.9054e-05i,0.00060993-7.3765e-05i,0.00047362+0.00023273i,-0.00015711+0.0002757i,-0.00049931+5.8851e-05i,-0.00053031-0.00037614i,0.00013703-0.00035989i,0.00047533+0.00016751i,1.8948e-06+0.00050686i,-0.00045865+3.0967e-05i
-0.00097092-0.00099687i,-0.0011089-0.0014628i,-0.00095179-0.0010096i,-0.0017599-0.00061353i,-0.00035323-0.0013168i,0.0016883-0.0015323i,0.0016295-0.0012602i,0.00054595-0.00026339i,0.0001638+9.2835e-05i,0.000396-0.00016388i,-0.0007844+0.00045051i,-0.0014569+0.00039976i,-0.00090283-1.4836e-05i,-0.00055741+2.1433e-06i,-0.00033596-0.00030288i,-0.0003495-0.00083382i,-0.00071257-8.3649e-05i,-0.00064208+0.0011033i,-0.00027949+0.0005551i,-0.00022015-0.00079013i,-0.00069072-0.00071594i,-0.0010557-0.00042262i,-0.00063761-0.00046268i
-0.0036328+0.0015953i,-0.0031933+0.0026259i,-0.0014307+0.0029969i,2.7839e-05+0.0027677i,0.0010495+0.0021211i,0.0024074+0.00076526i,0.0022091-0.00039014i,0.00086286-0.00077592i,-0.00019751+0.00012851i,-0.00020458+0.00035884i,-1.8136e-05-0.0002962i,-0.00035134-0.00012087i,5.3736e-05-0.00046086i,0.00063037-0.0010323i,0.00032973-0.0012725i,0.00052342-0.00089848i,0.00029018-0.00034833i,-0.00055675-0.00026241i,-0.0007992+0.00015733i,-0.0008227+0.00055463i,-0.00038265+0.00033834i,0.00044163-6.4361e-05i,0.00024322-3.8377e-06i
0.0029223-0.0017063i,0.002277-0.002918i,0.0014118-0.0027922i,0.00063333-0.0022689i,2.6875e-05-0.0015805i,0.00032001-0.00081468i,0.00034512-0.00090298i,-0.0005485-0.00093124i,-0.000289-0.00037116i,-0.00012142+1.9947e-05i,-0.00039394-0.00014818i,-0.00027671-0.00052096i,-0.00039318-0.00076566i,-0.0011658-0.00024042i,-0.0014885+0.00019178i,-0.00041943+0.00034966i,0.00060887+0.00044545i,0.00054237-0.00024195i,0.00038408-0.00077934i,0.00018579-0.00066162i,-0.00016044-0.0010978i,-0.00071705-0.00066005i,-0.00091498+7.0106e-05i
-0.0012713-6.1637e-05i,0.00054259+0.0010531i,0.00083815+0.0026453i,0.0015779+0.0029018i,0.0028563+0.0015172i,0.0030942-0.0010445i,0.0023581-0.0019615i,0.0011781-0.002269i,-0.00012337-0.0016607i,-0.00047551+0.00010011i,-0.00056186+0.00043305i,-0.00028677-0.0003574i,1.4443e-05-0.00054542i,6.6177e-05-0.00046721i,0.00032911-0.00068415i,-0.00026649-0.00053924i,-0.00033363-0.0002577i,0.0001047-0.00034731i,0.00010092-0.00086025i,-0.00038934-0.0013327i,-0.0008316-0.0014058i,-0.00060768-0.00035405i,-0.00065551+0.00070484i
-0.0017741+0.0027371i,-0.00065334+0.0030008i,-0.0007252+0.0033006i,1.135e-05+0.003074i,0.0012389+0.00095723i,0.001736-0.0012094i,0.001715-0.0022605i,0.0010423-0.0020212i,0.00082167-0.00071292i,0.00050611-0.00016411i,-0.00019612-0.00013873i,8.0358e-05+0.00056647i,0.00022031+0.00052816i,-0.0002153+0.00024821i,-3.8145e-05+0.00050048i,0.00031834+0.00034536i,0.00043115-0.00021563i,6.3221e-05-8.5742e-05i,-0.00044529+0.00059383i,-0.00057209+0.00052923i,-0.00046144+0.00034746i,-0.00025017+0.00015502i,-0.00025078+0.00010302i
-0.00032664-0.00012715i,-0.0011548-0.00035578i,-0.0015784-0.00031796i,-0.0013962-0.00032596i,-0.00029809-0.00056097i,0.0016353+0.00026587i,0.0023156-0.00026092i,0.0011925-0.0012199i,-0.00030657-0.00088128i,-0.00062099-0.00051001i,-0.00065286-0.00033398i,-0.00047549-0.00010798i,-0.00059263-0.00034419i,-0.00087506-0.00011212i,-0.0004151+0.00035873i,-0.00029086+0.00040347i,-0.00067843+0.00019595i,-0.000334-0.00029472i,0.00029906-7.3684e-05i,0.00031199+0.00054375i,-7.296e-05+0.00037635i,0.00047383-0.00016006i,0.00032126-0.00031795i
-0.0013318-0.00021434i,-0.0010561-0.00061164i,-0.0018789-0.0009612i,-0.0010598-0.0001437i,0.00096709+0.0014887i,0.0025192+0.0015553i,0.0032239-0.00012167i,0.0019094-0.0010853i,0.0003199-0.00083069i,-0.00029365-0.00010131i,-0.00039656+0.00056809i,-0.0004394+0.0012087i,-0.00085959+0.0008808i,9.0138e-05+0.00049796i,0.00045296+0.00010523i,0.00060103-0.00055866i,0.00080303-1.1348e-05i,0.00019036+0.00054802i,-0.00026702-0.00053293i,-0.00030958-0.0011408i,-0.00010262-0.00034107i,0.0001763+3.1866e-05i,-1.7912e-05+0.0004439i
0.0036711+0.00027633i,0.0048854-0.00076845i,0.004568-0.00076635i,0.0032925-0.0010156i,0.0023592-0.0016844i,0.0020662-0.0016982i,0.0017353-0.0014857i,0.00086143-0.0010623i,-7.9954e-05-0.00065074i,-0.00062845-0.00075079i,-0.00068707-0.00073442i,-0.00049294-0.00045502i,-0.00023169-0.00014845i,-0.00043363+0.00022957i,-0.00072578+0.00065951i,-0.00052053+0.0011421i,-0.00022872+0.00099037i,1.127e-05+0.00040587i,-2.8536e-05-0.00026119i,-0.0003448-3.1455e-05i,-0.00066831+0.0002371i,-0.00066892-4.9604e-05i,-0.00061026-0.00025891i
-0.0013803-0.00084249i,-0.0016185-0.00052818i,-0.0017244-0.00011034i,-0.00066166+0.00020774i,0.00090985+0.0010754i,0.0016493+0.0011328i,0.0018805-0.00023177i,0.0015787-0.00084128i,0.0005214-0.00060029i,-8.7292e-05-0.00044305i,0.00074439-0.0004856i,0.001104+0.00024951i,0.0012326+0.00093117i,0.0014274+0.00061228i,0.00080642-0.0001825i,0.00048961-0.00065629i,0.0002754-0.00071414i,0.00020403-0.00032638i,-7.7976e-05-0.00055289i,-0.00014424-0.0012039i,0.00010367-0.00058874i,-0.00053102+0.00043423i,-0.00036732+0.0005396i
0.00046096-0.0020132i,-0.00053456-0.001451i,-0.0011466-0.00166i,-0.00077833-0.0006219i,-0.00015136+0.00040497i,0.001268+0.0001205i,0.0028005-0.00024398i,0.0022991-0.00072663i,0.00059799-0.0010634i,-0.00028357-0.0009855i,-0.00045666-0.00033878i,-0.00011093+0.00034582i,0.00016311+0.00093337i,-0.00031382+0.0010774i,-0.00028753+0.00057479i,0.000115+0.00086168i,-0.00011495+0.00075914i,-0.00066212-0.00068489i,-0.00065108-0.0012634i,-1.956e-05-0.00084629i,0.00018148-0.00031512i,0.00033484+9.5146e-05i,-2.172e-05+0.00053103i
0.0010615-0.00053083i,0.0016242-0.0021068i,0.0019104-0.0018686i,0.001362-0.00070022i,0.0014026-0.00071142i,0.002293-0.0015726i,0.0024621-0.0017705i,0.0017104-0.0012937i,0.00066514-0.00089859i,0.00015114-0.00084025i,-0.00075293-0.0010128i,-0.00081742-0.0011027i,-0.0012633-0.00094629i,-0.0015268-0.00074637i,-0.00068485-0.00061469i,-0.00055648-0.00028713i,-0.00060238-0.00018093i,0.00024847+0.00031114i,0.0011397+0.0014008i,0.00091804+0.00043357i,0.00028584-0.00059612i,0.00018875+0.00013429i,0.00044891+0.00044697i
0.00064918+0.0018444i,0.00099836+0.0010647i,0.0018537+0.00031228i,0.0018213+0.0004554i,0.0014638-0.00027887i,0.0016366-0.00036133i,0.0012649-0.0005086i,0.00041072-0.00071704i,0.00053344+0.00034447i,0.00041505+0.00019663i,-0.000992-0.00091505i,-0.0017848-0.00065742i,-0.0011015-0.00060909i,-0.00080603-0.00046531i,-0.00075813-0.00045588i,-0.00032154-0.00029731i,0.00034762-0.00039366i,0.00028657-0.00061049i,0.00042064-4.7592e-05i,0.0015785+0.00085799i,0.0016766+0.00062025i,0.0010479+7.4783e-05i,0.00058697+0.00070335i
0.0021841+0.00093625i,0.0011029+0.0016637i,0.00030212+0.0007204i,0.00017828-0.00060657i,8.2239e-05-0.00031316i,0.0011675+0.00028325i,0.0021015-0.00038785i,0.001918-0.00063996i,0.0017068+0.00015953i,0.00091107+0.00030314i,1.1908e-05+0.00023407i,7.5662e-06+0.00059387i,-5.1314e-05+0.00045829i,-0.00089943+0.0006919i,-0.0013674+0.0010878i,-0.0011532+9.5905e-05i,-0.00051975-0.00012363i,-3.9715e-05+8.2265e-05i,0.00069653-0.00068032i,0.00050933-0.0009838i,-0.00078136-0.00075648i,-0.00080605-0.00062393i,1.4945e-05-0.00026706i
-5.3067e-05+0.002202i,-0.0016209+0.00030368i,-0.0013259+0.00041982i,0.00047192+0.0015126i,0.001745+0.00073809i,0.0025362-0.00093222i,0.0026395-0.00098361i,0.0015447-0.00040347i,1.3833e-05-0.00023355i,0.00017215+4.332e-05i,9.1056e-05-0.00026996i,-0.00027099-0.00032366i,-0.00041307+0.00038434i,-0.00028913-0.00060317i,-0.0003055-0.0014203i,-0.00045091-0.00061621i,-3.4213e-07+4.6315e-05i,0.00027095+0.00080788i,0.00026298+0.0012648i,-0.00021334+0.00041286i,-0.00019677-6.6374e-05i,0.0003152+0.00072245i,5.8867e-05+0.0011116i
-0.00098051-0.00055458i,-0.0006923-0.00089212i,0.00010179-0.00063855i,-0.00040286-0.00039868i,0.00043423-0.00070902i,0.001754-0.0007811i,0.0024253-0.00088148i,0.0017269-0.00098601i,0.00059992-0.00010962i,0.00055603+0.0003231i,0.00068926-0.00027093i,0.00060646+0.00039533i,0.00068842+0.0010179i,-0.000394-0.00031437i,-0.00070303-0.0013612i,-0.00034445-0.00040936i,-0.0014931-0.00019515i,-0.0023096-0.00066162i,-0.00065582+0.00011237i,0.00023968+0.00065983i,0.00027985+0.00013818i,0.00030063-0.00037961i,-0.00014075-0.00058002i
-1.7972e-05-0.0015651i,0.00071243-0.0013629i,0.0009863-0.0005859i,0.0010725-0.00054417i,0.0013748-0.00019463i,0.002059+0.00070771i,0.0026893-0.0002223i,0.0019653-0.0015256i,0.00043586-0.00071486i,-0.00045143+0.00012784i,-0.00062642-5.9738e-05i,-0.00024713-0.00051855i,-0.0003183-0.00061774i,-3.4184e-05+2.1066e-06i,0.00015336+0.00027898i,2.1092e-05+0.00023641i,0.00015112-0.00011195i,7.1258e-05-0.00025654i,0.00019846+0.00016767i,0.00043391+0.00012304i,0.0010042+0.00053862i,0.0003604+0.00048305i,-0.00024222-0.0003224i
0.0022405+0.0025123i,0.0024878+0.0017044i,0.00265+0.00059833i,0.0019502-0.00042014i,0.0016072-0.00091404i,0.002211-0.00039518i,0.0024834-0.00033255i,0.0014246-0.00088045i,-0.00013562-0.0010384i,-0.00074946-0.0010797i,-0.0012602-0.00091961i,-0.0017636-0.00058132i,-0.0011272-2.5736e-05i,-0.00055189+0.00010961i,-0.00048294-0.00032741i,7.7512e-05-0.00010547i,0.000191+0.00045435i,-0.00048134-0.00010925i,-0.0004138-0.00092339i,0.00015538-0.00051654i,0.00039674+0.00014529i,0.00010034+0.00035267i,-7.0708e-05+0.00052801i
3.1823e-05-0.00068417i,-0.00056099-0.00052899i,-0.0015589-0.00074386i,-0.0016404+0.00099885i,-0.00045868+0.0015446i,0.001456+0.00015623i,0.0023529-0.00060744i,0.0017959-0.0007605i,0.001153-0.00094014i,3.3257e-05-0.00095182i,-0.00058124-0.00036803i,-0.00046732+0.00031659i,0.0002628+0.00074246i,0.0004152+0.00058995i,-0.00029611+0.0003039i,-0.00075+0.00019479i,-0.00088854+0.00028302i,-0.00068984+0.00038916i,-0.00063157+0.00019384i,-0.00033757+0.00015235i,-0.00010451+0.00036394i,-0.00040094+0.00022413i,-0.00019392+0.00034i
0.0016778+0.00077324i,0.0013638-0.00040147i,0.0017794-0.0019577i,0.0022271-0.0024081i,0.0033422-0.0023737i,0.0038697-0.0026193i,0.0027028-0.0017265i,0.0011573-0.0008555i,0.00018166-0.00024517i,-0.00018632+9.549e-05i,-0.00022549+0.00020669i,2.2444e-06+0.00056721i,-8.724e-05+0.00078076i,-0.001086+0.00044379i,-0.0014504+0.00013298i,-0.00070004-0.00039179i,0.00036644-0.00072467i,0.00038669-0.00044031i,-5.3409e-05-0.00015206i,0.00045319+0.00020903i,0.0012138+0.00057424i,0.00068437+0.00058365i,0.0001353+0.00048703i
0.0017475+0.00079041i,0.00088937-0.0011177i,0.00031521-0.0018861i,-0.00025829-0.0015774i,-0.00027239-0.0013378i,0.0012284-0.0012366i,0.0017048-0.0018077i,0.00068115-0.0016918i,-0.00015392-0.00093048i,-0.00041224-0.00081597i,-0.00022199-0.00050085i,-5.2534e-05+0.00058743i,-0.00094951+0.001682i,-0.0011329+0.00097257i,-0.0011117+0.0003331i,-0.00067547+0.0004928i,5.7644e-05-0.00023042i,9.4678e-05-0.00066324i,-0.00030389-0.00029226i,-0.00046675+0.00056754i,-3.0207e-05+0.0010543i,-0.00044236+0.00047252i,-2.7234e-05-0.00027215i
0.00077338+0.00011803i,0.0012077+0.00021594i,0.00092343+0.00048974i,0.00064591-5.2827e-05i,0.00074154-0.0010761i,0.001016-0.0017708i,0.0010131-0.0018226i,0.00073495-0.0012937i,0.00092333-0.00019987i,0.00059459+0.00040854i,-0.00024161-0.00054127i,-0.00092106-0.00055399i,-0.00071767-0.00013708i,1.0136e-05-0.00015944i,-0.00033393-0.00032646i,-0.00028479-0.00028968i,0.00022287-9.7001e-05i,-0.00030521-0.00021199i,1.0732e-05-0.00032022i,0.00018508-0.00025722i,-0.0002689-0.00022435i,0.00042146+0.00010977i,0.00072231+0.00067717i
-0.00055857-0.0013391i,-0.0020785-0.0017069i,-0.0029037-0.0010891i,-0.0016555-0.00067434i,0.00082559+0.00040691i,0.002173+0.0012475i,0.0022917+0.00023906i,0.0019984-0.0011156i,0.00054393-0.0012253i,-0.00047978-0.00016153i,-0.00075222+0.00046105i,-0.00019195+0.00076847i,0.00028954+0.00076283i,0.00036761+0.00070671i,0.00063328+0.0010711i,8.3108e-05+0.00074424i,-0.00031613-2.6466e-05i,2.8052e-05-0.00023962i,5.5529e-05+0.00025101i,0.0001049+0.00013228i,-0.00013567-2.4804e-05i,-0.0003926+0.00014404i,-0.00028484-0.00064093i
0.000881-0.00095911i,0.0013642-0.0020011i,0.0028113-0.0015292i,0.0027277-0.0010257i,0.00075546-0.00033071i,0.00011218-0.00044812i,0.00058248-0.001219i,-0.00055927-0.0014408i,-0.0011692-0.00044979i,2.0547e-05+0.00035945i,0.00066935+9.0432e-05i,9.9681e-05+9.4879e-05i,-7.5493e-05+0.00058786i,-0.00023786-0.00036626i,-0.0010051-0.0011395i,-0.00099085-0.00024659i,-0.00035842+0.00011919i,-0.00066442-0.0001342i,-0.00044439-0.00036724i,0.00053837-0.00010481i,0.0008777+0.00045319i,3.5919e-06+0.00011322i,-0.00074548+0.00015544i
0.00047038-0.0018203i,-0.00052981-0.002418i,-0.001534-0.0011533i,-0.0017477-0.00028265i,0.00020177+0.00025277i,0.0025376+0.00063692i,0.0025171-0.00075702i,0.0017235-0.0015078i,0.00065353-0.00068588i,-0.00034652-0.00045771i,-0.0010218-0.00080897i,-0.00087717-0.00014605i,-4.8123e-05+0.00056221i,-0.00027695+0.00056195i,-0.00076643+0.00051763i,-0.00050155+0.00049168i,-0.00016928+1.9972e-05i,0.00048244-0.00010946i,0.0009297-0.00023004i,0.0010805-0.00060284i,0.00046228+0.00012647i,0.00034408+0.00073894i,0.00014683+0.00038962i
0.0018484+0.00054331i,0.0024091+0.0012888i,0.0027366+0.00057608i,0.0023433-4.9034e-05i,0.0012055-0.00067367i,0.00063577-0.00082598i,0.00084669-0.00059329i,0.00016082-0.00035761i,3.4058e-05-0.00026911i,0.00043451+9.2448e-06i,-0.00032408+0.00024159i,-0.0011217+0.00014573i,-0.0013899+0.00039824i,-0.00059567+0.0011717i,4.2291e-06+0.0015786i,0.00024661+0.0013909i,-0.00021789+0.0013168i,-0.00063265+0.0012194i,-0.00024194+0.0011598i,0.0010971+0.00076271i,0.0012413-0.00030028i,0.00066552-0.00030894i,0.00043494-0.00050281i
0.00092133+0.0014002i,0.00062045+0.00048414i,0.00070193-0.0012445i,0.00018674-0.0026823i,-0.00019092-0.0025774i,0.00081041-0.0015548i,0.0010379-0.0010154i,0.00019835-0.00097502i,0.00010738-0.0012325i,0.00040182-0.0016119i,-0.00045895-0.0014498i,-0.0009685-0.0012491i,-0.0011675-0.00042587i,-0.0019188+0.00069356i,-0.002082+0.00070888i,-0.0011837+0.00068471i,-0.00049763+0.00092901i,-0.00053408+0.00045407i,0.00038692+1.4957e-06i,0.0011245+0.00030485i,0.00032631+0.0010707i,-0.00080903+0.00078959i,-0.0013742+0.00029188i
-0.00074053+0.00050716i,-0.0017331-0.00038647i,-0.0011137-0.0013304i,0.00059209-0.0020954i,0.00080592-0.0025845i,-4.8227e-05-0.0019586i,3.0335e-05-0.0012981i,0.00024911-0.00075285i,0.00030289+0.00028687i,0.00085021+0.00013112i,0.00029141-0.00070548i,-0.00017457-0.00039555i,-0.00074531+0.00019518i,-0.0014238+0.00023327i,-0.0009965+0.00018999i,-0.0002248-0.00031335i,0.00084937-0.00036995i,0.00063807+0.00022649i,-0.00026921+0.00021586i,-0.00029737+0.00035413i,0.00031206+0.0012698i,0.00044244+0.0009512i,-9.198e-05+0.00029423i
0.0059975+0.0014909i,0.0061066+0.00039874i,0.0064591-0.0011907i,0.0050411-0.0030456i,0.0023618-0.0044165i,0.00044772-0.0040283i,0.00039536-0.0018494i,0.00074688-4.1587e-05i,0.0013388-5.8484e-05i,0.0011932-0.00080772i,0.00055977-0.0010978i,-0.00033133-0.0006455i,-0.0010294+8.0868e-05i,-0.0016428+0.00023932i,-0.00237+7.2814e-05i,-0.0017099-2.5864e-05i,-0.0007201-0.00010898i,-8.4362e-05-0.00092767i,-5.4906e-05-0.0010008i,0.0011343-8.4033e-05i,0.0019778-0.00049512i,0.00099216-0.0013018i,0.000328-0.00073601i
-0.0053942-0.0041557i,-0.0072193-0.0030846i,-0.010432+0.00075949i,-0.0073084+0.0049678i,-0.0021937+0.0071441i,0.0029555+0.0049329i,0.0041664+0.0011135i,0.0013164-0.00064808i,-0.0011454-0.00066404i,-0.00085242+0.00059861i,0.00026497+0.0012683i,0.00014372+0.00083978i,0.001024+0.00038251i,0.0032352-4.6612e-05i,0.0040393-0.00043781i,0.0024249-0.00086809i,0.00074056-0.00081376i,0.00010721-0.00071165i,-0.00046041-0.0013457i,-0.00083519-0.00099286i,-0.0010551-3.4695e-05i,-0.00060332-2.9456e-05i,-6.8183e-05-0.00014624i
-0.0025596-0.00033502i,-0.0042103+0.00089605i,-0.0044458+0.0022551i,-0.002125+0.0025032i,0.00043916+0.0017513i,0.002296+0.00086734i,0.0035484+2.5549e-05i,0.0022938-8.828e-05i,-2.0323e-05+0.00012927i,-0.00063882-5.3171e-05i,-0.00056627-0.0002999i,6.7106e-06-1.0132e-05i,0.0011251+0.00051698i,0.001872+0.00082115i,0.0018384+0.00076568i,0.0007408+0.00014772i,0.00016564+0.00015368i,8.6469e-05+8.1088e-05i,-7.7984e-05-0.00034847i,0.00026003-0.00037142i,0.00095473-8.9014e-06i,0.00094238-3.0059e-05i,0.00037979-0.0001295i
-0.0010142-0.0013961i,-0.0012404-0.0020643i,-0.00089331-0.0020785i,-0.00029349-0.0021304i,0.00065439-0.00087344i,0.0017447-7.9369e-05i,0.0020513-0.00027875i,0.0012282-0.00040815i,-0.00015579-0.0010746i,-0.0010228-0.00035752i,-0.0010602+0.00058707i,-0.00066029-0.00011563i,-0.00052753-0.00025829i,0.0001984+0.00025948i,0.00052231+0.00023025i,0.00051689+0.0003922i,7.5809e-05-0.00013177i,5.3288e-05-0.0007671i,0.0013223-9.6574e-05i,0.0017597+0.00044716i,0.0012787+0.001024i,0.00056208+0.0013413i,-0.00013201+2.6407e-05i
-0.00073096-0.0029803i,-0.0021057-0.0028539i,-0.0029258-0.00054636i,-0.0017676+0.00093455i,0.00030848+0.0013325i,0.0019533+0.0016539i,0.0031063+0.0010243i,0.0017297+0.0001118i,-0.00050714+0.00027659i,-0.001346-2.8198e-05i,-0.0013712-0.00042131i,-0.00090694-8.6523e-05i,-0.00036234+0.00066239i,1.332e-06+0.0012961i,3.8156e-06+0.0013481i,-0.00033725+0.00044233i,-0.00023431+3.412e-05i,0.00046182-0.00068172i,0.00048338-0.00089417i,-0.00062134-0.0004617i,-0.0010776-3.8592e-05i,-0.00057706+0.00041208i,-0.00030469+0.00015753i
0.00091613-0.0009989i,0.0009516+0.00026949i,0.00010285+0.00045319i,0.00034858-0.00014987i,0.0011631-0.0006614i,0.0023633-0.00074135i,0.0029423-0.00069933i,0.0023265-0.0011298i,0.00080848-0.0013976i,3.7471e-05-0.0011997i,-0.00072693-0.00094486i,-0.0012886-0.00079838i,-0.00034052-0.00075651i,0.00051321-0.00087686i,0.0010781-0.00035428i,0.00041595+7.1166e-05i,-0.0010363+0.00058539i,-0.0012652+0.00074553i,-0.0010794-7.5807e-05i,-0.00063857-2.9936e-05i,-0.00023588+0.00084703i,-3.7178e-05+0.00082412i,-0.00014706+0.00038479i
-5.4178e-05+0.00039889i,-0.0011811+0.00093345i,-0.0018736+0.0011996i,-0.00061523+0.0012815i,0.00073045+0.00088033i,0.0015589+0.0011647i,0.0026347+0.00048056i,0.0015647-0.00072294i,0.0005089-0.00052701i,0.00074981+3.8659e-05i,0.0014761-0.00033692i,0.001262-0.00045423i,0.00079793+0.00053227i,0.0012709+0.00090075i,0.00076627+0.00048396i,-0.00011715-0.00018379i,-0.00032345-0.0012034i,-0.00026214-0.0020918i,-0.00034522-0.0014419i,-0.00010108-0.00056586i,-0.00016654-0.00058057i,-0.00019706-0.00083748i,0.00033024-0.00072626i
