0.0027993+0.00062908i,0.0027719-0.0014155i,0.0017364-0.0037988i,-0.00015233-0.0048503i,-0.0023409-0.0033219i,-0.0038079-0.00069392i,-0.0023172+0.000825i,3.4641e-05+0.0012722i,0.0010477+0.00057415i,0.0013325-0.00024539i,0.00032496+0.00027051i,-0.00076005+0.0011288i,-0.0012807+0.00084426i,-0.001813+0.00053194i,-0.0018459+0.001278i,-0.0011306+0.0014555i,-0.00033774+0.00063417i,-0.0004127-0.00014771i,-0.00046421+3.5012e-05i,0.00062568+0.00078222i,0.0011036+0.0009412i,0.00089667+0.00028237i,0.0013467-6.7684e-05i
-0.0024849-0.00028462i,-0.002689+0.00071104i,-0.0018897+0.0015076i,-0.00084408+0.0016964i,0.00037124+0.0013951i,0.0010776+0.00024644i,0.00022404-0.0018829i,-0.00071391-0.0020888i,-0.00097971-0.00021838i,-0.0010153+0.00067069i,-0.00083704+0.00016835i,0.00016238-0.00018626i,0.00073674+0.00044592i,0.0010165+0.00068225i,0.00099691-0.00028337i,0.0006871-4.1318e-05i,0.000449+0.00082888i,-0.00012868+0.00098809i,-0.00093076+0.00083329i,-0.0012796+0.00023309i,-0.00084004-0.00026433i,-0.00063986-0.00042323i,-0.00014843-0.00045975i
0.00075109+0.0010977i,0.00091744+0.0010061i,0.00098341-3.2983e-05i,0.00048941-0.00067192i,-7.5136e-06-0.00070647i,-0.00064625-0.00052765i,-0.00066208-0.00050992i,-0.0001199-0.00050229i,0.00025765-0.00031896i,0.0003104-3.257e-05i,-0.00027758+4.3987e-05i,-0.00040542-0.00014845i,-0.00021705-0.00063375i,-0.00047606-0.00057441i,-0.00086552-9.5439e-05i,-0.00078119+0.00027695i,-0.0001504+0.00016167i,1.8368e-05-0.00023044i,0.00029403-5.5852e-05i,-7.4711e-05+0.00078791i,-0.00045232+0.00098284i,-0.00030295+0.00058903i,-0.0007976+0.00047014i
0.00054356+0.00045961i,0.00048358+0.00077987i,6.523e-05+0.0013066i,-8.6502e-05+0.00027117i,-0.00013056-0.00062521i,-8.8945e-05-0.00079131i,0.00034949-0.0012196i,0.00020598-0.0013389i,-3.5208e-05-0.00092497i,0.00072963-0.00090742i,0.00087297-0.00046299i,0.00029628+0.00040123i,-0.00014008+0.00018576i,-0.00037499+8.4941e-05i,0.00056795+0.00038943i,0.00065796+0.0002105i,0.00024011-0.00035351i,2.4671e-05+0.00021778i,-0.0004574+4.7902e-05i,-0.00064446-0.0013427i,-0.00028023-0.00090637i,-0.00018437+0.00031063i,-0.00083625+8.552e-05i
-0.0025329+0.0012428i,-0.0022143+0.0015372i,-0.001006+0.0013776i,-0.00026334+0.0010367i,6.4092e-05+0.00026453i,0.00081246-0.00090073i,0.0005143-0.0016435i,-0.00035369-0.00055341i,-0.00040961+5.1394e-05i,-0.00050523+0.00027473i,-0.0012149+1.2679e-05i,-0.00064693-0.00046991i,0.00049332+1.6932e-05i,0.00040035+4.0607e-05i,-0.00040232-0.00065105i,-0.0010627-0.00077041i,-0.00052761-0.00036289i,0.00030329+9.5704e-05i,-0.00042361+0.00076165i,-0.00079673+0.00090076i,-0.00061864+0.00046433i,-0.00068538-0.00078238i,-0.000416-0.00077491i
-0.00085256-0.00032131i,-0.0014418-0.00082566i,-0.00087344-0.00081673i,-0.00077097-0.00078978i,-0.0011861-0.00021733i,-0.0011077-0.00015531i,0.00010684+0.00016415i,0.00086377+0.00043664i,0.00072207+0.00024654i,0.00073428-3.0834e-05i,0.00073438+0.00025203i,4.4623e-05+0.0003237i,-0.00058989+0.00010733i,-0.00034864-0.00039301i,0.00019192-0.00089714i,0.00013821-0.00023989i,-0.00015837+0.00022928i,-2.2509e-05-0.0003497i,0.0004009+3.4048e-05i,0.00032234+8.1361e-06i,-3.5653e-05-0.0004389i,0.00049107-0.00074173i,0.00094894-0.00055037i
-0.0013909+0.00053791i,0.00022029+0.0010924i,0.0015104+0.0015868i,0.0018896+0.0010296i,0.00085367+0.00025829i,0.00060031-0.00082005i,0.00063508-0.0019071i,-0.00023319-0.0011934i,0.000134+0.00031466i,0.001379+0.00060542i,0.0012398+0.00034501i,0.00068485+0.00039895i,-0.00042576+0.00042781i,-0.001445-0.00043141i,-0.00098512-0.0007492i,-0.00047247-0.00034908i,-0.00078292-0.0010273i,-0.00087809-0.00096359i,-0.00066802-2.1508e-05i,-0.00025207+0.00051729i,-0.00014437+0.00045625i,-2.001e-05+0.00033615i,0.00032195+0.00039743i
0.0007867+0.0027342i,0.0016323+0.0029396i,0.0018905+0.0015104i,0.001273-0.00034128i,0.00027421-0.0011872i,-3.4159e-05-0.0013808i,-0.00013614-0.0013088i,-0.00015687-0.0012228i,0.00013298-0.0011208i,0.00049263-0.00054055i,4.2074e-06-0.00011381i,-0.00091771+0.00028957i,-0.00083772+0.00066995i,-0.0012167+0.00041343i,-0.0022325-3.5121e-05i,-0.0016869-5.4137e-05i,-0.0003093-7.8431e-05i,0.0006407-0.00032532i,0.00068925-0.00033484i,0.000662+4.1732e-06i,0.00093512-0.00043553i,0.0011093-0.00073663i,0.00053893-0.00024131i
0.00055322+0.0014209i,0.00029718+0.001186i,0.00012235+0.00072985i,-7.6668e-07-0.00013985i,-0.00041703-0.00084043i,9.1281e-05-0.0013589i,0.00044148-0.00093056i,0.00031636-0.00033812i,0.00014487-0.00022201i,-0.00025805-0.00020711i,-0.00063316-4.5338e-05i,-0.00035352+0.00035851i,0.00048327+0.00073804i,3.9022e-05+0.00096003i,-0.0011703+0.0010548i,-0.00082639+0.00040018i,0.00011435-4.8558e-05i,-0.00014403-0.0003058i,0.00014616-0.00058604i,0.00098208-0.00031306i,0.0008784+8.173e-05i,0.00040796+0.00026894i,-0.0003291+0.00015049i
-0.00054478+0.0015346i,-0.0001444+0.00041993i,-0.00010015-0.00023847i,-0.00030678-0.00011812i,-0.00079926-0.000828i,-0.00070774-0.0015753i,-0.00047267-0.0010125i,-0.00073256+0.00049437i,-0.00078678+0.0010395i,-0.0001938+0.00063109i,-3.911e-05+0.00053681i,-0.00090226+0.00045342i,-0.00095366-0.00010139i,-0.0007705-0.00049189i,-0.00051605-0.0002262i,3.743e-05+0.00022419i,7.7056e-05+0.00021142i,0.00057642-0.00034479i,0.00065877-0.00031438i,-0.00012891-9.6071e-05i,1.4791e-06+0.00019494i,-0.00033943+0.00011658i,-0.00016816+0.00014766i
-0.00098027-0.0019233i,-0.0021268-0.0022257i,-0.001404-0.0022848i,-0.00037216-0.0012855i,-0.0011081-0.00042267i,-0.00067139-0.00052966i,0.00041705-0.00060182i,0.00014081-0.0004765i,-0.00059351-0.0001606i,-0.00045354+0.00035083i,-0.0001608+0.00051306i,-0.00063918+0.00043798i,-0.0010232+0.00025226i,-0.00091282+0.00035357i,-0.00076952+0.00051886i,-0.00032503+0.00056191i,-0.00017469+0.00028178i,0.00023205-0.00089952i,0.00074002-0.0012607i,0.00084013-7.0489e-05i,0.00049681+0.00096341i,0.00022565+0.0011418i,-0.00035198+0.00064662i
