-0.0077186-0.00036062i,-0.0082694-0.00054374i,-0.0066182+0.0012907i,-0.0047228+0.0034481i,-0.0035062+0.0029197i,-0.0017834+0.0015193i,-0.00094554+0.0010745i,-0.00069643+0.0011483i,-7.5583e-05+0.00038415i,0.0010687+0.00060159i,0.0015744+0.0010728i,0.0012479-0.00025132i,0.00044178-0.0016969i,-0.00046487-0.0010608i,-0.0010281-0.00035874i,-0.0010984-0.00025883i,-0.00081302-0.0001217i,-0.00041722-0.00038957i,-0.00048663-0.00045574i,-0.00068077+0.0002729i,-0.0005816+0.00077193i,-0.00045126+0.00034859i,5.8815e-05+5.9307e-05i
0.0014449-0.00056651i,0.00085185-0.0011702i,-4.6646e-05-0.0014608i,-0.0007374-0.00090977i,-0.00068446-0.00061764i,-0.00023535-0.00032083i,-0.00018341+0.00038777i,1.4409e-05+0.001008i,0.00042381+0.00091584i,-0.00086625+0.00025373i,-0.001404+1.474e-05i,-0.00016816+0.00081906i,-0.00036766+0.00063369i,-0.00043814+2.0139e-06i,0.0004047+0.00042678i,0.0011987+8.0535e-05i,0.001066-0.00053086i,3.93e-05-0.0012154i,-0.00072863-0.0021373i,-0.00058917-0.0020972i,0.00055147-0.0011367i,0.00091669-0.00023325i,0.00018128+0.0001156i
0.00071778-0.0023168i,-0.00063389-0.0024384i,-0.0018943-0.0020655i,-0.0023323-0.0012088i,-0.0025493-0.00067891i,-0.0021285-0.00076215i,-0.0011128-0.00096284i,-0.00089977-0.00059989i,-0.0010818-0.00025737i,-0.00035311-0.00034754i,-0.00011269+0.00018773i,-0.00017353+0.0009025i,0.00044524+0.00085398i,0.00023042+0.00036128i,-0.00036428-3.6985e-05i,-0.00029982-0.00039579i,-0.00015837-0.00049213i,-0.00039442-0.00089644i,-0.00043577-0.0011324i,-0.00032941-0.0004721i,-4.5234e-05-3.2321e-05i,0.00054034-0.00012336i,0.00043172-0.00020304i
1.9389e-05-0.00078484i,-0.00077594-0.00041807i,-0.00080567-0.00029668i,-0.00055947-5.5562e-05i,-3.9573e-05+2.5204e-05i,0.00069166-1.589e-05i,-8.5412e-05-0.00068346i,-0.00087535-0.00065486i,-0.00026951-0.00050809i,-0.00011234-0.00065114i,-0.00048831-0.00052365i,-0.00049134-4.3902e-05i,-0.00029916+0.00013958i,-0.00070692-0.00024i,-0.0013623-0.00035494i,-0.00075497+0.00024703i,-0.00050795+0.00059577i,-0.00015777+0.00024443i,0.00033364-0.00027956i,-1.451e-05-0.00040183i,-0.0001817+6.8727e-05i,-0.00027491-0.0002694i,0.00040014-0.00030409i
-0.0003146+0.001409i,0.00012779+0.0012256i,0.0011896+0.00094629i,0.0016832-0.00019633i,0.0016615-0.0011107i,0.00062378-0.0018642i,-0.00042668-0.001668i,-0.00039226-0.00098739i,-0.00040189-0.0010508i,-0.0011432-0.0020805i,-0.0013505-0.0011655i,-0.0018308+0.00071022i,-0.0020591+0.00053049i,-0.0014042+0.00053806i,-0.0010084+0.0010267i,-0.0010405+0.0007566i,-0.00067895+4.1602e-05i,-0.00075899-0.00012393i,-0.00065674-0.00010517i,0.00033979+0.00025932i,0.00089116+0.0008252i,0.00040258+0.00086647i,-0.00018947+0.00028998i
0.0028262+0.00090743i,0.0023296+0.00042576i,0.0021555-0.00053807i,0.0011164-0.00087045i,-6.7283e-05-0.00091991i,-0.0011184-0.00065898i,-0.0015372-0.00010305i,-0.0015021-0.00020605i,-0.0011757-0.00068194i,-0.0017345-0.00046502i,-0.0023331+9.5332e-05i,-0.001339+0.00057414i,-0.0010025+0.0011393i,-0.00038436+0.0012686i,-0.00040998+0.00080154i,-0.00060563+0.00029128i,2.8113e-05+0.00032296i,0.00065793+0.00036377i,0.00056869+0.00043634i,0.000168+0.000364i,-0.00017013+0.0002565i,-4.9746e-05+0.00035878i,0.00046217+0.00039089i
0.00083134+7.6543e-06i,0.0013014+0.00055247i,3.6253e-05+0.00028472i,-0.0011788-0.0012636i,-0.0020315-0.0016802i,-0.0014877-0.00102i,4.7191e-05-0.0010861i,0.00027378-0.00025907i,0.00018538+0.00044781i,0.00013628+0.00018841i,-0.00017768+0.00013659i,-0.00055888+0.00068374i,-0.00055352+0.00067322i,-5.2637e-05-0.00037026i,0.00048097-0.00091399i,0.0010407-0.00056705i,0.00086489-0.00042616i,-0.00065005-0.00060786i,-0.0013006-0.00065943i,-0.00062428-5.7177e-05i,-0.00047469-0.00031586i,0.00010656-0.00090135i,0.00061428-0.00027479i
9.371e-05+6.0441e-05i,0.00019479-0.00038492i,0.00051005-0.00060962i,0.00051953-0.00060736i,0.00023873-0.00039234i,-0.0010311-0.00032507i,-0.0017806-0.0002663i,-0.0020187-1.1351e-06i,-0.0017264-0.00016922i,-0.00092074-0.00036467i,-0.00056106-0.00049646i,-0.0004862-8.9662e-05i,-0.00067125+0.00078084i,-0.00066062+0.00061181i,-0.0005356-0.00046042i,-0.00023588-0.00056067i,0.0001774+0.0003244i,0.00081259+0.00031462i,0.0010459-1.7709e-05i,0.00046995-0.00064614i,0.00055416-0.0010385i,0.00053826-0.00099512i,0.00030651-0.00087692i
-0.00029735+0.00074107i,-0.00032428+0.0011589i,0.00018516+0.0013051i,0.0011208+0.0012495i,0.00080009+0.0015115i,0.00015687+0.0011645i,0.00013619+0.00060674i,0.00016136+0.00025246i,-0.00048916-0.00036575i,-0.0010945-0.00024178i,-0.00088667-0.0002437i,-0.00098518-0.00044528i,-0.001013-0.0007142i,-2.0366e-05-0.00012537i,-7.0312e-06+0.00013297i,-0.00013822-0.00094431i,0.00045544-0.00095645i,9.3399e-06+0.00020527i,-0.00056376+0.00018217i,-0.00089826-0.00049141i,-0.00050609+0.00014031i,-6.3031e-05-0.00014208i,-0.0004252-0.00086278i
-0.00073318-0.00094607i,-0.00076493-0.0013735i,-0.00058243-0.0014224i,-0.00017861-0.0019904i,0.00087575-0.0019535i,0.00060475-0.0019586i,-9.8956e-05-0.0019864i,-0.00048873-0.0019536i,-0.0010257-0.0016934i,-0.00093327-0.0010087i,-0.00036506+9.9204e-06i,0.00018656+0.0006433i,0.00066888+0.00088565i,0.0001746+0.0007368i,-0.00032379+0.00018229i,-0.00026992+0.00040697i,-0.00033623+0.00056269i,-0.00044477+1.8409e-05i,-0.00028301-0.00059158i,3.4475e-05-0.00031172i,9.4938e-05+0.00065928i,0.00015937+0.00065562i,-0.0001885-0.00033221i
-0.0012442+0.00083329i,-0.00089382+0.0011677i,-0.00080289+0.00099881i,-0.00083518+0.00094603i,-0.00045866+0.00066816i,-8.2317e-05+7.2838e-05i,4.8231e-05-0.00037248i,-3.6559e-05+0.00016672i,0.00048+0.00021362i,0.00056931+0.00012443i,-6.8136e-05+0.00041143i,-0.00042057+0.00031234i,-0.00034416+0.00036269i,-6.3681e-05+0.00028761i,-0.00016588+0.00011127i,-0.0003654+0.00022508i,-0.00028177+0.0003111i,-0.00028337+0.00036347i,0.00038561-0.00021718i,0.00027849-0.00069372i,-0.00069875-0.00083731i,-0.00055104-0.00070462i,-0.00019629-5.4032e-05i
