-0.00042841+0.00021459i,0.00036672-0.0010758i,-0.0010006-0.00085348i,-0.0012822+0.00051437i,-0.0011326+0.002004i,-0.00068395+0.0022127i,0.00016298+0.0016404i,0.00096678+0.00089729i,0.0012893+0.00020041i,0.0016532-0.0004761i,0.001761-0.00048379i,0.00054726-0.00065008i,-0.00011496-0.0010591i,2.1024e-05-0.0013648i,-0.00039823-0.00049242i,-0.00048909+0.00026709i,-0.00015631+0.00028071i,-0.00038807+8.6022e-05i,-0.00048284-0.00027132i,-0.00047598-0.00016686i,-0.00058731+2.2632e-05i,-0.00020517+0.00068817i,0.00052017+0.00096893i
0.001351+0.00087501i,0.0015117+0.0010476i,0.0017651+0.0010443i,0.0011446+0.0018228i,0.00068034+0.0012099i,0.00075391+0.00082628i,0.0009207+0.00091861i,0.0013031+0.00028838i,0.00097603-0.00031921i,0.0003301-0.00050511i,0.00017409-0.0005279i,9.4949e-05-0.00027536i,-0.00047769-8.5783e-06i,-0.00077192+0.00011616i,-5.3809e-05+5.6872e-05i,0.00012089-0.00043732i,7.9354e-05-0.00059717i,0.00086895+0.00012475i,0.00041235+0.00034518i,-0.00059994-0.00054948i,-0.00078525-0.0010771i,-0.00037862-3.3055e-05i,-0.0004057+0.00037538i
0.00034727-4.8602e-05i,-0.0011735-0.001588i,-0.0012838-0.0013623i,-0.0015566-6.1517e-05i,-0.00059062+0.00050546i,0.0001381+0.0010406i,0.00054905+0.00071045i,0.0003747+0.00040228i,-0.00022727+0.00033559i,0.0001045+0.00044184i,0.00011497-0.00020179i,-3.0889e-05-0.00019714i,-0.00028701+0.0005012i,-0.00035555+0.00025803i,-0.00016865-9.1629e-06i,0.00020844+0.00014955i,0.00041384+0.0006453i,-0.00023795+0.00024694i,-0.00043576-0.00085354i,-0.00031632-0.0011451i,-0.00038175-0.00083365i,-0.00042911-0.0002768i,-0.00065211-5.1873e-06i
0.00013725-0.00028252i,0.00067446+0.00087546i,0.00071947+0.0018936i,-2.4344e-06+0.0019129i,-0.0004007+0.0010285i,0.00029979+0.0001526i,0.00025403+5.8705e-05i,0.00048533-0.00019455i,0.00058412+1.2995e-05i,0.00044198-0.0003723i,0.00033592-0.0004217i,-0.00028966+0.00015153i,-0.00035545-6.6286e-05i,-0.000158+0.00054704i,-0.00041891+0.0011925i,-0.00018234+0.00090981i,0.00047873+0.00087619i,0.0003444+0.00055345i,5.4235e-06-0.0002237i,-0.00015994-3.5647e-06i,-0.00024239+0.00024454i,-0.00037166-8.6977e-05i,-7.522e-05-0.00017745i
0.0014375+0.0014622i,0.0021801+0.00071463i,0.0024341-3.7974e-05i,0.0016137-0.00075808i,0.00064015-0.00068231i,-5.572e-06+0.0004728i,0.00022884+0.0011441i,0.00094107+0.00060759i,0.0011397+0.00047548i,0.00071089+0.00058873i,-0.0002318+0.00054089i,-0.0010598+0.00021384i,-0.0014591+0.00029755i,-0.00079791+0.0010761i,-0.00025819+0.0017132i,0.00021516+0.0011901i,0.00070602+0.00018723i,0.00025832-0.00012294i,0.00012431+1.1674e-05i,-0.00042896+0.00034916i,-0.00054761+0.00013861i,-0.00037442-0.00029775i,6.8527e-05-0.00029833i
-0.0012596-3.7547e-05i,-0.0013735+0.00022964i,-0.0017675+0.00024814i,-0.0019145+0.0010789i,-0.0013121+0.0014036i,1.467e-05+0.0011728i,0.0012632+0.00033844i,0.0011555+2.548e-05i,0.0004426-0.00017814i,0.00023237-6.7382e-05i,0.00013255+0.0006759i,0.00023384+0.00031667i,0.00022333-0.00011337i,-0.00015668+0.0004644i,-0.00016691+0.00061237i,-6.3578e-05+0.00055519i,-0.00033923+0.00037884i,-0.00054021-0.00081802i,-0.00017884-0.00074916i,-0.00054933-0.00062523i,-0.00086041-0.0011668i,-0.00043549-0.0010342i,-0.00070741-0.00017984i
0.0022298-0.001348i,0.0016215-0.00072061i,0.00089841-0.00092774i,-0.00029461-0.00091365i,-0.0013455+0.00014458i,-0.00010124+0.0013535i,0.0011223+0.0019783i,0.00070761+0.0008855i,0.00052085-0.00017208i,0.00038669-0.00041747i,-0.00021016-0.00063881i,-0.00018921-6.1787e-05i,0.00016968+0.00065897i,0.0004259+0.00055695i,0.00046893+0.00025589i,0.00066224-2.3306e-05i,0.00046118+2.6229e-05i,-0.00035375+3.0536e-05i,-0.00085029-0.00042318i,-0.00081348-0.00058574i,-0.00055029-0.00052887i,-0.00057967-0.00062091i,-0.00043921-0.00029562i
0.0010372+0.00093417i,0.00063814+0.0012975i,0.00042252+0.00093672i,0.00032777+0.0013707i,0.00022532+0.00089567i,0.00053522+0.00021828i,0.00074692+6.3578e-07i,0.00069502-0.00024085i,0.00058023-0.00013952i,0.0006644-0.00044403i,-8.4613e-05-0.00093434i,-0.0009688-0.00031255i,-0.00069509+0.0010975i,-0.00056369+0.0013623i,-0.0010923+0.0011083i,-0.00046293+0.00064974i,0.000475+0.00031844i,0.00080981-0.00013697i,-0.00015525-0.00039612i,-0.000606-0.00058921i,0.00012023-0.00067282i,0.0001606-0.0003796i,-5.4393e-05+0.00016755i
7.922e-05+0.00072078i,5.0429e-05+7.9659e-05i,0.00041768-9.5994e-05i,0.00075164+0.00016188i,0.0012875+0.0010761i,0.00095105+0.0017427i,-0.00015375+0.0014793i,0.00044261+0.00067532i,0.0010233+0.00031048i,0.0009488+0.00032152i,0.00039031+0.00031661i,-0.00056744+0.00010769i,-0.00076532-0.00035917i,-0.00066364-0.00010292i,-0.00051388+0.00049472i,-0.00039059+0.00053052i,-0.00053385+0.00035989i,-0.00037666+1.9022e-05i,0.0001156-0.00078412i,0.00065723-0.00042543i,0.0010683+0.00032383i,0.001192+0.00019074i,0.0011164+0.00015633i
-0.00099653+4.6556e-05i,-0.0008883+0.0015363i,-0.00035106+0.001672i,-0.00012536+0.00086302i,0.00018344+8.9324e-05i,0.00011071-0.00030537i,-0.00011634+0.00024331i,0.00053317+0.00032381i,0.00086249+0.00029077i,0.0002673+0.00056611i,-0.00012102+0.0003624i,-0.00013023+2.8422e-05i,-0.00012378+0.00047639i,-0.00029099+0.0013457i,0.00029577+0.00088594i,0.00052062+4.1346e-05i,0.00058292+0.00024846i,0.0006469+0.00059871i,0.00062906+0.0004874i,0.00039108+0.00036301i,0.00051944+0.00018231i,0.00050254-0.0003457i,0.00034767-0.001129i
0.0020199+0.00063182i,0.0013145-0.00060056i,0.00078197-0.0017599i,0.00078897-0.0014518i,0.0010148-0.00079682i,0.00014113+0.00036431i,-0.00035459+0.0010981i,3.8474e-06+0.00040154i,0.00041147-1.8198e-05i,0.00093875-0.00027987i,0.0015446-0.00050348i,0.0012023-0.00039866i,2.4827e-05-0.00021299i,-0.00013736+0.00051135i,0.00040738+0.00085486i,0.0011193+0.00050565i,0.0012821+0.00021743i,0.0014197+6.2339e-05i,0.0016466-0.00018421i,0.0011475-0.00070254i,0.00047888-0.00036744i,8.9104e-06+0.0001234i,-0.00031954+0.00026071i
