0.0012513-0.00068483i,0.0011182-0.00085248i,-0.00032455-0.0018026i,-0.001578-0.0024991i,-0.0018231-0.0020389i,-0.0011991+0.00038858i,0.00077688+0.0017297i,0.0016495+0.0013044i,0.0020466-0.00034688i,0.0020278-0.0015095i,0.0014064-0.0011081i,0.00025123-0.0006145i,-0.00067808-3.7086e-05i,-0.001064+0.0012027i,-0.0012026+0.00094411i,-0.00060971-1.488e-05i,-0.00029803-0.00036322i,2.9853e-05-0.00014327i,-0.00042709+0.00073087i,-0.0003981+0.00058773i,0.00012122+0.00036946i,0.0001545+0.00012918i,0.00012344+0.00017804i
0.00094247-5.339e-05i,0.0008597-0.00089108i,0.00066801-0.00089318i,-0.00068067-0.00028938i,-0.001992-0.00030228i,-0.0017949-0.00043772i,-0.0011463-0.00051166i,-0.00040985-0.00079001i,-4.8787e-06-0.00050412i,0.00050971-0.00060434i,0.00027248-6.6722e-06i,-0.00063439+0.00087455i,-0.00067688+0.00068873i,0.00027046+0.00058603i,0.00048894+0.00062077i,-0.00035869+0.00066727i,-0.00049497+0.00039344i,-0.00049674-0.00011139i,-5.0376e-05-0.00091479i,0.00071783-0.00046468i,0.0013442+0.00084062i,0.0011437+0.00063451i,-4.548e-05-0.00034483i
0.00034397+0.0011537i,-3.082e-06+0.0014308i,0.00036223-4.9406e-05i,0.00090401-0.00078183i,0.0014286-0.00077483i,0.0010386-0.00079902i,0.00047926-0.00087975i,0.00087852-0.00091957i,0.0005021+2.9927e-05i,1.0362e-05+0.0001957i,-0.00014667-0.00094023i,-0.00055345-0.0011704i,-0.00058987-0.00048257i,-4.9334e-05-2.9879e-05i,3.8271e-05-0.00014606i,0.00024754-0.0010059i,-3.6785e-05-0.0013321i,-0.00029609-0.00079469i,0.00012053+4.8418e-05i,-5.2614e-05+0.00089322i,-0.00032831+0.00095087i,6.3761e-06+0.0016837i,-0.0004698+0.0016602i
-0.00077406+5.2218e-05i,-0.0003194+0.0002719i,0.00042444+0.00024701i,6.3771e-05+0.00051257i,-0.00032082+0.00063173i,-4.7111e-05+0.00089841i,-0.00070179+0.00087747i,-0.00069605+0.00012005i,-0.00071566-5.1063e-05i,-0.00038632+0.00025346i,4.8152e-05-0.00010216i,0.0006481+0.00046899i,0.00062056+0.00058444i,-0.00016982+2.1232e-05i,-0.00026258+7.7417e-05i,-0.00032694+0.00021436i,-8.1586e-05-3.3914e-05i,0.0006065-0.0005727i,0.00059767-0.0004222i,-4.9012e-05+0.00061345i,-0.00016478+0.00028952i,5.3347e-05-0.00054726i,0.00043783-0.00019053i
-0.00053995-0.00095895i,9.1977e-05-0.00076515i,-0.00014546-0.0013014i,-0.0004995-0.0014294i,-0.00047396-0.00055553i,-5.385e-05-0.00035454i,4.5262e-05-0.00033661i,-0.00036358+0.0003025i,-0.0002662+0.00049448i,-0.00016081+0.00012907i,0.00057573+0.00022987i,0.0013307+0.00093683i,0.00086506+0.0010024i,-9.9101e-07+0.00048574i,0.00037096+0.00029366i,0.00081747+0.00038317i,0.00068385+0.0001065i,0.00038149-0.00021016i,-0.0002496+0.00012824i,-0.0005559+0.00098302i,-0.00033016+0.0018368i,0.00043512+0.00093722i,0.0011086-0.00031966i
0.00041272+0.00024569i,0.00033388+6.8706e-05i,-0.00030443-0.00081941i,-1.7933e-05-0.00097475i,0.0001121-6.5778e-05i,-0.00040086+0.00098323i,-0.00046346+0.00049921i,9.5579e-05-9.1859e-05i,0.00051499+0.00017536i,0.00060974+0.00043446i,0.00049332-5.6343e-05i,0.00050852-0.00050189i,0.00023403-0.00017457i,-0.00054868-0.00038404i,-0.00038226-0.00085869i,9.3299e-05-0.00086873i,-2.4941e-05-0.0005188i,-7.2099e-05+0.00047965i,0.00060131+0.0010292i,0.00041879+0.00057205i,-0.00053119-0.00017669i,-0.00022677+9.0397e-07i,-0.00031339+0.00068766i
-0.00053745-0.00152i,-0.0001543-0.0025451i,-0.00050046-0.0015853i,-0.00046253-0.00052784i,-0.00018295-0.00028908i,-0.00030695+0.00038758i,-0.00051013+0.00090208i,-0.0011179+0.00059097i,-0.00054429+0.00026341i,0.00049142+0.00085028i,-0.00011479+0.00084949i,-0.00018051+0.00062794i,-0.00035802+0.00068832i,-0.0010294+0.00041655i,-0.00019736+0.00035303i,0.00033409+0.00058341i,0.00022561-0.0002708i,0.00041273-0.00056124i,0.00047553+0.0003719i,0.00013824+0.0010155i,-0.00033718+0.0005993i,-0.00054005-9.7e-05i,-0.00024853-0.00011915i
-0.00073393-0.00058666i,-0.00034589-0.0011767i,0.00017028-0.0016317i,5.5339e-05-0.00014427i,-0.00028938+0.0015802i,-0.00033326+0.0012961i,0.00037077+0.00028143i,-0.00031956-0.00026358i,-0.0012466-0.00021666i,-0.001383+0.00016628i,-0.0010129+0.00047497i,9.8541e-05+0.00033201i,0.00093433+0.0011965i,0.00070418+0.00099635i,0.00011112-0.00024724i,-0.00070595-0.00064342i,-0.0013349-0.00081147i,-0.00055015+6.003e-06i,-0.00026461+0.00057643i,-0.00047157+0.00061677i,5.706e-05-2.1778e-05i,0.00034645-0.00050075i,0.00034783-5.6611e-05i
-0.0016568+0.00019812i,-0.00084728-0.00033064i,-0.00049281+2.8939e-05i,0.00035434-4.9289e-06i,0.00077089-0.00068978i,0.00057665-0.00095727i,0.0011665-0.0011733i,0.0011118-0.00063864i,4.0237e-05-4.6629e-05i,0.00030569+9.6897e-05i,0.0006739+0.00047822i,0.0008215+0.00050264i,0.00070398+0.00012058i,0.00045992-0.00098415i,0.00046647-0.00093899i,0.00036892-5.5327e-05i,-0.00040726-0.00055932i,-0.0013897-0.00065724i,-0.0015695-0.00035568i,-0.0011335-0.00037897i,-0.0001193+7.914e-05i,0.00075278+0.00038783i,0.000471+0.00087892i
0.00046757+0.00042599i,0.00082236+9.8549e-08i,0.0012177-0.00068748i,0.00038379-0.0016281i,0.00029265-0.0017729i,0.00066181-0.00076979i,0.00018696-0.00015338i,-0.00022717+0.00010753i,-0.00017716+0.00035368i,-0.0004968+0.00028766i,-7.7717e-05+0.00064461i,-6.8991e-05+0.0010169i,-0.0009679+0.00031935i,-0.00075974-0.00012586i,-0.00033728-0.00030358i,-0.0004853-0.0009279i,-7.4441e-05-0.0010404i,-0.00017484-0.00065016i,-0.00013638+0.00028069i,-8.5777e-05+0.0014487i,-0.000746+0.0012426i,-0.00045446+0.00069892i,0.00026209+0.00037486i
0.0012267+0.0010775i,0.0013465+0.00052814i,0.0014918+0.00098208i,0.0010769+0.00094684i,0.00048259+0.00020601i,1.0852e-05+0.00032321i,0.000242+0.0010861i,-0.00031302+0.00066348i,-0.0005678+4.5045e-05i,0.00069621+7.2415e-05i,0.0010113+0.00037195i,-0.00010832+0.00039287i,-0.00038504-0.00032129i,-0.00076172-0.0003329i,-0.00071558-0.00027235i,-0.00057523-0.00077838i,-0.0011526-0.00057342i,-0.00070464-0.00027698i,-0.00023783+4.1822e-05i,-0.00018361+0.00086957i,-0.00034581+0.001009i,-0.00022363-0.000273i,7.3229e-06-0.00081727i
