-0.0017603+0.0018119i,-0.0011351+0.0018028i,-0.0012538+0.00064822i,-0.0014225-0.0009799i,-0.0023237-0.0015157i,-0.0027576-0.00024773i,-0.0016503+0.0011352i,-0.00016956+0.0011495i,0.00047357+0.00063042i,0.00022298-8.747e-05i,-5.612e-06-0.00012389i,0.00024498+2.0878e-06i,0.00062284-0.00023433i,7.6912e-05-0.00026894i,-0.00028002+4.9679e-05i,-0.00038874+0.00054054i,-0.00050123+0.00050574i,-0.00047993-0.00010184i,-0.00017495-0.00073202i,-0.00020425-0.00059679i,-2.2619e-05+0.00020392i,0.00029268+0.0005647i,0.00025248+0.00029883i
-0.00060256-0.0003935i,-0.0014367-0.00099146i,-0.0023729-0.0016999i,-0.0029062-0.0021635i,-0.0027598-0.00216i,-0.0012948-0.00093145i,-0.00018487-1.9258e-05i,-0.0002807-0.00013659i,-0.00034119+5.1244e-05i,-6.964e-05+0.00016864i,-0.00012976+0.00020976i,0.00036154-0.00039461i,0.00052246-0.00057765i,-1.2057e-05+0.00021406i,0.00029603+0.00051484i,0.00063019-5.6066e-05i,0.00011592-0.00054473i,8.6005e-05+0.00017954i,0.00074761-0.0002406i,0.0013306-0.0008776i,0.00098829-0.00018714i,0.00040689-0.00013817i,-0.00012215-0.00099001i
-0.00027055-0.00010273i,-0.00032581-3.347e-05i,-0.00071452-0.00018307i,-0.0010421+0.00017348i,-0.0014094-0.00063037i,-0.00035917-0.001749i,0.00078841-0.0012306i,-0.00013167+5.4457e-05i,-0.001134+0.00022937i,-3.7531e-05+0.00012031i,0.00097826-0.00032246i,0.0012585-0.00040972i,0.0011753+0.00053889i,0.00035289+0.00070036i,-0.00069366+0.00050077i,-0.0012741+0.00021977i,-0.00035205+0.0003622i,0.00055751+0.00080753i,0.00026027+0.0006926i,-0.00021403+0.00024462i,-0.0001512+0.00012262i,8.2433e-05+0.00032688i,-0.00014893+0.00096038i
4.4275e-05+0.00017847i,-0.00083979+0.00014576i,-0.0021103-0.00080932i,-0.0034621-0.0017158i,-0.0031474-0.0024527i,-0.0018862-0.0020772i,-0.0012055-0.001671i,-0.00010748-0.0010223i,0.00042778-0.00042621i,0.00028595+9.8755e-05i,0.0005329+0.0005453i,-0.00022825+0.00075541i,-0.00077377+0.00083605i,-0.00017793+0.00048764i,-3.9304e-06-0.00043407i,-5.2273e-06-0.00057657i,0.00073245-0.00014795i,0.00087125-0.00020353i,0.0002528-0.0001455i,0.00044845+0.00063718i,0.00054781+0.0004494i,9.6317e-05+8.3034e-05i,0.00032835+0.00023973i
-0.0013036+0.001719i,-6.2271e-05+0.0012395i,0.00028528+0.00024374i,-0.00037222-0.0007159i,-0.00099776-0.0015293i,-0.00067076-0.0018915i,0.00011471-0.0012821i,1.924e-05-0.0005823i,3.1225e-05-0.0002233i,0.00036282-4.4646e-05i,0.00042151-0.00026016i,0.00037414+6.2278e-05i,-0.00035172+6.7292e-05i,-0.00080903-0.00053027i,-0.0004294-0.0003219i,-0.00016618-0.00010337i,-6.052e-05+5.2906e-05i,2.6943e-05+0.0001922i,-1.1817e-05+0.00028021i,0.00021283+0.00013561i,0.00084896+0.00031559i,0.0012582+0.00047647i,0.0012272-0.00032134i
0.00068087-6.2891e-07i,0.00096959-0.0011466i,0.00050894-0.0019286i,-0.00011288-0.0018372i,-6.6687e-05-0.0015075i,8.0415e-05-0.000965i,-2.5533e-05-0.0011463i,-6.2876e-05-0.0016038i,-0.00010902-0.0010909i,-0.00083835-0.00032952i,-0.0011907-0.00058732i,-0.00045419-0.00057853i,0.00035779-0.00064797i,0.00017904-0.00079375i,-0.00076604-0.00010518i,-0.00050464+0.000293i,4.4738e-05-2.6968e-05i,0.000176+0.00031912i,0.0001386+0.000499i,-0.00033709+0.00044094i,-0.00028998+0.0005693i,0.0001523+0.00017256i,0.00075139+0.0002965i
0.0020756-0.00015106i,0.0021226-0.00036126i,0.0021106-0.0011782i,0.00083146-0.0018954i,-0.00066781-0.0022828i,-0.0012252-0.0025151i,-0.00099485-0.001813i,-0.00046319-0.00106i,-0.00015598+0.00031759i,-0.00048979+0.00080968i,-0.0001986+0.00014718i,0.00044069+0.00018561i,0.00043104+0.00078144i,-0.00019381-8.299e-05i,-0.00042771-0.00084157i,-0.00011757-0.00050951i,0.00012689-0.00056674i,0.00034828-0.00078255i,0.00058522-0.00011473i,0.0006134+4.0991e-05i,8.5479e-05-0.00070657i,-0.00021918-0.00048769i,0.00016937-0.00044463i
0.0015272+0.0018082i,0.0013789+0.0011598i,0.0019283+0.00022856i,0.0016063-0.00095033i,0.00068359-0.0021365i,0.00020864-0.0020369i,-0.00033584-0.001402i,3.4142e-05-0.00086083i,0.00079156-0.00052964i,0.00067049+3.2841e-05i,-0.00020294+0.00074372i,-0.00079438+0.0006295i,-0.00067305-1.2509e-05i,0.00057817-0.00056936i,0.00043327-0.00064728i,0.00023824-0.00027791i,0.00051607-0.00016358i,0.00047317-0.00042746i,0.00058451-0.00042701i,-0.00010634+0.0001322i,-0.00053188+6.4208e-05i,-0.00014556-0.00015081i,0.00082408+1.002e-05i
0.0005437-0.0012447i,0.00053018-0.0010551i,-0.00081483-0.0018372i,-0.0019036-0.0025086i,-0.0022573-0.0025301i,-0.0021666-0.0013537i,-0.0012668-0.0006696i,-7.3165e-05-0.0012187i,0.00010432-0.00026106i,-0.00015754+0.00066652i,-0.00029657+0.00048056i,-0.000738+9.3658e-05i,-0.00073625+8.2275e-05i,0.00011106+0.0001643i,0.0010369-0.00020168i,0.00073186-0.00034387i,0.0004928+1.6651e-05i,0.00060688+0.00010888i,0.00016029+0.000315i,-0.00014782+8.2643e-05i,0.0001243-0.00033665i,0.00023136-0.00057903i,0.00026419-0.0010352i
0.00066853-0.0010939i,0.00017436-0.00018397i,-8.7461e-05-0.00015011i,-0.00059667-0.00023446i,-0.0015491-0.00029552i,-0.001709-0.00028771i,-0.0013307-0.00015228i,-0.00083693+7.4661e-05i,-0.00039153+0.00047643i,7.7595e-05+0.00016473i,0.00074567-3.7149e-05i,0.00056102+0.00055724i,0.00018856+0.00054926i,-0.00029835-5.4039e-05i,-0.00054822+0.00015279i,0.00072775+0.00078488i,0.0015716+0.00041941i,0.00085034+0.0001793i,-0.00011765+7.3653e-05i,-0.00076375+0.00027864i,-0.00066252+0.00046775i,-0.00048338+0.00030201i,-0.00018007-6.1748e-05i
0.00021184-0.00029372i,-0.00068829-0.00013855i,-0.00089943-0.00094634i,-0.00066295-0.0020827i,-0.00074179-0.0016182i,-0.00047032-0.00083275i,-0.00040403-0.00080116i,-0.00045215-0.00069663i,-0.00013289-0.00064453i,0.0002052-0.00039901i,0.00018219-0.00011211i,0.00018069-0.00045421i,-8.6e-05-0.000764i,-0.00050099-0.00081034i,-0.00053886-0.0005828i,-0.0004484+0.00016546i,-0.00021192+0.0003984i,-0.00011282+0.00085819i,-0.00028731+0.0014098i,-0.0006767+0.0010405i,-0.00054062-9.5999e-06i,-0.00015978+1.192e-05i,0.0001119+0.00044082i
0.00072286-0.00096178i,0.001346-0.00077978i,-7.2501e-05-0.001766i,-0.0021946-0.0030204i,-0.0022164-0.002756i,-0.0012059-0.0015852i,3.9042e-05-0.00095137i,-3.7234e-05-0.00049425i,-6.2522e-05+1.464e-05i,0.00037049+0.00080239i,0.00050755+0.0010054i,0.00063957+0.0010054i,0.00026404+0.00047035i,0.00026814-0.00043638i,0.00023991-0.00028805i,7.9799e-05+3.2024e-05i,3.6632e-06+4.6257e-05i,1.0184e-06-0.00056151i,-0.00049366-0.00041298i,-0.00028954-0.0002822i,0.00018848-0.00056153i,0.00029029-0.00028711i,8.7452e-05+0.00032285i
0.0015642+0.0019117i,0.0027587+0.00052692i,0.0025048-0.00014231i,0.0014247-0.00046626i,0.00037741-0.00096101i,-0.00060202-0.0016543i,-0.00089163-0.0021203i,-0.00029303-0.0015845i,-0.00012053-0.00027263i,0.00096153+0.00047632i,0.0019014+0.00040024i,0.0011059+1.4073e-05i,0.00072372-6.9619e-05i,0.00071814+1.0337e-05i,0.00029265+4.5882e-05i,-8.4977e-05-0.00033587i,-0.00043964-0.00070711i,-0.00028229-0.00067458i,0.00058593-0.00022065i,0.00098727-0.00047842i,0.00048218-0.00046866i,0.00032054+4.0256e-05i,0.00077318-8.7642e-05i
0.0015225+0.00014528i,0.0012921-9.3594e-05i,0.0009291-0.0019729i,-0.0004484-0.0029169i,-0.0010292-0.0030797i,-0.0004411-0.0021233i,-0.00019154-0.001282i,2.8033e-05-0.001084i,0.00018098-0.00038769i,-8.199e-06+0.00016018i,0.00032876+0.00043308i,0.00034788+0.00053209i,-3.5228e-05+0.00042944i,-9.5256e-05+0.00011606i,-0.00044822-0.00035535i,-0.00072672-0.00059634i,-0.00024635-0.00084311i,9.5559e-05-0.00035478i,0.00016241-0.00052238i,0.00056477-0.0014103i,0.00045042-0.0011051i,-0.00010307-0.00053837i,0.00030382+0.00027194i
3.6181e-05-0.001951i,0.00073005-0.0013389i,0.00046984-0.0017063i,-0.00085358-0.0019895i,-0.0020372-0.0022699i,-0.0017894-0.0026821i,-0.0009259-0.0021154i,-0.00080351-0.00097632i,-0.00027718+0.0003851i,-4.7925e-05+0.00084865i,-0.00043833+0.0005528i,-0.00069383+0.00067973i,-0.00072889+0.00036259i,-0.00035787+0.00014181i,0.00014582+0.00025547i,0.00056149-0.00015126i,-0.00052605-0.00054963i,-0.0011205-0.00042919i,-0.00026254-0.00089601i,0.00029256-0.00065826i,-0.00032683-0.00017424i,-0.0011361+0.0002393i,-0.00095958+0.00021275i
0.00063251-0.00041208i,0.0010246-0.00011089i,-4.0273e-05+0.0008068i,-0.00057145+0.00050225i,-0.00035617-0.0004017i,0.00034087-0.00067289i,0.00058018-0.00061099i,0.00042069-0.00073281i,0.00017828-0.00045499i,-0.00015456-0.00018079i,-0.00023474+0.00023747i,1.5487e-05+0.00062482i,0.00040784+0.00024791i,0.00019499+0.00040014i,0.00017417+0.00054025i,0.00062488-0.00061044i,0.00065457-0.0011879i,0.00040505-0.0011698i,-0.00011505-0.0011383i,-0.00021708-0.00089643i,-0.00040584+0.00013788i,-0.0004569+0.00041031i,-0.00011959-7.9859e-05i
0.001346+0.00098817i,0.0014258+6.5024e-05i,0.0018864-0.00085241i,0.0010715-0.0025466i,-0.00012112-0.0028034i,-0.00060886-0.0019913i,-0.00017054-0.0015019i,-0.00055942-0.00061716i,-0.0010753-0.00057156i,-0.00045375-0.0010129i,-8.7354e-05-0.00048382i,-0.00012528-0.00033995i,0.00011588-0.00035835i,-0.00030237-0.00015612i,-0.00058564-0.00039116i,0.00051742-0.00070033i,0.00067072+1.6864e-05i,-5.4854e-05+0.00047995i,-0.00013349+0.00067913i,-0.00041796+0.0007252i,-0.00046556+0.00026284i,0.00026708-3.4608e-05i,0.00053005+0.00020733i
-0.0010196+2.5569e-05i,-0.00053147+0.00068328i,-2.9046e-05+0.00032637i,-0.0010158-0.0012968i,-0.001968-0.0016782i,-0.001358-0.0016674i,-0.00067476-0.0014199i,-0.00017598-0.00015028i,0.00057348+0.00036219i,0.00057252-9.2126e-05i,-1.6446e-05+4.4131e-05i,0.00027692+0.00014067i,0.00054001-0.00030111i,4.0114e-05-1.2344e-05i,-0.00024297+0.00079545i,-0.00021898+0.00064501i,8.7074e-05-0.00036201i,0.00041889+0.00011307i,0.00042304+0.00014428i,0.00055983+0.00023074i,0.00050173+6.6144e-05i,0.00014045-7.0701e-05i,-6.2679e-05+0.0011456i
