-0.0030908-0.00017152i,-0.0029562-0.00052619i,-0.0036461-0.00021383i,-0.003891+0.0015241i,-0.0024336+0.0024945i,-0.00083269+0.0016612i,8.8641e-05+0.0012328i,0.0012072+0.0010419i,0.0015372+0.00084885i,0.0018567+0.00093961i,0.0021996+0.00037243i,0.0013555-0.0010993i,0.00075457-0.0017781i,0.00032664-0.001561i,-8.7068e-05-0.0016433i,-0.00022869-0.0011947i,-0.0003076-0.00027254i,-0.00054046+0.00010122i,-0.00063612-0.00010877i,-0.00042489-0.0003079i,-0.00032472+0.00044968i,-0.00064852+0.00097212i,-0.00092938+0.00044326i
0.0013601+0.0012397i,0.00086975-6.2653e-05i,0.0025039-0.00042127i,0.0026158-3.9585e-05i,0.00023784-0.0003955i,-0.00074543-0.00053354i,-0.00062268-0.00044901i,-0.0001889+0.00021448i,0.00045085+0.00062781i,0.00010627+2.745e-05i,-0.00058973-0.0010168i,-0.00050782-0.0015728i,-0.00025418-0.00092784i,0.00014314-0.00036188i,0.00037082-0.00013037i,0.00015711+0.00043028i,-8.6362e-05+0.00047964i,0.00016839-4.1051e-05i,0.00021984-0.00038787i,-0.00034622-0.00058864i,-0.00034077-0.00045737i,1.5311e-05-0.00060367i,-0.00013226-0.00052442i
-0.00096863-0.00078044i,-0.00058762-0.0012288i,-0.001097-0.00065763i,-0.0013559+6.5302e-05i,-0.0011934+0.00059726i,-0.00096171+0.00070659i,-0.00024871+0.00031121i,0.00028791+0.00049656i,0.00061345+0.00086337i,0.0013316+0.00061525i,0.00091175-0.00030673i,-0.00030742-0.0010374i,-0.00049488-0.00077122i,0.00066424+6.7222e-05i,0.00089693+0.00036258i,-0.00058288+0.00024333i,-0.0016022+2.3542e-06i,-0.00082718-0.00054809i,-2.2668e-05-0.00029492i,-0.0002285-4.3518e-05i,0.00025187-0.00026749i,3.5946e-06-0.0001836i,-0.00086086+0.00051647i
0.00055066+0.0014785i,0.00090178+0.0004546i,0.0016944-0.00097754i,0.0020362-0.00082331i,0.0011602+0.00083206i,-0.00028687+0.00083004i,-0.00051997+0.00023691i,0.00032063+0.0001845i,0.0010797+0.0007757i,0.0013223+0.00073484i,0.00043128+0.000459i,-0.00041003-0.00036752i,-0.00050674-0.00080444i,-0.00067706-0.00048386i,-0.0001835-0.00071054i,0.00016153-3.6903e-05i,-8.2141e-05+0.00085454i,-0.00057414+0.00072606i,-0.00050019-0.0002679i,-0.00025061-0.0010685i,0.00013138-0.00059222i,0.00077373+1.4799e-05i,0.00056603+0.00035031i
0.00012024-0.00018398i,-0.0013275+0.00095012i,-0.0019363+0.00037667i,-0.0010684+2.3601e-05i,-0.00065634+7.2423e-05i,-0.00065961+0.00070119i,-0.00061581+0.00030653i,-0.00034554-0.0006693i,-1.2653e-05-0.00090508i,0.00036582-0.00027744i,0.00031307-0.00014984i,0.00025914-0.00029487i,0.0002988-0.00072776i,4.0342e-05-0.0003538i,3.7843e-05+0.00028438i,-0.00033821-0.00048688i,-0.0013167-0.00097385i,-0.0016173-0.00074054i,-0.00055621-0.00035723i,5.6222e-05-0.0004388i,9.1688e-05-0.00028081i,0.00030038-0.00050099i,0.00065417-0.0013693i
0.00042926+0.001735i,-5.7721e-05+0.0014961i,0.00074086+0.00060404i,0.0010197-0.00077936i,0.0010318-0.0015951i,0.00042431-0.0011828i,-0.00072876+0.00019971i,-0.00071401+0.0010606i,0.00068281+0.0011273i,0.0010873-0.00017468i,0.00032463-0.00096325i,3.5261e-05-0.00055142i,9.4019e-05-0.00012069i,-0.00071762-3.8776e-05i,-0.0014633-0.00026092i,-0.00074626+0.00067634i,0.00061332+0.0008979i,0.0012978+0.00019556i,0.00047989+0.00030652i,-0.00051547+0.0005962i,-0.00016575+0.00022883i,0.00048026-9.0917e-05i,0.00069215+0.00016925i
0.00077705-0.0009288i,0.00038028-0.0012215i,0.00027779-0.00035564i,-0.00028281+1.8808e-05i,-0.00059799+0.00011248i,-0.00015234+0.00070782i,0.0007398+0.00081517i,0.00086182+0.00096631i,4.0812e-05+0.00053812i,-0.00034328+0.00023938i,-0.00052842+0.00016176i,-0.00042387-0.00058007i,-0.00032932-0.00074734i,-0.00034388-0.00074498i,-0.0010494-0.00050254i,-0.0012813-0.00029616i,0.00020406-0.00019532i,0.00047736+0.00062515i,-4.0699e-05+0.00078388i,0.00027642-7.5286e-05i,0.00012304-0.00080575i,-0.00061465-6.5447e-05i,-0.00089398+0.00013865i
-0.00058631+0.0015276i,-0.0002785+0.0018197i,-0.00038016+0.002037i,-0.00078052+0.0013012i,-0.00012928+0.0011122i,0.0013286+0.00087658i,0.001467+0.00052709i,-3.5529e-05+0.00071654i,-0.00053432+0.0013047i,0.00010932+0.00085864i,7.7553e-06-3.4074e-05i,0.0006981-0.00026386i,0.0016104-0.00032684i,0.0013012-0.00039173i,0.00051338+0.00020781i,-0.00032084+0.00028691i,-0.00060854-0.00033617i,0.00016252-0.00077309i,0.00034703-0.00022502i,0.00031086+0.00031492i,-1.5195e-05-0.00022083i,-8.0839e-05+0.00014872i,0.00078208+0.00053297i
-0.00066268-0.00055671i,-0.00059713-0.00060839i,-0.00028648-0.00098468i,-0.00053039-0.00044385i,-0.00057186+0.00020335i,0.00042282+0.00033736i,0.0011247-0.00017927i,0.0014736-0.00021984i,0.0016711+0.00052957i,0.0010848+0.00095105i,0.00063436+0.00031739i,0.00061383-0.0009216i,0.00085241-0.00069605i,0.00078362+0.00015442i,-0.00025354+0.00014319i,-5.1603e-05-0.00016923i,0.00017129+0.00025287i,-0.00014644+0.00035924i,4.8062e-05-0.00025814i,-2.3754e-05-0.00067616i,0.00032757-0.00054046i,-0.00013128+4.6717e-05i,-0.0010452+0.00020539i
-0.00084803+0.00035269i,-0.00085099+0.00024802i,-0.00059169+0.0012061i,8.0079e-05+0.0018599i,0.00029448+0.0017391i,-5.0368e-05+0.00093675i,0.00033106+0.00076528i,0.00023741+0.00063568i,0.00037886+0.00019266i,0.0014544-0.00014492i,0.0012039-0.00026764i,-0.00014809-0.00080257i,-0.00046822-0.0011708i,5.7932e-05-0.0014342i,0.0005702-0.0013159i,-1.1577e-05-0.00056689i,-0.00038759-0.0002649i,-8.7639e-05+0.00018554i,-0.0004938+0.00083156i,-0.00061133+0.0002879i,-0.00022494-0.00035567i,0.00020049-0.0001279i,0.00036317+0.00060555i
0.00095818+0.0012611i,0.0009158+0.00079095i,0.00030463-0.00037363i,-0.00038536-0.00099327i,-0.00038111-0.00091711i,-0.00025213-0.00099036i,-1.4183e-05-0.0012926i,-0.0001087-0.001142i,0.00017404-0.00056374i,0.00036152-0.00010611i,-0.00049561-3.0855e-05i,-0.0011579-0.00026808i,-0.00069893-0.00085391i,0.00031701-0.00092547i,0.00044632-0.00040255i,-0.00021533-0.00026654i,-1.5031e-06-0.00010283i,0.00042565-0.00014818i,0.00033287-0.00021232i,0.00064437-0.0002618i,0.00030154-5.3694e-05i,-0.00059017+0.00077606i,-2.5782e-05+0.0013272i
