0.00098814-0.00042028i,3.7074e-05-0.0010427i,3.2371e-05-0.0015786i,2.4342e-05-0.0016119i,-0.0010744-0.0010143i,-0.0013481+0.00069972i,-0.00062196+0.0014351i,0.0004684+0.0012683i,0.0014167+0.00074553i,0.0010945+0.00032887i,0.0010483+9.4811e-06i,-4.4015e-05-0.00054822i,-0.0013824-0.00094226i,-0.00046694-8.7338e-05i,2.4268e-05+0.00043589i,0.00012636+0.00020603i,0.00075613+5.8513e-06i,0.00085788-0.00046607i,0.00033053-0.00041271i,-0.00018658-5.6142e-05i,-0.00044217-0.00035859i,-0.00068873-0.00073807i,-0.00030779-0.00075645i
-0.0010946-0.00051506i,-0.0016106-0.00049692i,-0.00079959+0.00019387i,0.00026503+0.001181i,0.0012884+0.0010661i,0.001496+0.00058939i,0.00057009+0.00037136i,-0.00046524+0.00055886i,-0.00053481+0.00011353i,-0.00043959-0.00013026i,-0.00017923+0.00039523i,0.00064286+0.0011758i,0.00074191+0.0010364i,0.00010214+0.00025756i,-0.00016433-0.00040648i,9.8998e-05-0.00030967i,-0.00032265-0.00047132i,-2.9567e-05-0.00080283i,0.00036005-0.00067029i,-0.00027798+3.1119e-05i,-0.00033816-0.00023857i,0.00048522-0.00047358i,0.00083391-5.9221e-05i
0.00035834+0.0016369i,0.00039514+0.0013863i,0.0012793+0.00029762i,0.001718-0.00027116i,0.0024015+0.00022068i,0.0027921+0.00015548i,0.0015422-5.2565e-05i,0.00051211+0.0010621i,0.001099+0.00099096i,0.0010179-4.097e-05i,0.00042807-0.00014617i,3.7248e-05-0.00042722i,-0.00010701-0.00042075i,-0.00077432-0.00012446i,-0.0011334-0.00035094i,-0.0011702-0.00080414i,-0.00010964-7.0786e-05i,0.00044739+0.00089509i,0.00050297+0.00016312i,0.00063414-0.0006875i,0.00030579-0.000849i,-0.00014333-0.00053147i,-0.00048952-0.00023248i
-0.00076816-0.0014409i,-0.0013673+0.00092422i,-0.0017294+0.0025618i,-0.00021579+0.0015907i,0.0011277+0.0005999i,0.00072587+0.00028936i,0.00047141+0.00053447i,0.00036804+0.0013096i,0.00045046+0.00097369i,0.00054208-0.00010784i,0.00030818+9.1783e-05i,0.00032847+0.00059674i,0.00029408+0.00045231i,-3.5191e-05-0.0004744i,-0.00019868-0.00082319i,-0.00030475-0.00055209i,-0.0001977-0.00065969i,-0.00012769-0.00070029i,-0.00041336+0.00011841i,-0.00027+0.00021553i,-0.00034664+0.00011322i,-0.00077456+0.00043174i,-0.00039961+0.00040747i
-0.00059334-8.3612e-06i,0.00081825-0.00027614i,0.0012256+0.0011604i,0.0012808+0.0015972i,0.0023641+0.0007483i,0.0022202-0.00011765i,0.00087537-0.00067246i,-0.000269-0.00023368i,-0.00060897-0.0004534i,-4.7845e-05-0.00056009i,9.1569e-05+8.8371e-05i,1.2879e-05+0.00034558i,0.0006419+0.00057771i,0.0014242+0.00081694i,0.0010847+0.00062743i,0.00073354+0.00019848i,0.00082832-0.00019216i,0.00045515-0.0003715i,-9.5992e-06-0.00022181i,-0.00013976-0.00065906i,-0.00017372-0.0011941i,0.00012814-0.0007876i,0.00024482-9.2998e-05i
-0.0012737-0.0014145i,-0.0017504+0.00012869i,-0.0021153+0.00074801i,-0.00086058+0.00056341i,0.00065183+0.0010641i,0.0010271+0.0014126i,0.00096163+0.00086362i,0.0012586+0.00045444i,0.0012323+0.00014104i,0.00078288+0.00055285i,0.00076787+0.00075565i,0.00095686+1.4382e-05i,0.00098986-0.0001369i,0.00061206-0.00010724i,-0.00046609-0.00045345i,-0.00088964-0.00028208i,-0.00047378+0.00015574i,0.0002456-0.00015404i,0.001402-0.00039908i,0.0014644-0.00018853i,0.00063967+0.00019372i,-0.0003706+4.5967e-05i,-0.00062224-0.00033627i
-0.00080896-0.00026902i,-0.0013704+0.00062229i,-0.00093197+0.00095315i,0.00035129+0.0013114i,0.00058382+0.0016018i,0.00024959+0.00021917i,0.0002061-0.0010342i,0.00026463-0.00076692i,0.00074113+0.00014314i,0.00055546+0.00010225i,-5.5351e-05-0.0005693i,-2.151e-05-0.00016095i,0.0001777+0.00049934i,-2.2327e-05+0.00036315i,-0.00046782+0.00019305i,-0.00028676+0.00025803i,1.923e-05+0.00025635i,0.00048583+0.00079683i,0.00095896+0.000748i,0.00082148-0.00016987i,0.00015138-0.00028886i,-0.000395-4.2216e-05i,-0.00048593+0.00013758i
-0.00046458+0.00028504i,-0.00093344+0.001081i,-0.0014045+0.0017545i,-0.00023026+0.0015283i,0.0014036+0.00014163i,0.0010009-0.00032603i,0.00038322-0.0004124i,0.00065821-0.00060397i,0.00014933-0.00034731i,4.6036e-05+0.00013337i,0.00047682+0.00094159i,0.00012968+0.0013091i,-8.4609e-05+0.00052456i,0.00053093+5.0097e-05i,0.00043545+0.00029689i,0.00018746-6.2138e-05i,4.3031e-05-0.00034418i,-0.00056159+0.00026048i,-0.00064723+9.5307e-05i,-0.00034273-0.00086636i,-0.00046014-0.00043223i,-0.00044719+0.00089101i,-0.00035449+0.00066517i
-0.0011952-0.00020549i,-0.00073394+0.00089196i,-0.00012119+0.001817i,0.00069578+0.0022993i,0.0018574+0.001244i,0.0016365-0.00084155i,0.0016209-0.00052696i,0.0012817+0.0004624i,0.0001423-7.3061e-05i,-0.00074452+0.00017244i,-0.0006575+0.00073098i,0.00061266+0.00033577i,0.0010574-0.00065422i,0.00066849-0.00062412i,0.00024701+0.00048236i,-0.00078392+0.0011545i,-0.0016595+0.00059373i,-0.0010555-0.00065673i,9.8798e-05-0.00056951i,0.00015539+0.00010751i,9.5674e-05+0.00035133i,0.00039827+5.358e-05i,0.00057148+0.00019918i
-0.0010137+0.00015727i,-0.0007258+0.00045852i,-0.00027877+0.0009479i,2.7446e-05+0.0019707i,0.00084447+0.0021589i,0.0020805+0.0014196i,0.0019626+0.00075157i,0.00080302+0.0010829i,-8.1256e-05+0.00068362i,-0.00031696+7.2906e-05i,0.00026905-5.0548e-05i,0.00058199-0.00059378i,0.00017668-0.0012254i,-0.00076192-0.0017349i,-0.0012047-0.0019383i,-0.0002915-0.0014004i,-0.00021215-0.00068369i,-0.00057114-0.00058978i,-0.00013729-0.00033615i,-0.00066474+0.00027144i,-0.00088332-7.6949e-05i,-0.00029651-0.00021438i,2.1618e-05+0.00027016i
-0.0012642+0.00038986i,-0.0012216+0.0011531i,-0.0015835+0.0019237i,0.00026203+0.0019134i,0.0022924+0.0021277i,0.0019577+0.0010149i,0.00014364+0.00030466i,-0.00069943+0.00079684i,-0.00076161+0.00039263i,-0.0005246-0.00056846i,-0.00019637-0.0011683i,0.00055691-0.00071278i,0.00096253+0.00035103i,0.00013355+7.0483e-05i,-0.0004485-0.00017975i,-0.00039257+4.76e-05i,-0.00080477-0.00053886i,-0.0010096-0.0010355i,-0.00019575-0.00048563i,0.00015872-8.3122e-07i,-0.0004665-0.00030542i,-0.00064546-0.00054147i,-0.00018839+0.00014424i
