-0.0028952+0.00054924i,-0.0030163-7.4218e-05i,-0.0034324+0.0011851i,-0.0030649+0.0021843i,-0.0018114+0.0020575i,-0.00060348+0.0021749i,-0.00029442+0.0022332i,0.00018171+0.0015791i,0.0011897+0.0017487i,0.0012965+0.00141i,0.0015139+2.1129e-05i,0.00185+0.00027518i,0.001328+0.00031621i,0.0006898+0.00027955i,0.00033576+0.00069724i,0.00037878+0.00035253i,-0.00037505+6.2165e-05i,-0.0011197-9.5871e-06i,-0.0008229-0.00018725i,-0.00034992-0.00021602i,-0.00078952+7.9731e-05i,-0.00064836+4.2911e-05i,-0.00035192+0.00032705i
-0.00083166+0.0014757i,-0.00039616+0.0014003i,0.0014548+0.0010952i,0.0036315+0.00095222i,0.0028663+0.00047648i,0.0018369+0.00025151i,0.00096838+0.0008766i,0.0011229+0.0008107i,0.0015933+0.0003404i,0.0007317+0.00029834i,0.00044971-0.00036081i,0.00028005-0.00066888i,0.00031839-0.00021512i,0.00041516-0.0002638i,0.00019564-0.00041858i,-0.00018408-0.00072302i,-8.3102e-05-0.0008316i,-0.00045722+9.4786e-05i,-0.0011967+0.00014877i,-0.00073195-0.00050564i,0.00099541-0.00011372i,0.00088294+0.00058799i,7.8809e-05+0.00040955i
-0.00086242-0.001324i,-0.00083208-0.00031529i,-0.0014799+0.00052742i,-0.0016815+0.0014393i,-0.00050148+0.0009338i,0.0002947-3.2088e-05i,0.0011423-0.00031086i,0.001368+7.2814e-05i,0.0010841+0.0003852i,0.0008962-0.00024032i,0.00028147-0.000216i,-0.00018338+0.00070835i,-0.00059617+0.00056688i,-0.0008014-0.00013329i,-0.0002511+8.3021e-05i,-0.00067818+0.00011769i,-0.0013465-0.00071069i,-0.001088-0.00010737i,-0.00068746+0.0011206i,-0.0002335+0.0011141i,-0.00021095+0.00053924i,-0.00022589+0.000294i,-6.4261e-06-1.7425e-05i
-0.0015457-0.0003484i,-0.0030408-2.7626e-06i,-0.0030044+0.0017316i,-0.00062413+0.0019488i,0.00096513+0.00037029i,0.00067395-0.00039152i,0.00051565+0.00034762i,0.00097868+0.00045522i,0.00081498+0.00044483i,0.00017323+0.0010495i,0.00059199+0.00054792i,0.00054719+1.0662e-05i,0.0001092+0.00051897i,-0.00044733+0.00082782i,-0.0005379+0.00050788i,8.5378e-05+0.00040315i,-0.00048013+0.00046408i,-0.00038241-1.4111e-05i,0.00020614-0.00052659i,-0.00041453-0.0007004i,-0.0011004-0.0010509i,-0.00067682-0.00082131i,0.00024024+9.84e-05i
0.00011858+0.0015163i,0.00029753+0.0020627i,0.00053308+0.0020411i,0.0010766+0.00099891i,0.001059+0.00037554i,0.0010837+0.00062449i,0.001155+0.0012635i,0.0013979+0.0014629i,0.0018018+0.0010174i,0.00092999+0.00023442i,0.00061331+0.00014109i,0.0011721+5.7717e-05i,0.00089871-0.00039448i,0.00053303-0.0004949i,8.3734e-06-0.00057071i,-0.00049839-0.00025587i,-0.00029139+7.5717e-05i,-0.00016347-0.00039141i,-0.00015248-0.00064714i,-9.4745e-06-0.00037444i,-0.00015423-0.00027554i,-0.00034803-5.805e-05i,-0.00052193-0.00051033i
0.00017694-0.0008759i,-0.0010239-0.0003294i,-0.0010902+0.00035798i,-0.00049788+0.00013284i,0.00039705-0.00021438i,0.00054613+0.00040545i,0.00091815+0.00090112i,0.001633+0.0010114i,0.0012823+0.00052354i,0.00030431+0.00021999i,-0.00049874+5.2754e-05i,-0.00036225-0.00010682i,0.00018912-0.00078972i,0.00049652-0.00038i,0.00017937+0.00048071i,-0.00020683+0.00072258i,-0.00042838+0.00072425i,-0.0013444+0.0002334i,-0.00096748-7.8061e-05i,0.00055346+0.00047777i,0.001105+0.0011651i,0.00069094+0.0011011i,-4.0542e-05+0.00043582i
0.00093285-0.0015214i,0.00041131-0.00047203i,0.00014948+0.00019869i,0.0011265+0.00070851i,0.0016088-0.00054597i,0.0010688-0.0010941i,0.00073815+0.00033284i,0.00068207+0.00061491i,0.00054924-0.00012395i,0.0002855-6.6649e-05i,-0.00026002-0.00042196i,-0.00081434-0.00083494i,-0.00031131+0.00012968i,1.7295e-05+2.6622e-05i,0.00010603-0.00056682i,9.5385e-05+7.1063e-05i,-1.8299e-06+0.00073424i,-0.00081523+0.00059755i,-0.0019161-0.00024828i,-0.0013904-0.00012816i,-0.00034643-0.00019021i,9.8279e-05-0.00034668i,0.00018501+4.7401e-05i
-0.0004734+0.00083551i,-0.00095468+0.0011204i,-0.0013307+0.00014573i,-0.00073898-0.00028151i,0.00045702+0.00055801i,0.0011296+0.00066829i,0.0016284+5.4642e-05i,0.0012303-5.8235e-05i,0.00049368+3.6599e-05i,0.00022344+0.0001025i,-0.00020418-5.442e-05i,-0.00093816+2.0434e-05i,-0.0010565+0.00044708i,-0.0011877+8.9614e-05i,-0.00096117-6.9542e-05i,-9.6101e-05-2.8234e-05i,0.00072908-0.00026294i,0.00060647-0.00012418i,0.00032049+0.00027851i,0.00047339+0.00019491i,0.00054912+0.00019678i,0.00048835-0.00010152i,0.00051881-0.00059742i
-0.00086794-0.0013784i,-0.00095205-0.00096886i,-0.00032368+0.00044204i,0.00022186+0.00061527i,0.0008079-0.00053677i,0.0016868-0.00043054i,0.0014778+0.00026474i,0.0010282+0.00078466i,0.00135+0.00039897i,0.00087153-0.00012041i,6.9561e-05+4.7497e-05i,-4.7433e-05+0.00015557i,0.00042237+0.00027969i,0.00016966-0.00054551i,-0.00057185-0.0011659i,-0.00097222-8.4504e-05i,-0.00056195+0.00087173i,0.00041583+0.00040217i,8.7189e-05+0.00013168i,-9.1837e-05-3.3791e-05i,8.1228e-06-0.00033123i,-0.00043007-0.0006732i,-0.00053819-0.00045055i
0.00057677+0.00091151i,0.00052163-0.0001379i,0.00123+0.00051695i,0.0026893+0.0010077i,0.0029955-0.00010752i,0.0010275-0.00061628i,0.00017947+0.0003491i,0.001462+0.00098094i,0.0016584+0.00097713i,0.00068414+0.00033252i,-0.00042633-0.00025515i,-0.00065439-0.00066743i,-0.00060533-0.0010909i,-0.00077321-0.00091946i,-0.00055142-0.00044688i,-0.00051396-5.8887e-05i,-0.0010687-0.00064511i,-0.0012358-0.00098838i,-0.00073776-7.5553e-05i,-0.00080648+0.00080954i,-0.0009188+0.00044362i,-0.00015607-0.00021688i,0.00067002-7.173e-05i
-0.0030888+0.00097844i,-0.0027447+0.00019774i,-0.0020666+0.0005217i,-0.0011589+0.00022707i,0.00020999-0.0003352i,0.00074082+0.00052348i,0.0001979+0.0013661i,0.00034183+0.0015094i,0.0004252+0.0007509i,-9.6367e-06-0.00050136i,8.9959e-05-0.0007199i,0.00017471+0.00017745i,-0.00013626+0.00059247i,0.00012925+0.00055831i,0.00038202+0.00046763i,-0.00024055+0.00033543i,-0.00074277+8.7564e-05i,-0.00067325-0.00011133i,-6.2203e-05+3.9362e-05i,0.00059964+0.00028804i,0.00066898-0.000204i,0.00025875-1.7109e-05i,-0.0004424+0.00021781i
