-7.6072e-06-0.00041391i,0.00060238-0.0012143i,-0.00017727-0.0014457i,-0.0010846-0.0017167i,-0.00084493-0.0015596i,-0.00037494-0.00079418i,-0.00016133-0.00013162i,0.00077163-6.6488e-05i,0.00082012+1.3482e-05i,0.00065745-2.714e-05i,0.00084803-0.00037673i,0.00011478-0.00043554i,-0.0008228-5.2312e-05i,-0.00050885-4.6129e-05i,0.00034983+4.4904e-05i,8.279e-05+0.00075992i,0.00041254+0.00046073i,0.0011129-0.00020704i,0.00055187+0.00015646i,4.3629e-05+0.00073478i,0.00028746+0.00056912i,0.00053376+0.00015825i,0.00024817+4.8669e-05i
-0.00027698-0.00023098i,5.8268e-05+0.00052337i,-7.4447e-05+0.00072142i,0.00069334+0.000344i,0.00030915-0.00012833i,0.00014126-0.00081326i,0.00025078-0.0010188i,-0.00021921-0.0009385i,-0.00013509-0.00076865i,-0.00011638-0.00067651i,-0.00014945-0.00068851i,-0.00031977-0.00022288i,-0.00070934+0.00012363i,-0.00016831-0.00022029i,0.00070874-0.00043868i,0.00056907-0.00021127i,9.3502e-05+0.00023287i,0.00055286+0.00035464i,0.0011414-0.00015135i,0.00070044-0.00071035i,0.00064035-0.00018058i,0.00068407+0.00029987i,0.00012778-0.00069192i
-0.0012776+0.0014229i,-0.0009571+0.0014841i,-0.0013405+0.001682i,-0.0010948+0.00059927i,-1.6226e-05-0.00079359i,8.1554e-05-0.0016603i,-0.00031121-0.0020263i,0.00021496-0.0010435i,0.00066301-0.00057204i,0.00042183-0.00034391i,-0.00017661+0.00045282i,-0.00045418+0.00046721i,3.7145e-05+0.00014938i,0.00022489+0.00065513i,-2.8381e-05+0.00043687i,-0.00020697+1.9197e-05i,-0.000828+0.00028524i,-0.00046014+0.00075035i,0.00038167+0.00079429i,2.2963e-05+0.00052608i,-0.0003969-0.0002399i,0.00010233+0.00034812i,0.00042582+0.00036438i
0.00051167-0.0010668i,0.00053477-0.0014798i,0.00062761-0.00043737i,-0.00014984+0.00011086i,1.5232e-05-0.00085751i,0.00049477-0.0013278i,7.9691e-05-0.0016904i,-0.00074068-0.00062907i,-0.0010501+6.7433e-05i,-0.00071355-0.00050481i,-9.503e-05-0.00046784i,0.00028314-0.00014126i,0.00052587+0.00058342i,3.2444e-06+0.00080182i,-0.00067688+2.8451e-06i,7.7294e-05-0.00039071i,0.0010576-0.00017369i,0.0011459-0.0002205i,0.00073802-0.00054959i,0.00020348-0.00010161i,-0.00044202+0.00059213i,-0.00013414+0.00033724i,0.0002283+0.0005369i
0.00098219+0.0021404i,0.00055156+0.00090465i,0.00016968-0.0013667i,-1.0293e-05-0.0018352i,-4.9064e-05-0.0016017i,-0.00026057-0.0014627i,-0.00053619-0.0010293i,0.0002819-0.00025645i,0.0006516+0.00018209i,-0.00022915-0.00024415i,-0.0002992+0.00044473i,0.0001753+0.00069002i,6.9136e-05-0.00014941i,-8.8366e-05-6.0661e-06i,2.5015e-05+0.00064429i,0.00017064+0.00078803i,0.00022893-8.8769e-05i,0.00057622-0.0003905i,0.00035312+6.5745e-05i,0.00048024+0.00019213i,0.00046947+0.00012979i,-0.00013681+0.00014205i,6.9971e-05-0.00031763i
-0.001992-0.00060031i,-0.0013443+0.0004828i,-0.00039402+0.0015465i,-5.5207e-05+0.00051771i,0.00042333-0.00055558i,0.00096442-0.00080883i,0.00041816-0.00039977i,-0.00034645+0.00045961i,0.00031253-7.0327e-05i,0.00084261-0.00067825i,0.00018635-0.00014334i,-0.0001473+0.0010816i,-0.00010547+0.0013904i,0.00010813+0.00028281i,0.00044795-0.00048152i,-0.00017745-0.00038394i,-0.00031393+7.051e-05i,-3.5101e-05+0.00054346i,-0.00040367+0.0008368i,-0.00098827+0.00026782i,-0.0011438+0.00010375i,-0.00074178+0.00034025i,-0.00010548+0.00062817i
-0.00025743-7.7526e-05i,-0.00022522+0.00042603i,-0.00019998+0.00083065i,3.5288e-06+0.00046891i,0.00069809-0.0005626i,0.00091858-0.0011802i,0.0001011-0.0004981i,-0.00018685+0.00039753i,-0.0005343+0.00020284i,-0.00075445-0.00023378i,-0.0002316-0.00040899i,8.9908e-05+8.3647e-05i,0.00031715+0.00032321i,0.00043832+0.00058368i,-9.7828e-06+0.00079551i,-0.00052186+0.00054021i,-0.00070496+0.00061239i,-0.00038956+0.00064755i,0.00016811+0.00032447i,0.00079615+0.00011203i,0.00062021+0.00033985i,1.4575e-05+0.0003231i,-3.7441e-05+0.00017773i
-0.00042385-0.00058989i,9.1291e-05-0.00077043i,0.00087086-0.00016698i,0.00057315+0.00028376i,0.00061796+7.5059e-05i,0.0009142-0.00075559i,0.0003374-0.001849i,-0.00041086-0.0017532i,-0.00060489-0.00042234i,-0.00062471+0.00035692i,-0.00035341-0.00012406i,0.00035447-0.00040477i,0.00067489+0.00032659i,0.00021781+0.00065294i,-0.00040248+0.00023564i,-0.00081224+0.00054293i,-0.00058302+0.00069247i,0.0003091+0.00053762i,0.00028979+0.00079798i,-0.0006378+0.00093479i,-0.0011637+0.00080547i,-0.00044176+0.00091875i,0.0001377+0.00091609i
-0.0005398-0.00091564i,-0.00040836-0.00095667i,-0.00038922-0.001022i,-0.00038214-5.5373e-05i,-0.00034185+0.00013502i,0.00027705-0.0004979i,0.00054668-0.00077227i,-0.00010764-0.0010931i,-0.00035999-0.00062305i,-0.0010256+0.00065974i,-0.0012515+0.00084049i,-0.00067534-0.00053521i,-0.00010516-0.0014391i,0.0001406-0.00038135i,0.00024126+0.00034814i,-0.00013105+0.00017362i,0.00040562+0.00035327i,0.0012323+0.00033913i,0.0010242+2.7172e-05i,-6.1388e-05-0.00010194i,-0.00069291+1.0542e-05i,-0.00038766-0.00025007i,-0.00033871-0.00074439i
0.00050869+0.0018266i,-4.5046e-05+0.0016257i,0.00041155+0.0006286i,0.0011573-0.00028695i,0.0011696-0.0014516i,0.00075884-0.0011508i,0.00015085-0.00044165i,-0.00057299-0.0011137i,-0.00057082-0.0015218i,-0.0011417-0.00074095i,-0.001974-2.4781e-05i,-0.00097912+0.0003409i,4.4746e-05+4.8823e-05i,0.00014579+2.1785e-05i,0.00028207-1.3861e-05i,0.00039003+0.00023173i,-7.1641e-05+0.00029914i,-0.00020638+0.00023465i,-0.0002641+0.00055742i,-0.00057265+0.00070991i,-0.00019665+0.00072179i,8.4817e-05+0.00062276i,-0.00021528+0.00033977i
-0.00022352-0.00025267i,-0.0012981-0.00039853i,-0.0018805+0.0002259i,-0.0015317+0.00095401i,-0.00039078+0.00063699i,-6.1267e-05-0.00055631i,-0.0001945-0.00080159i,0.00012964-0.00064112i,0.00029569-0.00042479i,-0.00055998-0.00020525i,-0.00098868-0.00026334i,-0.00043702+0.00020281i,0.00018857+0.0010209i,-5.3248e-05+0.0011949i,0.00032133+0.00044584i,0.00068668+0.00021722i,0.00021329+0.00026665i,0.00069649-1.1716e-05i,0.00097523-0.00050054i,0.00057696-0.00048177i,0.00014731-0.00015603i,-0.00021854-0.00061175i,-0.00028533-0.00090939i
