-0.0021728+0.0013852i,-0.0022357+0.00040463i,-0.0021154+8.2012e-06i,-0.00087348-0.00019533i,0.00086277+0.00022411i,0.0010916+0.0005132i,0.00025515+0.001043i,0.0006487+0.002196i,0.0013208+0.0018766i,0.0018122+0.00061042i,0.0015167-0.00063913i,0.00038995-0.0017964i,-0.00021076-0.0013801i,1.4307e-05-0.00041996i,-0.00024189+0.00016462i,-8.2058e-05-0.00010129i,0.00025213-0.00039717i,-0.00020336+0.00011223i,-0.00085437+0.00020664i,-0.001165-0.0005895i,-0.00050339-0.00065306i,-0.00011678+0.00025937i,0.00011485+0.00044375i
0.0013926+0.0020818i,0.00028835+0.00087387i,0.0015387+0.00014001i,0.0019529-0.00024599i,0.00055484-0.0011243i,-0.00088905-0.0013622i,-0.00055209-0.00042035i,0.0001419+0.00049484i,0.00047245+0.00040119i,0.00022198-0.0007712i,3.105e-06-0.0017801i,-0.00067603-0.0011658i,-0.0012997-0.000375i,-0.00041683-0.00010109i,0.00042721+0.00055847i,0.00089683+0.00065376i,0.00073432+0.00080285i,0.00052557+0.0005926i,2.8198e-05-0.00032908i,-0.0002932-0.00077684i,0.00013114-0.00026502i,0.00040806-0.00014191i,0.00037538-0.00017632i
0.0012827-0.00080787i,0.0012754-0.00061212i,0.00053643-0.00054074i,-1.9819e-05-0.00081192i,8.557e-05-0.00066281i,0.0010048+0.00010138i,0.0019536+0.00057984i,0.0018557-0.0001646i,0.00055238-0.00042374i,0.0001798-0.00053137i,0.00048964-0.00045909i,-0.00024792-2.237e-05i,-0.00065748+0.00013984i,-0.00024257-0.00021723i,0.00047925-3.1824e-05i,0.00042985+0.0011852i,0.00017145+0.0015526i,1.4179e-05+0.00023623i,-0.0005552-0.00020928i,-0.00052775+0.00015221i,0.00014431-0.00014187i,-2.5839e-05+0.00036902i,-0.0010272+0.00041469i
-0.00027294-0.0015073i,-0.00085681-0.00022857i,-0.0011193+0.00022812i,-0.0013854+0.00072328i,-0.00096813+4.2332e-05i,-0.00045676-0.00011434i,-0.00054112+0.00049191i,-0.00046179+0.00098803i,-0.00060377+0.00074637i,-0.00070455-0.00021287i,-0.00058692-0.00073812i,-0.00023916-0.00030296i,0.00054817+0.000629i,0.00052773+0.00022517i,9.7659e-05-9.9328e-05i,-0.0001161+0.00010512i,-1.8593e-05-0.00039319i,-0.00027902-0.0011332i,4.1993e-05-0.00081334i,0.00036113-0.00021461i,-0.00012712+0.00018324i,-0.00025842+0.00027648i,-0.00016667+0.00042145i
-0.00073392+0.00067102i,-0.00044221+0.00045315i,-0.00014884-0.00010043i,-0.0001354-0.0012443i,0.00045763-0.0016566i,0.0012987-0.0011644i,0.0017141-0.00034668i,0.0017928+0.00026728i,0.0017864+0.00013571i,0.0014972+3.7385e-05i,0.00047113-0.00012821i,0.00019796-0.00070257i,0.00044008-0.0011371i,0.00046667-0.0010331i,0.00037765-0.00016633i,-0.00010111+0.00064626i,-0.00060434+0.00062325i,-5.0024e-07-4.9737e-05i,0.00069109-0.00092662i,0.00077322-0.00024723i,0.00028341+0.00059388i,-0.00037638+0.00049998i,-0.00033359+0.00011793i
0.00036697-0.00042699i,0.0010337-0.00084004i,0.00050594-2.0168e-05i,9.1666e-05+0.00029132i,0.00055143-0.00043985i,0.00074028-0.00085185i,0.00099608+0.00033105i,0.0011721+0.00020471i,0.00033721-0.0007108i,-0.0003226-0.0013929i,0.0003199-0.001895i,0.00042639-0.0015688i,-0.00014274-0.00096469i,-0.00034685-0.0010215i,-0.00040663-0.00042169i,-0.00081388+0.00079697i,-0.00024777+0.00088087i,0.00046066+0.00054267i,0.00042364+0.00016971i,0.00042861-0.00041924i,-0.00067263+0.00023267i,-0.0011926+0.00030005i,-0.00055341-0.00070926i
-6.4527e-05+0.00039562i,0.00028504-0.00052386i,0.00031613-0.00089943i,-0.0004214-0.00072099i,-2.894e-05-0.0011263i,5.9783e-05-0.0010997i,-0.00042355-0.00028744i,-0.00056457+0.00028869i,-0.00011093+0.00028795i,0.00046047-0.00018412i,0.00047345-0.00026813i,-0.00038811+0.00034922i,-0.00157+0.00058252i,-0.0013833+0.00056117i,-0.00045741+0.00018277i,0.00018836-0.00031668i,0.00019998-0.00024194i,-0.00015273-0.00030676i,-0.00059304+6.7857e-05i,-0.00095654+0.00057472i,-0.00030886+0.00095816i,0.00063652+0.00067362i,0.00092963+0.00012043i
0.00081304+0.0019582i,0.00055786+0.0022805i,0.00059922+0.001528i,0.0010382+0.00044507i,0.00078004-0.0002928i,-0.00049393-0.00028442i,-0.00030194-5.6429e-05i,0.0004567+0.00062303i,0.00054294+0.00052779i,0.00016069-0.00029026i,0.00028077+2.5065e-05i,0.00071063+0.0007399i,0.00016668-0.00013743i,-0.00029721-0.00062783i,0.00014914-0.00010161i,0.00035461+0.00037111i,5.6621e-05+0.00025772i,0.00024497+0.00052008i,0.00017677+0.00080884i,-0.0003361+0.00024391i,-0.0004298-0.00031684i,-0.00037898-4.6589e-05i,-3.3167e-05-0.00030874i
0.00035642-0.00081646i,0.00018766-0.0012254i,-0.00030968-0.00064261i,-0.00060352+3.2325e-05i,-0.00048966-3.3009e-05i,0.00071237-0.00016539i,0.0011433-0.00035377i,0.00083192-0.0007002i,0.0010882-0.0011039i,0.0012875-0.00068091i,0.00029739-0.00024831i,-0.00018276-0.00058559i,-0.00028495-0.00016681i,-0.00038094-0.00012025i,-0.00034062-0.00052159i,-0.00059841-0.00033578i,-0.0007541+1.8831e-05i,-0.00044449-0.00021821i,-0.00048335+0.00022063i,-0.00099184+1.6461e-05i,-0.0011503-0.0007827i,-0.0012658-0.00069248i,-0.0014763-0.00044767i
-0.00010466+0.00036327i,-0.00044282+0.0011894i,-0.00047613+0.00076835i,-0.00031785-0.00039011i,0.00056514-0.0012931i,0.0007948-0.0019992i,0.00010877-0.0019217i,-8.2296e-05-0.00088845i,0.0001898+3.4664e-05i,0.00010372-0.00066317i,0.00042356-0.0010757i,0.00078261-0.00024275i,0.00029187+0.00024145i,-0.00048774-0.00043967i,-4.953e-05-0.00093324i,0.00069374-6.1318e-05i,0.00035028+0.00035237i,0.00020788-0.00036208i,0.00048065-0.0010158i,0.00037814-0.00076912i,0.00049493-7.3891e-05i,0.00037877+7.2386e-05i,-0.00024729+0.00014464i
0.0023495-0.00052646i,0.0023062-0.00059649i,0.001111-0.00031882i,0.00045155-0.00091887i,2.488e-05-0.0014522i,-0.0004571-0.00094635i,-0.00020292-0.00085819i,0.00075103-0.00049628i,0.0015832-0.00041861i,0.0011976-0.0006895i,0.00014586-0.00038562i,0.00017884-0.00020238i,0.00017915-0.00055935i,-0.00017344-0.00034088i,-0.00025841+0.00033414i,-0.00011695-0.00011523i,-0.00036711-0.00060862i,-8.426e-05-0.00043153i,1.7208e-05-0.00036605i,6.7514e-05-0.00030204i,0.00062084-9.0527e-05i,0.00071456+0.00036761i,-4.4189e-06+6.8695e-06i
