0.0018975+0.0014575i,0.002446-0.00011364i,0.0022448-0.00083502i,-0.00010163-4.2124e-06i,-0.0023413+0.00024634i,-0.0026487+0.00051019i,-0.00079227+0.0017534i,0.00088258+0.002082i,0.0016285+0.00050215i,0.0015577-0.00085924i,0.00096487-0.00069389i,2.0119e-05-0.00034926i,-0.00071514-9.3321e-05i,-0.00045408+0.00059201i,-0.00071132+0.00070349i,-0.0014899+0.00026821i,-0.0011112-0.00072366i,-0.00058256-0.0010497i,-0.0002864-0.00077245i,0.00032262-0.0001684i,0.00022437+0.00040257i,-8.4877e-05+0.00057634i,-0.00014013+0.00072644i
-0.0010209+0.0051027i,-0.0015417+0.0037152i,-7.6375e-05+0.0032706i,0.0011291+0.0028712i,-0.000203+0.0017844i,-0.0022371+0.00077941i,-0.0031851+0.00099654i,-0.0023778+0.0015033i,-0.00041115+0.0010166i,0.0010269+0.00049473i,0.0015896+0.00011547i,0.0010177-0.00011817i,0.00032252+0.0002934i,0.00026584+0.001013i,0.00084764+0.0010987i,0.0010037+0.00075757i,0.00011724+0.0006906i,0.00019936+0.00014422i,0.00063359-0.00023006i,2.9847e-05+0.00017626i,-0.00042417-6.4251e-05i,-0.00089795-0.00099339i,-0.00079252-0.0013249i
-0.0026743-0.0011078i,-0.0035966-0.0003602i,-0.0052942+0.00073764i,-0.0051265+0.0021522i,-0.0038493+0.0033398i,-0.0023752+0.0038527i,-0.0022338+0.0037697i,-0.002562+0.0026459i,-0.0012896+0.001267i,-0.0012212+0.00039722i,-0.0019586-7.3114e-05i,-0.0020521-0.00030267i,-0.0012406+3.53e-05i,-0.00036914-5.1367e-05i,-0.00066263-0.00098514i,-0.00088628-0.0009396i,-0.00028597-0.00072145i,6.5555e-05-0.00086762i,-0.00042266-0.00071078i,-0.00028198-0.00042443i,-0.0002353-0.0006383i,-0.00047546-0.00074388i,-0.00062526-0.00033189i
-0.0011697-0.0004477i,-0.0021942-0.001017i,-0.0025141+0.00014342i,-0.0020685+0.0011859i,-0.0014898+0.00069136i,-0.00074685-0.00031887i,-0.0012763+2.3871e-05i,-0.0020874+0.00033799i,-0.0018503-0.00013159i,-0.0015572+5.0715e-05i,-0.00081474+0.00021491i,-0.00052297+0.00060586i,-0.00049281+0.00013741i,-0.00033539-0.00032847i,-0.00019228-1.2954e-05i,0.00023246+0.00027501i,0.00049714-0.00027539i,0.00036521-0.00069056i,-0.00041653-0.000932i,-0.00057693-0.00094122i,0.00031408-0.00031763i,-9.6187e-07+0.00026619i,-0.00040365+0.00073685i
-0.000682+0.0020452i,-0.0023628+0.00027004i,-0.002861-0.00076387i,-0.0025485+0.0002295i,-0.0013698+0.00052757i,-0.0012041-7.9888e-05i,-0.0016386+0.00072608i,-0.001375+0.0013286i,-0.00089771+0.0013195i,-0.00046661+0.0013717i,-0.00032633+0.00079062i,-0.00069179+0.00032146i,-0.00042854+0.00044166i,9.3172e-05+0.00014637i,0.00045406-0.00020576i,0.0013309+0.00015441i,0.0017186+0.00023988i,0.00095013+0.00039362i,-0.0003206+0.00023331i,-0.00015865-8.2313e-05i,-0.0001313+0.00043052i,-0.00079182+0.0010025i,-0.00095985+0.0011506i
-0.001329-0.0019601i,-0.0020328-0.0019435i,-0.0036472-0.0011739i,-0.0040808-6.4506e-05i,-0.0028103+0.00099056i,-0.00086185+0.00065493i,0.00014088+0.00092579i,-0.00077433+0.0010897i,-0.00038674+0.00092148i,0.00047854+0.0017891i,0.00091807+0.0013499i,0.0019537+3.4782e-05i,0.0016482-0.00018872i,0.00036768-0.00069617i,-0.00034137-0.0012772i,-0.00060439-0.0004895i,-0.00027174-4.7044e-05i,-0.00025114-0.00036334i,-0.00093393-0.00064465i,-0.00048659-0.00080934i,-0.00023993-0.00092222i,-0.00084504-0.0010456i,-0.00062888-0.00077364i
-0.0006857+9.178e-05i,-0.0013763-0.00032765i,-0.0023186-0.000403i,-0.0010796-0.00038546i,0.00063257-0.00070433i,0.00053526-0.001108i,-0.00032536-0.00035737i,-0.00044768+0.00040985i,-0.00017345+0.00078132i,7.4255e-06+0.0004447i,0.00073667-0.00042889i,0.00094707-0.00087412i,0.00023857-0.00025935i,1.0941e-05-8.0189e-05i,0.00046497+0.0001947i,0.00053758+0.00064234i,0.00045906+0.00019032i,0.00025638-0.00010708i,-0.00013233-0.00019623i,2.8799e-05-0.00065438i,5.3369e-05-0.00061651i,3.1555e-05-0.0003699i,0.00030716-0.00033595i
-0.002663+0.00099207i,-0.0035585+0.00026706i,-0.0028472-0.0005112i,-0.0018042-0.00077222i,-0.0012858-0.00033642i,-0.00097848-0.00020257i,-0.00092812-0.00013846i,-0.0012367-0.00029975i,-0.0011386-0.001395i,-0.00088174-0.0014917i,-0.00090858-0.00030789i,-0.0010358-0.00028822i,-0.001077-0.00061157i,-0.00055069-0.00037293i,0.00043054-0.00047227i,0.00019346-0.00039264i,-0.00033288-0.0004556i,-0.00010848-0.000596i,0.00068199-0.00095942i,0.0013846-0.00096526i,0.00080787-0.0010669i,-0.00011668-0.0012191i,-0.00037111-0.00046681i
-0.00037289-0.00018654i,-0.00082746-0.00021422i,-0.00084887+0.0003407i,-0.00025708+0.0004672i,0.00046981+0.0011527i,0.0013687+0.0017741i,0.00092707+0.0010852i,-0.0002653+0.00059712i,-0.00052056+0.00086625i,-0.00035133+0.0012848i,-0.00014796+0.0010071i,0.00032302-0.00051552i,0.00035344-0.0017857i,-0.00039221-0.0011612i,-0.00010651-0.00072986i,0.00071593-0.00072078i,0.0010097-0.00063982i,0.00065701-0.00080908i,0.00028719-0.00066926i,-5.8383e-05+0.00012771i,6.3121e-05+0.00028557i,0.00048292-0.00017919i,0.00033787+0.00052965i
0.0032988+0.0017502i,0.00078865+0.0012837i,-0.00096136+0.0013863i,-0.00059007+0.0015718i,-0.00012668+0.001629i,-0.00043274+0.0016993i,-0.00044345+0.0018462i,-9.4645e-05+0.001783i,2.2512e-05+0.0017307i,0.00034615+0.0014837i,0.00034073+0.001105i,-3.0595e-06+0.0010572i,0.0003943+0.00097112i,0.00082797+0.00060124i,0.0011206+0.00064442i,0.0017743+0.00056289i,0.0017846-1.4116e-05i,0.0011882+4.084e-05i,0.00015526+0.00041349i,0.00013056+0.0012836i,0.00040131+0.0014154i,0.00013838+0.00053495i,-0.00054631+0.0004462i
-0.0011861+0.0049589i,-0.0011942+0.0031504i,-0.001647+0.0022592i,-0.0012919+0.0022171i,-7.8035e-05+0.002191i,-0.00034288+0.0017112i,0.00056755+0.0017804i,0.0016584+0.0023176i,0.0010894+0.0022249i,0.00087512+0.00094295i,0.00064458-0.00010367i,-0.0006552+9.4649e-05i,-0.0012386+0.00091368i,-0.0005992+0.00082907i,-0.00023171+0.00024757i,-0.00029715+6.9102e-05i,-0.00017925-0.00033581i,-0.00012099-0.00065126i,0.00020469+7.5558e-05i,0.00028106+0.0015137i,0.00028119+0.0015479i,-0.00057117+0.00049661i,-0.0015451+5.2597e-05i
-0.0017109+0.0020224i,-0.0019162+0.0015305i,-0.00068154+0.0022027i,-5.0894e-05+0.0026795i,-0.00078508+0.0023339i,-0.0013249+0.001211i,-0.0012933+0.0012564i,-0.001047+0.0017879i,-3.6792e-05+0.00083398i,0.0011289-0.00029707i,0.0011239-1.4898e-05i,0.00061639+0.00033836i,0.00034998+0.00026095i,0.00018281+0.00010645i,0.00023712+0.00020326i,0.00023686+7.6719e-05i,0.00053307-0.00038382i,0.00012622-0.0006744i,-0.00048169-0.00066388i,-0.0005657-0.00032882i,-0.00024417-0.000797i,-0.00014344-0.0011393i,-0.00021368-0.00017853i
0.00085595-0.00025896i,-0.00043905-0.00036011i,-0.00078109+0.00036709i,-0.0010212+0.0015242i,-0.0014861+0.0021437i,-0.0026724+0.002862i,-0.0023249+0.0034126i,-0.00034987+0.0024683i,0.00069086+0.00064985i,0.00048432-0.001186i,0.00022802-0.0018879i,-0.00046366-0.0010369i,-0.00052783+8.9324e-05i,0.00026671-0.0002641i,0.00062029-0.00073045i,6.3447e-06-0.00095686i,-0.00017307-0.00092248i,-0.00035647+0.00010607i,-0.0011344+0.00040111i,-0.00095812+0.00076827i,-0.00044429+0.0012431i,-4.1746e-05+0.00054627i,-0.00020376-0.00019185i
-5.2155e-05+0.0020468i,-0.0015549+0.0014482i,-0.0017526+0.0010542i,-0.0019493+0.0012732i,-0.0022735+0.0015195i,-0.0024116+0.0019994i,-0.0019516+0.002646i,-0.0017226+0.0024822i,-0.00097499+0.0018675i,-0.00058456+0.0010337i,-0.00087759+0.00016045i,-0.00091332-0.00014377i,-0.00076956-7.4641e-05i,0.00012524+5.3126e-05i,0.00095989+0.00029248i,0.0010421+0.00057615i,0.0013116+0.00058598i,0.0012233+0.00033411i,0.00072645-9.9776e-05i,-0.00020908-7.8621e-06i,-0.0011079+0.00074433i,-0.0016225+0.00075976i,-0.00066983+0.00030826i
-0.0016345+0.0011275i,-0.0030113+0.00041587i,-0.004381+0.0014077i,-0.0042986+0.0019294i,-0.0031313+0.0022035i,-0.0027071+0.0030037i,-0.0020606+0.0033262i,-0.0015966+0.0030049i,-0.0012739+0.0027799i,-0.00089857+0.0021599i,-0.00042407+0.0011829i,0.0001237-2.2169e-05i,0.00029581-0.0011052i,1.781e-05-0.0012504i,0.00043207-0.00060586i,0.00084532-8.8064e-05i,0.00032266+0.00025984i,7.2884e-05+0.00040839i,-5.0961e-06+6.4846e-06i,9.2023e-05-0.00023703i,0.00017096-0.00011059i,-0.00050915+0.00049261i,-0.00071638+0.00062116i
-0.00047322-0.0010215i,-0.0017072-0.0012215i,-0.0038971-0.0021442i,-0.0041269-0.00093717i,-0.0038024+0.00023865i,-0.0033097+0.00024267i,-0.0019956+0.00094277i,-0.00057135+0.0015275i,0.00027835+0.0017295i,0.00020055+0.0016419i,0.00035018+0.00094154i,0.00035558+0.00023106i,-0.00054262-5.4402e-05i,-0.00073372-0.00046151i,6.0979e-05-0.00094178i,0.0012638-0.00073301i,0.00024729-0.00014045i,-0.001209+0.00019596i,-0.00070689-6.1211e-05i,0.00010274-0.00054678i,1.5361e-05-0.00039172i,-5.4687e-05+0.00046635i,0.00041879+0.00077873i
-0.0011175-0.00012996i,-0.0014037+0.00012094i,-0.0016466+0.00025575i,-0.0014975-5.4716e-05i,0.00020243-0.00075027i,0.0013243-0.0019769i,8.7322e-05-0.0017576i,-0.0009044-0.00050799i,-0.00017703+0.0001275i,0.00032147+0.00030157i,1.5233e-05+0.00084913i,0.00043628+0.00063842i,0.00073598+0.00039055i,0.00055261+0.00032893i,0.00049746-0.00030818i,9.0764e-05-0.00034493i,4.5366e-05+8.1967e-06i,0.00027627+0.00027716i,0.00046531-6.845e-05i,0.00022369-0.00031389i,-0.00047388-0.00050071i,-0.00060758-0.00056333i,-0.00037816-0.00010311i
-0.00056734-0.0021766i,-0.0020221-0.002494i,-0.0035588-0.0015682i,-0.004022-0.0015087i,-0.0018147-0.0013394i,-0.0002702+0.00048784i,-0.00046969+0.00060575i,-0.00013016-0.00073972i,-6.9539e-05-0.0012724i,-0.00091067-0.0012631i,-0.0016134-0.0011319i,-0.0012963-0.00048319i,-0.00017628-0.00038822i,0.00074835-0.00093492i,0.0002281-0.0008395i,-0.00017543-0.00025467i,7.2899e-05-0.00058919i,0.0002736-0.0017471i,0.00048884-0.0016689i,8.5351e-05-0.00083716i,0.000326-0.00080803i,0.00062813-0.00053217i,0.00015708-0.00022599i
0.0022566+0.001783i,0.0021157+0.0006435i,0.0011755-0.00017541i,0.00049959-0.00012829i,0.00021614-0.00047376i,-0.00040513-0.00039995i,-0.0010316+0.00020614i,-0.00084008+0.00043887i,-0.00075672-0.00048046i,-0.0010182-0.00072305i,-0.00055981+0.00020281i,-0.00010889-0.00016438i,-5.9581e-05-0.00034529i,-0.00012258+0.00028267i,-9.6672e-05+0.00065046i,0.00069465+0.00051578i,0.0010083-0.00030132i,0.00078745-0.0003666i,0.00033071+0.00028145i,-0.00064993+0.0004283i,-0.00088937+0.00062392i,-0.00032829+0.001049i,-0.00045414+0.00090365i
-0.00064909+0.00070166i,-0.00077683+0.00044659i,-0.0016959-9.5442e-05i,-0.002391+0.00085939i,-0.0019152+0.0020389i,-0.0014139+0.0024772i,-0.00095768+0.0017458i,-0.0008549+0.0011873i,-0.0015982+0.0016083i,-0.0015868+0.0018907i,-0.0011282+0.00052319i,-0.00081445-0.00059374i,-0.00010451-0.0012972i,0.00016737-0.00093241i,-0.00029437+0.00073751i,-0.00029779+0.0011061i,0.00069177+0.0001569i,0.00086146-7.7605e-05i,0.00023655+0.00068298i,0.00041286+0.0011896i,0.0007198+0.0014274i,0.00058892+0.0014439i,0.0003649+0.0010951i
-0.00020988-0.0011506i,-0.00020019-0.00089973i,0.00012288-0.00085077i,0.00024905+0.00030636i,0.00045285+0.0011083i,0.0011846+0.00090961i,0.000913+0.00081535i,0.00026803+0.001109i,0.0005267+0.0016637i,0.00065993+0.002036i,0.0013038+0.0012863i,0.00098736+0.000259i,0.00053369+0.00016734i,0.00080425+1.0866e-06i,0.00046558-0.000232i,0.00029439-0.00047869i,0.000221-0.0010632i,0.00025416-0.0011742i,0.00040936-0.00014092i,-0.00027543+0.00040407i,-0.00042523+0.00082881i,0.00074744+0.0014816i,0.0012169+0.0011526i
0.0025882+0.00014632i,0.0011046+0.00087757i,-0.00017867+0.00091187i,-0.00026359+0.0016059i,-0.00014519+0.0026733i,0.00024603+0.0037303i,0.00046901+0.0036724i,0.00024026+0.0024569i,0.0012005+0.0011082i,0.0023412+0.00015989i,0.0019943-0.00097176i,0.00124-0.0014337i,0.00071882-1.081e-05i,0.00062538+0.00045022i,0.00053211+0.0003389i,0.00029125-0.0002518i,2.7646e-05-0.00053111i,-0.00020454+0.00047028i,0.00039334+0.0013161i,0.0012566+0.0014663i,0.0011638+0.00058369i,0.00097686-0.00035238i,0.00037606-0.00032824i
0.0023461+0.0021053i,0.00097706+0.0024159i,-4.6701e-05+0.0017516i,-0.0005117+0.001714i,-0.0010906+0.0024359i,-0.0018015+0.0034222i,-0.00099462+0.002664i,0.00017567+0.00042144i,0.00099306-0.0011104i,0.00090807-0.0020745i,-3.8732e-05-0.0019813i,8.6313e-05-0.00076628i,0.0010488+0.00041873i,0.0013884+0.00080904i,0.0010487+0.00096816i,0.00043531+0.00061419i,0.00039571-0.00027174i,0.00017427-0.00086476i,-0.00045325-0.0010725i,-0.00012632-0.00059241i,-0.00037418-0.00022536i,-0.00096149-0.00044131i,-6.9564e-05-0.00026009i
-0.0022321+0.00039635i,-0.0031449-0.00048046i,-0.0039379+0.00023577i,-0.0035429+0.0021304i,-0.0029299+0.0037089i,-0.0026479+0.0037996i,-0.0022083+0.0024605i,-0.0019455+0.0012864i,-0.0026352+0.00086678i,-0.0029642+0.00049165i,-0.0019001+0.00022953i,-0.0002462-6.952e-05i,0.0006178+0.00027739i,0.00089838+0.00098434i,0.0013272+0.0012296i,0.00063177+0.0013961i,-7.3551e-05+0.00080543i,7.9878e-05+0.00018962i,-0.00063691+0.00034005i,-0.00061943+0.00011056i,-0.00036842+0.00030333i,-0.00069045+0.00053955i,-0.0010502+0.0002235i
-0.0019011+0.0017117i,-0.0027563+0.0021952i,-0.0032386+0.0031475i,-0.002354+0.003607i,-0.0011626+0.002884i,-0.0015032+0.0015678i,-0.0016573+0.00028551i,-0.0023102+0.00029996i,-0.003001+0.0013866i,-0.0017664+0.0026815i,-0.00039341+0.0028293i,-5.5302e-05+0.0011114i,4.1085e-05-0.00011938i,0.00021861+0.00022677i,0.0002953+0.00081922i,0.00029836+0.000104i,-0.00017303-0.0005025i,-0.00014076-3.4485e-05i,-0.00032175+0.00044088i,-0.00083998+0.00028346i,-0.00060257-1.603e-05i,-0.0010459+3.3673e-05i,-0.0012796+8.746e-05i
-0.00068715-0.00024712i,-0.0011632-0.00073767i,-0.0025561-0.0012163i,-0.0040844-0.00134i,-0.0048919-0.00010587i,-0.0043462+0.0012649i,-0.0028057+0.0017542i,-0.0021592+0.0021699i,-0.0017667+0.0018954i,0.00012585+0.0023797i,0.00079985+0.0026304i,-0.00050649+0.0017906i,-0.00042017+0.0015616i,3.7384e-05+0.00097285i,0.0004322-0.00024195i,0.0010196-0.00071345i,7.1358e-05-0.0013809i,-0.00014122-0.0015904i,0.00075658-0.00094268i,0.00072567-0.00048728i,0.00018314-0.00014013i,-0.00054072-0.00070332i,-0.00070673-0.00010757i
0.00047922+0.00091637i,-0.00079864+0.00027808i,-0.0023039+0.00073656i,-0.003017+0.001553i,-0.0028605+0.0016836i,-0.0014069+0.0022172i,0.00050019+0.0027398i,0.00097984+0.0030468i,0.0016248+0.0022696i,0.0026945+0.0010536i,0.0024343-0.00035705i,0.0014991-0.0016544i,0.00083017-0.00053177i,-8.2137e-05+0.0008403i,8.5342e-05+0.00014204i,2.741e-05-0.00017063i,-0.00030664-5.8642e-05i,-8.5896e-05-0.00039396i,-0.00033704-0.00080722i,-0.00042895-0.00066668i,-0.00049141-6.9507e-05i,0.00044969-0.00052164i,0.00079381-0.0009427i
-0.0022477+0.0020461i,-0.0021838+0.00032321i,-0.0027908-0.00019939i,-0.0010447+0.00071321i,-0.00018915+0.0020924i,-0.001275+0.00092551i,-0.0021132-5.2053e-05i,-0.00058847+5.481e-05i,0.0012715+1.1603e-05i,0.0013202-0.00095509i,0.0010988-0.00085092i,0.00021384+0.00036021i,-0.00020523+0.00090612i,0.0001802+0.00096405i,0.00034899+0.0011925i,0.00097163+0.00098789i,0.00063616+0.0010641i,-0.00012998+0.00070611i,0.00038259-0.00030078i,0.00041635-1.6623e-05i,-0.00038495-0.00061861i,-0.00070083-0.0012634i,-0.00053756-0.00067202i
-0.00094009+0.00055244i,-0.002553+0.00026451i,-0.0038174+0.00049885i,-0.0029743+0.0007444i,-0.0025343+0.00028829i,-0.0035107-0.00068753i,-0.003237-0.0013263i,-0.0020071-0.0012131i,-0.0025924-0.0014251i,-0.0033557-0.0019978i,-0.0028712-0.0018974i,-0.0021795-0.00088442i,-0.001473-0.00042762i,-0.00014207-0.00069753i,0.001187-0.00023185i,0.0014192+0.00012836i,0.00079394-0.00064944i,0.00090174-0.00096135i,0.0010822-0.00020934i,-3.748e-05+0.00020271i,-0.0012155+0.00049004i,-0.00088563+0.001123i,-8.6145e-05+0.0015824i
-0.0012912-0.0024824i,2.9208e-05-0.0019447i,-0.00079602-0.0019122i,-0.0021644-0.00082092i,-0.0025163-0.0004401i,-0.0026694-0.0012834i,-0.0024692-0.0012888i,-0.0030804-0.00090847i,-0.0038907-0.0014017i,-0.003614-0.00067379i,-0.0030471+0.00080751i,-0.0021658+0.00035937i,-0.00044113-0.00071301i,0.0009152-0.0011107i,0.00096848-0.0012187i,0.00050805-0.00096116i,-9.8729e-05-0.0010004i,0.00014328-0.00092716i,-0.00034538-8.0571e-05i,-0.0012943+0.00038822i,-0.0017212+0.00033366i,-0.0017582-0.00016308i,-0.0016108-0.00038104i
0.0019999-0.00044422i,0.0014532-0.00072704i,0.00035261-0.0010623i,-5.6745e-05-0.0015704i,0.00069532-0.00064815i,0.0011359+0.00030827i,0.00065152+0.00098601i,0.00014785+0.0015378i,4.4549e-05+0.0026595i,0.0008956+0.0030078i,0.0014931+0.001821i,0.00062493+0.00043116i,0.00042276-0.00066577i,0.00040111-0.001278i,-0.00033391-0.0009668i,0.00048823-3.1616e-05i,0.001185+0.00034679i,0.0004172-0.00034445i,-0.00019651-0.00043003i,0.0002973+0.00018529i,0.00068245+0.00064825i,-8.8406e-05+0.00043655i,7.9984e-05+0.00015534i
0.00012898-0.00020654i,-0.00061679-0.00036366i,-0.0019921-0.0005055i,-0.0024518+0.0011758i,-0.0012704+0.0030796i,0.00031776+0.0038795i,0.0010921+0.0030454i,0.001742+0.0025966i,0.0026997+0.00296i,0.0034064+0.0026263i,0.0034878+0.0011163i,0.00238-0.00014598i,0.0005748-0.00056041i,-0.00025715-6.2351e-05i,0.00018474-0.0002306i,0.0010078-0.00089486i,0.00095888-0.00064623i,0.00045847+0.00038278i,-0.00019048+0.00099746i,-0.00010347+0.0011578i,0.0006171+0.0012129i,0.0010323+0.0010219i,0.00070105+0.0013093i
0.00066278+0.00062003i,0.00063756+0.0007172i,0.0015666+0.00034588i,0.0011185+5.416e-06i,-0.00023988+0.00042162i,-0.0013851+0.0015163i,-0.00072113+0.0026275i,0.00092287+0.0023629i,0.002402+0.00085195i,0.0026085-0.00094296i,0.0014246-0.002241i,0.00077098-0.0018808i,0.0011905-0.00017773i,0.0011515+0.0013337i,0.00062701+0.001589i,0.000938+0.0012535i,0.0016651+0.00089596i,0.0014131+0.00043237i,0.00088835+0.00013928i,-7.9818e-05+0.00031893i,-0.00080434-0.00023564i,-0.00066868-0.0012407i,7.6793e-05-0.00076153i
0.0016954-0.00071056i,-0.00016198-0.00016521i,-0.00080534+0.00060352i,-0.0011931+0.0012052i,-0.0033468+0.00072532i,-0.0039906-0.0002494i,-0.0024418-0.00064105i,-0.0014404-0.0012881i,-0.001795-0.001883i,-0.002745-0.0019624i,-0.0026332-0.0020664i,-0.0015916-0.0013348i,-0.00028249+0.00028936i,0.0010238+0.00062126i,0.0013351+0.00032037i,0.00086196+0.00068014i,0.00027749+0.00089721i,0.0004294+0.00074972i,0.00039354+0.00076017i,-0.00043363+0.00026991i,-0.00081008-0.00088612i,-0.0010538-0.00090197i,-0.0014231-0.00017583i
-0.0017878+0.0028807i,-0.0028597+0.001877i,-0.0025512+0.0024663i,-0.00065266+0.0032635i,0.00083334+0.0025617i,0.00090603+0.00040112i,-2.6352e-05-0.00054557i,-0.0021698-0.00023614i,-0.0032871+0.00015512i,-0.0030595+0.0009191i,-0.0022702+0.0014843i,-0.0012531+0.00048917i,-0.00045966-0.00075987i,0.00040584-0.00021139i,0.00099953+0.00037978i,0.0013308+0.00012056i,0.00077406-0.00063607i,-0.00039889-0.0015586i,-0.00084271-0.0011957i,-0.00064382-0.0006001i,-0.00056191-8.5099e-05i,-0.00068612+0.00063967i,-0.00059287+0.0014633i
-0.0012032+0.0020396i,-0.0011784+0.0021061i,-0.00058477+0.0020134i,-0.00013029+0.0016599i,-0.00050396+0.0022156i,-0.0013646+0.0033398i,-0.0014246+0.0037869i,-0.0012421+0.0038415i,-0.0011529+0.004344i,-0.0008501+0.0046527i,8.2358e-05+0.003987i,0.00060554+0.0023738i,0.00033159+0.00082054i,-0.00039261-0.00087002i,-0.00036334-0.0017617i,0.00014813-0.0011033i,-0.00027529-0.00092223i,-0.0012449-0.0009663i,-0.0011259+0.00034222i,-0.0009427+0.0011569i,-0.0011687+0.001006i,-0.00066618+0.00066573i,-0.00049639+0.0014153i
-0.0020221-0.001381i,-0.0028638-0.00090221i,-0.0036439+0.00017715i,-0.0033513+0.0018619i,-0.0029658+0.0036432i,-0.0028132+0.0047605i,-0.0021194+0.0050588i,-0.001048+0.0056307i,0.00099433+0.0058937i,0.0027577+0.0043062i,0.0030731+0.0023669i,0.0021089+0.00045125i,0.00066902-0.0009922i,-0.0001307-0.00096616i,-0.00077028-0.0001409i,-0.001318+0.0002886i,-0.0012334+0.0002901i,-0.00077122+9.0894e-05i,-0.00074378-0.00028587i,-0.00063731-0.00011418i,0.00016024+0.00033356i,0.00054839+0.00054252i,0.00018794+0.001077i
-0.00045858+0.00041195i,-0.0023119+0.00013004i,-0.0036644+0.0018573i,-0.003845+0.0027736i,-0.0038134+0.0029131i,-0.0052434+0.002241i,-0.005387+0.0017666i,-0.0027917+0.0018211i,2.2873e-05+0.00061508i,0.0016827-0.0015116i,0.0015134-0.0020879i,0.00094788-0.0012594i,0.0001791-0.00024752i,-0.0011286+0.00063065i,-0.0011264+0.00012678i,-0.00057793-0.00063128i,-0.00047739-0.00082126i,-0.00048558-0.0011364i,-0.00028679-0.00020158i,2.6148e-05+0.00095415i,-4.2414e-05+0.00030279i,-9.1308e-05-0.0011687i,0.00050288-0.001726i
-0.0018298+0.0016774i,-0.0022384-0.00050253i,-0.0037258-0.0002341i,-0.0044894+0.00024116i,-0.0037113-0.00037504i,-0.0027764-0.0017588i,-0.0027242-0.0026854i,-0.0023901-0.0038347i,-0.0014693-0.0052225i,-0.0022083-0.0053417i,-0.0024332-0.003762i,-0.00092825-0.00064158i,-0.00019809+0.0011473i,0.00039777+0.0016459i,0.0017061+0.0013607i,0.0016773+0.0009331i,0.00032413+0.00047636i,0.00010645-0.00024901i,0.00037832-0.00010942i,-3.2162e-05-0.00018363i,-0.00091774-0.0013764i,-0.00096805-0.0023199i,0.00012401-0.0020543i
-0.00097265-0.00054439i,-0.0014974-0.00085545i,-0.003442-0.0014423i,-0.0036208-0.0012755i,-0.0019803-0.0018201i,-0.00067252-0.0030839i,-0.00026749-0.0033651i,-0.00093956-0.0032872i,-0.0025652-0.0034802i,-0.0043513-0.0022292i,-0.0044062+0.00037981i,-0.0025804+0.0017284i,-0.0010682+0.00048665i,0.00066314-0.00043257i,0.001974-0.00049812i,0.0017472-0.0012623i,0.0020106-0.0019092i,0.0016127-0.0015809i,0.0005932-0.00079438i,-0.00035185+4.4265e-05i,-0.0011303+4.8486e-05i,-0.0011712-0.0011154i,-0.0014671-0.0015496i
-0.0015092-0.0012763i,-0.00038076-0.0017882i,-0.0001766-0.0019279i,-0.00070669-0.0010411i,-0.00058059+0.00072199i,-9.5502e-05+0.0016584i,-0.00045339+0.0015935i,-0.00056814+0.0019373i,-0.00094314+0.0024919i,-0.00061854+0.004055i,0.00070006+0.004774i,0.0014883+0.0028258i,0.00091461+5.2221e-05i,0.0007134-0.0016929i,0.0011938-0.0021483i,0.0012332-0.0018653i,0.000857-0.0013876i,0.00053486-0.0013591i,-0.00014792-0.0012783i,-0.00074792-0.00036414i,-0.00102+0.00034859i,-0.00058825+0.00091306i,-3.727e-05+0.00090752i
-0.00035776-0.0032687i,-0.0014556-0.0036211i,-0.0024516-0.0037332i,-0.0026447-0.001764i,-0.0026942+0.0023929i,-0.0032058+0.0046488i,-0.0032194+0.0044922i,-0.001656+0.0047577i,0.00097902+0.0051529i,0.0022945+0.0041956i,0.0025169+0.0010381i,0.001531-0.0017204i,5.1263e-05-0.0017075i,-0.00090099-0.0006651i,-0.00063432-0.00064903i,0.00011628-0.00053212i,0.0001757-0.00010734i,4.2316e-05+9.6521e-05i,0.00023073-2.5697e-05i,0.00078917+0.00037101i,0.00082983+0.0013721i,6.0971e-05+0.0015608i,-2.6401e-05+0.0012811i
0.0014213-0.00051118i,0.0010451-0.0013593i,-0.00027996-0.00043546i,0.00029359+0.0011467i,0.00044885+0.0018133i,-0.00082107+0.00091579i,-0.0015984+0.00020527i,-0.0015352+0.00074947i,0.00024548+0.0013507i,0.0013889-9.2239e-05i,0.00060825-0.002573i,-0.00019631-0.0030149i,-0.00044696-0.001292i,-0.0013754-1.6887e-05i,-0.0011977+0.0006144i,-0.00011573+0.0010596i,0.00030895+0.00069362i,0.00022197+0.00033935i,0.00065012+0.00012825i,0.0011977-0.00013691i,0.00093956+0.0002808i,0.00094024+0.00046539i,0.0015312+0.00084647i
0.00048711+0.003333i,0.00052957+0.0013648i,0.00042871-0.0016639i,-0.00087815-0.0015051i,-0.0013014-0.001201i,-0.00040933-0.0016941i,-0.00020089-0.002107i,0.00013407-0.0027429i,0.00024461-0.0035179i,-0.0011093-0.0046567i,-0.0026522-0.0040853i,-0.0022565-0.0019404i,-0.00083281-2.772e-05i,0.0003201+0.00094718i,0.0013218+0.001382i,0.0022241+0.0014072i,0.0015863+0.0013101i,0.0005849+0.00091628i,0.00071317+0.00042078i,0.00022099-0.00033448i,-9.9228e-05-0.0013509i,-0.00016322-0.0013406i,-7.6847e-05-0.00075531i
