0.0043953-0.00049247i,0.0050561-0.0013943i,0.0037516-0.0034515i,0.00011254-0.0027868i,-0.002862-0.00043137i,-0.0032422+0.0014066i,-0.0014119+0.0015957i,-0.00048368+0.0011214i,-0.00018897+8.9799e-05i,-8.6245e-05-0.0011646i,9.239e-05-0.0014636i,4.94e-05-0.00041778i,0.00026907+0.00058977i,0.00063683+0.0012176i,-0.00019635+0.0011418i,-0.00069117+0.000853i,-0.00065273+0.00052065i,0.00057075-0.00062603i,0.0012802-0.00048231i,0.00072736+0.00058868i,0.00039621+0.0012087i,0.00034343+0.00092767i,0.00082222+0.00055107i
0.00099994+0.0016475i,0.00050931+0.0016741i,0.0015539+0.00085168i,0.0026218-0.00026167i,0.0024449+8.0622e-05i,0.0017976+0.00040682i,0.00064751-0.0001753i,-0.00020565-0.001154i,-0.00014815-0.0015485i,0.00059843-0.0010333i,0.00075989-0.001088i,0.00013759-0.001304i,-0.00067466-0.00031952i,-0.0012953-0.00011559i,-0.00055182-0.00025551i,0.00088181+0.000445i,0.00099786+0.00076766i,0.00060924+0.00025826i,0.00047193+0.00015123i,0.00041788-6.5952e-05i,0.0004083-0.00044046i,-8.454e-05-0.00042782i,-0.00022629+4.0386e-05i
-0.0019783+0.0015804i,-0.0017689+0.0015164i,-0.0011085+0.0011035i,0.00027608+0.00060446i,0.0015329-0.00016915i,0.0019129-0.00066102i,0.0012739-0.00070187i,0.00076853-0.0010887i,0.00041353-0.0011765i,0.00042446-0.00037506i,0.0010951+0.00052937i,0.0005474+0.000228i,2.6357e-05-0.00076017i,-3.8578e-05-0.00096118i,-0.00021825-0.00088536i,-0.00028834-0.00079605i,-0.00070615-1.4893e-05i,-0.00051266+0.00063119i,0.00020285+0.00021958i,0.00016924-0.00019603i,0.00082103-0.00031005i,0.0010681-0.00021652i,0.00043964+0.0001482i
0.0015647-0.0024243i,0.0010637-0.0017925i,0.00047126-0.0013994i,-0.00010451-0.001009i,-0.0006997+0.00035992i,-0.0010692+0.00044414i,-0.00090427-0.0010901i,-0.00036134-0.00089372i,-0.00014792+0.00011111i,-4.4187e-05+0.00029249i,-0.00042444-6.581e-05i,-0.000633-0.00062757i,0.00016272-0.00069566i,0.0013409+6.2562e-05i,0.0011098+0.00052382i,3.4778e-05+0.00013605i,-0.00036615+0.00013548i,0.00015336-5.2312e-05i,0.0002776-9.7119e-05i,0.0006451+7.0547e-05i,0.00062115+0.00049024i,-0.00030152+0.00030563i,-0.00066659-0.00013134i
0.00052141-0.00050846i,-0.00051186-0.00087747i,-0.00061489-0.00063893i,-0.0006356+0.00049784i,0.00022382+0.00099638i,0.0011719+0.0018928i,0.00017109+0.0016398i,-0.00044385+0.00047748i,-1.4534e-05+0.00019552i,-5.8513e-05+0.00028214i,-9.2964e-05+0.00061092i,0.00032652+0.0001784i,5.0656e-05-0.00035801i,-0.00012734-0.00010679i,-0.00019677+0.00048508i,-0.00010555+0.00017671i,-0.0001108-0.00038977i,-0.00043985-0.00013202i,-0.0008948-0.00020293i,-0.00077907-3.8312e-05i,-0.00036514+0.00014691i,-0.00032854+2.9838e-06i,-0.00029112-4.2798e-05i
-0.00086574+0.0010659i,-0.00040357+0.0013334i,0.00076259+0.00088647i,0.0010894+0.00026042i,0.0011008-0.00058165i,0.0012392-0.0011374i,0.0013915-0.001231i,0.00069153-0.00090368i,0.00093119-0.00058154i,0.00095871+0.00036146i,-2.777e-05+0.00022518i,-0.00067217-0.00051637i,-0.00071329-0.00060303i,9.4554e-05-0.00071935i,0.00081339+8.463e-05i,0.00029189+0.00045946i,1.165e-05-0.00013494i,0.00044627-6.0819e-05i,0.00049832-8.0905e-05i,4.2509e-05-0.00059801i,-0.0001049-0.0009289i,0.00042105-0.0010865i,0.00091046-0.001254i
-0.0023965-0.0010296i,-0.0021884-0.0012226i,-0.0012766-0.0010848i,-0.00041063+0.00018618i,-7.7554e-05+0.0015064i,-0.00052864+0.0013178i,-0.0001222+0.0006211i,0.00037246+8.5126e-05i,-0.00013914-0.00010535i,-9.752e-05-4.885e-05i,3.9281e-05+0.00037784i,0.00028204+0.00050137i,-0.00011153+4.1342e-05i,-0.00018551-0.00033328i,-0.00012763+4.0072e-05i,-0.00041023+0.00084211i,-0.00026498+0.00084964i,7.2402e-05+0.00031224i,0.00038473-0.00027193i,3.1873e-05-0.00086956i,-0.0010548-0.00064209i,-0.0011208+0.00013386i,-0.00053503+0.00050807i
-0.001305+0.0015884i,-0.0014065+0.0020064i,-0.0010704+0.0014599i,0.00013472+0.00021853i,0.0006987-6.7336e-05i,0.0010658+0.00016725i,0.0006837-0.00048535i,-2.1072e-05-0.00071419i,4.4509e-05-0.00032824i,0.00018958+0.0002951i,-0.00040776+0.00058955i,-4.895e-05+1.0036e-05i,0.00032437-0.00034751i,-4.7059e-06-0.00023815i,-0.00025038-2.4328e-05i,-0.00033452-6.5097e-05i,-0.00068211-0.00013925i,-0.0006371-0.00041063i,0.00061377+4.6202e-06i,0.00046942+0.00028369i,0.00016417-0.00042193i,0.00038949-9.8283e-05i,-0.00036701+0.00026741i
-0.0011454-0.00072362i,-0.00074664-0.00082776i,-0.00048905-0.0010477i,-0.00033624-0.00028413i,-2.684e-05+0.0004554i,-1.7693e-05+6.3771e-05i,0.0001055-0.00074825i,0.00040238-0.0013827i,0.00022172-0.00095579i,-0.00032413-0.00032553i,-0.0004776-1.5101e-06i,2.7394e-05+0.00016974i,0.00035563-0.00015123i,0.00084683-0.00056071i,0.001054-0.00040114i,0.0011825-0.00066409i,0.00074968-0.00068831i,0.00016585+0.00031674i,0.00019414+0.00063362i,0.00066042+0.00019703i,0.00063269+1.1225e-05i,-8.8662e-06+0.00055956i,-0.00055915+0.0001468i
0.0027077+3.0098e-05i,0.0023235+0.00063455i,0.0016903-0.00056556i,0.00045602-0.0018095i,-0.00026189-0.0015356i,-5.8311e-05-1.5033e-05i,0.00033141+0.00055742i,0.00062361+0.00016486i,-0.00028974-0.00070367i,-0.00080635-0.001347i,-0.00081031-0.0015382i,-0.0002749-0.001354i,-7.883e-05-0.00073202i,-0.00029948-0.00021652i,-0.00025776-0.00042266i,-0.00025986+5.8295e-05i,-0.00015797+0.00061574i,0.0002346+0.0010791i,0.00010654+0.0013242i,-0.00038124+0.0010423i,1.0021e-05-0.00011553i,0.0011837-0.00049413i,0.0013188+0.00010185i
0.00067727-0.0014905i,-0.0003938-0.0017275i,-5.0267e-05-0.0015625i,0.00087907-0.00050572i,0.0013335+0.00013957i,0.0015659+0.0003699i,0.00080872+0.00047501i,-5.4303e-05+0.00018215i,-0.00017097-0.00030746i,-0.00038324-0.00039473i,-0.00051699+0.00027699i,-0.0004923+0.00051195i,-2.1788e-05+0.0003558i,0.00058527-8.1182e-05i,0.00082271-0.00068441i,0.00037284+9.5294e-05i,0.00019991+0.00050079i,0.00039684+7.6285e-05i,7.2519e-05+0.00010983i,-0.00019744+0.00034117i,5.2116e-05-1.95e-05i,0.00024136-0.00028972i,-0.00025364-0.00012318i
