-0.0031166+0.0002554i,-0.0032695-9.7925e-05i,-0.0020543+0.0014098i,-0.00017164+0.00060025i,0.0012656-0.00080508i,0.0015131-0.00072293i,0.00028785+0.00012105i,8.3375e-05+0.00066103i,0.0012672+0.00077225i,0.0013067+0.0011881i,0.00074557+0.0011881i,0.00053255+0.00041731i,0.00088369-0.00028962i,0.0012671-0.00049474i,0.00081162-0.00069772i,0.00016182-7.8748e-05i,-0.00031214+0.00089807i,-0.00071525+0.00065394i,-0.00060167-2.6023e-05i,-0.00063005-0.00041218i,-0.00065067+6.4757e-06i,-0.00033107-9.4319e-05i,-0.00015865-0.00012474i
-0.00024634+0.0013312i,0.0013402+0.0013672i,0.0032079+0.00049761i,0.0035194-0.00020138i,0.0028686-7.4966e-05i,0.0024613+0.00014174i,0.001332+0.00015964i,0.00025973+0.00032102i,-2.4369e-05+8.6971e-05i,-0.00019565-0.00011125i,-7.8342e-05+0.00044834i,0.00051458+0.00032415i,0.001119+0.00022031i,0.0011529+0.00053024i,0.00088946+0.00037401i,0.00016246-5.7024e-06i,-0.00056993-0.00072777i,-0.00031043-0.00025837i,2.4865e-06+0.0010141i,-0.00014085+0.0011925i,-0.00059704+0.00076872i,0.00018986+3.168e-06i,0.00090813-0.00072061i
0.00085292+0.00046106i,0.00087866+0.00018715i,0.00070296-0.00057656i,0.0010497-0.0012361i,0.0018374-0.0015339i,0.0018144-0.0010801i,0.00082315-4.7225e-05i,3.4673e-05-0.00020141i,0.0003459-0.00082204i,0.00022242-0.00049028i,-0.00024226+8.1776e-06i,-4.2056e-05-0.00043755i,-0.00015677-0.00056401i,-0.00068053-0.00043353i,-0.00065007-0.00053679i,-0.00022957-0.00048203i,-8.4238e-05+0.00012821i,0.00054609-0.00012215i,0.00062359-0.00018112i,0.00035463+0.0004368i,-0.00023169+0.00043181i,-0.00069387+0.00020962i,-0.00014598+0.00052036i
0.00018566-0.0017714i,0.00051406-0.0012939i,0.0010565-0.00071038i,0.00051009-0.00090583i,5.0229e-05-0.00083048i,0.00057195-0.00019717i,0.00096721+3.8977e-05i,0.00088306-0.00055082i,0.00019113-0.00068852i,-0.00017826-0.00053148i,-4.2282e-05-0.00075532i,0.00013587-0.00041398i,-0.00024292+0.00075991i,-0.00044651+0.00069079i,-0.00052621-0.00016389i,-0.00056568-0.00063949i,-0.00033243-0.00026045i,1.1429e-05+0.00043189i,0.00015546+0.00049742i,3.6495e-05+0.00058908i,0.00037089+0.00023115i,0.00057937-0.00023835i,0.00019633+0.00024979i
0.00098009+0.00033368i,0.0017187-0.00013766i,0.0021471-0.0010029i,0.0026205-0.0017076i,0.0021512-0.0021219i,0.0011288-0.0020218i,0.00093943-0.0013188i,0.00011902-0.00052752i,5.3234e-05-0.00029679i,7.2014e-06+0.00056362i,-0.00040871+0.0012215i,-0.00053764+0.00039822i,-0.00028003-0.0002559i,0.00015813+0.0001088i,-0.00021078+0.00030439i,-3.5177e-05+6.4708e-05i,0.00035112-0.00052747i,-0.00015477-0.00045633i,-0.0013622-0.00025062i,-0.0013039-0.00061761i,-0.00015306-0.00042126i,0.00015119-0.00017917i,0.00029806-0.00044891i
0.00064168-4.9211e-06i,0.00076426-0.00014715i,0.0010528+5.5319e-05i,0.0011609-0.00081961i,0.00068071-0.0018201i,0.00035057-0.0011508i,0.00047417-0.00042845i,0.0010601-0.00098259i,0.00092976-0.001481i,0.00019051-0.00051162i,0.00014289-0.00011503i,0.00056867-4.4841e-05i,0.00091195+0.00049155i,0.0013032+0.00033276i,0.0013256+0.00054344i,0.0011634+0.00093351i,0.00040536+0.00061706i,0.00025374+0.0005858i,5.2141e-05+0.00066032i,-0.000174+7.3358e-05i,-0.00030453+0.00050989i,-3.531e-05+0.00099573i,-6.0728e-06+0.00028572i
0.00050937-0.00042577i,0.0017434+5.2901e-05i,0.0024782+6.8715e-05i,0.0030301-0.00073348i,0.0024004-0.0018309i,0.0014275-0.0017258i,0.00042678-0.00023015i,-0.00025211+0.00028798i,-0.00017898-0.00023775i,-0.00015013-0.00041944i,-8.8776e-05-0.00023744i,-0.00062949-0.00044354i,-0.00077234-7.6172e-05i,-0.00040562+0.00090815i,0.00010563+0.0013842i,0.00035723+0.00063576i,0.00038723-0.00056199i,-0.00011974-0.0006339i,-0.00014372-0.00023693i,0.00039159-8.2642e-05i,0.0002028-0.0003202i,-5.5991e-05-0.00040482i,-0.00047409+0.00011884i
-0.0010536+7.1713e-05i,-0.00042937+0.00017526i,-0.00014794+0.001092i,0.00096918+0.00061228i,0.0019914-0.00076582i,0.0019554-0.0020487i,0.0012969-0.0012351i,0.00026094-5.0698e-05i,0.00044055+0.00019922i,0.0012669-0.00036368i,0.0015138-0.00039647i,0.0010217+0.00054277i,0.00057678+0.00019495i,0.00027974-0.00046207i,-0.00025562-0.00036755i,3.4379e-05+8.9274e-05i,5.7648e-05+0.00031186i,-0.00026836-0.00059703i,-0.00017461-0.0011346i,-6.402e-05-0.00010822i,-0.00035857+0.00013452i,-0.00044146+0.00023373i,0.00023125+0.00042451i
0.00090311-0.00095834i,0.0018725-0.0022022i,0.0018777-0.0028496i,0.0012228-0.0022946i,0.00021895-0.0017674i,0.00085299-0.0015039i,0.0011434-0.00044026i,6.5047e-05-0.00018519i,0.00011357-0.0011218i,0.00037239-0.001631i,0.00052065-0.0012042i,0.00077622-0.00059439i,0.00097924-0.00010287i,0.0011177+0.00078797i,0.0005678+0.0015716i,-0.00020039+0.00096164i,0.00026855-0.00028376i,0.00053541-0.00043249i,-0.00028414+2.3081e-05i,-0.00096545+0.0005333i,-0.00044985+1.215e-05i,0.00042432-0.00052149i,0.00011685+4.2473e-05i
0.00086299+0.00098591i,0.00094559+0.0011797i,0.0013335+0.00083129i,0.0019404-0.0011282i,0.0019526-0.0024766i,0.00037805-0.0022204i,-0.00021539-0.0010291i,0.00050849-0.00061i,0.0008753-8.4766e-05i,0.00027679-0.00015185i,0.00012067-0.00074955i,0.00039685-0.0010748i,0.00033647-0.001405i,-0.00018227-0.00072077i,-0.00028675-9.1531e-05i,-0.00036756-5.1977e-05i,-0.00034624-0.00058424i,-2.6228e-06-0.00053281i,0.00054895-8.3224e-05i,0.00033755+0.00011955i,-0.00058479-0.00011746i,-0.00051015-8.1495e-05i,0.00059391+0.00038376i
0.000151+0.001119i,0.00041643+0.0012099i,0.0014004-0.00036033i,0.0025152-0.0011155i,0.0024941-0.0011115i,0.00092443-0.0004614i,-0.00068097-4.9204e-05i,-0.00054501-0.00031227i,0.00036335+2.5931e-05i,0.00058779+0.0006994i,0.00044564+0.0010953i,0.00045203+0.00046694i,-5.4148e-05-0.00033364i,-0.00027047-0.00091052i,0.00036372-0.001193i,0.0002595-0.00095669i,-5.775e-05-0.00060793i,-0.00037518-0.00020491i,-3.4457e-05+0.00038395i,0.0005483+0.00065245i,0.00084164+0.00046617i,0.00099083+0.00073203i,0.00046621+0.00077248i
