-0.0022064+0.00097204i,-0.00034964+0.00027688i,-0.00055789+0.00038416i,-0.00010955+0.00010457i,0.00050369+0.00061829i,-0.00025431+0.0017905i,-0.00071674+0.0012i,0.00025853-2.8923e-05i,0.0015284-6.5358e-05i,0.0016253+3.9692e-05i,0.00081863-0.00074056i,0.00040842-0.0017674i,-1.0559e-05-0.0018972i,-0.00072741-0.0014574i,-0.0012826-0.001385i,-0.00058095-0.00074806i,0.00045331+0.00010643i,0.00037802+0.00016369i,0.00016369-0.00032681i,3.1315e-05-0.00061326i,0.00027441-0.00030899i,0.00081649+8.2178e-05i,0.00026449+3.7246e-05i
-0.0008693+0.0003491i,-0.001183+0.00017561i,-8.1726e-05+0.00022708i,0.00043348+0.00067954i,0.0011176+0.0010827i,0.0015703+0.00098662i,0.0006645+0.00052033i,0.00038395+0.00013928i,3.5407e-05-9.8881e-05i,2.4064e-05-0.00038946i,0.00041351-0.00064942i,0.00046334-0.00086773i,0.00010854-0.00089503i,-0.00077698-0.00037747i,-0.00036202-1.1785e-05i,0.00061646+7.1928e-05i,0.0011379+0.00059747i,0.000493+0.00010569i,-0.00041569-0.00052759i,-0.00023253-0.00080088i,-3.4866e-05-0.00093333i,2.5199e-05-0.0009719i,2.7249e-05-0.0013404i
-0.00052437-0.0018656i,0.00026341-0.0004016i,0.00040891-0.00017188i,0.00044612-0.00036989i,-0.0002249+0.00047663i,-0.00048906+0.0016432i,0.0010439+0.0020052i,0.0019488+0.0014863i,0.0013903+2.4386e-05i,0.00038063-0.00040127i,-0.0013108+0.00026763i,-0.0016258+0.00069325i,-0.00074986+0.00075356i,-9.9559e-05+9.8127e-05i,0.0003744-9.2761e-05i,0.00032098+0.0010557i,-0.00018477+0.0010517i,0.00039176-9.4206e-05i,0.0011781-0.00027186i,0.00083432+0.0001763i,0.0002151+0.00029401i,7.3643e-05-4.5255e-05i,-0.00064829-0.00049941i
-0.00083795+0.0012559i,-0.00095861+0.0017132i,2.4589e-05+0.00070285i,0.0012561+0.00023245i,0.0019456+0.0003596i,0.0014413+0.0010535i,0.00022036+0.0011107i,0.00024153-3.3821e-05i,0.0010372-0.00032084i,0.00090005+0.00054515i,0.00076151+0.00076827i,0.0015056+0.0005282i,0.0012204-0.00011566i,0.00024279-0.00015178i,-0.00040748+0.00012588i,-0.00063995-9.2552e-05i,-0.00039204+0.0001457i,0.00052455+0.00078117i,0.00029501+0.00051164i,2.4589e-05-6.8361e-05i,0.0010215-0.00015595i,0.0010258-5.3662e-05i,0.00042034+0.0001741i
-9.3554e-05+0.00068792i,-0.00046045-0.00018531i,-0.00028905-0.00051054i,0.00058876-0.00013256i,0.00070252+0.00037824i,5.1693e-05+0.00088914i,-0.00015555+0.00089794i,0.00012317+0.0001154i,0.00073241-0.0012318i,0.00068349-0.0014787i,0.00026159-0.00050573i,0.00030209+0.00015459i,0.00035402+0.00024097i,0.0004208+9.3403e-05i,0.00013435+0.00024496i,-0.00012082+0.00046153i,-0.00034051+0.00080667i,-0.00049947+0.00046434i,-9.0708e-05-9.5678e-05i,0.00024437-0.00030894i,0.00026996-0.00068077i,0.00016146-0.00082373i,-0.00059754-0.00058235i
-0.00053408-0.0010395i,0.00027006-0.0015921i,0.00076868-0.0012306i,0.0011288-0.00062909i,0.0011541-0.0002767i,0.00073171+0.00092032i,0.00030578+0.0018491i,0.00070112+0.00093253i,0.00060877+5.2896e-05i,3.1504e-05-0.00057305i,0.00017562-0.00088347i,-1.7822e-05+9.4089e-06i,-0.00066827+0.00061272i,0.00040676+0.00032396i,0.00052298-0.00014334i,-9.757e-05+0.00015273i,0.00057637+0.0012483i,0.00059563+0.0010661i,0.00024809-6.5792e-05i,0.00055624-0.00024618i,-0.00015218-0.00010465i,-0.00065402-0.00055827i,-0.00036595+3.5573e-05i
0.00017075+0.0014493i,-0.00029709+0.0012095i,0.00016145+0.00060715i,0.0010508+0.00024193i,0.00094777+0.00019039i,-0.00075197+0.00043415i,-0.00050117+0.00039198i,0.00097999+0.00063973i,0.0012375+0.00021115i,0.0014067-0.00060507i,0.0014697-0.00070491i,0.00048964-0.00034938i,-0.0002386-0.00051061i,-0.0005272-0.0009881i,-0.00038925-0.00062141i,0.00022595+0.00063925i,-0.00011028+0.0012528i,-0.00028599+0.00069363i,0.00027011-0.00017686i,-5.2253e-05+4.9851e-05i,-0.00050841+0.00049454i,-0.00044629+0.00030873i,-0.0001719-0.00043612i
-8.4034e-05+0.001647i,0.0002333+0.0013969i,0.00085669+0.00025155i,0.0012834-0.0011058i,0.0014686-0.0014125i,0.0017527-0.00058121i,0.0018733+0.00062466i,0.0018501-7.3702e-05i,0.0021203-0.0013149i,0.0015435-0.0015921i,0.00030378-0.0010261i,0.00014646-0.00032436i,0.0002993+0.00026794i,-0.00083552+0.00054107i,-0.0011862+0.0002513i,-0.00085088+0.00077475i,-0.00077375+0.0010409i,-0.00098541+0.00066395i,-0.0006921+0.00018517i,-5.9107e-06+0.00026072i,0.00012432+0.00040036i,-3.2539e-05+4.3459e-05i,1.5644e-05-0.00072973i
-0.00054794-0.00027196i,-0.0002703-0.00051524i,0.00043796+0.00013251i,-0.00012537+0.0010341i,-0.00045711+0.00065063i,0.00041762+0.0009966i,0.00073523+0.0010484i,0.00042087-2.5822e-05i,0.00031779-0.0011225i,1.6965e-05-0.0014811i,6.6837e-05-0.001017i,9.5242e-05-0.00036089i,-0.00019245-0.00047649i,-0.00017634-0.00094087i,0.00049737-0.00091102i,0.00076383-0.00076527i,0.00026116-0.00039169i,0.00034424+0.00014236i,0.00041481+0.00028426i,-9.4477e-05-0.0004462i,-0.00062639-0.0010675i,-0.00025138-0.00094681i,-3.3586e-05-0.00033107i
-0.00013025-0.00016759i,2.9207e-05+0.00028165i,0.00021819+0.00026098i,0.00010578-0.00057607i,0.00097666-0.00056672i,0.00089529+0.00019022i,0.00031823+0.00031875i,0.00037396-0.00022427i,0.0010093-0.00080265i,0.0010036-0.00038583i,0.00075977+0.00013888i,0.00049485+0.00033501i,-2.0391e-05+0.00040252i,0.00016223+0.00012319i,0.00051153+1.8817e-05i,9.0449e-05+0.00035144i,-0.00048232+0.0004752i,0.00015194+7.1086e-05i,0.00078873+4.1683e-05i,0.0005138+8.4195e-05i,0.00032054-0.00064392i,0.00024788-0.00081243i,-0.00069525-5.2773e-05i
0.00069127-0.00065308i,0.0010507-0.00019171i,0.00080821-0.00033817i,0.00085838-0.00028899i,0.0002724+6.8236e-05i,-8.3973e-05+0.00071753i,6.773e-05+0.0016471i,-0.00027132+0.0011484i,-0.00031375-0.00070298i,2.1213e-05-0.00087178i,-4.4093e-05-0.00054975i,-0.00086813-0.00055277i,-0.0012004-0.00045651i,-0.00032095-9.107e-05i,0.00028897+0.00030161i,0.00089743+0.00051532i,0.00080912+0.00031071i,0.00068998+5.9497e-05i,0.00076349+0.00043931i,0.00076842+0.00052355i,0.00051605+0.00057774i,-0.00016466+0.0010222i,-0.00079953+0.0011603i
