-0.0022064+0.00097204i,-0.00034964+0.00027688i,-0.00055789+0.00038416i,-0.00010955+0.00010457i,0.00050369+0.00061829i,-0.00025431+0.0017905i,-0.00071674+0.0012i,0.00025853-2.8923e-05i,0.0015284-6.5358e-05i,0.0016253+3.9692e-05i,0.00081863-0.00074056i,0.00040842-0.0017674i,-1.0559e-05-0.0018972i,-0.00072741-0.0014574i,-0.0012826-0.001385i,-0.00058095-0.00074806i,0.00045331+0.00010643i,0.00037802+0.00016369i,0.00016369-0.00032681i,3.1315e-05-0.00061326i,0.00027441-0.00030899i,0.00081649+8.2178e-05i,0.00026449+3.7246e-05i
0.00051142+0.0011347i,0.0004045+0.00023704i,-1.048e-05-0.00036574i,4.451e-05-0.00085382i,0.00026718-0.00080714i,-0.00024663-0.00022469i,0.00042271-0.00081728i,0.0011715-0.00099195i,0.00092199-0.00055746i,0.0005117-0.00057001i,0.00041395-0.00098278i,0.00050567-0.0009712i,0.0010513-0.0007343i,0.00078595-0.0002272i,-0.00031637+0.00031906i,-0.00020127+0.00016246i,-0.00013048+0.00046203i,0.00060756+0.00072955i,0.00085373+0.0004704i,7.1759e-05+0.00024089i,-0.00047819-0.00021319i,-5.4328e-05-0.00052232i,0.00068295+0.0001389i
0.00021314+0.0015357i,0.0011382+0.0015006i,0.0024422+0.0013706i,0.002013+0.00050808i,0.0013349+0.00033255i,0.0011525+0.00059252i,0.00095822+0.0013968i,0.00096161+0.0012572i,0.0012299-0.00016465i,0.0012841-0.00062902i,0.0003923-0.00029141i,-0.00064487+0.0002944i,-0.00086332-0.00035725i,-0.0011895-0.00095917i,-0.0011801-0.00031431i,-0.00074447-4.9502e-05i,-0.00069286-1.1141e-05i,0.00033053+0.00028746i,0.00089558+0.00071146i,0.00019611+0.0009934i,4.3958e-05+0.00087093i,0.00038694+0.00023445i,-0.00022529+5.0125e-05i
-0.000869-0.00090634i,8.9497e-05-0.00030964i,4.2034e-05+0.00026002i,0.0010945+5.121e-05i,0.0015079-0.00064953i,0.00080149-0.00065538i,0.00031689-0.00026979i,0.00045541-1.038e-05i,0.0009281+9.8401e-05i,0.00053813-0.00061097i,0.00024197-0.0015759i,0.00023097-0.00084132i,-0.0002949+0.00015604i,-0.00081277-0.00037576i,-0.00072919-0.00030861i,2.7262e-05+0.0004019i,0.00049982+0.00044289i,0.00066717+0.00078721i,0.00047533+0.00026571i,2.4473e-05-2.7343e-05i,-0.00030856+9.3332e-05i,7.7491e-05-0.00073058i,0.00055596-0.00046631i
0.00093272+0.0003992i,0.00059654+0.00043212i,-0.00018415+0.0011371i,-5.7418e-05+0.00075339i,-0.00064806+0.00024805i,-0.0014005+0.0011396i,-0.00090249+0.0021944i,6.7517e-05+0.0015102i,0.00070664-0.00052827i,0.0006747-0.0012433i,0.00029527-0.000722i,-0.0004308-0.00056352i,-0.00028919-3.7031e-05i,0.00028357+0.0012722i,-1.8091e-05+0.0011496i,1.6114e-05+0.00030837i,-9.5327e-05+0.0003803i,-0.00017267+0.0002097i,0.00025187-0.0002992i,0.00044088-0.0004945i,0.00011745-0.0012067i,1.6404e-05-0.0015875i,0.00040705-0.00098651i
0.00046552+0.0013973i,0.00073445+0.0012556i,0.00096699+0.00019986i,0.0012851-0.00030968i,0.0011506-0.00010282i,0.00020934+0.00026166i,0.00022498+0.0010648i,0.00036275+0.0014769i,0.00017262+0.0007164i,0.00035976-0.00064423i,0.00023699-0.0010896i,7.8377e-05-0.00057683i,3.6025e-05-0.00033275i,0.00019338-0.00012942i,0.00025324+0.00080134i,-7.5921e-05+0.0014257i,-0.00013825+0.00086525i,-0.00069803+0.00014114i,-0.00076117+2.4749e-05i,0.00020918+0.0004166i,0.00068463+0.00046691i,0.00049118-2.4115e-05i,0.00010851-0.00019606i
0.00046744+0.0013262i,-0.0010246+0.00075978i,-0.00034182+0.00043923i,0.00067373-2.8139e-05i,0.0010999-0.00070428i,0.0007957-0.00038377i,0.00061295+0.00066672i,0.0011699+0.0006718i,0.0012246+0.00032081i,0.00065726+9.5773e-05i,0.00015695+0.00032791i,-0.00015871+0.000809i,-0.00034021+0.00040367i,-0.00086567+4.8401e-05i,-0.0009935+0.00079222i,-0.00039927+0.0015216i,0.00028752+0.001475i,0.00064472+0.001098i,0.00036234-0.00020854i,0.00025291-0.00071858i,8.7707e-05+0.00027307i,0.00026471+0.00055074i,0.00035255+0.00013562i
-2.9639e-05+0.0011634i,7.2941e-06+0.00094965i,0.0002866-0.00026133i,0.00097623-0.0016304i,0.0013667-0.0014675i,0.00099499-0.0008637i,0.00033802-3.2299e-05i,0.00030785+0.00087061i,0.00082909+0.00058385i,0.00085078-0.00028665i,-5.1165e-05-6.9981e-05i,-0.0010647+0.00043287i,-0.00094726+0.0002557i,-0.00051722+0.00087917i,-0.00017543+0.0011612i,-0.00014363+0.00044271i,-6.6261e-05-0.00022033i,0.00027548+0.00019242i,0.0001875+0.00037293i,-0.00016905-0.00012803i,0.00025078+0.00022268i,0.00032248+0.00021175i,0.00056304-0.00015589i
0.00047539+0.001623i,-0.00037024+0.0014662i,-2.2255e-05+0.0013489i,0.0017326+0.00058753i,0.0024127-0.00047044i,0.0010278-1.8645e-05i,-0.00025558+0.0015788i,-0.00016142+0.0010243i,0.00015235-0.00011671i,0.0002181-0.0001122i,0.00053457-0.00049135i,0.00018832-0.00019788i,-0.0002365+0.00062108i,-0.0012314+0.00093598i,-0.0014984+9.8773e-05i,-0.00062038-8.1605e-05i,-0.00042423+0.00032756i,-0.00028872+0.00062604i,-0.00068947+0.00066875i,-0.00038127+0.00012773i,0.00024234+7.7379e-05i,0.00019932+0.00071124i,-0.00048019+0.00023093i
0.00026155-9.2374e-06i,0.00051439-0.00046622i,0.00063556-0.00056713i,0.0007047-0.00086599i,0.00065352-0.00068724i,-0.00017207-0.00043121i,-0.00014852-0.00036622i,0.00041083-0.00087453i,6.0813e-05-0.0018523i,-0.0002975-0.0017185i,0.00015922-0.0011891i,2.2424e-05-0.00049459i,-0.00088631-0.00011167i,-0.00055792+1.2412e-05i,-0.00011821+0.00017172i,-0.00039261+6.8153e-05i,-2.96e-05-0.00056265i,0.00041636-8.0427e-05i,0.00033587+0.00050875i,0.00058322-0.00041313i,0.00042508-0.00027704i,-0.00057112+0.00033012i,-0.00097276+0.00032012i
0.0017904+0.0012533i,0.00089527+0.0002548i,6.0714e-05+1.9669e-05i,0.00082193-0.00049913i,0.0014614-0.0012968i,0.0011485-0.00093573i,0.00086956+0.00039188i,0.0011091+0.0010622i,0.001166+0.00070798i,0.0001739+1.404e-05i,-0.00027687-0.00060906i,0.00014439-0.00062918i,0.00055465-0.0002802i,0.00022442+0.00040022i,-0.00041798+0.00045923i,-0.00054763+0.00012435i,6.9177e-05+9.1694e-05i,0.00073766+0.0001114i,0.00099674-0.0003027i,0.00055252-3.2166e-05i,-0.00034914+0.00074857i,-0.00036719+0.00045566i,0.000402-0.0001629i
-0.0015915+0.001623i,-0.00078335+0.0014021i,-0.00072119+0.00086291i,-0.00032979+0.0010093i,-0.00076838+0.0013075i,-0.00091877+0.0017283i,-0.00032169+0.0010758i,0.00015169-0.00015742i,0.00064301-0.00062542i,0.0011325-0.00097433i,0.001384-0.0011891i,0.0012431-0.0012208i,0.00056702-0.00047761i,-0.0002187+0.00032216i,-0.00043855+8.831e-05i,-0.0002892-0.00011059i,-0.00019699+0.00031058i,9.3381e-07+0.0007116i,4.4806e-05+0.00015131i,-8.6409e-05+0.00020019i,-7.252e-05+8.8048e-05i,-8.9533e-05-0.00045731i,-4.4318e-05-0.00041216i
-0.0013001-0.0018256i,-4.7336e-05-0.00064882i,0.00039125-0.00077071i,0.0013998-0.001131i,0.0011735-0.00093231i,0.00073266-0.00040994i,0.00080757+0.00010797i,3.0909e-05-0.00025523i,-0.00053398-0.0010539i,-0.00048421-0.00083384i,-0.0010112-0.0007377i,-0.001648-0.00050673i,-0.00096878+0.00016211i,-7.6554e-05+0.0001866i,-4.9502e-05-1.2737e-05i,-5.2803e-05+0.00017208i,0.00011192+6.4716e-05i,0.00017506+0.0002308i,0.00020456+0.00040134i,0.00078513+0.00031176i,0.001019+0.00027192i,0.00069091+0.00017112i,-0.0002639+5.9057e-05i
-0.00059685-0.00083729i,0.00023868-0.00088819i,0.0013863-0.00013872i,0.0019334+0.00017973i,0.0019722+0.00021126i,0.0014881+0.00034899i,0.00081544+0.00065666i,0.00065855+0.00034286i,0.0011547-0.00043799i,0.0010323-0.00063565i,0.00013255-0.00065079i,-0.00056314-0.00086323i,-0.00026739-0.0010885i,4.6678e-05-9.0796e-05i,-0.00018413+0.0006383i,0.00030249+0.00092255i,0.0010597+0.0013232i,0.0011957+0.00066374i,0.00097685-0.00044085i,0.00038365-0.00058257i,0.00019576+0.00016245i,0.00043452+0.00057771i,0.00061837+0.00059053i
-0.0012919-0.00032574i,0.0001525-0.00046815i,-0.00026159+0.0001866i,-0.00020277+0.00065042i,0.001031-0.00013694i,0.0019473-0.00076192i,0.0015659-0.00046336i,0.00086101-0.00068371i,0.00063205-0.001211i,0.00018489-0.0010718i,0.00010094-0.00075003i,-2.3911e-05-0.00014206i,-0.00082119+2.4107e-05i,-0.001108+8.3504e-05i,-0.00067457+0.00066213i,-0.00095177+0.00046123i,-0.00081272-9.5889e-05i,6.0254e-05-0.00028776i,0.00091307-0.00022866i,0.0015073-3.4018e-05i,0.0015778-1.1042e-05i,0.00078441+0.00011162i,0.00024694+0.00015487i
-0.0024111+0.00055713i,-0.00090856+0.00091779i,0.00097157+0.00080336i,0.0010607+0.00030161i,0.00061457+3.1898e-05i,0.0017774+0.0008711i,0.001684+0.00056576i,0.00071049-0.00025267i,4.1021e-05-0.00024111i,-0.0001233-0.00052833i,-7.6974e-05-0.00084609i,-0.00019685-0.00099361i,0.00013029-0.0012811i,-0.00034911-0.00089679i,-0.0013783-0.00014211i,-0.0013976+0.00080928i,-0.0004555+0.00070329i,0.00036308-0.00028972i,0.00031131-0.00031921i,0.0001575-0.00022554i,-7.6298e-06-0.00057484i,6.6401e-05-0.00063629i,-4.8754e-05-0.000578i
-0.0012976-0.00025464i,-0.00079525+0.0010936i,-0.00072383+0.00084516i,-7.4275e-05+0.00065176i,0.00043319+0.00098193i,0.00084677+0.0013028i,0.0012899+0.0013888i,0.00036063+0.00049259i,-0.00041618-0.00046195i,-0.00019345-0.000891i,0.00014398-0.00026591i,0.00057858+8.0024e-05i,0.00086116+0.00015546i,0.00030455+0.00023131i,0.00015293+0.00042402i,0.00045508+0.00059048i,0.00035197+0.00061765i,0.00052268+0.00064506i,0.00071079+5.7533e-05i,1.9804e-05-0.00070883i,-0.00047112-0.00057578i,-0.00068376-0.00052394i,-0.00074071-0.00022268i
0.0015733-0.0012744i,0.00018282-0.00032162i,-0.00021795-2.9062e-05i,0.00022326-0.00024001i,0.00070179-0.00016733i,0.00083254+0.00078057i,0.00085671+0.0011543i,0.00076667+0.00034404i,0.0011564-0.0011361i,0.0011494-0.001614i,0.00021915-0.00076987i,-0.00011825-0.00020124i,6.671e-05-0.00024854i,0.00051189+0.0001868i,0.00073193+0.00085055i,0.00046766+0.0004834i,0.00070991-0.0001972i,0.00072612-0.00071965i,-0.00029212-0.00055456i,-0.0006354+0.0005915i,0.00034376+0.00061338i,0.00050541-0.00019565i,2.0599e-05-0.00065774i
0.00048756+0.00022134i,0.00052971+0.00027643i,0.00093592-0.00044691i,0.001153-0.0002292i,0.00064102-0.00028228i,0.00044808-0.00030066i,0.0011315+0.00061175i,0.0018356+0.00092479i,0.001158-0.00037046i,0.00045966-0.0008955i,3.3612e-05-0.00020426i,-0.00062202-0.000262i,-0.00029315-0.00038768i,0.00065233-0.00058714i,0.00084428+0.00031055i,7.8318e-05+0.0017004i,0.00016581+0.0018399i,0.0005792+0.0011059i,0.00020625+0.00025299i,0.00016766+0.00028377i,-0.0004535+0.00059625i,-0.0012693+0.00033039i,-0.0008153-0.00021605i
-0.0012833+0.0018177i,-0.00036729+0.0014892i,-0.00041196+0.001662i,0.00010092+0.00082814i,0.0010083+0.00061921i,0.0013571+0.0012621i,0.00056346+0.00097527i,0.00019657+0.00054023i,0.00053883-0.00018775i,0.00069172-0.0011492i,0.00027604-0.0007264i,-0.00039886+0.00010816i,-0.00084184+0.00023187i,-0.00095092+0.00014324i,-0.00086603+0.00041847i,-9.5698e-05+0.00057778i,0.00019232+0.00085822i,0.00025041+0.0014019i,0.00065931+0.0012961i,0.00061258+0.00092526i,0.0002097+0.0008055i,0.00051013+0.00026262i,0.0004606+0.00044874i
-0.0011044+0.0014244i,-0.00034043+0.00038519i,0.00043191+0.00034584i,0.0012756+0.00052727i,0.0021577+0.00022884i,0.0015826+8.8419e-05i,0.00047252+0.00012757i,0.00043623+0.00032862i,0.0002849+2.7312e-06i,-0.00029564-0.00083481i,-0.00047201-0.0010793i,-0.00065287-0.0005551i,-0.00047436+5.8146e-05i,-0.00031506+0.00022225i,-0.00020365+0.00025289i,-0.00018048-0.00033795i,0.00016741-0.00020726i,0.00045607+0.00012347i,0.00048473-0.00052427i,0.00056071-0.00047262i,0.00022737-0.00038019i,0.00024374-0.00060961i,0.00033407-0.00080352i
-0.00040589+0.0011887i,0.00035956+0.00048207i,0.00078883+0.00087797i,0.0021445+0.00044327i,0.0023999+0.00025493i,0.0013686+0.00039266i,0.0006586+0.00034057i,0.00036839+0.00052903i,0.00079091-9.2107e-07i,0.00053695-0.00084685i,9.3507e-05-0.0004473i,9.0948e-05-0.00019474i,-0.00055386+0.00010136i,-0.0012475+0.00058745i,-0.0011001+0.00038755i,-0.00093144-0.00021705i,-0.0003526-0.00016531i,0.0004986+0.00058207i,2.1483e-05+0.00049417i,-0.00036279+0.00064825i,-0.00023876+0.0010187i,-0.00041013+0.00046835i,-0.00013771-0.00058471i
0.001276+0.0017305i,5.0096e-06+0.0014543i,0.00025443-0.00017905i,0.0003956-0.0014905i,2.1577e-05-0.0021054i,-0.0007962-0.0016235i,-0.00081528-6.2213e-05i,-0.00020282+0.00041139i,2.1534e-05-3.1659e-05i,0.00023407-0.0004657i,7.5053e-05-0.00086427i,4.9969e-05-0.00094096i,-0.00034517-0.00023177i,7.8108e-05+0.00072786i,0.001158+0.0011013i,0.00074169+0.00054011i,0.00016594-0.00070826i,-0.00020664-0.00068367i,-0.00037474+0.00030876i,6.9227e-05+0.00066012i,-8.1936e-06-0.00040305i,0.00022585-0.0009396i,0.00076243-0.00057753i
0.0022186-0.0003943i,0.00065227-0.00051396i,0.00091739-0.0010843i,0.00062995-0.0019623i,-0.00020037-0.0015258i,-0.00090081-0.00015194i,-0.0010066+0.00024451i,0.00061653+0.00012914i,0.00073401-0.00025239i,-4.2045e-05-0.00063765i,0.00029056-0.0003409i,-5.7705e-05+0.00027464i,-0.00011316+0.00029349i,-0.00017611+0.00031604i,-0.00014526+0.0007568i,0.00010725+0.00054729i,8.0932e-05+6.9128e-05i,-6.7909e-05+0.0002804i,-0.00037637+0.00049231i,-0.00075211+0.00068102i,-0.00051003+0.00071155i,0.00019044+0.00035184i,0.00071339+0.00019193i
-0.00092043+6.2957e-05i,-0.00070527+0.00021017i,0.00019154+0.00061975i,0.00062487+0.0013863i,0.00036888+0.0013815i,-0.00015647+0.0010506i,-0.0006819+0.000554i,7.3655e-05-7.2783e-05i,0.00098075-0.00044136i,0.0010585-0.00063033i,0.00084797-0.0009217i,0.00019465-0.00081375i,-0.00010609-0.0010084i,-0.00021698-0.0013355i,-0.00033107-0.00073937i,-0.00038668+9.9568e-05i,-6.0211e-05+0.00027997i,0.00046178-0.0002701i,0.0007777-0.00035504i,0.00037405+4.2938e-05i,0.00012908+9.5618e-05i,0.00019313+0.00051951i,-9.6304e-05+0.00029934i
-0.0013059-0.0015421i,-0.0012136-0.0012236i,-0.00069862-0.00025665i,0.00042749-0.00010847i,0.0011332+0.00019371i,0.0013694+0.00098785i,0.00061076+0.00088122i,0.00021837+0.00013503i,0.00038089-0.0005715i,0.00042488-0.00078336i,6.776e-05-0.0012855i,-0.00072227-0.00071556i,-0.00074618-0.00033428i,-0.00087442+3.1955e-05i,-0.000297+0.00056127i,0.00042655+0.00032487i,-7.4376e-05-0.00013201i,-0.00033191-0.00033801i,-0.00048619-3.865e-05i,-0.00040883+0.00043017i,-0.00039361+0.00067585i,-0.00062377+0.00033794i,-0.00056256-0.00078203i
-0.00057031+0.00023848i,-0.00077294+0.0013571i,-0.00077896+0.00044621i,-0.00039734-0.00017279i,-9.4073e-05+0.0002221i,-6.6732e-05+2.5106e-05i,0.00026583-0.00068295i,0.00054806-0.00083145i,0.0001728-0.00067589i,9.4685e-05-0.00069682i,0.00064415-0.00074888i,0.00034717-0.00074873i,-9.7882e-05-0.00071214i,6.7044e-05-0.00066656i,0.00088058-0.00034189i,0.0016132+2.4359e-05i,0.00048062+0.00018442i,-0.00060748+0.00029936i,-0.00052516+0.00044012i,0.00047042+0.00038299i,0.0015943+3.2005e-05i,0.0012087+0.00010461i,-0.00029524+0.00028369i
0.0014251+0.0012899i,0.0008092+0.00097881i,0.0018892+0.00042167i,0.0020967+0.00027577i,0.0013741-1.7783e-05i,0.0012294-0.0001746i,0.0010046+0.00048512i,0.0010879+0.0011335i,0.00073883+0.00050149i,8.8593e-05-0.00015895i,0.00036636-0.00038443i,0.00042976+0.00020956i,0.00011368+0.0010058i,2.2823e-05+0.0012151i,0.0003241+0.0014388i,0.00031515+0.0013074i,0.00024685+0.0010792i,3.5455e-05+0.00069803i,-0.00072599-3.1961e-05i,-0.00158-0.00033315i,-0.0010834-0.000462i,0.00059655-0.00061034i,0.00073552-0.00065025i
-0.00039746+0.0018995i,0.00042966+0.00088711i,0.001244+0.00087601i,0.0019067+0.0014142i,0.0016358+0.00063532i,0.0010145-0.00038714i,-0.00018144+0.00017193i,-0.00052836+0.0002163i,0.00057641+1.5567e-05i,0.00080862-0.00035493i,-0.00039219-0.00072924i,-0.00090665-0.000805i,0.00020218-0.00048138i,0.00014914-0.00019889i,-9.8657e-05+0.00010066i,0.0001578+0.00045015i,0.00063792+0.001269i,0.00079848+0.0013877i,0.00019152+0.0004206i,-0.00055537+0.00027993i,-0.00039116+1.5957e-05i,0.00012103-3.463e-05i,-0.00010989-0.00038392i
-0.0014677+0.00010299i,-0.0015907+0.00087501i,-0.0015718+0.0007194i,-0.00085072+0.00089348i,-2.453e-05+0.00051577i,0.00053188-0.00040495i,8.7122e-05-0.00010749i,-0.00046364+0.00045265i,-0.0004535-1.8008e-05i,-0.00071173-0.00034203i,-0.0010618-4.6238e-05i,6.5714e-05+8.8655e-07i,0.00094687+0.00072619i,0.00057034+0.00085492i,7.3566e-05+0.0014107i,0.00016555+0.0018243i,0.00067513+0.0014466i,0.0010073+0.00080137i,0.0010799+6.8149e-05i,0.000781-9.5742e-05i,0.00037063-0.00058668i,-9.3001e-05-0.00090556i,0.00011364-0.00068059i
0.00066592-0.00042357i,0.0008371+4.8791e-05i,0.0011775-0.0003455i,0.0017342-0.00095028i,0.0019165-0.00051226i,0.00083866-9.2928e-05i,-5.6501e-05+0.0001583i,7.0727e-05+0.0007425i,0.00027625-0.0003026i,0.00014482-0.0016241i,0.00039566-0.00087862i,0.00081956-0.00021403i,0.00079257-0.00022039i,0.00036161-0.00012466i,-0.00018685-0.00014939i,0.00019543-7.3944e-05i,0.00038961-3.0649e-05i,-0.00020526+0.00061487i,-0.00060659+0.00085954i,-0.00068148-0.00018034i,4.406e-05-0.0002986i,0.00015217+0.00028663i,-0.00088593+0.00017083i
0.0011168-0.00012515i,1.1191e-06+0.0011258i,0.00010723+0.00039053i,-0.00038031+0.00046608i,-0.0013877+0.0010895i,-0.0012093+0.0018005i,0.00041632+0.0018755i,0.0023402-1.3018e-05i,0.0025407-0.0014535i,0.00098697-0.0021193i,0.00016902-0.0015658i,0.00044948-0.00069838i,0.00064464-0.00077569i,0.00060486-0.00045772i,0.00031533-0.00054372i,-0.00028137-0.00071978i,-0.00050308-0.00065912i,9.1512e-06-0.00042154i,0.00022268+0.00025595i,0.00031402-1.1228e-05i,0.00047187+1.07e-05i,0.00072152+0.00030215i,0.00044587+0.00012735i
0.00065638+0.00089459i,-5.3527e-05+0.00084978i,-0.00022451+0.00036789i,0.0006987-0.00053617i,0.0012971-0.00063618i,0.00024102+0.00058761i,-0.00066532+0.0010202i,0.00022968+0.00047633i,0.0011491-0.0001263i,0.0006506-0.0010202i,0.00056826-0.0015204i,0.00031799-0.00083436i,-0.00030811-0.00018585i,-0.00062889+0.00086362i,-0.00068399+0.00069526i,-0.0010194-0.00049869i,-0.0013072-0.00051694i,-0.0004334-0.00024499i,0.00032768+0.00018654i,0.00046603+0.00088281i,0.00033616+0.00051583i,-0.00011227-0.00012809i,-0.0005179-0.00017208i
