0.0012382-0.00075481i,0.00070466-0.0024314i,-0.00066823-0.0025581i,-0.0016151-0.00077157i,-0.0022359+0.0013621i,-0.0017068+0.0020745i,0.00037846+0.0020161i,0.0017744+0.0018849i,0.0016793+0.00081203i,0.00077338-0.00033892i,7.2018e-05-0.00053001i,-0.00013373-0.00066619i,0.00025706-0.00062588i,0.00018473-0.00030496i,-0.00065534-0.00028854i,-0.00071422+0.0002901i,-0.00010994+0.0005695i,0.00059582+0.0001327i,0.00079839-0.00030423i,0.00074477-0.00068379i,0.0013084-0.00042182i,0.001109-0.0002456i,0.00046247-0.00026204i
0.00020239-0.0017956i,8.2866e-05-0.0026451i,-0.00017962-0.0016249i,-0.00052204+3.5873e-05i,-0.00035058+0.00045339i,-8.4728e-05+0.00072936i,0.00076332+0.00012988i,0.0011141-0.00035957i,-0.00018937-0.00011947i,-0.0009001+0.00026273i,-0.00018827+0.00047406i,-0.00021842+0.00038178i,-0.00081817+0.00025349i,-0.00037802+0.0005327i,0.00043583+0.00025736i,0.00016198+0.00010446i,-0.00037646+0.00018175i,0.00014563-0.00044938i,0.00037207-0.0011769i,0.00041139-0.00047607i,4.3798e-05+0.00052586i,-0.00077985+0.001128i,-0.00041084+0.00074245i
-0.00049863-0.00062782i,-0.00068511-0.00034606i,-0.0012105+0.00055358i,-0.00087514+0.00068859i,6.5564e-05+0.00081241i,0.00069107+0.00095666i,0.00091361+0.00044196i,0.00057009-0.0009416i,0.00046226-0.0014485i,0.00072086+2.4382e-05i,0.00047713+0.0008913i,-7.3342e-05+0.00013606i,0.00033738-0.00056966i,0.00071685-0.00074816i,0.00091986-0.00066213i,0.00034836-0.00027465i,-0.00018258-0.00015106i,0.00027162-0.00015616i,0.00019288-0.0006742i,5.2457e-05-0.00037917i,0.00081915+0.00052338i,0.00074284+0.0003743i,0.00018609+0.00047813i
0.00026925-0.00035771i,0.00060551+0.00042451i,-0.00045481+0.0010065i,-0.0022853+0.00062223i,-0.0023609+0.00039589i,-0.0013273+0.00036925i,-0.00034983+0.00040373i,0.00050806+0.00031057i,0.00096606-5.6771e-05i,0.00053504+5.208e-05i,0.00041982-6.9767e-05i,0.00059587-0.0002241i,0.00034444+7.2631e-05i,-0.00040355-0.00049236i,-0.0005856-0.00071992i,-0.00013854-0.00035251i,0.00040658-0.00078652i,0.00059616-0.00079751i,-0.00013311+9.7595e-05i,-0.00015427+0.00063639i,0.00058619-0.00024528i,0.00010906-0.00065874i,-0.0004087+0.00019212i
-0.0009866-0.0011362i,-0.00071397-0.0010146i,-0.0021731-0.00082888i,-0.0013908-0.00024089i,0.00024347+0.00075555i,0.00073341+0.00049808i,0.0011146+0.00011134i,0.0012771+1.3348e-05i,-2.4744e-06-0.0005891i,-0.00069481-0.00063468i,0.00023053-0.00046202i,0.0010357-0.0003847i,0.00098748+0.00035458i,0.0003407+0.00071386i,0.00029367+0.00025012i,-0.00017487-0.00012916i,-0.00066561-5.2626e-05i,-0.00042076+0.00042087i,-0.00017954+0.00064451i,0.00086506+0.00017189i,0.001092+0.00013905i,0.00078802+0.00042994i,0.00083593+0.00055504i
0.00118-0.0014274i,-0.00048175-0.0022085i,-0.0012213-0.0032367i,-0.00045372-0.0019949i,-0.00023894-0.00010926i,-0.00061189+0.00091895i,-9.6132e-05+0.0011039i,0.0014312+0.00084565i,0.001455+0.00012898i,0.00024351-8.9895e-05i,-0.00014549+0.00041024i,-5.3045e-05+0.00050038i,-0.00010913+0.00039734i,-0.00071759-5.3588e-05i,-0.0010124-0.00068538i,-0.0001052-0.00089545i,0.00020139-0.00024531i,-0.00049616+0.00058124i,6.3409e-05+0.00028416i,0.00040253+4.3599e-05i,-6.8788e-05-4.4702e-05i,0.00021291+0.00014804i,-0.00027539+0.00069548i
-0.00066528-0.00044425i,-0.0001053-0.00011978i,4.2298e-05+0.00062604i,-0.00042509+0.00065961i,0.00067804+0.00034537i,0.00096621+0.00096452i,0.00062941+0.0011706i,0.00098501+0.00025692i,0.0010763+0.00023383i,0.00071177+0.00012508i,0.00043881-0.0006365i,0.00072916-0.00057143i,0.0012673+4.3986e-05i,0.0010375+0.00025306i,-0.00043839-0.00017035i,-0.00040249-0.00021575i,0.00019126-0.00050455i,8.9606e-05-0.0002155i,0.00010198+0.00058124i,9.2817e-05+0.00010748i,0.00036269-1.7163e-05i,-0.00019324+0.00010689i,-0.00025363-0.00016733i
0.0014406-0.00023829i,0.0016199-0.0010629i,0.000814-0.0013311i,0.00020311-0.0013025i,-0.00043338-0.0011807i,-0.00091286-4.5615e-05i,-0.00063213+0.00087388i,0.00026135+0.00094478i,0.0010585-8.6815e-05i,0.00087206-0.0010899i,-3.5489e-06-0.00053374i,-0.0012978-3.4551e-05i,-0.002015-0.00058216i,-0.00098885-0.00048866i,-0.00035021-0.00017078i,-0.00049219-0.00040581i,0.00012854-0.00019587i,0.00082509+0.00028324i,0.00054601+0.00029541i,0.00015572+0.00028849i,0.00041693+6.3447e-06i,0.00019135-0.00035447i,-0.00038424+0.00018334i
0.0018296-0.00053333i,0.0011616-0.0014209i,0.00067635-0.002442i,0.0011471-0.0022375i,0.00060831-0.0016945i,9.3905e-06-0.0011408i,0.00051045+6.8833e-05i,0.000687+0.00057239i,0.00094021+0.00065974i,0.0011658+0.00045346i,-0.00020526+0.00045866i,-0.0013674+0.00022948i,-0.00097872-0.00072275i,-0.00041012-0.00081503i,1.5891e-05-0.00039515i,5.0702e-05+4.0077e-05i,-0.00027097+0.00063446i,-7.8082e-05+0.0010111i,0.00030237+0.00092335i,-0.00058864+0.0007009i,-0.00064853-0.00033159i,0.00083657-0.00060166i,0.00080458+0.00029733i
-0.0013963-0.0016822i,-0.00023435-0.00046375i,-0.00032357+0.00014375i,-0.00037368+0.00056403i,-4.9137e-05+0.00087249i,0.00041112+0.0010739i,0.0004311-0.00015387i,0.00040563-0.00099388i,0.00017999-0.00035075i,-0.00053354+0.00036872i,-0.00060102+0.00040186i,-3.6902e-06-0.00046655i,-0.00025126-0.00019163i,-8.6572e-05+0.00081806i,0.00019885+0.00053123i,0.00037504-0.0005923i,0.00072593-0.00027398i,0.00046259+0.00067917i,-0.00043608+0.00081706i,-0.0003686+0.00028088i,0.00032042-0.0001671i,0.0010152+0.00055521i,0.0006398+0.00041762i
0.00146+0.0014292i,0.00088951+0.00096818i,3.4131e-05+0.0012973i,0.00020027+0.0010783i,0.0008446+5.7065e-05i,0.00059226-0.00027736i,0.00047282+3.4525e-05i,0.00098718+0.00028604i,0.00044539+0.00059435i,-0.00087815+0.0001044i,-0.00086702-0.00094419i,-0.00020752-0.0018107i,-0.00054091-0.0016298i,-0.00097624-0.00056806i,-0.00091029-0.00066731i,-0.00066183-0.0011513i,4.3163e-05-0.001387i,0.0010311-0.00092256i,0.00080253+0.00043794i,0.00033894+0.0016043i,0.00014455+0.0010647i,0.00021574-6.8979e-05i,0.00019147-0.00081666i
4.8598e-05+0.0011078i,0.00031112+0.00074177i,0.00077883+0.00058041i,0.00067485+0.00028635i,0.0011132-0.00042762i,0.0016144-0.00024963i,0.0014666+0.00044205i,0.00094747+0.00076256i,0.00034555-7.3367e-06i,9.7444e-05-0.00063152i,6.7931e-05-0.00024769i,0.00023508-0.00018303i,0.00041501-0.00016428i,4.01e-05-0.00016361i,-0.00028707-0.00026892i,-5.5597e-05-0.00038445i,0.00030288-0.00020533i,-0.00041679-0.0003169i,-0.00098029-4.2876e-05i,-0.00022718+0.00043618i,0.00027347-0.00020662i,0.00054972-0.00044486i,0.00035898+0.00020065i
