-0.0015136-7.8962e-05i,0.00031015-0.0011796i,-0.0014845-0.0010509i,-0.0025471-0.00015619i,-0.0021904+0.0013781i,-0.0012829+0.0016197i,-0.0006546+0.0010825i,-0.00017031+0.00083588i,0.00057779+0.0004936i,0.00094278-0.00059695i,0.00026927-0.00061086i,0.00029322+3.3176e-05i,0.0011751+0.00018233i,0.0012834-0.00049177i,0.00087655-0.00038122i,-0.0004359+0.00074192i,-0.00082475+0.00043554i,0.00012694-0.00018592i,0.00049488+2.6222e-05i,0.00022027+9.3055e-05i,0.00017857-2.2592e-05i,5.7298e-05-0.00048903i,0.00054575-0.00055043i
0.00036875+0.00095796i,0.00049312+0.00058311i,0.00060996+0.00045659i,0.0011709+0.0012058i,0.00091089+0.0012823i,9.3687e-05+0.00072368i,-0.00037944+0.00032689i,-0.0012363-0.00030626i,-0.0017379-0.00031577i,-0.0013882+0.00046825i,-0.00077108+0.00068236i,-0.00050782-1.8649e-05i,-0.00070622-9.1612e-06i,-0.00077074+0.00012056i,-0.00042229-0.00021877i,-0.000424-0.00033752i,-5.0889e-05+0.00053425i,-0.00034465+0.0012835i,-0.00086355+0.00060653i,-0.00032932-0.00015688i,-4.3321e-05-0.00023429i,0.00029414-0.00033957i,0.0014266-0.00029932i
-0.0010875-0.00017321i,-0.0010141-0.000753i,-0.00013146-0.00034571i,-0.0001334-0.00062363i,-0.00064718-0.0006802i,-0.00093596-0.00078653i,-0.00063837-0.0011752i,-0.00080811-0.00057478i,-0.00091526+0.00052174i,-0.00019034+0.00099924i,1.55e-06+0.00056342i,-0.00039218+0.00043707i,-0.00048675+0.0004468i,-0.00066561+0.00022206i,0.00053184+9.9063e-05i,0.00066667+0.00038215i,-0.00062083+0.00022725i,-0.00050863+0.00017079i,0.00019083-0.00047338i,0.00033446-0.00079607i,0.00075678-0.00013121i,0.00059273-7.918e-05i,-0.0002985-7.4253e-05i
-8.5228e-05-0.0008966i,-0.0013156-0.00053738i,-0.002296-0.00041378i,-0.0026121+0.00023672i,-0.0022914-7.6575e-05i,-0.0014729-0.00055558i,-0.0010414-0.00028363i,-0.0016135-0.00030854i,-0.0014707-0.0004652i,-0.00059315+7.3184e-05i,-0.00051217+0.00056547i,-0.0015809+0.00057092i,-0.0012199+0.00015114i,0.00026728-0.00012912i,0.00049074-0.00057738i,-0.00010725-0.00046025i,-0.0004164+0.00043516i,-0.00056763+0.00030378i,-0.00040895+0.00012077i,7.1789e-05+0.00031347i,0.00020508-0.00013343i,0.00026861+0.00017993i,0.00037332+0.00059031i
0.0016852+0.00091276i,0.0022468+0.0011067i,0.0023653+0.0010643i,0.0019072-0.00020979i,0.0012903-0.00080861i,0.0004432-0.00047464i,-0.00010833+0.00074492i,0.0001177+0.00077746i,0.00037814-0.00033702i,7.2608e-05-0.000455i,-0.00031416-0.00025316i,9.7557e-05+0.00016423i,0.00030436+0.0010482i,-8.777e-05+0.0013019i,-0.00069873+0.00054868i,-0.00040086+0.0003909i,0.00031366+0.00046108i,0.00075389-0.00028804i,0.00065124-0.00011337i,2.2866e-05+0.00021008i,-0.00018576-0.00049478i,-0.00046822-0.00092866i,-0.00010268-0.00012307i
0.00092947-0.0011502i,-8.074e-05-0.0013375i,-0.00074383-0.0018849i,-0.0013156-0.0018251i,-0.001141-0.00093569i,-5.0381e-05+0.00025403i,8.4846e-05+0.00056176i,-0.0004085-0.00041361i,-0.0004967-0.00067915i,-0.00027686-0.00035564i,9.113e-05-0.00026164i,0.00047412+0.00093769i,0.00020957+0.00143i,0.0001456+0.00030487i,0.00038077+3.1849e-05i,0.0002679-0.00063921i,0.0005259-0.00063017i,0.00061067-0.00027949i,0.00014566-0.00027258i,2.6907e-05+9.3351e-06i,-0.00017804+0.00054292i,-0.00086365+2.7535e-06i,-0.00044353-0.00050453i
0.0013546-0.00028605i,0.001217-0.0013151i,0.00040656-0.0016268i,-2.519e-06-0.00070672i,-0.00029604+0.00011141i,-0.00055309-0.00084616i,-0.00040173-0.0012013i,-0.00027649-0.00072435i,-0.00062642-0.00071728i,-0.00047314-0.00015507i,-0.00080119+0.00081375i,-0.0013245+0.00026629i,-0.00076602-0.00033657i,-0.00038854-5.5198e-05i,-0.00090965+0.00016095i,-0.00067596-0.00013838i,0.00024215-0.0002395i,0.00087534+0.00031821i,0.0015221-0.00042275i,0.0013512-0.0013614i,0.00013302-0.00076296i,-0.00052337+7.7409e-05i,-8.4479e-06+0.00025706i
0.00027637+0.0022266i,0.00029287+0.0022917i,0.00043409+0.0016903i,9.3856e-06+0.0013838i,0.00032322+0.00085751i,0.00079797+0.00053078i,-0.00020053+0.00014775i,-0.00056554-0.00086269i,-0.00038098-0.00070874i,-0.00029264-0.00024616i,3.1471e-05-0.00013301i,-0.00080106-7.7463e-05i,-0.00050312-4.9007e-05i,-5.2066e-05-1.9162e-05i,0.00022316-2.4003e-05i,0.00028363-0.00049425i,-0.00055781-0.0006202i,-0.00069993+0.0002937i,-0.0002611+0.000384i,-0.00036359-0.00031506i,-0.00043804-0.0009638i,-0.00044094-0.00097807i,-0.00026939-0.00045763i
0.00071069-0.0023931i,-0.00060046-0.0021779i,-0.001762-0.00073102i,-0.00244+9.9817e-05i,-0.0022311+8.0849e-05i,-0.0012708+8.202e-05i,-7.5443e-05-8.2526e-05i,-3.4658e-05-0.00018871i,-0.00030889+0.00018452i,-0.00095397+0.00026188i,-0.0012587+0.00030537i,-0.0011746+0.00043518i,-0.00077222-0.00014831i,-2.3314e-05-0.00021826i,0.00053804+7.2864e-05i,0.00081806-8.6474e-05i,0.0002613-0.00031639i,-0.0011147-0.00065924i,-0.0015365-0.00060414i,-0.0010394-0.00039845i,0.00015953-0.0003251i,0.00068755-0.00038273i,-0.00029857-0.00038914i
0.0020849+0.0016188i,0.002487-0.00034826i,0.001897-0.00058941i,0.0014009-0.0010181i,0.00085417-0.001999i,0.00014245-0.0020184i,-0.00019481-0.00075842i,-0.00028807+0.00068243i,-0.00059338+0.00124i,-0.0007203+0.00085944i,-0.00017442+0.00073246i,0.0001669+0.0004029i,0.00015366+0.00055854i,0.00036985+0.00078456i,0.00027932+0.00050822i,7.5892e-05+0.00037151i,0.00031494-1.8394e-05i,0.00092911-0.00045226i,0.00076679-0.00026058i,0.00027464-0.00023959i,-5.5592e-05-0.00058012i,-0.00027272-0.0004226i,-0.00035442-0.00017476i
5.4812e-05-0.00059672i,0.0006931-2.7818e-05i,0.0010448+4.1214e-05i,-0.00029253-9.6752e-05i,-0.0021777-0.00053325i,-0.0011833-0.00084517i,0.00037203-0.00090162i,0.00033789-0.00069161i,-0.00028692-0.00043325i,-0.00087472+5.6581e-05i,-0.001124+0.00021108i,-0.00068651+0.00054257i,-0.00030853+0.00086429i,0.00053696+5.885e-05i,0.0012563-0.00036289i,0.001173+0.00028353i,0.0011673-0.00028508i,0.00084024-0.00088099i,-0.00060692-0.00064965i,-0.0012274-0.00066956i,-0.00088747-0.00046795i,-0.00030177-0.00047973i,8.4157e-05-0.00044272i
