-0.00065902+0.00024617i,-0.00048356-0.00087427i,0.00010278-0.00093885i,5.7882e-05-0.0010834i,-0.00056827-0.00061087i,-0.00097007+0.00048206i,-7.8522e-05+0.0010376i,0.00078761+0.0012938i,0.001053+0.0011274i,0.0013132-7.9598e-05i,0.0011249-0.0010809i,0.00053757-0.00076547i,-0.00041693-0.00029732i,-0.00048252-0.00039489i,7.9492e-05-0.000238i,0.0011067+9.1726e-05i,0.001115+1.6954e-05i,0.00032059-0.00015748i,-0.00021461+9.2282e-06i,-0.00035354+0.00026672i,-0.00013444+0.00015973i,1.8098e-05-9.9452e-05i,0.00032952-0.0002647i
-0.002058+0.00019849i,-0.0022173+0.00020529i,-0.0027019+0.00022218i,-0.0023405-0.00017553i,-0.00062972+0.00059963i,0.00021852+0.00050389i,0.00017813-0.00055635i,0.0002169-0.00029024i,1.0638e-05+0.00040698i,4.9908e-05+0.00013644i,-0.00010552+0.00054665i,-0.00046153+0.0012202i,-0.00021421+0.0006981i,0.00010933+0.00066395i,0.00037338+0.0011464i,0.00049893+0.0010861i,-6.7847e-06+0.00053578i,-0.00055397+0.00034879i,0.00010076+0.00048036i,0.0010439+0.00075917i,0.0012757+0.00077989i,0.00073593+0.00040919i,0.00011249-0.00023127i
-0.00025471-0.0019873i,0.00049269-0.0016508i,-0.00027328-0.0014834i,-0.00073034-0.00039828i,0.00026871+0.00027989i,0.001835+0.00045073i,0.0020671+0.0010533i,0.00058799+0.0013726i,-0.00072766+0.00037124i,-0.00082789-0.00034794i,-0.00082949-0.00029829i,0.00032531-0.00047066i,0.00086348-0.00018954i,7.9543e-05-0.00031924i,-0.00057928-0.0013543i,-0.00089745-0.00063017i,-0.0014185+0.00071472i,-0.001731+0.00072171i,-0.00094245+0.00032118i,-0.00033766+0.00037164i,-0.00078448+0.00044135i,-0.001028+0.00060281i,-0.00035409+0.00054305i
-5.6968e-05+0.0015744i,-0.0001738+0.0030964i,-0.0013125+0.0037173i,-0.00068877+0.0030478i,0.00030332+0.0023014i,0.0013003+0.0011443i,0.001132-0.00013569i,-5.824e-05-0.0003583i,-0.0007574-0.00048092i,-0.00047711-0.00082015i,2.75e-05-7.2488e-05i,-6.863e-05-0.00032111i,-0.00032081-0.0003467i,-5.0981e-06+5.8598e-05i,0.00075186-0.00075573i,0.0004234-0.0004951i,-2.8973e-05-3.4151e-05i,-0.00031819-0.00021521i,-9.3801e-05-0.00046346i,0.00025325-0.00065264i,4.944e-05-0.00046237i,-0.00031431-0.00022799i,-0.00026863+0.00013981i
-0.0003933-0.00014364i,-0.00012414-6.7157e-05i,-0.00068552+0.00061056i,-0.001164+0.00077408i,-0.0014343+0.00038751i,-0.00061987+1.5358e-05i,0.00037411+0.0003362i,-8.5887e-05+0.00065887i,0.00016388+0.00034339i,0.00031255-0.00014931i,-0.00018737+5.7746e-07i,-0.00033634-0.00046618i,-0.00044505-0.00082201i,-0.00055357-9.9729e-05i,-0.00080887+0.0001603i,-0.00054038-0.0007711i,0.00020504-0.0012965i,4.6486e-05-0.00058409i,-0.00015237+0.00071065i,0.0002495+0.00077536i,0.0007343-0.00012541i,0.00061937-0.00031728i,0.00035277-0.00025924i
0.0015792-9.4631e-06i,0.00027082-0.00050139i,-0.0014436-0.0011618i,-0.00087445-1.9282e-06i,0.00018776+0.0011959i,0.00072669+0.0012488i,0.0010995-7.3941e-05i,0.0015551-0.00085316i,0.0013352+0.00019548i,0.00016122+0.0004423i,-0.00073485-0.00042121i,-0.00098416-0.00074889i,-0.00068146-0.00028263i,-0.00014126-0.00052459i,-0.00042523-0.00073118i,-0.00090423+5.9861e-05i,-0.00072212+0.00015391i,-0.0005072-0.00023102i,-0.00010947+0.00035891i,0.00020101+0.00063299i,0.00020362+0.00010202i,0.00034682-0.00026171i,0.00027159-0.00050425i
0.0010291+0.0014546i,0.00090521+0.0015698i,0.0012368+0.0015173i,0.00073297+6.9114e-05i,0.00031901-0.0012441i,-0.00029301-0.0010713i,-0.00078557-0.00032004i,2.8402e-05-0.00024587i,0.00097319-0.00011572i,0.00019914-4.0115e-05i,-0.00052707+4.2328e-05i,0.00027825+5.0005e-06i,0.0011269-0.00057654i,0.00061633-0.00062806i,-0.00021507-0.00019833i,-0.00045829-1.6747e-05i,0.00038998+0.00039686i,0.00064185-1.6736e-05i,0.00080621-0.00039616i,0.0010358+0.00033501i,0.00082032+5.0107e-05i,0.00031238-0.0007602i,-0.00019607-0.00019402i
-0.00079249+0.0012082i,-0.001202+0.00094596i,-0.0012853+0.0021999i,-0.0017455+0.0031023i,-0.0011078+0.0018201i,-8.2234e-05+0.00023616i,0.00015085-1.6156e-05i,7.534e-05+0.00034528i,-1.9174e-05-0.00031486i,0.00015833-0.0012547i,0.00037875-0.001341i,0.00036677-0.00073437i,0.00024479-0.00032149i,6.9936e-05-0.00033519i,-0.00020864+0.00075618i,-0.00062768+0.00084361i,-0.00016977+0.00039924i,0.0002483+0.0010806i,-0.00049038+0.00090148i,-0.00018996+0.00027187i,0.00044437-0.00050053i,3.6065e-05-0.00077894i,0.00036521-0.00049393i
-0.00090487+0.00067413i,-0.0016481+0.001767i,-0.0016186+0.0015062i,-0.0012031+0.0017294i,-0.00021219+0.0018518i,0.00088014+0.00033801i,0.00093579-0.00087939i,0.00049937-0.00023735i,-0.00025616+0.0013492i,-0.00037441+0.0012533i,-0.00034599+9.9963e-07i,-0.00044319-0.00051465i,-0.00032213-8.3806e-05i,0.00023188+8.1574e-06i,0.00011254+0.00011206i,-0.00054713+7.972e-05i,-0.00055976-0.00034245i,-0.00028828-0.00036839i,0.00019731-0.00030011i,0.00034029+6.9537e-05i,0.00053433+0.0004467i,0.00038771+0.00081974i,-0.00058908-1.0679e-06i
-0.00028398-0.0017815i,-3.9553e-05-0.0022278i,-0.000642-0.0025401i,-0.0010385-0.0018133i,-0.00059312-0.00086654i,-2.3434e-05-5.6613e-05i,0.00018589+0.00049194i,-0.00050507+0.0005299i,-0.00040859+0.0002214i,0.00022981-0.00010688i,0.00023524-0.00013686i,6.6085e-05+6.8783e-06i,0.00029737+0.00033963i,-4.2391e-05+0.00036436i,-0.00014746+0.00039162i,-0.00041828+0.00074892i,-0.0008119+0.00089568i,-0.00039442+0.00058552i,-0.00012639+0.0003538i,0.00016991+0.00078434i,0.00040036+0.00064369i,0.00051893+0.00020527i,0.00014385-0.00061657i
-0.0031332-0.0023376i,-0.0022139-0.0019083i,-0.0016452-0.0015937i,-0.0012783-0.00015457i,-0.00052825+0.00041131i,0.00049958-0.00061764i,0.0011403-0.00036543i,0.00054896+0.00086163i,-0.00068988+0.0012911i,-0.00079959+0.0011798i,-0.00048512+0.00042759i,-0.00041684-0.0001439i,-0.00054729-0.00030855i,-0.00022106-0.00078462i,0.00023365-0.0003447i,0.00045412+0.00095653i,0.00053426+0.001142i,0.0010268+0.00076461i,0.0012905+8.2092e-05i,0.00097647-8.2121e-05i,0.00077427+0.00022092i,0.00033344+0.00012858i,-0.00044854+0.00017492i
-0.0016582+0.00081529i,-0.0018684+6.7464e-05i,-0.0015738+0.0014678i,-0.00061636+0.0013784i,0.0005156+0.000911i,0.00077271-0.00032768i,0.00058292-0.00072198i,6.2541e-05+0.00042993i,-0.00061597+0.00076563i,-0.00078158+0.00086892i,-0.00078788+0.0013914i,-0.00052547+0.0011329i,-0.00075727+0.00056256i,-0.00078534+0.00050053i,-0.00041959+0.0002405i,-0.00022487+0.00011671i,-0.00070198-2.9976e-05i,-0.00096984-0.00034862i,-0.00038109-0.00033188i,0.00036693-7.8652e-05i,-2.0686e-05+0.0001987i,-0.00048947+0.00011715i,-0.00066819+8.6906e-05i
0.00031918+0.00066323i,-0.00026244-2.9157e-05i,-0.0015162-0.00023921i,-0.0015737+0.00057896i,-0.00039961+0.00089979i,0.00034458+0.00087935i,0.00058246-0.00019016i,0.00083398-0.00063088i,-7.2621e-05-0.00026642i,-0.0010735-0.00060075i,-0.00047017-0.00026522i,8.8923e-05+0.00016197i,1.195e-05-0.00012727i,-0.00049075-0.0003744i,-0.00017927-3.8723e-05i,-5.296e-05+0.00015564i,-0.0005297+4.6235e-05i,-0.00079779+0.00058981i,-0.00090381+0.00044581i,-0.00079771-0.00075108i,-0.00034484-0.00073796i,0.00048164-0.00035542i,-4.2604e-05+2.0227e-05i
-0.00019391-5.2179e-05i,0.00013507-0.0010177i,-0.0011624-0.0014298i,-0.0021778-0.00052851i,-0.0017402+0.00025233i,-0.0014651+0.00034568i,-0.00078022+2.4605e-05i,0.00057329+0.00057561i,0.00023316+0.00061293i,-0.0004079-0.00038408i,-0.0003193-0.00066588i,-0.00056928-0.00018779i,-0.00064387+0.00032269i,-0.00086362-6.3088e-05i,-0.0011482-0.00076176i,-0.00095365-0.00017873i,-0.00066899-4.1438e-05i,-3.2606e-06-0.00066442i,0.00070167-0.00017284i,0.00058884+0.00058229i,0.00050919+7.1664e-05i,-1.3954e-06-0.00019637i,-0.00046107+0.00010129i
-0.000285+0.00096408i,-0.00013832+0.0015153i,0.00049458+0.0014593i,5.6856e-05+0.0015115i,-0.00038341+0.00088997i,-0.00048176-0.00024025i,-0.00044229+0.00026858i,-0.00029111+0.00094405i,0.00015767+0.00068504i,0.00071791+0.00043462i,0.00040579+0.0006213i,0.00041945+0.00032342i,0.0010968+5.7343e-05i,0.0012632-0.00044076i,0.00082435-0.00089073i,-2.5359e-05-0.00054726i,-0.00056838-0.00048795i,-0.00086235-0.0006728i,-0.00064621-0.00062531i,0.0003174-0.00015295i,0.0012618+0.00022642i,0.0010294+0.0004871i,0.00061777+0.00033657i
-0.0025569-5.9241e-05i,-0.0024908-0.0012872i,-0.0033287-0.00079587i,-0.0026879+0.00038117i,-0.00044015+0.00075874i,-3.5274e-05-0.00018562i,-0.0005179-0.0013976i,-0.00023288-0.0011025i,-0.00013639-0.00030859i,-0.000424-7.9048e-05i,-0.00055685+0.00046879i,-8.1279e-05+0.00066584i,0.00068103+0.00081126i,0.00078031+0.00045417i,0.00017107-0.00015945i,-0.00039742+0.0001484i,0.00029089+0.00043465i,0.00069978+5.3464e-05i,0.00030675-1.2144e-06i,0.00032043+7.0426e-06i,0.00021308-0.00027063i,4.3036e-06+0.00028357i,-0.00041526+0.00071944i
0.0003696+0.0010961i,0.00070487+0.00045938i,0.0015395+0.00034468i,0.00050068+0.00026964i,0.00028492-0.00031949i,0.000769+0.00040868i,0.00017139+0.00099333i,1.5639e-05+0.00027601i,-7.7103e-06+7.5151e-05i,-2.3108e-05-3.2176e-05i,0.00019765-0.00046699i,-0.00045647-0.00088198i,-0.00090509-0.00054157i,-0.00023901-0.00037229i,-0.00024858-0.00068585i,-0.0007519-0.00039732i,-0.0007427-8.8989e-05i,-0.00061678+0.0003666i,-0.00080536+0.0004656i,-0.00056652+7.3977e-05i,-0.00065247-0.00033941i,-0.00060183-0.0005278i,-0.00052233-2.5853e-05i
