-0.0025002+0.00259i,-0.0033279+0.0020477i,-0.0028348+0.0014253i,-0.00087372-2.2254e-05i,-0.0002618-0.00075325i,0.00014573-4.8074e-06i,0.0006928+8.7589e-05i,0.00080488-9.6406e-05i,0.00082022-0.00039483i,0.0010335-0.001025i,0.0010655-0.00056662i,0.00078544-0.00013821i,0.00029918+0.00010385i,0.00026673+0.00061567i,-0.00023439+0.0004438i,-0.00038286-0.00047651i,-0.00035277-0.00042058i,-0.00094703+2.9161e-05i,-0.0011382+0.0004929i,-0.0007768+0.00012784i,-0.00042492-0.00025354i,-0.00086885+4.9107e-05i,-0.00070358+0.00033169i
0.00037801-0.0010524i,0.0014807-0.0018015i,0.0014188-0.0017926i,0.0014582-0.0010877i,0.0011129-0.0011676i,0.00050858-0.00099558i,0.0010172-0.00057903i,0.0013296-0.0010345i,0.00067236-0.00081706i,-0.00018739+0.0004533i,1.0578e-05+0.00067214i,0.00064803+0.00024704i,0.0010148+0.00090179i,0.00039714+0.00071299i,0.00010827-0.00012326i,0.00022471-0.00068785i,0.00015826-0.00090081i,0.0010125-0.00040543i,0.0017703+0.00022244i,0.0012946+0.00062874i,0.00049886-0.00027994i,0.00069321-0.00089041i,0.00060093+0.00037277i
7.3067e-05+0.001027i,0.00091671+0.0025455i,0.001307+0.0028026i,0.00096004+0.0011065i,0.0010244-8.885e-05i,0.000606-0.00023462i,0.00031396-0.00080467i,0.00023699-0.0017066i,-0.00023927-0.0015396i,-0.00091706-0.00018455i,-0.00092084+4.0651e-05i,-2.7863e-05-0.00023391i,0.00036385+0.00017658i,-0.00070291+0.00046639i,-0.00049891+0.00059875i,0.00052472+0.00052511i,0.00099307+0.00023595i,0.00081427-0.00015043i,-0.00050201-8.3678e-05i,-0.00031951+0.00026207i,0.00063537+9.422e-05i,0.00040662-0.00049912i,-0.00036175-0.000388i
-0.0024531-0.0010127i,-0.0013597-0.00071447i,0.00010502-0.00058259i,0.0004215-0.00077421i,-0.00032541-0.0011139i,-5.6522e-05-0.00050121i,0.00070603-6.0303e-05i,0.00079469+5.1769e-05i,0.0003005+0.00010523i,1.1793e-05-0.00083516i,-0.00012193-0.00089866i,-0.0010602-0.00016414i,-0.00088202+0.00053642i,-0.0011318+0.0011407i,-0.0010741+0.00066867i,-0.00039871-9.5114e-05i,-0.00050186+0.00016029i,-9.5449e-05+0.00037004i,0.00024822+7.0423e-06i,-0.00016033-0.00025148i,-0.00072178+0.00016623i,-0.00077142+0.00086223i,0.00015133-6.6316e-05i
0.0035386+0.0002215i,0.0030325-0.00055707i,0.0035383-0.0004517i,0.0024673-0.0010989i,-0.00026553-0.0019527i,-0.0015607-0.0016274i,-0.0003667-0.0010363i,0.00053271-0.00035734i,0.00032081-0.00058607i,-0.00094309-0.0015578i,-0.0017457-0.0016719i,-0.00075687-0.00066196i,-5.2363e-05+0.00067422i,-0.00014193+0.00075674i,-0.00047922+0.00014097i,-0.00061245-0.00070187i,-0.00011907-0.00042485i,-0.00016836+0.0004768i,-0.00018134-3.9564e-05i,0.00042309-0.00048325i,0.00065653-0.000584i,0.00035216-0.00021688i,0.00032394-0.00029724i
0.0010322+0.0026954i,0.0018738+0.0021804i,0.0032979+0.0018557i,0.0027319+0.00015806i,0.0011598-0.0013253i,9.7234e-06-0.0012947i,0.00040777-0.00039353i,0.00021183+0.00010835i,-8.3302e-05-0.00070122i,0.0003944-0.0013562i,0.00081926-0.00084617i,0.00077178-0.00031267i,0.00020146+0.00019774i,-0.00027131+0.00050878i,-0.00019931-7.1515e-05i,-6.0971e-06-0.00019512i,-0.00023016+0.00034573i,0.00014696+5.6228e-05i,0.00065773-0.00012181i,0.00051192+0.00044247i,0.00027571+0.00078294i,0.0005748+0.00026523i,0.00030893-0.00051437i
-0.00043717-0.0020189i,-0.00051451-0.0023559i,0.00046654-0.0027225i,0.0011464-0.0014765i,-0.00036328-0.0006102i,-0.00019638-0.00059218i,0.00074617-0.00029903i,0.00033877-0.00031243i,-0.00063815+4.0916e-05i,-0.00072032-2.2565e-05i,-3.4671e-06-0.00055242i,7.7495e-05-0.000642i,-0.00035994-0.00050489i,3.7097e-05-0.00024267i,-0.00048545+0.00020684i,-0.0012541+0.0004724i,-0.00069469+0.00036462i,-0.00015153+0.00016403i,0.00037192+0.00053711i,0.00057743+0.0010883i,0.00057397+0.00024026i,0.00064412-0.00025165i,0.00049704+0.0001961i
0.0028076+0.0011221i,0.0022079+0.0019935i,0.0015253+0.0008832i,0.00040783-0.00033829i,-0.00011359-0.00069752i,-0.00013307-0.00099228i,-0.00015647-0.00076045i,-5.7189e-06-0.00055968i,0.00028496-0.0010669i,-0.00035664-0.00079861i,-0.00069871-0.00091877i,-0.00030348-0.001138i,-0.00041145-0.00069934i,-0.00045414-0.00032911i,-0.00040721-0.00050597i,-0.00060952-0.00033537i,-0.0001825-0.00017537i,0.00080538+2.6804e-05i,0.0015021+0.00069246i,0.0010879+0.0012782i,0.00040847+0.00030581i,0.00018298-0.00045028i,0.00020963-0.00061478i
-0.0010786+0.0011217i,-0.0013536+0.00089154i,-0.0014247+0.00033772i,-0.0012079-2.4122e-05i,-0.0010486+0.00018277i,6.013e-05+3.7201e-05i,0.00099553-0.00052613i,0.00042918-0.0011717i,-0.00079592-0.0010164i,-0.00098831-0.00075622i,-0.00048385-0.00025694i,-0.00046407+0.0001749i,-0.00052168+0.00017007i,-0.00028599+0.0002911i,0.00010045+0.00036627i,0.00051175+0.00033955i,0.00064798-0.00013175i,5.2774e-06-0.0009369i,-0.00039873-0.00031651i,-0.00017416+0.00073556i,-7.8737e-05+0.0009547i,0.00030318+0.00029035i,0.00086574-8.7868e-05i
-0.0015137-0.0011533i,-0.0011574-0.00070489i,-0.00079732-0.00018913i,-0.00032351-6.0037e-05i,-0.0006059-0.00060899i,5.8949e-06-0.0011101i,0.00068774-0.00056394i,-0.00024609-0.00058423i,-0.0011028-0.00064993i,-0.00088278-0.00035609i,-0.00079186+7.5107e-05i,-0.0005385+0.0007572i,-6.1408e-05+0.00066231i,-0.00033853+0.00091689i,-0.00047051+8.9135e-05i,0.00029688-0.00075878i,0.0010934+2.9678e-05i,-1.118e-05+0.00018596i,-0.00055059+0.00017459i,9.907e-06+0.00051915i,-7.4033e-05+0.00026693i,0.00023164+0.00035173i,0.00083642+0.00070502i
0.0021949-0.00039519i,0.0020239-9.1094e-06i,0.0014608-0.00070135i,0.0013134-0.00084218i,0.00029064-0.00045072i,-0.00013217-0.00032865i,-9.7809e-06-0.00047889i,-0.0001983-0.0011513i,-0.00051843-0.0016768i,-0.00071871-0.0011544i,-0.00065459-0.00085383i,-0.00090486-0.00091991i,-0.00083277-0.00039661i,-0.00067847-0.00064304i,-0.00047017-0.0010767i,0.00038086-0.00029608i,0.00085541-0.00023851i,0.00097114-0.0011284i,0.00067739-0.00083052i,-8.9052e-05-0.000599i,1.377e-05-0.00068767i,0.00026473-0.00024451i,0.00012691-7.0082e-05i
