-0.0017486-0.00070043i,-0.0019668-0.00050618i,-0.0019061+0.00090569i,-0.0026017+0.00244i,-0.0023422+0.0028812i,-0.0016215+0.0030133i,-0.0014248+0.0026418i,-0.0008011+0.0023894i,5.0304e-05+0.002073i,0.0007294+0.0012989i,0.00093593+0.00016099i,-0.00033492-0.00088099i,-0.0007417-0.0011395i,-0.00053671-0.00027752i,-0.001158+0.0011425i,-0.00080914+0.0013155i,0.00017378+0.00047604i,0.00097644+0.00073627i,0.00084544+0.00099244i,0.0003517+0.00051614i,4.8975e-05+0.00022365i,-0.00044697+0.00042512i,1.9481e-05-8.4944e-05i
0.0016833+0.0010633i,0.0014287-0.00029591i,0.0010564-5.1944e-05i,-0.00016908+0.00086544i,-0.0008643+0.0014683i,-0.00021775+0.0010265i,-0.00075829+0.00045024i,-0.0016605+0.00066088i,-0.001317+0.001211i,-0.00061946+0.0012485i,-0.00037321+0.00056088i,-0.00065069+0.00039976i,-0.00095487+0.00078534i,-0.00016289+0.00086477i,0.0005697+0.00046791i,0.00050881+0.00073793i,0.00088583+0.0012796i,0.0013827+0.00048012i,0.0010413+8.7273e-05i,0.00015823+0.00033894i,-0.00013035+0.00052103i,0.00026175+0.00019111i,8.464e-05-0.00019546i
-0.0020076-0.0011799i,-0.0014186+0.0007283i,-0.001267+0.00052234i,-0.0012934+0.00057982i,-0.0014791+0.0014604i,-0.0015198+0.0016118i,-0.0012349+0.0018122i,-0.0018716+0.0017069i,-0.0020794+0.0011281i,-0.0010294+0.0010267i,-0.00063626+0.0011609i,-0.0005844+0.00082308i,-0.00043092+0.00021556i,0.00015966+2.2775e-05i,0.00072908+0.00012328i,0.00061852+0.0001815i,0.00017935-6.8036e-05i,-0.00033348-0.00037055i,-0.0006481-0.0011149i,-0.00026277-0.001274i,0.00018741-0.00010184i,0.00019609+6.076e-05i,-7.9554e-05-0.00047475i
0.0025504-0.0019339i,0.0013727-0.0019822i,-0.00051559-0.0015857i,-0.0010468-0.00063434i,-0.0014477+0.00084239i,-0.0013494+0.001732i,-0.00014862+0.0011847i,4.453e-05+0.0012837i,-0.00026491+0.0012362i,-0.00085365+0.00047493i,-0.001203+8.4857e-05i,-0.0007884+5.584e-05i,-0.00097166+0.00013867i,-0.002084+0.00053394i,-0.0026088+0.00020567i,-0.0016132-0.00015992i,-0.00084322+0.00017551i,-0.00074854-7.5724e-05i,-0.00023438-0.00074796i,0.0002826-0.00063027i,0.00044221-0.00025281i,0.00022571-0.00025904i,-0.0003957-0.00069962i
0.0015965+0.00094602i,0.0023955-0.00025756i,0.0026525-0.00052909i,0.0020263+2.8911e-05i,0.00096957+0.0001952i,-0.00010277+0.00075892i,-0.00064105+0.0013338i,-0.0011318+0.00054161i,-0.0017653+0.00044616i,-0.0014348+0.00067734i,-0.00099449-0.0002814i,-0.00090388-0.00072983i,-0.00015017-0.00036667i,-0.00018086-1.7145e-05i,-0.00027546-0.00017507i,0.00052347-0.0001918i,0.00034757+0.00077319i,0.00043293+0.00051507i,0.00095017-0.00039713i,-4.4121e-05-0.00031295i,-0.0001903-6.5705e-05i,0.00050866+0.00058638i,-0.00023699+0.00045622i
-0.00049001+8.387e-05i,-6.0237e-05+0.0014703i,0.0020366+0.002427i,0.0024943+0.001814i,0.00094286+0.001827i,-0.00018143+0.001654i,-0.00016592+0.0011544i,-0.00046092+0.0012166i,-0.001026+0.0014903i,-0.0011552+0.0012565i,-0.00046854+0.00013425i,0.00095509-0.0002224i,0.00064905+0.00014095i,-0.00042268-0.0003052i,-0.00062255-0.00015861i,-0.00017691+0.00051298i,-0.00032303+0.00057153i,-0.00084372+1.7728e-05i,-0.00071154-0.00038027i,-0.00050207+0.00041411i,-0.0008696+0.00094179i,-0.001206-0.00015957i,-0.00064139-0.00089053i
0.0027781+0.00025414i,0.0026169+0.00064911i,0.0016277-0.00014688i,0.00085778-2.1323e-05i,-8.4645e-05+0.00040041i,-0.00043199+0.00018443i,-0.00095262-0.00022209i,-0.0012577+0.00077489i,-0.00048813+0.001595i,-0.00027563+0.0014754i,-0.00098512+0.0010248i,-0.00040364+0.00023775i,-0.0002632-1.6384e-05i,-0.00067812-0.00032613i,-0.00020056-9.8301e-05i,0.00042835-0.00033337i,0.00079159+4.6737e-05i,0.00068072+0.00079828i,0.00059691+0.0013166i,-0.00016911+0.0010756i,-0.00050663+0.00027902i,-0.00030841-0.00038536i,-0.00038457-0.00083171i
-0.0022808+0.00056943i,-0.0021921+0.0013439i,-0.0011723+0.002275i,-0.00017004+0.0026831i,0.00054981+0.0022516i,4.5842e-05+0.0014822i,-0.00079685+0.00092782i,-0.00055117+0.00068357i,-0.00070807+0.0009561i,-0.0011852+0.0010113i,-0.00094588+4.1402e-05i,-0.00072939-0.00052477i,-0.00092154+8.212e-05i,-0.00101+0.00010849i,-0.0004075+0.00027038i,0.00012701+0.00055153i,0.00027788+0.0011101i,0.00050112+0.0013993i,0.00050674+0.0007573i,-0.00010755-9.2229e-05i,-0.0003049-0.00033404i,0.00018787-0.00017416i,0.00036336+0.0001503i
0.0019381-0.00080963i,0.0026703-0.0010365i,0.0024269-0.00014596i,0.0015812-0.00017495i,0.00017871+3.7113e-05i,-0.001317+0.00065676i,-0.0020185+0.00064773i,-0.0014253+0.00051601i,-0.00097184+0.00077118i,-0.0013916+0.00089442i,-0.00083898-1.3923e-05i,-0.00067072-0.00052039i,-0.00025734-0.00041968i,0.00054141+0.00014134i,-0.00020148+2.1401e-05i,-0.0016084-0.00051643i,-0.0016435+5.4784e-05i,-0.00044354-0.00034809i,0.00036867-0.0007491i,0.00032576-0.00032487i,0.00043485+0.00019392i,0.0006354+8.1943e-05i,0.00018404+0.00010154i
0.00071139+3.1554e-06i,0.00026538+0.0011385i,0.00012762+0.001529i,-0.00015041+0.0020344i,0.00034392+0.0019346i,0.00017505+0.0011871i,-0.00085283+0.00094584i,-0.0010317+0.00045676i,-0.00015896+0.00062646i,0.00019602+0.001241i,-0.00053004+0.00089826i,-0.00025142+0.00051619i,-5.2939e-05+0.0005245i,-0.00057887+0.00029765i,-0.00017227+0.00037132i,0.00039666+0.00077762i,0.00050342+0.00089415i,0.0006483+0.00012434i,0.00043879-0.00093327i,0.00011351-0.00052455i,-0.00026262+0.00034588i,-0.00035207+0.00011939i,-0.00030612-0.00025397i
-0.00060441-0.0020484i,-0.0008113-0.0020816i,-0.00018347-0.00029265i,-0.00063423+0.001582i,-0.00031632+0.0016898i,0.00039337+0.0017022i,-0.0003551+0.00074509i,-0.00071182+0.00063061i,-0.00019597+0.0012367i,5.9723e-05+0.00073631i,-2.5614e-05+0.00068816i,-0.00058213+0.001051i,-0.00096529+0.00094927i,-0.0011865+0.0006857i,-0.0011295+0.00048268i,-0.00082648+7.3218e-05i,-0.00059395-0.00049198i,0.00012246-0.00042069i,0.00054208+0.00029137i,0.00014156+0.00016839i,0.0001755-4.1281e-05i,4.8034e-05+0.00013032i,-0.00024228+0.00027587i
-6.5352e-05-0.0011263i,-5.7589e-05-0.00010543i,-0.00098454+0.00015857i,-0.0015468+0.00050107i,-0.0010226+0.001364i,-0.00038914+0.0016971i,-0.00088645+0.0011793i,-0.001139+0.00089948i,-0.00022502+0.00047551i,0.00035131+0.00073445i,-6.995e-06+0.0010196i,-0.00047588+0.00054108i,-0.00072668+0.00081115i,-0.00046333+0.00051019i,-0.00023699-0.00028315i,-0.00018329+1.5349e-05i,-0.00038876+0.00057242i,-0.0003353+0.00057322i,0.00028533+0.00051412i,0.00028843+0.00033366i,-0.00022421-3.1106e-05i,-0.00059267+0.00022492i,-0.00068564+0.00081767i
0.00051678-0.00059915i,0.00032584-0.0012347i,0.00012173-0.0014692i,-0.0008184-0.00051422i,-0.0013098+0.00053049i,-0.0011443+0.00088958i,-0.00068823+0.00070925i,-0.0010178+0.0005839i,-0.0014664+0.00029264i,-0.0013284-0.00025612i,-0.0011183-0.00048855i,-0.0010758-0.00068006i,-0.0014312-0.00077847i,-0.0015285-0.00017405i,0.00029278+0.00049121i,0.0018711-9.5572e-05i,0.00138-0.00016397i,0.0006452+0.00010288i,-0.00010141-0.00032073i,-0.00052373-0.00086359i,-0.00026585-0.00081395i,-0.00091007-0.00067137i,-0.0014167-0.00091293i
0.00085522-0.00023054i,0.00072701-0.00063517i,0.00018273-0.00028217i,-0.00077756+0.00049914i,-0.0014943+0.00058169i,-0.0018478+0.00061604i,-0.0021117+0.0014437i,-0.0013628+0.0020885i,-0.00046794+0.0022681i,-4.5683e-05+0.0017193i,0.00011876+0.00047299i,-0.00052469-0.00024214i,-0.00085428-0.00013945i,-0.00089134-0.00030513i,-0.00038378-0.00027747i,0.00044511-0.00054439i,0.00025929-0.00037094i,8.2108e-05-0.00066225i,2.2076e-05-0.00097407i,-0.00049696-0.00015177i,-0.00035202+0.00028955i,0.00055878+0.00041974i,0.00077819+0.0002317i
