-0.00063872+0.00042383i,0.00020141-0.0008542i,-0.00044623-0.00033985i,0.00027947+0.00046474i,8.2047e-05+0.0023744i,-0.00091979+0.0031343i,-0.0011637+0.0025763i,-0.0011764+0.0025696i,-0.00051558+0.0014498i,-0.00010806-6.8389e-05i,0.00036859-0.0010952i,0.0001305-0.001104i,-0.0014411-0.00057212i,-0.001272-0.00083598i,-0.00048886+0.00039359i,-0.00075688+0.00098522i,-0.00075696+0.00021624i,-0.00041141+0.00044585i,-8.1846e-05+0.00047355i,-0.00012731-0.00014749i,-0.00048985-0.0007793i,7.8852e-06-0.00079953i,0.00087679-0.00019888i
-0.00046155+0.00035955i,-0.00023512+0.0014545i,0.00071404+0.0016638i,0.0011387+0.0011497i,0.00092319+0.00091911i,0.0006188+0.00031944i,-0.00016187+0.00024982i,-0.00014521+0.00062646i,0.00013551+0.00037283i,-0.00041844+0.00011738i,-4.1805e-05+0.00024971i,0.00081095+6.8919e-05i,0.00061857-0.00033937i,0.00059951-0.00030897i,-6.756e-05+5.557e-05i,-0.00049077+0.00053179i,-0.00047982+0.0007874i,-0.00019849+7.0779e-05i,0.00021928+0.00022507i,-0.00029381+0.00038835i,-0.00044486-0.00027167i,-0.00056115+0.00024849i,-0.00055613+0.00057191i
-0.00043155-0.0022918i,-0.0012511-0.0019975i,-0.0021306-0.0013555i,-0.0020919+0.0002323i,-0.0017496+0.001642i,-0.0014063+0.0019958i,-0.00098695+0.0012206i,-0.00033913+0.00051686i,-0.00028174+2.6575e-05i,-0.00035529+0.00034805i,6.4061e-05+0.00099104i,0.00053942+0.00062697i,0.00029969+0.00013938i,0.0002236-0.00062692i,3.2007e-05-0.0012281i,-0.00032136-0.00062704i,-0.00077268-0.0001014i,-0.00030397-0.00052326i,5.6892e-05-0.0006578i,0.00039565-0.00057043i,0.0010401-0.00022403i,0.00029523+0.00069865i,-1.7867e-05+0.0013105i
-0.00051377-0.00077904i,-0.0003382-0.001163i,-0.00027234-0.00082428i,-0.00041523+0.00030486i,-0.0005344+0.00072411i,0.00030266+0.00073135i,0.00052741+0.0015277i,4.2422e-05+0.0012989i,-0.00030914-0.00014063i,-0.00055087-0.00077659i,0.00049136-0.00097892i,0.0012817-0.0007012i,0.00049431-0.00033276i,0.00018543-5.1561e-05i,0.0002095-0.00040607i,-0.00029677-0.00068343i,-0.00059038-3.4588e-05i,-2.017e-05+0.00041907i,-8.4855e-07+0.00068977i,-0.00069778+0.00049829i,-0.00056084-0.00026701i,-0.00030826-0.00025082i,-0.0003185-0.00042884i
-0.0016063+2.6129e-05i,-0.0017274-0.0010665i,-0.001423-0.0013111i,-0.00025111+0.00058829i,0.00014622+0.0017741i,-0.00027372+0.0014069i,-0.00081528+0.0014005i,-0.0012416+0.0013404i,-0.0012497+0.0010831i,-0.0007235+0.00061393i,-7.2964e-05+7.7095e-05i,0.0010272-0.00039877i,0.0010673-0.001357i,-0.00030952-0.002135i,-0.00060801-0.0007842i,0.00012559+0.00013333i,5.0767e-05+5.5836e-05i,-0.0011692+0.00053434i,-0.0013324+0.00047596i,-0.00095784+0.00024418i,-0.0013712+0.00042239i,-0.0011397+0.00044093i,-0.00044495+0.00043982i
-0.00189-0.0001786i,-0.0020585+0.0014382i,-0.0019101+0.002631i,-0.001258+0.0022306i,-0.00050735+0.0022708i,-0.00033113+0.0024142i,-0.00092994+0.0020197i,-0.00099874+0.0017512i,-0.00054447+0.00072295i,0.00021624+0.00059535i,0.00039521+0.0012886i,0.00049995-0.00014017i,0.00080521-0.00091557i,4.3443e-05-0.00023206i,-0.00058578-7.2364e-05i,-5.9786e-05-0.00089847i,-0.00037401-0.00085748i,-0.00070988-0.00062659i,-0.00012846-0.00087071i,0.00014104+6.4026e-05i,0.00012808+0.00062259i,0.00032764+0.00039972i,0.00084166-0.00015621i
-0.0002651+0.00091418i,-0.00051296+0.0011085i,-0.00030836+0.0014092i,-0.00031652+0.0011435i,-0.00065673+0.0011304i,-0.0006612+0.0014368i,-0.00031151+0.0016237i,0.00018146+0.0011591i,-0.00023175+0.0004623i,-0.00079068+0.00038853i,-0.00029917+0.00027342i,0.00034142-0.0003019i,-0.00078811-0.00081844i,-0.0018923-0.00069967i,-0.0011063-0.0003357i,-0.00048998-8.9269e-05i,-0.00075737+0.00031065i,-0.00067608+0.00041304i,0.0001054+0.00075172i,0.0002824+0.00089678i,0.00021894+0.00024138i,-0.00030189+0.00054817i,-0.0008993+0.00059178i
0.0015662-0.00045952i,0.0016817-0.001962i,0.0012735-0.0026708i,0.00013692-0.0024303i,-0.00016223-0.0018743i,-0.0010158-0.00048251i,-0.0014646+0.00082923i,-0.00043889+0.00067378i,0.00011317+0.00012633i,-0.00049088+0.00015503i,-0.0010521+0.00045031i,-0.0010461+0.00013299i,-0.00035633-0.00040757i,0.0001949+5.844e-05i,5.5705e-05+6.3466e-05i,-0.00014606-0.00017967i,-5.7102e-05-0.00042614i,0.00033064-0.00057244i,0.00026031-0.00024666i,0.00014878-0.0001012i,0.00041497+0.00049587i,0.00047351+0.00063122i,0.0005444+0.00021138i
0.00067199+0.0011247i,0.00058028+0.00074366i,0.001044+0.0020647i,0.001224+0.0026709i,0.0015009+0.0020639i,0.00092317+0.0008753i,-0.001075+0.00091186i,-0.00092387+0.0016548i,-0.00028728+0.0011064i,-0.00026015+0.00010342i,0.00010996+0.00017425i,9.8882e-05-0.00019804i,0.00070089-0.0010246i,0.00069071-0.00056727i,0.00021273+0.00017387i,-0.0001389+0.00058964i,-0.00034627+0.00045428i,0.00018682+0.00050548i,0.00048093+0.00086423i,-0.00025984+0.00021694i,-0.00062486-0.00046807i,0.00023423+0.0003314i,0.00089991+0.00094248i
0.0011091-0.00033676i,0.00065295-0.00057012i,0.00080708-0.00084327i,0.00085889-0.00074164i,-0.00019232-0.00020868i,-0.0011097+0.0011782i,-0.00087937+0.0023282i,-0.00060134+0.0018376i,-0.0010148+0.0009667i,-0.00088665+0.00036642i,-0.00018365-0.00020897i,0.00013487-0.00044183i,-5.2748e-05+3.9775e-05i,-0.00048541+0.00014166i,-0.00040725-0.00050784i,-9.6129e-05-0.00018667i,-0.00072848-5.303e-05i,-0.0018024-0.00019369i,-0.0014457+0.00012157i,-0.0006835+0.00039104i,-0.00083616+0.00083553i,-0.00057177+0.00077348i,6.998e-05+0.00042781i
6.12e-05-0.00018461i,0.0013913+0.00023439i,0.0014553-0.00012316i,0.0010272-0.00047974i,0.00093026-0.00037221i,0.00061168+0.0005841i,2.0019e-05+0.0015225i,1.2626e-05+0.0010944i,0.00015746+0.00040829i,8.9378e-05-0.00021095i,1.5477e-05-0.00049551i,-0.00028982-0.00079226i,-0.00026338-0.00039485i,-0.00043948-5.0714e-05i,-0.00088279-0.00027632i,-0.00065954+0.00020079i,-9.5233e-05+0.00053182i,0.00036703+9.9447e-05i,0.00051289-0.00019481i,0.00031292-0.00018174i,8.4961e-06+0.00057339i,0.00032179+0.00099769i,0.00029062+0.0005208i
