-0.00048361-0.00059655i,-0.0016777-0.0010141i,-0.0023184-0.00078369i,-0.0019455+0.0004048i,-0.0016812+0.0015501i,-0.0017486+0.0019551i,-0.00050563+0.0014841i,0.00032801+0.0010645i,0.00082753+0.00069083i,0.0013037+0.00020373i,0.0011705-0.00038356i,0.00052695-0.00030156i,6.7178e-05-0.00015242i,-9.2776e-05+0.00015449i,-0.00057527+0.00045551i,-0.00081199+0.00034515i,-0.00080913+0.0004112i,-0.00012702-0.00033233i,0.00016413-0.00070573i,-2.1714e-05+6.5184e-05i,-0.00035587+9.2856e-05i,-0.00086004-0.00022535i,-0.00091244+0.00040195i
-0.0013006+4.2348e-05i,-0.0013715+0.00042655i,-0.0015547+0.0008851i,-0.00087547+0.00038053i,-0.00045973+0.00024802i,-0.00012699-0.00030692i,0.00036347-0.00025321i,-0.00022928+3.9869e-05i,-0.00063831+0.00024743i,-0.00018328+0.00068428i,-9.8384e-05+0.00013058i,0.0002416-0.00011757i,0.00019483+0.00015238i,0.00048464+0.00030158i,0.00059172+0.00020543i,8.9301e-05-0.00024815i,0.00029654+9.0141e-05i,0.00026015+8.4785e-05i,-8.5122e-05-0.00056823i,-0.00045695-0.000735i,-0.00026095+0.00024822i,2.2803e-05+0.00086203i,0.00019243+0.00071855i
-0.00077261-7.9064e-05i,-3.3744e-05-0.00020178i,0.0012221-0.0005433i,0.00040771-0.00063665i,-0.00019865-0.00041378i,0.00016395-0.00010394i,0.00077695+0.00022644i,0.00072166+0.00059266i,0.00028102+0.00081275i,0.00013212+0.00058285i,-0.00038549+0.0010335i,-0.0012577+0.001226i,-0.0010643+4.009e-05i,-2.2821e-05-0.00032637i,0.00031293+0.00058922i,0.00039971+0.00091462i,0.00043267-0.0001653i,0.00011693-0.00045096i,0.00010663-0.0004941i,0.00047067-0.00044026i,0.00078254-0.00034613i,0.00031115-3.3777e-05i,0.00013395+0.00055972i
0.00080193-0.0017986i,0.00074085-0.0018917i,-0.00072302-0.0017356i,-0.0018929-0.0011897i,-0.0015851+4.9033e-05i,-0.00073824+0.00048893i,4.8619e-05+4.4437e-05i,0.00052059+0.0001636i,0.00028966-0.00036238i,-2.2827e-05-0.000423i,-0.00032297-0.00019071i,-0.00071077-0.00044734i,-0.00054783+0.00045147i,-0.00015386+0.001492i,0.00029814+0.0020329i,0.00068044+0.00052238i,0.00058484-0.00040692i,0.00026379+9.1174e-05i,0.00024622-0.00042637i,0.00049442-0.0009828i,0.00082889-0.00044732i,8.8504e-05+0.00038337i,-0.00088936+0.00092578i
-0.00024248-0.00064198i,-0.0006185-0.00027085i,-0.0012428-4.4275e-05i,-0.00079044+1.0492e-06i,-0.0011366+0.0005437i,-0.00070461+0.0011588i,-0.00037206+0.00071184i,-0.00023166-1.8121e-05i,-0.00026542-0.00023428i,0.00022877+7.9638e-05i,0.00081541+0.00086688i,-3.6847e-05+0.00054562i,-0.0006697-0.00073068i,0.00023333-0.00019778i,0.0015228+0.00020075i,0.0015921-0.00059001i,0.00099271-0.0007874i,0.00029858-0.00066738i,4.6482e-05-0.00061511i,0.00014955-0.00057895i,7.1885e-05-0.00061186i,-0.00011144+1.2448e-05i,0.00022282+0.00058117i
0.0012353+0.0019984i,0.0012581+0.0013194i,0.00077433+0.0010576i,0.00061174+9.7695e-05i,0.00048736-1.5126e-05i,0.00010974-0.00032114i,-0.00058667-0.00065826i,-0.00068188+2.9524e-05i,-0.0001609+6.5209e-05i,-6.5667e-06-0.00015857i,2.4262e-05-7.5086e-05i,9.7443e-05-0.00045307i,-0.00029798-0.00059222i,-0.0010347+0.00027347i,-0.00072107+0.00022337i,6.2425e-05+0.00048697i,-3.3856e-05+0.0012627i,7.098e-05+0.00078394i,0.00045949+0.00018644i,0.00067631+0.00045208i,4.9157e-05+0.00064931i,-0.0005327-0.00010821i,0.00030738+2.9188e-05i
0.00043795-0.00059817i,-0.00068331-0.00081942i,-0.0017833-0.00096297i,-0.0014596-0.00053551i,-0.0011799+1.3795e-05i,-0.00049439+0.00029386i,8.1402e-06+0.0002017i,-0.00024433-0.00039306i,-0.00029617+8.4245e-05i,0.0001879+0.00053278i,0.00053759+0.00076622i,0.00012532+0.00074522i,0.00024769+5.6816e-05i,0.00063077+0.00085359i,0.00045861+0.0012771i,0.00021516+0.00032756i,1.2965e-05+0.00017184i,5.7542e-05+0.00042977i,0.00020413+0.00020279i,-0.00055459-0.00015598i,-0.00098216-0.00030968i,-0.0007398-8.7814e-05i,-0.00059949-0.000201i
-0.00045531+0.00044011i,-0.00023882-0.00071952i,-6.6752e-06-0.00062601i,-0.00052908-0.000545i,-0.00054689-0.00034279i,-0.00010867-0.0005801i,2.3384e-05-0.00098806i,8.2876e-05-0.0010943i,-0.00022753-0.00054972i,-0.00094336+6.6449e-05i,-0.00032085-0.00010571i,0.0010685-0.00025959i,0.00070592-8.4197e-05i,-0.00041794-0.00012751i,-0.00010831+0.00028929i,-8.6893e-05-0.00013963i,-0.00021617-0.00081829i,0.00020987-0.00061175i,0.00044322+0.00011966i,-0.00028479+0.0011042i,-0.0010248+0.0010672i,-0.00033782+0.00082986i,8.7787e-05+0.00096632i
-0.0014253+0.00032322i,-0.0017105+0.001345i,-0.0016735+0.0024705i,-0.00059391+0.002223i,-0.00048357+0.0013455i,-0.00074243-4.4457e-05i,-3.1392e-05-0.00033254i,-6.5283e-05-0.00010035i,-0.00053306-2.5436e-05i,-0.0002485-0.00016847i,-6.5936e-05-0.00072892i,0.00049849-0.0012176i,0.0011773-0.001118i,0.00098071-0.00086236i,0.0011111-0.0010014i,0.0011281-0.001315i,0.00012308-0.00040945i,-0.00062294+0.00087851i,-0.00056499+0.0009682i,-0.00058181+0.00081306i,4.1636e-05+0.0011643i,0.00057299+0.00092765i,0.00031343-0.00010998i
-0.00038552+0.0019805i,0.00013051+0.0015566i,0.00062825+0.00093845i,0.00073987+0.00021709i,0.00031648-0.00041198i,-0.00037533-0.00090689i,-0.00041158-0.00083618i,5.6186e-05-0.00025628i,0.00082323+0.00044205i,0.00041087+0.00066769i,-0.00018146+0.00020382i,4.3854e-05-0.00070858i,-0.00021791-0.00020823i,-0.0012689+0.00051148i,-0.0010235+0.00012971i,0.00030593-0.00031628i,7.7544e-05-0.00064712i,-0.00065351-0.00064637i,-0.00079829-0.00053493i,-0.00052257-1.6891e-05i,-0.000241+0.00024084i,9.0464e-05-0.00019042i,0.00019378+9.2975e-05i
-0.0005235-0.0023887i,-0.00056417-0.0020047i,-0.00063323-0.0015295i,-0.0020429-0.00077882i,-0.0030047+0.00044211i,-0.0010799+0.001379i,0.00073756+0.00051398i,0.00064585-0.00022586i,-0.00030581+0.0001405i,-0.00056972-4.8327e-05i,8.0438e-05-0.00043478i,0.00071128-4.751e-05i,0.00037521+0.00026418i,-0.00012512+0.00060853i,-5.3905e-06-6.9534e-05i,-0.00056486-0.0010732i,-0.00079376-0.00042023i,-0.0010175+0.00017607i,-0.0013247-0.00037363i,-0.00013217-0.00060878i,0.00059964-0.00026147i,-0.00020467+0.00013849i,-0.00067944+0.00022972i
