-0.0035667-0.00099943i,-0.003515-0.0001319i,-0.0039776+0.00092942i,-0.0039898+0.0015702i,-0.0024414+0.0022023i,-0.0010714+0.0023477i,5.7967e-05+0.0019193i,0.0012806+0.001412i,0.0018273+0.00042554i,0.0011531-0.00038146i,0.00018471-2.4652e-05i,-6.6883e-06+0.00010916i,0.00054692-0.00027222i,0.00058644+3.7232e-06i,0.00014823-2.6355e-05i,7.3442e-05-0.00023215i,-0.00039461+0.00035939i,-0.00084517+0.00036269i,-0.00027285+0.00020679i,-0.00048798+0.00057001i,-0.00089688+0.0012768i,-0.0009248+0.00022193i,-0.00051051-0.00041017i
-0.00015633+0.0001305i,0.00056946-0.00032817i,-0.00033806-0.0030415i,-0.0012101-0.0038827i,-0.0014037-0.00189i,-0.00082171+0.0005193i,0.001059+0.0012182i,0.0014014+0.00025894i,0.00062492-0.00090382i,-0.00015751-0.00055121i,-0.00051523-0.00025781i,-0.00073151-0.00018099i,-0.00093751-9.8176e-05i,-0.00040244-4.0041e-05i,-0.0013549-0.00050714i,-0.0018108-0.0011063i,-0.00074774-0.00098477i,-0.0003463-0.00060511i,-0.00045396+0.00037706i,-0.00050897+0.0011679i,-0.00034717+0.00059957i,-0.00019065-5.6089e-05i,5.9905e-05-0.00041997i
0.00026504-0.0018031i,0.00024128-0.0028118i,0.00018151-0.0021586i,-0.0012271-0.00077446i,-0.0012835-2.6567e-05i,-0.00023314+0.001163i,0.00044866+0.0014143i,0.00048634+0.00046449i,0.00030801+0.00023401i,2.4262e-05-0.00018523i,-0.00032618-0.00018786i,-0.0007102+0.00032574i,-0.00070283+0.00058462i,-0.00044767+0.00052786i,-0.00084121+0.00081595i,-0.0013906+0.0005671i,-0.0005762-0.00013608i,-0.00029576+5.8352e-05i,-0.0009407+0.00041884i,-0.00049986+0.00044857i,2.6822e-05+0.00071258i,0.00039451+0.00073212i,0.00042048+0.00087817i
-0.0011767+0.0002698i,0.00051563+0.0005487i,-0.00071208-0.00037051i,-0.0017316-0.0014489i,9.8516e-05-0.00040339i,0.0018833+0.00095203i,0.0019465+0.00085783i,0.0012053-0.00043823i,0.00067414-0.0010066i,0.0008963-6.4296e-05i,0.00012168+0.00064213i,-0.0010389+0.00068792i,-0.0012403+0.00099692i,-0.00080164+0.00082887i,-0.00068805+0.00022453i,-0.00054754-0.00018442i,-0.00085445-9.8226e-05i,-0.00089988+0.00029785i,-0.00016015+0.00030299i,-0.00011383-0.00031245i,0.00032784-0.00047101i,0.00083773-3.1688e-05i,0.0010733+7.8936e-05i
-0.001435-0.00049576i,-0.00069948-0.00076465i,0.00067009-0.00087765i,0.0005823-0.00052604i,-0.00025311-0.00018643i,0.00034315+0.00062822i,0.00088819+0.00061486i,0.00063849+0.00028834i,0.00067436-2.8484e-05i,0.0012835+0.00019313i,0.00083863+0.00036262i,-8.3548e-05+1.7486e-05i,-0.00071128+7.5425e-05i,-0.0014139-0.0004145i,-0.0013284-0.00084164i,-0.0004352-0.00036348i,-0.00052447-0.00051743i,-0.0008338+0.00019079i,-4.9203e-05+0.00081255i,-2.9343e-05+0.00016561i,-0.00024002-1.4112e-05i,-0.00035495-0.00043042i,-0.00089759-0.00031881i
0.00027697-0.0015681i,-0.0010371-0.0015977i,-0.0018565-0.0029848i,-0.0014581-0.0026779i,-0.0012428-0.0013242i,-0.00048672-0.00015602i,0.00082205+1.1979e-05i,0.0016476-0.0008663i,0.00093027-0.0014202i,6.1326e-05-0.0011036i,0.0004699-0.00048335i,0.00050323-0.00057419i,0.00023144-0.00029232i,-0.00014993+0.0008134i,-0.00057501+0.0006554i,-0.00065913-0.00056985i,-0.00084922-0.00033611i,-0.00076787-0.00016899i,-0.00082753-0.0004275i,-0.00070852-8.4498e-05i,-2.0496e-05-0.00040379i,0.00056547-0.00065829i,0.00013401-0.00047037i
-0.0013277-0.00057191i,-0.0016146-0.00082784i,-0.000833-0.00074015i,-0.00036758-0.00021208i,-0.00090162-0.00027911i,-0.00034932-0.00026358i,0.0016641-0.00020949i,0.0027642-0.0001164i,0.0025367-0.00032509i,0.0015032-0.00014153i,0.00015796-2.4364e-05i,0.00064222-5.004e-05i,0.001015+0.00011126i,0.00028097-0.00015118i,-0.00018545-0.00077848i,-0.00035624-0.00094599i,-4.7485e-05-0.00091725i,-9.2261e-05-0.00083494i,9.4117e-05-0.00026586i,0.00041746+0.00024947i,0.00046544-0.00025072i,0.00078642-0.00054208i,0.0002545-0.00057357i
-0.00097259-0.0018561i,-0.00089582-0.0006471i,-0.0011195-0.00065089i,-0.0018115-0.001913i,-0.0020075-0.0017835i,0.00011028-0.00037544i,0.0020899-0.00026079i,0.0015716-0.00058256i,0.00049491-0.00055562i,0.00012177-0.00093562i,0.00014017-0.0013242i,-0.00028322-0.0011i,-8.6733e-05-0.00086294i,6.5642e-05-0.00097924i,-0.00029837-0.00041241i,-0.00032302-0.00016563i,-4.2549e-05-0.00053693i,-0.00010374-0.00089789i,-6.9325e-05-0.00049415i,4.9453e-06-0.00011982i,0.00046773-0.00010776i,0.00048241-0.00011628i,0.00010982+5.7697e-07i
-9.2318e-05+0.0025417i,0.0015495+0.001253i,0.0033331+2.3155e-05i,0.0033557-0.00032064i,0.0015948-0.00093168i,0.00022967-0.0013227i,0.0012086-0.00049634i,0.0018534-0.00034429i,0.00062154-0.00026004i,0.00025584+1.5021e-05i,0.0007859-0.00037288i,0.00052006-0.0002505i,0.0010315-9.3595e-05i,0.0015595+0.00024926i,0.00019044-0.00029013i,-0.00015528-0.0010832i,6.9523e-05-0.00072625i,-0.00036332-0.00012114i,-0.00016827+0.00028698i,-0.00036997+0.00020946i,-0.00012934+0.00018837i,0.00026162+0.00061202i,-6.3535e-06+0.00033522i
-0.00093808-0.0004909i,-0.0012994+0.00030241i,-0.0011523+0.00035353i,-0.00040907-0.00060125i,-6.042e-05-0.0001436i,0.00025101+0.00098751i,0.0012305+0.0004305i,0.0020318-0.00091959i,0.0017797-0.00069726i,0.00082968+0.00053172i,0.00026658+0.00020537i,0.00012426-3.1321e-05i,-0.00028707+0.00019081i,-0.00072885-0.00066107i,-0.00085178-0.00054406i,-0.0011438+0.00025757i,-0.0010286+5.0948e-05i,-0.0005385-0.00017272i,-3.0293e-05-3.9682e-05i,0.0011093-0.00034353i,0.0011307-1.3343e-05i,0.00016536+0.0001997i,-0.0001768-0.00020552i
-0.000199+0.0016435i,0.00038958+0.00081059i,0.0010882-0.00092909i,0.001555-0.0014183i,0.00087767-0.00023946i,-7.6753e-05+0.00060621i,0.00014454+0.00033975i,0.00086689-0.00013739i,0.0011587+5.2771e-05i,0.001095+0.001148i,0.00070502+0.0011381i,0.00036724+0.0011615i,0.00059553+0.00092022i,0.00053856-5.0538e-05i,-0.00016122-0.00045277i,-0.0006803-0.0006014i,-7.1718e-05-0.00088599i,0.00025351-0.0016017i,0.0001238-0.0013147i,0.00019568-0.00047697i,0.000273-0.00015229i,0.00061311-0.0001617i,0.0010213-0.00011521i
