0.0010862+8.3481e-05i,0.00057134-0.00015285i,0.0011018-0.00093791i,6.3121e-05-0.001738i,-0.0022616-0.00071773i,-0.0025946+0.0011997i,-0.0010157+0.0027006i,0.00066354+0.0016533i,0.0010844-0.00030003i,0.00081897-0.0013719i,0.00025822-0.0016896i,-0.00029253-0.0013049i,-0.00091738-0.0010316i,-0.00098937-0.00028621i,-0.00085416+0.00038168i,-0.0011616+1.6356e-05i,-0.0012847-0.00048796i,-0.00099961-0.00031i,-0.00038492+0.00032375i,0.00026828+0.00087016i,0.00019118+0.00036593i,-0.00044037-0.00020143i,-0.00045592-0.00012648i
0.0018612+0.00091615i,0.00096782+0.0016916i,0.00093167+0.00092379i,0.0002355-0.0016947i,-0.00097817-0.00304i,-0.0023937-0.0018837i,-0.0022152-0.00060274i,-0.00017182-0.00062434i,0.00071088-0.0012182i,0.00026655-0.0011814i,0.0004707-0.0010919i,0.00073287-0.00071711i,0.00043949-0.00047621i,9.335e-05-0.0007973i,1.692e-05-0.0010823i,0.0001376-0.0012911i,-0.00026213-0.00099921i,-0.00090548-0.00058011i,-0.00086194-0.00031702i,-0.00063337-0.0002531i,0.00030868-0.00031602i,0.00076742-0.00030481i,0.0002901+0.00041229i
0.00030039-0.00017174i,-0.00066696-0.00055812i,-0.001291-0.00035943i,-0.0015782-0.00042068i,-0.0021322-0.00039426i,-0.0020655-3.698e-05i,-0.0014634-0.00024265i,-0.00057696-0.00061781i,-0.00051973-0.00086597i,-0.0014556-0.00093113i,-0.0015769-0.00051186i,-0.0014539-0.00022983i,-0.00083509-0.00053287i,-0.00051453+8.5091e-06i,-0.00097699+0.00015073i,-0.00018528+0.0004456i,0.00039594+0.00036244i,0.00038961-0.0011325i,0.00063067-0.0013484i,0.00045517-0.00093033i,0.0002677-0.00023256i,0.00032683+0.00025973i,0.00015648+0.00025237i
0.00069977-0.00067399i,0.00073439+0.0003362i,0.00018088+0.00027889i,-0.0014341+0.00082133i,-0.003449+0.0010263i,-0.002839+0.00038748i,-0.0010307-0.00023106i,-0.00016086-0.00090904i,-0.00015095-0.0018915i,-9.4938e-06-0.0022387i,-0.0001662-0.0014711i,-0.00064801-0.0010595i,-0.00087033-0.00037707i,-0.00050392+0.00057821i,-0.00020469+0.00063901i,-0.00031684+0.00028406i,-0.00010964+0.00036062i,-5.8424e-05+0.00076776i,0.00020226+0.001205i,-1.9478e-05+0.00019437i,-0.00022306-0.00061698i,-0.00024417-0.0001894i,-0.00063134-0.00056835i
0.00042282+0.0012269i,-0.00016526+0.00196i,0.00049416+0.0022579i,0.0009429+0.0012074i,-0.00017552-0.00033972i,-0.001484-0.0015225i,-0.0013612-0.0011296i,4.4265e-05-0.00057605i,9.261e-05-0.00033107i,-0.00044517-0.00055495i,3.0074e-05-0.00072857i,0.00038329-0.00015013i,0.00076217-2.8731e-05i,0.00055322-0.00036435i,0.0005091-0.00041499i,0.00068309-4.6318e-05i,-0.00021677+0.001085i,-0.0008214+0.0014256i,-2.6819e-05+0.000756i,0.00073146+0.00021608i,0.00071417+0.00015904i,0.00045649+0.00061566i,-5.9623e-05+0.0008649i
8.215e-05+0.00045258i,0.000833+0.00034239i,0.0016007-0.00098099i,0.00069576-0.002092i,-0.00083548-0.0023327i,-0.0013226-0.0018548i,-0.00023678-0.0010157i,0.00092762-0.00090293i,0.0012716-0.0013304i,0.0010241-0.0017573i,0.00016835-0.00088994i,-0.00012796+9.5013e-05i,0.0002997-0.00027298i,-0.00017064-0.00066635i,-0.00096033-0.00037969i,-0.0007283+9.7632e-05i,-0.00025848-0.00017051i,-0.00010643-0.00027121i,-0.00013119-0.0005081i,-4.4311e-05-0.0006056i,0.00031383-0.00011757i,0.00052775+5.7001e-05i,0.00021725-7.8113e-05i
-0.00024626+0.00036256i,0.00084918-0.00075985i,0.0003802+0.0003798i,-0.00040202+0.0019886i,-0.00095114+0.0018078i,-0.0012048+0.0004104i,-0.00033079-0.00087889i,0.00039176-0.0012594i,0.00022476-0.0010776i,0.00023705-0.0009208i,0.00043876-0.0011915i,0.000243-0.0013364i,-0.00039953-0.00086987i,-0.00014826-0.00050455i,0.00032538-0.00049875i,0.00065939+0.00015672i,0.00072291+0.001139i,0.00069448+0.0011108i,0.00019458+0.00031073i,-0.00049569-0.00030866i,4.7851e-05-4.3881e-05i,0.00077002+6.8452e-05i,0.00059825-0.00069395i
-0.0005334-0.0011348i,-7.2252e-05-0.0010661i,-0.00067923-0.0015602i,-0.00057429-0.001659i,-0.00058384+3.9064e-05i,-0.00065843+0.0015171i,-0.00080219+0.0014139i,-0.000587+0.00045184i,-0.00075737-0.0012664i,-0.0010225-0.0018568i,-0.0012731-0.00029201i,-0.0012828+0.00069999i,-0.0010355+0.00014873i,3.7782e-05-8.991e-05i,0.00070563+0.00014961i,0.00046204-0.00039334i,0.00016989-0.00039022i,-0.00027712+7.3762e-05i,-0.00026175-0.00054965i,-1.8087e-05-0.00063905i,0.0001441-0.00061866i,-4.2773e-05-0.00077761i,0.00014791-3.5913e-05i
0.00153+0.001265i,0.0012324+0.00067082i,0.0013487-0.00024972i,0.0010052-0.0012093i,-1.9336e-05-0.002065i,-0.00071053-0.0015055i,0.00033777-0.0011068i,0.00072412-0.0011672i,0.00017718-0.0011619i,-9.6577e-05-0.00049545i,-0.0002093-0.0010722i,-0.00024075-0.0011022i,-6.2781e-05-0.00048027i,0.00040107-0.00088544i,0.00069161-0.0012613i,0.00055178-0.00072259i,-0.00035259+0.00030741i,0.00015758+0.0009221i,0.0011421+0.00083241i,0.00054777+1.0707e-06i,-0.00013393-1.9592e-05i,-5.3042e-05+0.00065441i,-0.00025616+0.00061886i
0.00044745-0.0015995i,-0.0010763-0.0013208i,-0.0021887-0.0019113i,-0.002999-0.0014308i,-0.0034869+3.1162e-05i,-0.0020739+0.00096951i,-0.00022548+0.00071364i,0.00056359-0.00099535i,6.1989e-05-0.0010305i,-0.0010451+0.00024422i,-0.0013309+3.7442e-05i,-0.00097034-0.00069326i,-0.00041268-7.4371e-05i,6.2967e-05+0.00046478i,-0.00056084+0.00016931i,-0.0008484+5.3444e-05i,-0.00055684+0.00024292i,-0.00053548+0.00026654i,0.00040434+2.8878e-05i,0.00071652-0.00022334i,0.00018785-0.00012939i,-1.8133e-05+0.00012851i,7.7241e-05+8.0056e-05i
4.5796e-05+0.0012598i,-5.5979e-05+0.001326i,-0.00034662+0.0028531i,0.0001713+0.002132i,0.00059176-0.00049824i,-0.00011888-0.0016417i,-0.00032633-0.001225i,2.2988e-05-0.00078431i,-0.00031707-0.00098512i,-0.00030556-0.00062847i,3.0153e-05+0.00042779i,-0.00063178+0.00064925i,-0.00052582+0.00087124i,0.00037143+0.00051488i,-0.00017862-0.00011099i,-0.00052237+0.00016227i,-0.00012811+0.00031433i,-0.00020132+0.00025819i,-0.00031275+0.00035293i,-0.0003048+0.00021724i,0.00010338-0.00015289i,0.00041413-0.0003653i,-2.1771e-07-0.00011551i
