-0.0016773+0.0013466i,-0.0011186+0.0013747i,-0.0020949+0.00079411i,-0.0021019+0.00097023i,-0.0017445+0.0008416i,-0.0019371+0.00048791i,-0.0013368+0.0012824i,-8.5076e-05+0.0018657i,0.00017521+0.00090042i,1.8244e-05+8.5637e-06i,0.00027195-5.9506e-05i,0.00059892-0.00018535i,0.00022707-0.00011732i,-0.00098945+0.00015694i,-0.0013795+0.00022729i,-0.00059013-0.0002562i,0.00015886+0.00022886i,0.0001592+0.0007471i,-0.00026951+6.7631e-05i,-0.00013746+0.00069593i,0.00039944+0.0011909i,0.00056277+6.448e-05i,-0.00034567-0.00037464i
-0.0014963-0.00036315i,-0.0018011-0.00062518i,-0.0010756-0.0011307i,0.0006584-0.0011099i,0.0012203-0.0018043i,0.00022674-0.0021816i,-0.00076327-0.0003519i,-0.0010166+0.0014384i,-0.00078963+0.0018698i,-0.00070974+0.00037977i,-0.00076134-0.00056422i,-0.00066486-0.0007807i,-0.00028675-0.0009039i,-0.0001596-0.00050203i,-0.00023192+0.00015492i,0.0001843+0.00048829i,0.00067661+0.00041524i,0.00087561+0.00052414i,0.00047091+0.00059269i,-0.00015828+0.00020203i,-0.00012163+0.00014915i,0.00033588-1.8213e-05i,1.6817e-05-0.00020593i
0.00022948-0.0016308i,0.00097282-0.00095909i,0.00065008-0.0010804i,-0.00040264-0.0018746i,-0.00053651-0.0020812i,-0.00066547-0.0021678i,-4.4527e-05-0.0011522i,0.00021749+0.00043844i,-7.5966e-06+0.00093397i,-0.00043512+0.0006063i,-0.00061623+0.00086914i,1.2562e-05+0.0010178i,3.1803e-05+0.00078483i,-0.00097582+0.00050039i,-0.0010055+0.00035346i,-0.00049634+0.00031686i,-0.00047137-0.00051643i,-0.00087091-0.00070823i,-0.00029403-0.00054337i,-0.00010392+0.00034189i,-9.0856e-05+0.0008269i,0.0002193+0.00055626i,5.8749e-05+0.00060555i
-0.00033737+0.00051912i,-0.00077929+0.0004162i,-0.00036779-0.00022715i,0.00050977-0.00085961i,0.0012524-0.0013084i,0.00017156-0.0013788i,-0.00060895-0.00034302i,-0.00024845+0.00046559i,-0.00018274+0.00094162i,-0.00067059+0.0010514i,-0.00048679+0.0010875i,-0.00068784+0.0010906i,-0.00040123+0.00026348i,0.0004598+9.1339e-05i,0.00030169+0.00088985i,-0.00024415+0.0012297i,-0.00062665+0.00090905i,-0.00086543+0.00022133i,-0.0010151-0.00055784i,-0.0008429-0.00049427i,-0.00047359+0.00037613i,-0.00013975+0.0010241i,-0.00063168+0.00033005i
-0.00070534-0.00015745i,-0.00093889+0.00014724i,-0.00049464+0.00018073i,0.00016343-7.1467e-05i,0.00064193-0.00074482i,9.7013e-05-0.00066172i,-0.001344-0.00044669i,-0.0016396-0.00066202i,-0.00081454-0.0007764i,7.0289e-05-0.00030817i,0.00099894+0.00085898i,0.0007129+0.0014258i,-0.0001129+0.0011111i,-0.00051513+0.0012917i,-0.00058847+0.0011938i,-0.0011452+0.00035039i,-0.0011914-0.00062184i,-0.00057466-0.00082393i,-0.00061285-0.00070401i,-0.00075797+0.00020838i,-0.00025522+0.00072511i,0.00022862-0.00020722i,0.0005602-0.00063393i
0.00037683-0.0017325i,0.00017843-0.0016103i,-0.00040386-0.00078703i,1.3393e-05-7.4487e-05i,0.00081534-0.00012574i,0.00090913-0.00071423i,-0.00082496-0.00098626i,-0.0019488-0.00043644i,-0.00078289+0.000251i,0.00034794-2.6454e-05i,0.00028161-0.00042708i,-0.00021806-0.0002877i,-0.0010713+0.00035649i,-0.0010217+0.00088252i,-0.00038156+0.00047435i,8.8299e-05-7.9218e-05i,0.00011617+0.0004656i,-9.5976e-05+0.00083425i,-1.0242e-05+0.00039253i,-4.401e-05+0.00034392i,-0.00011812-0.00013832i,-2.7849e-05-0.00020694i,-1.5012e-05-0.00035158i
-0.00076097+0.00036648i,0.00053401+0.00042672i,0.0021505+0.0010245i,0.0037714+0.00044266i,0.0033575-0.00075116i,0.0015696-0.00083436i,-0.000162+8.8147e-05i,-0.00087621+0.00046905i,-0.0010202+0.0010477i,0.00011311+0.0011099i,0.0010316+0.00043925i,0.00033221+0.00038992i,6.8187e-05+0.00040181i,-0.00019674-0.00020815i,-0.00047477-0.0006826i,-0.0001489-0.00048506i,-6.2575e-05-0.00010666i,-7.8916e-05-0.00051436i,0.00049111-0.00018184i,0.0006314+0.00054648i,0.00054856+0.00052773i,0.00027531-6.918e-06i,0.0001925-0.00022865i
-0.00077085-0.0010995i,-0.00075328-0.00055987i,-0.0010839-0.0011104i,-2.2585e-05-0.0016908i,0.00071062-0.0019419i,0.00018743-0.001771i,-0.00049687-0.0010014i,-0.00080505+0.00020513i,-0.00076766+0.0010421i,-0.00055895+0.00073484i,-0.00021909+0.00078626i,-0.00048394+0.00083945i,-0.0010796+0.00026349i,-0.0011024+0.00057942i,-0.00088622+0.00076737i,-0.00051552+0.00037052i,-0.00018628+0.0007341i,0.00032549+0.00097706i,0.00067964+0.00094288i,0.0004489+0.00069355i,-3.3724e-05+0.0003841i,0.00013451+0.00036069i,0.00049772+5.8106e-05i
0.00067987+0.00010161i,0.00029763-0.00098839i,0.0002235-0.00094264i,0.00045091-0.0010618i,0.00097726-0.0013393i,0.00076427-0.00095414i,-6.508e-05+8.3734e-06i,-0.000334+0.00066556i,0.00022782+0.00055051i,0.00058432+0.000291i,0.00015208+0.00052757i,-0.00034138+0.00099742i,-0.00046107+0.00029281i,-0.00043-0.00050489i,0.00024623-0.00065008i,0.0010299-0.00077069i,0.00068334-8.7343e-05i,-7.5544e-05+0.00042166i,-0.00011938-5.7116e-05i,0.00058343-0.00028743i,0.00056858-4.317e-05i,0.00067209+0.00077804i,0.00086093+0.00087642i
0.0017556+5.2997e-06i,0.0017547-9.19e-05i,0.0015391-0.0010082i,0.0013558-0.0018053i,0.0012283-0.0017331i,0.0010963-0.0014939i,0.00024641-0.00065215i,-0.00059683+0.00031712i,-0.001255+0.00082618i,-0.0012632+0.00043824i,-0.00033123-0.00063137i,0.00079555-6.0882e-05i,0.0002024+0.00021687i,-0.00086618-0.00023527i,-0.00061486+4.8642e-05i,-0.00015769+0.00056711i,-0.00072919+0.0014212i,-0.0010433+0.0015337i,-0.00051383+0.0011209i,0.00013608+0.00074779i,0.00047085+2.7411e-05i,0.00085936-0.00053109i,0.0012946-0.00055214i
-0.00056061-0.0021563i,-7.0176e-05-0.001778i,-0.00037627-0.00090208i,0.00023002-0.00019962i,0.0008081-8.0664e-05i,0.00020235-0.00030922i,-0.00038446-0.00017189i,-0.00086903+0.0011899i,-0.0014501+0.0011569i,-0.00090781+0.000677i,0.0002516+0.0003725i,0.0011793-0.00053412i,0.0008147-0.00041582i,-0.0006479-1.9183e-05i,-0.00079749+1.8286e-05i,-0.00038751+0.00042i,-0.00036763+0.00036013i,-0.00014596-0.00048751i,0.00073188-0.00058092i,0.0001854-0.00028952i,-0.00079145-0.00014886i,-0.00095142-4.1009e-06i,-0.00035247+0.00021639i
