-0.004678-0.0015498i,-0.0048503-0.0012032i,-0.0040567+0.0011014i,-0.00070116+0.0015295i,0.0017964+0.0020775i,0.0017222+0.0012518i,0.00044211-0.00024065i,-0.00038787-0.00058811i,-0.00022034-0.00066165i,0.0012666+6.5291e-05i,0.0020566+0.00018106i,0.0017089-0.00069883i,0.0016751-0.00092237i,0.0012572-0.00091361i,0.001069-0.00094643i,0.00077837-0.00047694i,0.00010709-0.00016768i,0.00035309-0.0003141i,0.00031006-0.00080441i,0.00030026-0.00094361i,0.0005182-0.00033289i,0.00061531-9.9997e-05i,0.00081366-0.00013567i
0.00085096+0.00026299i,0.0005949+0.00067725i,-0.00049585-3.9704e-05i,-0.00068519+7.9534e-05i,-0.00041401-3.6541e-05i,-2.0607e-05-0.0001794i,0.00015359+0.00044471i,0.00032882+0.0004749i,-0.00039197-3.7955e-05i,-0.00050466+0.00047343i,0.00037651+0.0009007i,0.001093+0.00025308i,0.00070202-3.495e-05i,-1.2084e-05+0.00089724i,0.00027948+0.0013442i,0.00063911+0.00087765i,0.00082764-9.8265e-05i,0.00070196+4.2783e-06i,-0.00016578+0.00058723i,-0.00092754+0.00017726i,-0.00053442+0.0004658i,-0.00053443+0.00042734i,-0.00068858-0.00053261i
-0.0019075-0.00087255i,-0.0023797+0.00022412i,-0.0028098+0.00093102i,-0.0018618+0.0021038i,-0.0010722+0.0022642i,-0.00071464+0.0011298i,-0.0006459-0.00055116i,-0.00054444-0.0010275i,-0.00031528-2.0095e-05i,-0.00028031+0.00080614i,0.00016299+0.00090421i,0.00075006+6.7824e-06i,0.001015-0.00056048i,0.00077446+0.0001186i,0.00098224+0.00070006i,0.0013399+0.0003864i,0.00063266+0.00036763i,0.00017681+0.00098472i,0.00070045+0.00047232i,0.0012986-0.00047479i,0.00064654-0.00045712i,-0.00025635-0.0003987i,-0.00046119-0.00087084i
-0.0012374-0.00050409i,-0.00061427-7.0031e-05i,0.00052997-5.8764e-05i,0.0017611+0.00056005i,0.0025841+0.00020894i,0.0019845-0.0014787i,0.00071832-0.002108i,0.00083363-0.0015011i,0.0010969-0.0003771i,0.0011455+0.00015977i,0.0010512+0.0007505i,0.00045463+0.0013076i,0.00057849+0.00065517i,0.00083298+0.00057541i,0.00087153+0.0013467i,0.00033953+0.001277i,-0.00013229+0.00060581i,-0.0001613-0.00041209i,0.00034107-0.00085249i,-0.00019399+2.809e-05i,-0.0011173+0.00064361i,-0.0008636+0.00075983i,-3.8495e-05+0.00027692i
0.00072307+0.00064926i,7.8363e-05+0.00091731i,-0.00035376+0.0013651i,5.7158e-05+0.00095136i,-0.00010241+0.00047769i,-0.00017847+0.00073732i,-0.00010986-0.00050017i,-8.1905e-05-0.0013575i,-0.0001422-0.0014781i,0.00019657-0.0014338i,-3.2837e-05-0.00060855i,-0.00066959-0.00052627i,-0.00061271-0.00098684i,0.00027133-0.00015208i,0.00065415+0.00055134i,-0.00017205-0.00013568i,-9.4384e-05-0.00071293i,0.00051825-0.00038378i,0.00073663+0.00026019i,0.001041+0.00027247i,0.00065597-0.00029097i,0.00010371-9.7958e-06i,-0.00030029+0.00018698i
-0.00044138+0.0014867i,-0.0013611+0.00091738i,-0.0018585-5.9639e-05i,-0.00034053-0.0012433i,0.00080308-0.0010245i,0.00027433-0.0010104i,-0.00020353-0.00092426i,-0.00052776-0.00051306i,-0.00035072-0.00034498i,-0.000307-0.00030378i,-0.00051718-0.00014903i,0.00021821-5.6359e-06i,0.00097449-0.00030888i,0.000581-0.00065325i,-0.00021779-7.6466e-05i,3.4065e-05+0.00087658i,0.00021702+0.00055291i,-2.1976e-05-7.283e-05i,6.6308e-05-0.00055901i,-7.0958e-05-0.00038644i,0.00030265-0.00066222i,5.1376e-05-0.00061299i,-0.00028039+0.0003431i
-0.0008048-0.0018993i,-0.00085268-0.0018868i,-0.00064727-0.0011365i,-0.00028003-0.0008825i,-0.00015152+0.00018375i,-7.5613e-05+0.00017122i,0.00022597-0.00078626i,0.00023558-0.00067699i,-0.00021847+0.00029589i,-0.0011016+0.00096977i,-0.0007843+0.00067849i,0.00021313+0.00031485i,-0.00027449+0.00054879i,-0.00051956+0.00038513i,-4.2288e-05+0.00010467i,0.00023094+0.00040054i,-7.0868e-05+0.00019197i,-0.00043828-0.00013802i,-2.035e-05+9.635e-05i,0.00029576+0.0003694i,-0.00013578+0.00070768i,0.00011923+0.00056444i,0.00090234-1.9362e-05i
-0.00034015+0.0013567i,0.00013327+0.0032325i,-0.00025531+0.0036669i,-0.00017253+0.0034188i,0.00098069+0.0022197i,0.0013443+0.00090933i,0.0006806+0.00083951i,0.00014059+0.00068595i,4.0936e-05-0.00046308i,0.00054964-0.0010354i,0.00065059-0.00071362i,0.00037151-7.0324e-05i,-0.00015271+8.0529e-05i,-0.00096463-0.00046119i,-0.00047621-0.00070678i,0.00070627-0.00067679i,0.0004215+0.00029668i,-0.00083764+0.00061512i,-0.0004756-0.00027985i,-0.00022681-0.00019506i,-0.00052649-0.00030356i,-0.00037215-0.00062635i,0.00026901-0.00075598i
-0.00094832+0.00057799i,-0.0023208+0.00033315i,-0.0020392+0.0006324i,-0.0011891+0.00027861i,-0.00096423-0.00033012i,-0.0011708-0.0012684i,-0.00050988-0.0010658i,0.00024041+0.00051761i,0.0003026+0.001102i,-0.00039046+0.00089943i,-0.0010356+0.00017159i,-0.00027204-0.00054033i,-0.00022769-0.00068057i,-0.00087744-0.0010967i,-8.0232e-05-0.0011459i,4.6074e-05-0.00079647i,0.00027031-0.00047413i,0.00035413-0.00026293i,0.00038223+0.00041637i,0.0010719+0.00083421i,0.0010051+0.00053574i,0.00014748+0.00024079i,-0.00015597+5.1116e-05i
-2.3978e-05+0.00024223i,0.00054241+0.00030054i,0.00064805+0.0006094i,0.00086976+0.00016306i,0.0014216-0.00068846i,0.00141-0.0013577i,0.00025828-0.0014917i,-0.00017454-0.00076777i,-0.00019633-0.000524i,-0.00044302-0.00087256i,0.00015637-0.0011607i,0.0008518-0.00059496i,0.001204+0.00012014i,0.0012192+0.00046705i,0.00076212-2.526e-05i,-0.00015085-0.0003648i,-0.00070849-0.00039912i,-0.00017697-0.0002813i,0.00026085+0.00014754i,-0.00011342+3.4422e-08i,-0.00053568+0.00032592i,-0.00026783+0.00017727i,-5.2892e-05-0.00028989i
-0.0001214+0.0007706i,1.0536e-05+0.0024703i,0.00012615+0.0030625i,-5.0157e-05+0.0020671i,-0.00037553+0.00081355i,-0.00030582+0.0006683i,6.774e-05+9.1718e-05i,0.00042881-0.00051797i,-0.00010667-0.00065081i,-0.00013858-0.00036123i,0.00025586-8.2966e-05i,0.00057082+8.0002e-05i,0.00090689+4.0326e-05i,0.00080148-0.00080981i,0.00050451-0.0017327i,7.9088e-05-0.0009272i,-0.00023953-3.1094e-05i,-0.00019945-0.00048438i,0.00025222-0.0004299i,0.0011109+0.00037898i,0.0011752+0.0005139i,0.00074064+0.00016612i,0.00025076+0.00025444i
-0.0018881-0.00081605i,-0.0027908-0.00085576i,-0.0019437-0.00061025i,4.5953e-05+0.00072789i,0.001118+0.0015765i,0.0011364+0.0013425i,0.00066092+0.00044324i,0.00049348+9.0186e-05i,0.00062107-2.9532e-06i,0.0013061+0.00020138i,0.0011535+0.00029339i,0.0006641+0.00037142i,0.0010898+0.0010731i,0.0009217+0.00048541i,0.00085838-0.00015002i,0.00051701-0.00080762i,-3.5153e-05-0.00048795i,-0.00012127+0.00034356i,-0.00047895+4.4758e-07i,-0.00029268+0.00022123i,-0.00020852+0.00020559i,7.0779e-05-0.00012054i,8.1236e-05+0.00035556i
0.0010771+0.00066318i,0.0016886+0.0008441i,0.0016584+0.00094083i,0.0026923+0.00054111i,0.0028253-0.00053363i,0.0021436-0.0014416i,0.00081424-0.0013072i,6.1442e-06-0.00089248i,0.00050693+0.00012131i,0.00089548+0.0012022i,0.0010962+0.0012524i,0.0006745+0.00061093i,-0.0002621+3.9076e-05i,-0.00033627+0.0002217i,-0.00026235+0.00042243i,-0.0010187+0.00022333i,-0.0011911-0.00037659i,-0.0005051-0.00061334i,4.2645e-05-0.00082332i,-3.709e-05-0.00034525i,0.00031479+0.0005456i,0.00036813+0.00044221i,0.0004358+0.0004018i
-0.00021162+0.0033604i,0.00014196+0.0032678i,0.00079463+0.0028644i,0.00077179+0.0015124i,0.00078377-0.00053602i,0.00042086-0.0016976i,-0.00049564-0.0012254i,-0.00072912-0.00044053i,-6.2996e-05-5.5071e-05i,0.00048151-1.5537e-05i,0.00086914-0.00046458i,0.00040254-0.00082395i,0.00010769-0.001178i,-0.00024965-0.0009756i,-0.00013587-0.00084643i,-0.00010347-0.00069634i,-0.00038172+7.3015e-05i,-0.00052344+0.00025914i,-0.00077735+0.00012983i,-0.00033317+0.00038611i,0.00039906+0.00070132i,0.0004986+0.00059816i,0.00057535+0.00044277i
-0.0011924+0.00024942i,-0.00097546-0.00025696i,-0.00097524+6.4738e-05i,2.6531e-05+0.00049021i,0.00095917+0.00084348i,0.00027648+0.00038251i,-0.00018995+0.0004515i,4.8736e-05+0.00049869i,0.00037936-8.2876e-05i,9.9205e-05+0.00057469i,0.00019372+0.00081656i,-0.00018161+0.00037393i,-0.00083091+0.00032564i,-0.00029873+6.9888e-05i,0.00061913-8.3275e-07i,0.00071337-0.00045851i,0.00066293-0.00084901i,0.00069001-0.0005825i,0.00050401+0.00034727i,0.00046689+0.00036447i,5.4204e-06-0.00024042i,-0.000781-0.00034896i,-0.00067346-0.00023401i
0.0010597-0.00013889i,0.0011672-0.00043145i,0.00058431-0.00056775i,4.4802e-05+0.00059031i,0.00045334+0.00041108i,0.00047507+0.00014619i,0.00017286+0.00015636i,0.00066432-0.00059564i,0.00085138-0.0010339i,0.00025516-0.00037642i,9.3052e-05-0.00020847i,0.00046472+3.9426e-05i,0.00036409+0.00043516i,0.00037033+0.00080061i,0.0003839+0.00097478i,0.00014791+0.00053584i,0.0002195+0.00034227i,0.00043616-0.00015724i,0.00066347+2.509e-05i,0.00059939+0.0004012i,-0.00026962-6.2284e-06i,-0.00042731-0.00034553i,-0.00058751-0.0007116i
-0.00010315+0.0035602i,0.00032015+0.0042551i,0.0013854+0.0035216i,0.0017772+0.0016699i,0.0011593+0.00033767i,4.2717e-05-3.3755e-05i,-0.0009036-1.1874e-05i,-0.00073665+0.00047185i,-1.7949e-05+0.00034244i,0.00036987-0.00048869i,5.7295e-05-0.00041088i,-0.00075972+6.356e-05i,-0.0009772+4.131e-05i,-0.0011321-3.8212e-05i,-0.00078344-0.00050318i,0.00032605-0.0004456i,0.00091451+0.00049606i,4.2897e-05+0.00094272i,-0.0006171+0.00015298i,-4.0673e-05+0.00024263i,5.7511e-05+0.00061227i,0.00012466+0.0008543i,-8.557e-05+0.00081631i
0.00069462-0.00069398i,-0.0010159-0.0010682i,-0.0013919-0.00040821i,-0.00057611-0.00022279i,-0.00070488-9.3443e-05i,-0.00095292+0.0006012i,-0.00069088-1.4312e-05i,-0.00053022-4.6095e-05i,-0.00069391+0.00023686i,-6.0064e-05+3.2923e-05i,0.00036672+0.00046844i,0.00047731+0.00045792i,-4.4515e-05+0.00067226i,-0.00020235+0.00098295i,0.00025449+0.00062463i,0.00099183+0.00037772i,0.00086746+0.00073457i,0.0003558+0.00071065i,0.00013754-0.00012833i,-0.0001572-0.00091957i,-0.00032647-0.00029064i,0.00028498-9.1761e-06i,0.00037488-0.00013433i
0.0009192-0.0011092i,0.00072644+0.00038853i,8.0865e-05-0.00047618i,0.00023741-0.00078669i,0.0010813-4.8834e-05i,0.0017337+1.6689e-05i,0.001196-1.2336e-05i,0.00080041-0.00034956i,0.0009832-0.0004944i,2.4233e-05-0.00046831i,-0.00061868-0.00028175i,0.00033375+0.00018727i,0.00086995-0.00017808i,0.00083624+0.00012847i,0.00058529+0.0012619i,0.0008494+0.0008198i,0.00037987+0.00039109i,0.0001419+0.00026453i,0.00028087+0.0002161i,0.00020436-0.00023924i,-0.00014567-0.00079339i,-0.0003681-0.00013615i,0.0001508+0.00017187i
-0.0010596+5.4255e-05i,-0.00094046+0.0013165i,-0.0017926+0.0027009i,-0.0015244+0.0028147i,-0.00090389+0.001338i,-0.0004871-6.1927e-05i,-0.00054717-0.0008947i,0.00012249-0.0011312i,0.00048628-0.00036732i,0.00043187+0.00019715i,0.000393+0.00030847i,4.4733e-05-3.2625e-05i,-1.0528e-05-0.00035878i,-0.00048397-0.00057566i,-0.00030613-0.0005806i,0.00032302-0.00020758i,-0.00014829+0.00064069i,-0.00053686+0.0007227i,-0.00078634+0.00054169i,-0.00061982+0.00022904i,-0.00040444+2.4843e-05i,-3.009e-05-2.9732e-05i,0.00041475+0.00022008i
0.0009522-0.00015095i,0.001151-0.0018635i,0.00095287-0.0010089i,0.0014838+0.00031582i,0.0014987+0.00063044i,0.00074019-0.00014838i,0.00071246-0.00089688i,0.00072633-0.00058516i,0.00031951-0.00046538i,1.5847e-05-0.00062058i,-2.4927e-05-0.00046792i,4.7018e-05-0.00018727i,0.00014495+0.00023077i,0.00067912+3.7412e-05i,0.0006636-0.00061742i,-0.00023979-0.00019398i,-0.00053992+0.00025793i,-6.6639e-05+0.00038915i,0.00031345+0.00010396i,0.00036019+0.00028145i,0.00010759+0.00094672i,-0.00014235+0.00039636i,-8.6045e-05-0.00024295i
0.0011558-0.0010179i,2.3856e-05+0.00014236i,-0.00010237+0.00058502i,-0.00037114-7.6108e-05i,-0.00047424+0.00010945i,-0.00044536+0.00089867i,-0.00045256+0.00062927i,-0.00065519-0.000505i,-0.0002923-0.00078257i,-0.00042556-0.00024405i,-0.00065168+0.00040888i,-0.00017336+0.00082409i,0.00095269+0.0011609i,0.0017084+0.0011168i,0.00092022+0.00045654i,0.00036731+0.000553i,0.00030055+0.00085055i,0.00047829+0.00020966i,0.00074251-0.00080111i,0.00056345-0.00051537i,0.00017377+8.889e-06i,-0.00015667-2.5068e-05i,0.00022442-0.00010632i
0.00037038+0.00099182i,-0.00037472+0.00056213i,-0.00035559+0.0006518i,-0.00037937+0.00099204i,-0.00071729+0.00058531i,-0.00080212+0.00015362i,-0.0010966-0.000299i,-0.00055098-0.00015666i,-0.00033169+0.00048169i,-0.00018695-0.00017529i,0.00073252-0.00020905i,0.0012562-8.5176e-05i,0.00093282-0.00012929i,0.00056816-0.00025142i,0.00034951+0.00013315i,0.00025199+0.0011908i,0.00011167+0.00059779i,-0.00078817-0.00057575i,-0.0014247-0.00070331i,-0.00089059-0.00081804i,-0.00021289-0.00044872i,0.00019559+0.00018728i,0.00046379+0.00081437i
0.0015065+0.00048681i,0.0013643+0.00025808i,0.0010736+0.00079776i,0.00039593+0.00053321i,0.00023751+4.9536e-05i,0.00021503-0.0004668i,-0.00043333-0.00076604i,-0.00026266-0.00064912i,0.00033258-0.00014075i,0.00045779+9.0683e-05i,-0.00022985+0.00035213i,-0.0010839+0.00034426i,-0.0011913+0.00022663i,-0.0010269+0.00046477i,-0.00027168+0.00028791i,0.00026668-5.4014e-05i,0.00059141-0.00010695i,0.00083753-0.00069164i,0.0011419-0.0010729i,0.00058661-0.0011095i,-0.00012536-0.0010112i,-0.0003122-0.00075564i,-0.00022768-0.00043278i
0.0015586+0.00043215i,0.0014362+0.0001942i,0.0019255-0.00035958i,0.0022782-0.00054374i,0.0015294+0.00039048i,-6.3316e-05+0.00034151i,-0.00069215-0.00013996i,-0.00046572-0.00027376i,-0.00064189+6.1869e-05i,-0.00018796-5.5375e-05i,-0.00040834-0.00034798i,-0.00097976-0.00027097i,-0.00012686-0.00040222i,0.00012125-0.00024023i,-0.00059493+0.00026389i,-0.0004875+4.4812e-06i,-0.00018836-4.915e-05i,-0.00045692+0.00022648i,-0.00082118+0.00017091i,-0.00050625-0.00021181i,-0.00025042+0.00030884i,-0.00032566+0.00092168i,-0.00046349+0.00074175i
