0.00066866+0.00095214i,-0.00027635+6.4493e-05i,-0.0024449-0.00017949i,-0.0027541+0.00011856i,-0.001937+0.0013573i,-0.00038295+0.0020418i,0.0008155+0.0021324i,0.001121+0.00099503i,0.0016346-0.00078762i,0.0018443-0.0016158i,0.0010567-0.0014621i,0.00067197-0.0011129i,0.00088708-0.00071579i,3.2711e-05-0.00083764i,-0.00093821+0.00040514i,-0.0011778+0.0018093i,-0.0010546+0.00098083i,-0.00071109-3.0823e-05i,0.00030475+9.1313e-05i,1.4986e-05+0.00047486i,0.00014795+0.00067963i,0.00032018+0.00061541i,-9.2377e-05+0.00040048i
-0.00051505-0.0015722i,-0.00028931-0.00099906i,-0.00062079-0.0010189i,-0.0011185-0.00082003i,-0.0019402+0.00031646i,-0.0012708+0.00095732i,0.00012469+0.00050046i,0.00043974-0.00071889i,-0.00019258-0.0015459i,-0.00027058-0.0013407i,-8.3468e-05-0.00057501i,-0.00022953+0.0001943i,-0.00047166+0.00023164i,-0.00053092+0.00020605i,-0.00068266+0.00087003i,-0.00080281+0.0011093i,-0.00058558+0.00085596i,-1.8379e-05+0.00068517i,-0.00023339+0.00029066i,-0.00052127-0.00045671i,-0.00012835-0.0006961i,-0.00026201-8.4168e-05i,-0.00073063+0.00048307i
0.00029103-0.00074048i,0.00018664-0.00075071i,0.00062167-0.00041429i,2.2964e-05-0.00031847i,-0.0001692+0.00013802i,0.00097899+0.0003411i,0.0012533-0.0002228i,0.00063627-0.0010939i,0.000107-0.0010231i,3.0521e-07-0.00057323i,-0.00022295+0.00016092i,-0.000789+0.00081616i,-0.00093485+0.00079074i,-0.00066554+0.0010784i,-0.00054685+0.0014737i,-0.00062713+0.00098031i,-0.00033471+4.662e-05i,0.00027618+0.00043636i,0.00049278+0.00038501i,0.00015292-0.00072758i,0.00016309-0.0010429i,0.00048616-0.00076239i,0.0004002+9.8092e-05i
-0.0024767-0.0008603i,-0.0022219+8.0748e-05i,-0.0034073+0.00088743i,-0.0029923+0.0016394i,-0.00070983+0.0019787i,0.00087614+0.0011822i,0.00090157-0.00038078i,0.00014289-0.00087808i,-0.00016733-0.00058716i,0.00023046-0.00052764i,-3.5536e-05-0.00017813i,-0.00022619+0.00053896i,0.00041535+0.001399i,0.00046156+0.00068041i,0.00052225-0.00031485i,0.00090076-0.00061862i,0.00076056-0.00076655i,-8.2562e-05-0.00091605i,-0.00042137-0.0010409i,-0.00092607-0.00083365i,-0.00072057-0.00079547i,0.00028828-0.00065595i,0.00056754-2.2886e-05i
-0.0025467-0.0013127i,-0.0027467-0.00075262i,-0.00187+0.0013179i,-0.00094717+0.0024738i,-0.00065553+0.0020554i,0.0006889+0.0007921i,0.0016653-0.00032713i,0.00090755-0.00082138i,-9.6214e-05-0.00063564i,0.00032127+0.00033072i,0.00079679+0.00032161i,0.00071653-0.0002295i,0.00041629-0.00026413i,-8.3404e-05-8.86e-05i,-0.0001625+0.00022481i,-0.00041614+0.00037292i,-0.0003566-0.00021677i,0.00017974-0.0008229i,0.00030166-0.00051473i,0.00028475+0.00043504i,5.7414e-05+0.0013148i,1.2799e-06+0.0010156i,-8.8872e-06-3.5206e-05i
-0.0011778-0.0016426i,-0.0014559-0.001753i,-0.00098106-0.0019818i,-0.00045102-0.00079903i,0.00085264+0.00018376i,0.0014166+0.00017361i,0.0012448+0.00016493i,0.00058428+0.00030477i,0.00041221+0.00055432i,0.00018717+0.00013751i,-0.00031082-0.00019848i,-0.00082404+0.00054192i,-0.00086166+0.0003629i,-0.000493+0.00048422i,-0.00033564+0.00093002i,-2.3212e-05+0.00036886i,-0.00021568+0.00018314i,-6.1375e-05+2.1968e-05i,0.0003335-0.00072866i,0.00018587-0.00059007i,-0.00046183-0.00014785i,-0.0011168-0.00024941i,-0.00058292-0.00010711i
-0.00081458-0.00027996i,-0.0014902-7.1787e-05i,-0.0015108+0.00080429i,-0.00062201+0.0011608i,0.00055218+0.0011847i,0.0010085+0.00061429i,0.0010895-0.00037743i,0.00073302-0.00079309i,8.8472e-05-0.00052694i,0.00024236-0.00055553i,0.00057806-0.00048941i,4.3008e-05-0.00082385i,-0.00071983-0.00031616i,-0.00095131+0.00060894i,-0.00088486+0.00041012i,-0.00056946+0.0001785i,-0.00060588-7.3326e-05i,-0.00058836-0.00025664i,-0.00048851+0.00044576i,-0.00014676+0.00079055i,0.00051041+0.00095257i,0.00090984+0.00121i,0.00055407+0.0013598i
-0.00030315-0.00073377i,-0.00018184+5.1796e-05i,-0.00073674+0.0024157i,-0.00041946+0.0028019i,0.00019221+0.0019823i,0.00047691+0.0011763i,0.0012068+2.3228e-05i,0.00089408-0.00041444i,0.00036525-0.00028163i,0.00064999-1.4787e-05i,2.9444e-07+0.00016908i,-0.00090582-0.00026256i,-0.00099074+0.00019323i,-0.00043124+0.00027189i,2.5159e-05-0.00070541i,0.00075229-0.00086213i,0.00021814-0.00055264i,-0.00072554-0.00082424i,-0.00024588-0.00059572i,0.00055653+0.00030848i,0.00025254+0.00059828i,-0.00013372+8.6711e-05i,8.524e-05+0.00075072i
-0.0014396+0.0018405i,-0.00091839+0.002266i,-0.00037761+0.0021217i,0.00033235+0.0013302i,0.00089403+0.00036391i,0.0010789-8.1157e-05i,0.00062501-1.1681e-07i,-1.8963e-05-0.00020541i,-0.0001977-0.00067568i,0.00076566-0.00044696i,0.00074627-4.0297e-05i,0.00068471-0.00053568i,0.00045296-0.001094i,-0.00039834-0.0012944i,-0.00077395-0.0014738i,-0.0012559-0.0005047i,-0.00096388+0.00019136i,-0.00041251-0.00042603i,-0.00065332+9.8395e-05i,-0.00049855+0.0010426i,-0.00018894+0.0010382i,0.00025126+0.00056727i,0.00058608+1.7385e-05i
-0.0011131-0.0005252i,-0.00044152-0.00087299i,-0.00057897+0.00085705i,-0.00051334+0.0013895i,0.00023702+0.0010468i,0.00064732+0.00032463i,0.00069921-0.00082835i,-6.3227e-05-0.0008459i,-0.0012419-0.0005367i,-0.0012485-0.0002801i,-0.00046768+0.00045246i,-0.0007113+0.00061439i,-0.0013061+9.4981e-05i,-0.00046955+0.00016997i,0.00044768+0.0003443i,0.00030613-0.00036074i,-0.00044545-0.00056326i,-0.00056745-0.00046144i,-0.00036556-0.0002414i,-0.00050782+0.00067084i,-0.0002246+0.00058024i,0.00012134+0.00032256i,9.2953e-05+0.0009034i
-0.00022228-0.0012779i,-0.0017047-0.0019229i,-0.0022621-0.001617i,-0.0015663-0.0007921i,-0.0009325-0.00025408i,-0.00032962-0.00011985i,0.00040194-4.7994e-05i,0.00085066-0.00027789i,0.00054569-0.00072965i,-0.00031093-0.00090456i,-0.00038155-0.0006373i,-5.8486e-05-0.0003188i,-0.00026754-2.4043e-05i,-0.00055019+0.00059147i,-0.0010535+0.0012183i,-0.0008406+0.00032076i,-0.00046426-0.00058696i,-0.00024552-0.00013391i,-0.00032735+0.00045083i,-2.0723e-05+0.0004197i,0.00048579+0.00022784i,-0.00019612+0.00031787i,-0.00078621+0.00056363i
