0.00033851+0.0011932i,0.00044851+0.00013092i,-0.00060915-0.00065043i,-0.0010337-0.00066675i,-0.0016744+0.0006868i,-0.0019798+0.0023222i,-0.0017347+0.0037099i,-0.00069096+0.0036687i,0.0014823+0.0016839i,0.0020347+0.00031141i,0.0018442-0.00025209i,0.0015855-0.0011835i,0.00099691-0.0013277i,0.00019631-0.0011222i,-0.00055582-0.00086174i,-0.00041332+0.00022716i,-3.3802e-05+0.00079406i,0.0002893+0.00055695i,0.0004053+0.00039582i,0.00042239+0.00020894i,0.00052073-0.00016251i,5.8748e-05-5.8043e-05i,-0.0007233+0.00010856i
-0.00094344-0.00064689i,-0.0014071-0.00048567i,-0.00080365-0.00027324i,0.00012312+0.00014967i,-0.00038986+0.0016639i,-0.0014335+0.0022473i,-0.0017137+0.0019885i,-0.00045114+0.0019781i,0.00013353+0.00064779i,5.9473e-05+2.9298e-06i,0.00049059+0.00011203i,-4.2779e-05-0.00046611i,-0.00012969+0.00015055i,0.00054536+0.0004205i,0.00057758-0.00022i,0.00060596-0.00050528i,0.00035191-0.0011066i,0.00038558-0.001024i,0.00018912-0.00026713i,0.0002287+0.00064253i,0.00065911+0.00075786i,5.7635e-05+0.00043122i,-0.00081466-0.00014016i
-0.00024454+0.00074854i,0.00096504+0.00073429i,0.0012319+0.0008041i,0.0011624+0.0006185i,0.00066125+0.00021001i,-0.00079465-0.00052869i,-0.0017284-0.00020434i,-0.0010262+0.0012366i,-5.3851e-05+0.0013113i,0.00025876+0.00050146i,0.00049939-0.00040684i,0.0012235-0.00095019i,0.00084431-0.00070101i,-7.9556e-05-0.00074169i,0.00021291-0.00026201i,0.00021987+0.00055308i,0.00041381+0.0011691i,0.00011176+0.00065372i,-0.00030796-0.00039632i,0.00015666-0.00084972i,-0.00038906-0.00054095i,-0.0014673-0.0004851i,-0.00060999-0.00013812i
0.0010816-0.00062412i,0.00085119-0.0021307i,-0.0001165-0.0012669i,2.6918e-05-0.00060292i,0.00023149-0.0010449i,-0.00057547-0.00048487i,-0.00081208+0.00062279i,-5.4273e-05+0.0010981i,0.00028638+5.1546e-05i,-7.4613e-05+1.7877e-05i,0.00027288+0.00060285i,0.0010497+0.00046197i,0.0002662-1.6481e-05i,-0.00078811-0.00045408i,-0.00057458+3.0895e-05i,0.0001939+0.00043639i,0.00038668+0.00023809i,-0.0004555+0.00028209i,-0.00074998+0.00027045i,0.00032746-0.000536i,0.00014598-0.0015192i,-0.00033877-0.0012628i,-6.0581e-05-0.00014252i
0.0012674-0.0002859i,0.0021905-0.0012577i,0.0025968-0.00087895i,0.0018192-0.0010131i,0.00035684-0.00042296i,-0.00067778+0.0013647i,-0.0011369+0.0018243i,-0.00041946+0.00085578i,0.00048837+0.00051381i,0.00078308+0.00020322i,0.0012754+1.1482e-05i,0.00053632-0.00012071i,-0.00011435+0.00027396i,1.937e-05+0.00038334i,0.00075409+0.00042451i,0.00096432+0.00098977i,-1.0606e-05+0.00052182i,-0.00029975+5.7397e-05i,-0.00013068-0.00012524i,-0.00051022+5.4195e-07i,-0.00048805+0.00040184i,-0.0001901+0.00040143i,0.00023085+0.00016688i
-0.00045047+0.00045355i,0.00048888+0.0012109i,0.0012905+0.001098i,0.00077997+0.0012525i,-4.9496e-05+0.0013783i,-0.0010907+0.00098902i,-0.0013597+0.00085426i,-0.0002603+0.00075642i,1.9382e-05+0.00057372i,-0.00061672+0.00055907i,-0.00028328+0.00023093i,0.00019369-0.00017178i,-0.00029758+0.00021023i,-0.00057067+0.00010846i,-0.00017167-0.00038902i,-0.00026552-0.00010154i,-0.00034504-0.00028057i,0.00048705-0.00091563i,0.00099366-0.00052464i,0.0001711-0.00024741i,-0.00083471-0.00024667i,-0.00057591+5.5387e-06i,-0.00015954-0.0001895i
0.00030303+0.00046865i,-0.00079442+0.0010207i,-0.00057254+0.00098373i,-0.00036631+0.00030806i,-0.00072735-0.00042724i,-0.0011288+7.1205e-05i,-0.0012758+0.00087236i,-0.00074545+0.00075319i,-0.00010805-0.00034882i,-0.00038384-0.0012305i,-0.00045878-0.00087244i,-0.00031277-0.00022807i,-0.00081413+0.00023671i,-0.0012498+0.00025022i,-0.00083713+6.4057e-05i,-0.00018013+0.00034349i,0.00026682+0.0002882i,0.00019122-0.0001919i,-0.00018852-0.0004553i,-0.00019482+0.00014621i,-0.00032529+0.00032351i,-0.00059417+0.00027248i,1.8302e-05+0.00094144i
0.00021949-0.0012009i,0.00011108-0.0018049i,-0.00026671-0.0020305i,-0.00030514-0.0014128i,-0.0011759-0.00090385i,-0.0014725+9.8726e-05i,-0.00087209+0.00094519i,-0.00097907+0.00091319i,-0.0011146+0.00067115i,-0.00079971+0.00023829i,0.00016077-0.00075103i,-1.3994e-05-0.00076902i,-0.00031442+0.00026937i,0.00023823+0.00079447i,-2.3499e-05+0.0011436i,8.0874e-05+0.0012793i,0.00069003+0.00098449i,0.00040237+0.00019707i,0.00028052-0.00058116i,-7.2809e-05-0.00063145i,0.00019717-0.0003552i,0.0009958-0.00034712i,0.00039059+1.1069e-05i
-0.00044255-0.0005878i,-0.00091587-0.0014215i,-0.00079304-0.0012751i,-0.00073555-0.00027287i,-0.0011966-0.00051078i,-0.0018283-0.00052692i,-0.0018273-8.8925e-05i,-0.0008955-0.00015968i,-0.00046212+0.00074517i,-0.00049577+0.00132i,-0.00011801+0.00034876i,0.00025553-0.00072806i,0.00068658-0.00047625i,0.00082804-0.00044745i,0.00046315-0.00047322i,0.00019958-0.00028745i,4.0445e-05-0.00048513i,-0.00013423-0.00036038i,0.0003126-0.00049015i,0.00081366-0.00080473i,0.00028679-0.00080929i,0.00014151-3.7235e-05i,0.00021138+0.00033948i
0.00047171+0.00064104i,0.00049232-0.00026017i,0.001133-0.00039529i,0.00073325-0.00078544i,-0.00024626-0.0009821i,-0.0008408-0.00016637i,-0.00071927+0.0010348i,-0.00020413+0.0012312i,-0.0005945-0.00042366i,-0.00085171-0.0012712i,-0.00014729+1.1948e-05i,-2.1096e-05+0.0009178i,3.3827e-05-0.00016704i,0.00015822-0.00079029i,-0.00010268-0.00083168i,-0.00028122-0.00013575i,-0.00010319+0.00057992i,0.00058867-6.4673e-05i,0.00067887-0.00013062i,0.00020044+0.00010567i,0.00034984-0.00041454i,0.0001664-0.0010962i,0.00018104-0.00072402i
0.00047899-0.0012459i,0.00091333-0.0011403i,0.0011389-0.0001032i,0.00013762+0.00093378i,-0.000166+0.001136i,-4.5875e-05+0.00093724i,-2.0143e-05+0.00097449i,0.00045853+0.0017401i,0.0006954+0.0018666i,0.000673+0.0011442i,0.00035327+0.0015499i,-0.000309+0.0014671i,-0.00045994+0.00016815i,-0.00045612-0.00040043i,-0.0004348+0.00039193i,-0.00026211+0.00075794i,-0.00018101+0.00064358i,6.521e-05+0.00040904i,-0.00020913+0.00020575i,-0.00049339+0.00057346i,-0.00047129+0.00071957i,2.1794e-05+0.00059286i,-0.00040073+8.4237e-05i
-3.821e-05+8.1763e-05i,0.00093819-2.9388e-05i,0.00090429+0.00057352i,0.0004256+0.0013495i,-0.00010713+0.0014184i,-0.00038047+0.00076932i,-0.00079683+0.0008491i,-0.0011421+0.0012151i,-8.0281e-05+0.00090229i,0.00087802+0.00047238i,0.0012443+0.0003441i,0.0011412-6.3011e-05i,0.00033181-0.00043758i,-3.2906e-05-0.00028609i,0.00032089-4.2423e-05i,0.00037946-0.00019075i,0.00039265-0.000194i,0.00079079-0.00052688i,0.0014457-0.0013209i,0.00095559-0.0010313i,-0.00030402+0.0004346i,-0.00093431+0.00094528i,-0.00050182-0.00033619i
-0.00079212-0.0013463i,-0.0015694-0.0010452i,-0.0022145+0.00026856i,-0.001644+0.0015762i,-0.00048232+0.0019927i,0.0001796+0.0021816i,-0.00074214+0.0023266i,-1.9385e-05+0.0019421i,0.00048562+0.001001i,8.9315e-05+0.00014896i,-0.00010572+5.6227e-05i,-0.00019283+0.00016838i,0.00012422+3.1244e-05i,0.00045+0.00059561i,0.00051487+0.00056973i,0.001079-0.00035238i,0.0010843-0.00012364i,0.00038072+0.00027956i,0.0008257+0.00019935i,0.00047344+2.133e-05i,-0.00019985-0.00048452i,0.00019132-0.0010245i,0.00020965-0.00074883i
-0.00038988+0.00098311i,-0.00038346+9.1768e-06i,5.1846e-05-0.00033155i,0.0002686-0.00027318i,0.00016374-6.6791e-05i,-0.00071929+0.00056956i,-0.0012744+0.0012662i,-0.00054925+0.00063773i,4.7116e-06-0.00016635i,-0.00020824-0.00036214i,-0.00061862-0.00076975i,-0.0012312-0.00055004i,-0.00092941-0.00045683i,0.00023858-0.0011112i,0.00071566-0.00078476i,0.000515-4.1469e-05i,0.00013839+0.00093115i,7.6876e-05+0.0010707i,0.00022136+0.00064146i,0.0004623+0.00098642i,0.00026481+0.00075696i,-8.2657e-05+0.00037189i,-0.0002292+0.00044183i
8.1649e-05+0.00065005i,0.00051854+0.0010257i,0.00061289+0.00084761i,0.00093563+0.0001986i,0.00045827-9.106e-05i,-0.00042689+5.5279e-05i,-0.00076855+0.00024615i,-0.0003506+2.6429e-05i,-7.4847e-05+0.000358i,0.00053153-0.00053579i,0.00064394-0.0010824i,0.0006745-0.00061034i,0.0010132-0.00095254i,0.00082584-0.00084343i,0.00067672-0.00026056i,0.00032532-0.00018889i,-0.00025576+2.503e-05i,8.0599e-05+0.00048922i,0.00033+0.00040613i,0.00022064-9.7324e-05i,0.00016096-0.00018603i,-0.00022696-2.6128e-05i,0.0001563-0.00061876i
-0.00018368-0.0016327i,0.00022543-0.0010956i,0.00053266+0.00011756i,0.00055429+0.00093944i,0.00017238+0.00098979i,-0.00052505+0.0013678i,-0.00097957+0.0013578i,-0.00023253+0.00078371i,0.00013838+0.00034493i,5.8215e-05+0.00026365i,-0.00026975+3.4601e-05i,-0.00074501-0.00085504i,-0.00042649-0.00037009i,6.4792e-05+0.00064951i,0.00014324-4.3056e-05i,-0.0003303-0.00048033i,-0.00048728+0.00030719i,4.0896e-05+0.00053087i,9.9155e-05-0.00016851i,9.9411e-05-0.00074269i,0.00012264-0.00081177i,-0.0002659+0.00031049i,-9.1878e-05+0.00058666i
-0.00056151-0.0011071i,-0.00097985-0.0018933i,-0.0015151-0.001264i,-0.001245-0.00065525i,-0.00099997+0.00056927i,-0.0010893+0.0014149i,-0.00065837+0.00084838i,-0.0004149+0.00077189i,-0.0002408-0.00012029i,1.3679e-05+0.00015825i,0.00026587+0.00071179i,0.0002434+0.00042168i,0.00040528+0.00081646i,0.0010151+0.0004858i,0.00086928-0.00062435i,0.00075471-0.001188i,0.0008279-0.00048772i,4.1393e-05+4.1545e-05i,-0.00051557-5.5487e-05i,-0.00056501-0.00023534i,-0.00080222-7.7775e-05i,-0.00065538+0.00055157i,0.00034106+0.00019331i
0.00087048-0.0020898i,0.00030506-0.0013741i,-0.00026717-0.00046203i,-0.00067017+9.2476e-06i,-0.0011382+0.00066429i,-0.0014441+0.0011798i,-0.00096046+0.0017882i,-2.773e-05+0.0014724i,0.00017055+0.00049464i,0.00022639+0.00042411i,0.00019211+0.00061296i,2.9223e-05+0.00043826i,0.00044563+0.00045306i,0.00066306+0.00040802i,0.0009459-6.7033e-05i,0.00063537+0.00044355i,-1.9999e-05+0.00063059i,0.00010328-0.00020902i,0.00065273-0.0010123i,0.00056719-0.00099569i,0.00022236-0.00024476i,-0.00023256-0.00013011i,-0.00032992-0.00024917i
0.00056863-0.0011331i,6.2427e-05-0.00056317i,0.00019963-0.00062797i,0.00041566-0.00095278i,0.00027527-0.00051902i,-0.00085549+0.00052626i,-0.001176+0.00095313i,0.00056978+0.00091618i,0.0008952+0.00041582i,0.00011667-0.00018556i,0.00037737-0.00021148i,0.0003277-0.00013479i,0.00044945+0.0005839i,0.00052631+0.001072i,0.00061382+0.00088555i,0.00079188+0.00092826i,0.00024521+0.00033565i,3.9479e-05-0.00017426i,1.7051e-05-0.00035923i,-3.4764e-05-0.0005454i,0.0006345-0.00052015i,0.00065075-4.4302e-05i,0.00042267-0.00041298i
0.0024154-0.00064678i,0.001595-0.0012793i,0.0002905-0.0010982i,-0.00064299-0.00016102i,-0.00094253-0.00011704i,-0.0014455-0.00058352i,-0.0013703+0.00011398i,-7.4112e-05+0.00062598i,0.00039461+0.00080373i,-0.00050102+0.00071125i,-0.00018652-1.6135e-05i,-0.00015446-0.00037777i,-0.00035739-0.00033148i,0.00031668+0.00051675i,0.001384+0.00080437i,0.0011589-0.00013525i,6.1271e-05-0.0010833i,-0.00014072-0.00090211i,0.00068674+6.1235e-05i,0.00053115+0.00059183i,0.00026695+0.00027828i,0.00014669-0.00037493i,5.0553e-05-0.0007289i
0.001456-0.00035965i,0.0010494-0.00069808i,0.00066194-0.00075674i,4.4411e-05-0.001158i,-0.00012083-0.00057602i,-0.00076607+0.00056994i,-0.0015418+0.00098426i,-0.00082667+0.00033472i,0.0003358-0.00043054i,0.00025566-0.00050933i,-5.275e-06+0.00012515i,-0.00049921+0.00046105i,-0.00052789+0.00018688i,-0.00021351+0.0004593i,-2.2497e-06+0.00099854i,0.0002336+0.00022786i,-5.765e-05-0.0010555i,-0.00024522-0.00087332i,0.00022355+5.0875e-05i,0.00094924+0.00034239i,0.0010044+0.00037816i,0.00073197+0.00014828i,-0.00017117-0.00027704i
0.0013248-0.00020275i,0.00059672-0.00057153i,-0.00089475+9.4613e-07i,-0.00097628+0.00074003i,-0.00098145+0.0010509i,-0.0015228+0.00066555i,-0.00098502+0.0006746i,-5.7904e-05+0.00058748i,0.00059129+0.00047782i,0.00081362+0.00019031i,0.0014762+0.00047676i,0.0019565+0.00060549i,0.0013699+0.00010562i,-7.1568e-05-2.0829e-05i,-0.00018242+0.00065614i,0.00072331+0.0010857i,0.00037706+0.00031682i,-3.0934e-05-0.00022127i,0.0003896-6.1783e-05i,0.00038014+0.00049784i,-0.00038306+0.00098059i,-0.00035513+0.00042387i,0.00067633+0.00024432i
-0.0018843-0.00073717i,-0.0023152-0.00084315i,-0.0026324-5.0044e-05i,-0.0017765+0.00081238i,-0.00064353+0.0013678i,-0.00025638+0.00069669i,-0.00051223+0.00050825i,-0.00083708+0.00077069i,-0.00039747+0.00061858i,-0.00017147+0.00033664i,0.0003231+0.00046638i,0.00071463+0.00024414i,0.00082651-0.00019159i,0.001134-0.0005606i,0.00066613-0.0011109i,0.00030586-0.00095723i,-0.00010967-0.00045708i,-0.00038451-0.00088377i,-0.00026853-0.00091993i,0.00016381-7.9995e-05i,-0.00015799+0.00041488i,-0.0010946+0.00061279i,-0.00092979+0.00045777i
0.00066821-0.001209i,0.00087577-0.0017405i,0.00085436-0.0014983i,0.00070346-0.00051038i,-9.1605e-05-0.00039497i,-0.0013066+0.00015152i,-0.0008377+0.00028518i,0.00066592+3.9915e-05i,0.00087736-0.00026234i,0.00061578-0.00057231i,0.00058127-0.00029821i,0.00046218-0.00042312i,-0.0001182+2.1123e-05i,-0.001136+0.00065349i,-0.0005033+0.0008623i,0.00024091+0.0011975i,-0.00028112+0.00028901i,-0.00050086+0.00019863i,0.000324+0.00075273i,0.00080629+0.00076894i,0.00067672+0.00063964i,2.402e-05+0.00025275i,-0.0007574+6.8817e-05i
0.0012834-0.00039195i,0.0013501-0.00092727i,0.00080693-0.0020229i,-0.00095522-0.0019315i,-0.0015261-0.0010883i,-0.0017793-0.00049528i,-0.0017154+0.0003076i,-0.00082481+0.0011678i,-0.00047188+0.00092865i,-0.00029327-3.449e-05i,0.00070195-0.00041355i,0.0010067-0.00072825i,-6.4794e-05-0.00084388i,-1.6876e-05-0.00027046i,0.00041617+0.00072601i,0.00028461+0.00072624i,-0.00020616-3.744e-05i,-6.8433e-05-0.00059656i,0.00063832-0.00026025i,0.0004144-7.7911e-05i,4.465e-05-9.6736e-06i,0.00051423+0.00012249i,0.00041443-0.00021269i
0.001022-0.00040363i,0.0010971+1.0075e-05i,-0.00023866+0.00011653i,-0.00087006-7.1501e-05i,-0.00090998+7.8757e-05i,-0.0012551+0.00036543i,-0.0014837+0.00050975i,-0.00097907+0.00062573i,-0.0005353+0.00020164i,-0.0002297-0.00028113i,0.00038858-0.0003157i,0.00028383-0.00069065i,-0.00035696-0.00052796i,-0.00063535+0.00032576i,-0.00045982+0.00047176i,-6.1163e-05+0.00050267i,-0.00011657-0.0002i,-0.0001994-0.0010604i,-0.00025343-0.00078773i,-0.00032018-8.6055e-06i,-0.00095241+0.00020045i,-0.00085627-0.00065198i,-1.8439e-05-0.00033098i
-0.0010833-4.2857e-05i,-0.00068925+0.00046921i,-0.00063327+0.00056058i,-0.0010073+0.0015245i,-0.00043497+0.0020962i,0.00043313+0.0015836i,0.00038856+0.001141i,1.7468e-05+0.00080262i,-0.0003645+8.5936e-05i,-0.0003822-0.00024416i,6.1641e-05+0.00016951i,0.00048489-0.00012575i,0.0011154+0.00028053i,0.0011637+0.0017371i,0.00048425+0.0012732i,0.00035217-6.7285e-05i,0.00081032+0.00014288i,0.0014695+0.00048693i,0.0012334-9.7404e-06i,0.0002274-4.556e-06i,-0.00046074+0.0006164i,-0.00043484+2.3667e-05i,0.00035823-0.00041771i
0.0012746+0.0010653i,0.001139+0.00030885i,0.001047-0.0001607i,0.00052424-0.0010038i,-0.00067118-0.001546i,-0.0013764-0.0010117i,-0.0015942+6.8293e-05i,-0.0012684+0.00034702i,-0.0004209+0.00049159i,-9.5825e-05+0.00048436i,0.00034404+0.00035495i,0.00076888+0.00034516i,0.00035543+0.00022473i,-0.00049247+0.00029769i,-0.00045527-0.000291i,3.4595e-05-0.00014167i,-0.0002591+0.00065642i,-0.00076036+0.001308i,-0.00088454+0.0009647i,0.00012773+9.9608e-05i,0.00038597+0.00038548i,-0.00063845+0.00024953i,-0.001013-0.00016868i
-0.0014112-0.00084471i,-0.0019607-0.00091307i,-0.002818+3.7214e-07i,-0.002101+0.00087758i,-0.00047231+0.00078852i,-0.00045686+7.1686e-05i,-0.0011461+3.9902e-05i,-0.00049857+0.00042292i,-0.0001063+0.00073937i,0.00033983+0.00039018i,0.00048254+0.00073194i,0.00080504+0.00076776i,0.0010736-0.00038578i,0.0009885-0.0011834i,0.00060724-0.0010766i,-4.1401e-05-0.00085508i,-0.00030542-0.00072888i,-0.00046017-0.00069177i,-0.00065564-0.0010589i,-0.00060612-0.00069131i,-0.0002906-3.254e-05i,-0.00012687+0.00070415i,-0.00025208+0.00080742i
-0.00024103+0.00074224i,3.3258e-06+0.00032742i,0.00015354+0.00014652i,0.00063925+0.00066776i,0.00049966+0.0003044i,-0.00033508-0.00057335i,-0.00093521-0.00081303i,-0.00067133-0.00049955i,0.00012804+0.00039777i,0.00032358+0.0010409i,-0.00028545+0.00079427i,1.1106e-05-0.0006122i,-0.00026157-0.0010732i,-5.3122e-05-0.00070343i,0.0009806-0.00057636i,0.0013498-0.00061072i,0.00064177-0.00020792i,-0.00022517-0.0004106i,-0.00024762-0.00069458i,-0.00032472-0.00049157i,-0.00046066-8.6402e-05i,-0.00044491-9.9054e-05i,0.00051136-0.00033838i
