0.00051983+0.00018789i,0.00097698-0.00083564i,0.00015878-0.0010885i,-0.0010372-0.00095958i,-0.0018678+0.00013501i,-0.0025014+0.0012496i,-0.0029261+0.0018558i,-0.0024778+0.0014191i,-0.0011434+0.00070773i,0.00015329+9.5143e-05i,0.0013519-0.00072831i,0.00061469-0.00049117i,-0.00052876+0.00046841i,-0.00028655+0.00077613i,0.00024958-0.00013433i,0.00070007-0.00017317i,0.00089922+0.00095941i,-6.1926e-05+0.00082319i,-0.00078656-0.00027823i,-0.00031092-0.00033911i,-0.00010208-0.00011605i,-0.00019723-0.00028289i,-0.00046062+0.00015527i
-0.00056019-0.0001049i,0.00046584-0.00026034i,0.0010619-0.00034022i,0.00036775-0.00019597i,-0.00070514+0.0003287i,-0.001134+0.00032915i,-0.001461-0.00018499i,-0.0014534-0.00077588i,-0.0012386-0.0010929i,-0.00096593-0.00025117i,-6.0769e-05+0.0010758i,0.00041272+0.00114i,0.00028807+0.00055786i,-0.00010805+0.00034577i,-0.00024038+0.00055704i,0.0005805+0.00093082i,0.0010848+0.00083595i,0.00064643+0.00026394i,0.00033833+6.9034e-05i,-9.971e-05+0.00034575i,-0.00023977+0.00059022i,-4.675e-06+7.2582e-05i,1.2358e-05-6.8874e-05i
0.0012168-3.9927e-05i,0.0014848-5.7317e-05i,0.0011073-0.0011033i,-0.00028519-0.0015257i,-0.0012557-0.00066443i,-0.00083207-0.00034094i,-0.00077658-0.00073428i,-0.0013214-0.00095163i,-0.00017924-0.00094497i,0.001127-0.00054268i,0.0014174+0.00034104i,0.00046045+0.00035437i,-0.00030335-0.00090036i,-0.00073734-0.00079796i,-0.001258-4.6541e-05i,-0.00086213+0.00073425i,-0.00076532+0.00070901i,-0.00087298+0.00027872i,-0.0014603-3.2026e-06i,-0.0013319-0.00030298i,-0.00048252+0.00012669i,-8.6204e-06+0.00014808i,5.5631e-05-0.00069544i
-0.00059547-0.00013357i,0.00049312-0.00021711i,0.0012101-0.00059652i,0.00042017+0.00013583i,-0.0007927+0.00092954i,-0.00088332-0.00036502i,-0.00032682-0.0020752i,-0.00069791-0.0022003i,-0.0012435-0.0013894i,-0.00051881-0.00084686i,0.00065028-0.00055657i,0.0010512-0.0001393i,0.00040866-0.00010124i,-0.00059553+0.00025639i,-0.00071189+0.00044855i,-0.00018279+0.00021003i,-0.00041256+0.00034323i,-0.00043043+0.00071382i,-0.00023669+0.00044186i,-0.00045515-0.0003051i,-0.00085039-0.00053351i,-0.0010022-0.00017206i,-0.00059733+6.3435e-05i
0.001022+0.00069468i,0.001076-0.00030776i,0.0015322-0.0013002i,0.0012089-0.0013346i,0.00060996-0.0014206i,-0.00076358-0.0017847i,-0.0021702-0.0020096i,-0.0018462-0.0019923i,-0.001461-0.0014697i,-0.0018299-0.00074926i,-0.0014888-0.00049854i,-0.0017556-0.00086216i,-0.002008-0.00074313i,-0.000283-0.00054119i,0.00088321-0.00024008i,0.00024627+0.00024383i,-0.00014073-4.0675e-05i,0.00026216+0.00063603i,0.00062519+0.0014407i,0.00068118+0.0010657i,0.00040274+0.0008267i,0.00035737+0.00061149i,0.00058424+0.000502i
0.0011681+0.0010235i,0.0023205+0.00058462i,0.0031733+0.00056759i,0.0020509-0.00076442i,0.00033188-0.001656i,-0.00061585-0.00095999i,-0.0011454-2.2598e-05i,-0.001752+0.00070087i,-0.001525+0.0001608i,-0.0001065-7.2931e-05i,0.00037191+0.00010339i,-0.00019296-0.00038486i,-0.00020068-0.0004554i,-5.4417e-06-0.00025075i,0.00033276+8.9718e-05i,0.00068721+0.00066883i,0.00019853+0.00085997i,-0.00029097+0.00056867i,-0.00052353+0.00051662i,-0.00041306+0.0004968i,-5.9978e-05+0.00021656i,0.00040061+2.8423e-05i,0.0013818+0.00048499i
-0.00078426+0.00085561i,-0.00021599+0.00036204i,0.00044348-2.7583e-05i,0.00043574-0.0010222i,0.00032181-0.00050203i,0.00044176+0.0001574i,-0.00021926+0.0002581i,-0.00022919+0.0002023i,0.00012699+6.6684e-05i,0.0001736+0.0011361i,-0.00015129+0.0012132i,-0.00080724+0.00026483i,-0.0008965-0.00064225i,-0.00073197-0.0014169i,0.00036292-0.0012546i,0.0011985-0.00096625i,0.00062599-0.00056453i,0.00040394+0.0002888i,0.00048829+6.5857e-05i,0.00027379-0.00026685i,0.00054836+0.00047373i,0.00067949+0.00068276i,4.491e-05+0.00041575i
0.0010179-0.0015073i,0.0018284-0.0014119i,0.00028699-0.0026913i,-0.0016926-0.0022258i,-0.0023832-0.00014113i,-0.0016821+0.00041689i,-0.0007798-0.00098826i,-6.273e-05-0.0022194i,-0.00012126-0.0018852i,-0.00061931-0.00072648i,-0.00020474+0.00019755i,-0.00012328+0.0005338i,-7.1451e-05-2.1097e-05i,-0.00062637+7.6721e-05i,-0.0012556+0.000204i,-0.0013184-0.00039224i,-0.0005894-0.00059221i,9.351e-05-0.00036063i,0.00023124-0.00022935i,-1.155e-05+0.0003417i,-1.906e-05+0.00084709i,0.000257+0.00085725i,-0.00014371+9.5128e-05i
0.00042845+2.7782e-05i,0.0013175+4.3842e-05i,0.0023799-6.6068e-05i,0.0014078-0.00029181i,0.00058397-0.00017689i,0.00023857-0.00053804i,-0.0011409-0.0023156i,-0.0017102-0.0034551i,-0.001202-0.0026406i,-0.00014253-0.0012344i,0.00039917-0.00015235i,-1.4734e-06-0.00078454i,-0.0002046-0.0015809i,-0.00045821-0.00092899i,-0.00024086-0.00031612i,0.00051274+0.00017835i,0.00050534+0.00052219i,-0.00026551+0.00016395i,-0.00088902-0.00055016i,-0.00042193-0.00022569i,0.0004712+0.00032493i,0.00031673+0.00054817i,-0.00036881+0.00043889i
0.0015499-0.0002529i,0.0015164-0.00099788i,0.0015437-0.0017799i,0.0012901-0.0022389i,1.0499e-05-0.0013418i,-0.00086533-0.00048059i,-0.0010774-0.0004974i,-0.0004943-0.00019104i,-0.00048167+0.00023721i,-3.9368e-05-0.0001161i,9.0895e-05-0.00062846i,-0.00082193-0.0012816i,-0.00084188-0.0011953i,-0.00082332-0.00067636i,-0.00095155+9.3653e-05i,-0.00041442+0.00041439i,-0.00035574+0.00024993i,-0.00043338+8.8091e-05i,-7.7748e-05+4.2236e-05i,5.2251e-05+0.00079477i,-0.00056682+0.00076483i,-0.00056956+0.00018262i,0.00029601-9.0903e-05i
0.0010627+0.00073115i,0.0017139+0.00068965i,0.0011033-0.00011567i,0.00071256+0.00059766i,-0.00056869+0.0015053i,-0.0012852+0.00083955i,-0.0011765-0.00057076i,-0.00096043-0.00082026i,-0.00093036-0.00057774i,-0.00022962-0.00015086i,0.00063539-0.00018142i,0.00075814-0.00024499i,0.0006174-0.00013136i,0.00013526-0.00054117i,-0.00022223-0.00085158i,-0.00021799-0.00060953i,-8.4048e-05+0.00076361i,0.00020761+0.0011137i,0.00069045+0.0005149i,0.001184+0.00041411i,0.0010031+0.00041411i,0.00048956+0.00013465i,-0.00036218+7.2398e-05i
-0.00029699+0.00071981i,0.00058381+0.0019017i,0.00077433+0.0016521i,0.00075792+0.0013638i,0.001046+0.0010643i,0.00051069-0.00045528i,-0.00027649-0.0013554i,-0.00028837-0.0013936i,0.00015166-0.001113i,0.00051511-0.00036076i,0.000471+0.00014533i,0.00099617+0.00070994i,0.00097704+0.0013781i,-0.00010861+0.0011874i,-8.1574e-05+0.00094268i,0.00049733+0.00088286i,0.00024496+0.00017628i,0.00071048-0.00016374i,0.0010693-0.00011691i,0.00059469+0.00033597i,-0.00044843+0.00012586i,-0.00021169-0.00074891i,0.00075899-0.00069963i
-0.00057651+2.4835e-05i,0.0018682+0.00057009i,0.0019218+0.0011085i,0.001116+0.00094619i,0.00041041+2.07e-05i,3.293e-05-0.00093062i,-0.00072503-0.0022555i,-0.0018054-0.002554i,-0.002145-0.0012161i,-0.0008985-2.2857e-05i,3.0508e-05+0.00061032i,6.6536e-06+0.00042494i,0.00024998-3.8982e-06i,0.00016581-0.00051354i,-0.00035326-0.0005078i,-0.00035699-0.00065813i,0.0004178-0.00080475i,0.00047924-0.00023569i,-0.00038549-6.1362e-05i,-0.001112-0.00014157i,-0.0012744-0.00059321i,-0.00088307-0.00060503i,7.9098e-05+0.00024543i
0.00020252-0.00027744i,0.00081946-0.00052919i,0.00038037-0.0015904i,-0.00030964-0.0023982i,-0.00080763-0.0011053i,-0.0017133-0.00026039i,-0.0021478-0.00082878i,-0.0015608-0.0011474i,-0.0014643-0.00087891i,-0.00083507-0.0002637i,3.8162e-05+0.00048282i,7.6102e-05+0.00066963i,-0.0003764+0.00070159i,-0.00030183+0.00064412i,-0.00061813+0.00047906i,-0.0010737+0.0002163i,-0.0011719-6.5957e-05i,-0.00072509-0.00014415i,-0.00030954+0.00033825i,-0.00029797+0.00086164i,-0.00014903+0.00060239i,-0.00048292+0.00015552i,-0.00069523+0.00023349i
0.00044458-0.001207i,0.00015672-0.0026677i,0.00054287-0.0034252i,0.00040681-0.0024204i,-0.00058116-0.001652i,-0.0014738-0.0012447i,-0.0012808-0.00089451i,-0.00046595-0.0010061i,-0.00063911-0.0011162i,-0.00078535-0.00068208i,-0.0007598-4.3606e-05i,-0.00097028+0.00027118i,-0.00093526+5.156e-05i,-0.00040094-0.00013988i,0.0002045+0.00034912i,0.00015068+0.00057407i,-0.00069848+0.00021854i,-0.00064624+0.00055353i,-0.00028743+0.0014031i,-0.00030789+0.0017381i,0.00022979+0.00077921i,0.00059593-0.00011039i,0.00021555+0.00027297i
0.0019737+0.0016008i,0.0021797-0.00048311i,0.0022019-0.0012937i,0.001607-0.0011281i,0.0011125-0.0018618i,0.0001155-0.0015938i,-8.3636e-05-0.0011057i,-5.2605e-05-0.00080697i,-0.00014121-0.0010917i,0.00042221-0.0012009i,0.0011607-0.0010778i,0.0011261-0.0009715i,0.00050973-0.00067745i,-5.4683e-05+1.6299e-05i,-8.4074e-05-0.00032141i,-0.0003615-0.00067751i,-0.0007533-7.5782e-05i,-0.00021706+0.00012612i,5.7086e-06-0.00024375i,0.00027127-0.00046334i,0.00053431+0.00015029i,-0.00040306+5.0391e-05i,-0.0013295-0.00025476i
0.00089435+0.001725i,0.0027511+0.0011978i,0.002621+0.00081245i,0.0016435+0.00049947i,0.00094312+6.561e-05i,0.00035054-0.00076017i,-0.00021723-0.001425i,-0.0016367-0.0014141i,-0.0016842-0.0014635i,0.0001089-0.00076508i,0.00076066-0.00057372i,0.00038779-0.0013623i,-0.0001435-0.00078071i,-0.00060373+0.00045076i,-0.00054012-6.2421e-05i,-0.00037129-0.00020948i,-0.00034214+0.00034111i,-0.00026127+0.00048524i,-8.8397e-05+0.00037926i,0.00024294-0.00029186i,0.00084612-0.00049591i,0.00055364-1.2324e-05i,-0.00041096+0.00032282i
-0.0013525+4.8871e-05i,-0.00024058-0.0012652i,0.00079783-0.0014057i,0.00093581-0.0010865i,-0.00052118-0.00068453i,-0.0012943-0.0014849i,-0.00083659-0.002384i,-0.00057006-0.001799i,-0.00041736-0.00075361i,-0.00012226-0.00014076i,-5.3962e-05+0.00028903i,-0.00081601+0.0004818i,-0.0012622+0.00036098i,-0.0011922+0.00092263i,-0.00016512+0.00097774i,0.00039771+0.00093128i,-0.00033138+0.00085875i,-0.00037758+0.00065123i,-0.00070568+0.001036i,-0.00086905+0.0003036i,-0.00062678-0.00053937i,-0.00021424+5.9577e-05i,0.00019382+0.00015673i
0.00018073+0.00045442i,0.0013312-0.00025353i,0.0022453-0.00033703i,0.00087467+0.00010403i,-0.00082263+0.00041139i,-0.0010558+0.00014672i,-0.00086511-0.00061281i,-0.00048385-0.0013148i,0.00018042-0.0018275i,0.00025718-0.0012993i,0.0004884+7.9274e-05i,0.00048126+0.0006464i,-5.3707e-05+5.9696e-05i,9.2136e-05+0.00021503i,0.0001571+0.0006253i,-0.00037592+0.00022488i,-0.00031791+0.00028049i,0.00025365+0.00072494i,0.0003034+0.0011514i,-0.00086613+0.0015641i,-0.00088678+0.0011944i,3.6768e-05+0.00063825i,0.00047194+0.0002463i
0.0017109+0.00090886i,0.0013516-2.1735e-05i,0.00030007-0.0013957i,-0.00027778-0.0012023i,-0.00021404-0.00070887i,-0.00041537-0.00092865i,-0.00085609-0.0019743i,-0.00095801-0.002557i,-0.00039402-0.0013877i,7.8289e-05-7.7108e-05i,2.8609e-05-0.00028753i,3.0146e-05-0.00046219i,0.00024684+0.00022868i,-0.00016853+0.00015108i,-0.00038284+0.00040038i,-0.00048429+0.00023562i,-0.00082758+0.00014129i,-0.00049251-7.867e-06i,0.00016793+0.00016206i,0.00035589+0.0004341i,0.00063257-0.00042866i,0.00077292-0.0009284i,0.00013892-0.00098194i
0.00037901+0.0022092i,0.0009571+0.0013853i,0.001549+0.00068501i,0.0018249+0.00080227i,0.0011084+9.6062e-05i,6.8839e-05-0.0015787i,-0.00040717-0.0020654i,-0.0014565-0.0017214i,-0.001954-0.0015431i,-0.00066209-0.00024313i,0.00016693-2.1323e-05i,0.00022928-0.00010099i,0.00013346+0.00025428i,-0.00020437+9.3121e-05i,-0.00030619+0.00060825i,-0.00055644+0.00049918i,-0.00091354-0.00015541i,-0.00062036+0.00032065i,0.00015654+0.00065786i,0.0002609+1.707e-05i,-0.00018499-0.00069812i,-9.0908e-05-0.00086335i,9.906e-05-0.0012833i
-0.00059262+0.00021725i,0.000215-2.5075e-05i,0.00065331-0.00010658i,0.00035724-4.3412e-05i,-0.00019607+0.00098572i,-0.00037769+0.00045482i,-0.00028419-0.0009074i,-0.00025409-0.0013567i,-7.2695e-05-0.0011205i,-0.00018398-0.00041619i,-0.00075037+0.00024906i,-0.0001713+0.0007484i,0.00069781+0.0012593i,0.00057754+0.0012522i,-3.5012e-05+0.00067626i,-0.00055598+0.00060595i,-0.0010767+0.00099826i,-0.00035853+0.0010355i,0.000643+0.0011508i,0.00042006+0.00046407i,-0.00038807-0.00063634i,-0.00080239+1.0646e-06i,-0.0005614+0.00058636i
0.00055403+0.00064583i,0.0012618+0.00087853i,0.0015666+0.00067191i,0.00086136+0.00041694i,-0.00039711+0.00027275i,-0.0011343-0.00083191i,-0.0013924-0.001359i,-0.00090075-0.0003889i,-0.00023607+0.0001379i,-0.0001024-1.7686e-06i,0.00037312+0.00011714i,0.00066132+0.00069096i,-0.00011274+0.0012768i,-0.001122+0.00095567i,-0.0010224+0.00024843i,-1.6218e-05-0.0002411i,-0.00013357-0.00077877i,-0.00090363-0.00072871i,-0.00086036+0.00046767i,-0.00033999+0.0010471i,-0.00068832+0.00033357i,-0.00022698+0.00033465i,-7.8957e-05+0.0010501i
-3.1855e-05+0.00096175i,0.001306+0.00063512i,0.0016122+0.00011822i,0.00111-8.2504e-05i,0.0011383+0.00030345i,7.0344e-05-0.00042954i,-0.0016177-0.00085089i,-0.0022775-0.0010126i,-0.0016377-0.0017469i,-0.00029102-0.00084335i,0.00074264-0.00021787i,0.00062967-0.001099i,0.00013919-0.0014137i,0.00011129-0.00094833i,-0.00032306-0.00049666i,-0.000624+6.3917e-06i,-7.7217e-05+0.00074009i,0.00022011+0.0009364i,0.00038383+0.00045018i,0.00063533+0.00051884i,0.0005786+0.00018724i,0.0002861-0.00041623i,3.321e-05-0.0012277i
0.00063692+0.0010609i,0.0024084-0.00055469i,0.0036328+0.00057725i,0.0034061+0.0010984i,0.0015982-4.0511e-05i,-0.00048184-0.0010186i,-0.0010999-0.001422i,-0.00053196-0.0012852i,0.00012429-0.00078987i,-0.00025227-0.0005828i,-0.001034-0.00044006i,-0.00069544-0.00066649i,-0.00030704-0.00070968i,-0.0003571+2.3611e-05i,-0.00041467+0.00045843i,-4.5272e-05+4.8336e-05i,0.00058369-1.4957e-05i,0.00043247+0.00063305i,-0.0003391+8.1846e-05i,6.2461e-05-0.00057158i,0.00019623-5.5648e-06i,4.2406e-05+0.00014474i,0.00036659-0.00043777i
0.00091977+0.0015359i,0.0021987+0.0018974i,0.0016061+0.0017146i,0.00098442+0.00050387i,0.00048495-0.00018189i,-5.7522e-05-0.0011185i,-0.00070952-0.0025237i,-0.0013144-0.0022355i,-0.00083503-0.00068092i,-0.00030119-0.00020504i,-0.00054332+0.00022355i,-0.00032865+0.00073904i,-0.00011273+0.00017233i,-0.00053803+0.00027222i,-0.0012236+0.00063244i,-0.00052187-0.00038717i,-0.00010397-0.00036002i,-0.00067859+0.00035059i,-0.00062798+0.00024165i,-0.0001992-0.0001901i,-0.00015492-0.00082141i,-0.00052874-0.0011651i,0.00014989-0.00026129i
0.00019514+0.00087481i,0.00063261+0.00021237i,0.0012177-0.00077882i,0.0013013-0.00039992i,0.00057145+0.00078419i,-0.00022644+0.00030718i,-0.0009574-0.00081599i,-0.0011096-0.0011972i,-0.00019329-0.0003016i,0.0002183+0.00086661i,0.00051458+0.00020759i,0.0011515-0.00059801i,0.0010085-1.9575e-05i,0.00064552+0.00046886i,0.00029023+0.0008714i,-0.00013854+0.00039012i,-0.00077549-0.0006856i,-0.0011669-0.00056838i,-0.00090932+0.00012845i,6.2842e-05+6.8323e-05i,0.00080347+0.00055318i,0.00034364+0.0010702i,-0.0003843+0.0011928i
-0.0005312-0.00044276i,4.4399e-05-0.0003848i,0.00062965+0.00014835i,0.00036511+0.00038937i,-0.00037886+0.00057782i,-0.00057799+0.00024676i,-0.00037605-0.00058011i,-0.00051455-0.00062399i,-0.00040712-0.00060556i,0.00043934-0.00069075i,0.00029587+1.6577e-05i,0.00025693-0.00019431i,0.0010199-0.00064454i,0.0010413-3.8548e-05i,0.00090166+0.00035962i,0.00042015+0.00016053i,0.00016649+0.00046946i,0.00044447-4.4394e-05i,0.00015148-0.0014391i,-0.00034537-0.0018346i,-0.00042755-0.00063868i,-0.00021984-0.00013787i,1.3932e-05-0.0006274i
0.0024532+0.00085253i,0.003836-0.00032534i,0.0035585+2.719e-05i,0.001943+0.00066552i,0.0002647+8.0047e-05i,-0.00072036-0.00094744i,-0.00158-0.00077006i,-0.0016545-0.0001016i,-0.0011923-0.00030298i,-0.00035069-0.00046264i,0.00081058-0.00082254i,0.00059085-0.00093314i,0.00011807-0.00056824i,-0.00029806-0.00033649i,-0.00033875-0.00010873i,0.00030043-0.00038471i,0.00078963-0.00031374i,0.00037789+0.00067238i,-0.00079654+0.00088217i,-0.00063471+0.00063407i,0.00039597+0.00085461i,0.00087881+0.0006423i,0.000627-0.00057411i
-0.0010139+0.0016981i,-0.00089963+0.0010352i,-0.00011667+0.00010657i,0.00058979-0.00051129i,0.00054394-0.00019709i,0.00026217-8.1785e-06i,-0.00024151-0.00093073i,-0.00046658-0.0019032i,-0.00069829-0.0020278i,-0.000977-0.0017025i,-0.00087708-0.0012777i,-0.0009166-0.0010943i,-0.0010306-0.00039617i,-0.00042952+0.00070934i,6.0449e-05+9.6468e-05i,-0.00032322-0.00089218i,8.4335e-05-0.0012682i,0.00050388-0.00087052i,-7.2838e-05-4.5322e-05i,-0.00024506+0.00015887i,0.00015492+0.00011424i,0.00044342+0.00032431i,-0.0002941+0.00053689i
-0.001255-0.00031345i,0.00016228-0.0012402i,0.00065503-0.0021906i,8.7757e-05-0.0022681i,-3.4154e-05-0.001436i,-0.00024609-0.0017939i,-0.0010097-0.0022407i,-0.0016551-0.0017276i,-0.0014481-0.00090563i,-0.0004957+0.00032117i,-0.00020532+0.0004276i,-0.00053265-0.00048132i,9.2809e-06-0.0005946i,0.00040983+6.8617e-05i,8.9516e-05+0.00055428i,-0.00081668+0.00056561i,-0.0016372-0.00017316i,-0.0014987-0.00042455i,-0.0007511-0.00027472i,4.5006e-05+0.00011578i,0.0004174-5.8374e-05i,0.00053849-0.00031978i,0.00067457-3.7925e-05i
0.0033203-0.0012731i,0.0028756-0.0020418i,0.0019913-0.0025181i,0.0014223-0.001875i,-0.00029012-0.001632i,-0.0015665-0.0010606i,-0.001917-0.00032094i,-0.0016854-0.00024065i,-0.0010577-2.4866e-05i,-0.00097064+0.00050034i,-0.00088156+0.00012876i,-0.00073849-0.00046372i,-0.00073022-0.00062064i,-0.00062152-0.00068512i,-0.0011099+2.3889e-05i,-0.0019087+0.00076895i,-0.0012263+0.00096163i,-0.00025799+0.0012956i,-0.00031604+0.0011302i,-0.00034642-8.0367e-06i,-0.00032707-0.00079789i,-5.6897e-05-8.239e-05i,-1.8713e-05+0.00065147i
0.0012469+0.00062198i,0.0027617+0.00027945i,0.0027712-0.00026487i,0.0021409-0.00026716i,0.00081021+4.9088e-05i,-0.00026076-0.00021293i,-0.00018042-0.00084387i,-0.0006028-0.00089784i,-0.0014569-0.0006958i,-0.0011447-0.00032474i,-0.0005631-0.00019582i,-0.00020416-6.6212e-05i,-0.00022764+0.00030856i,-0.00077858-6.245e-05i,-0.00069597-0.00015933i,0.00014281+0.00070794i,0.0010209+0.0012907i,0.00085244+0.00074553i,0.00032678+0.00028793i,0.00010416+0.0003144i,-0.00031592-0.0001404i,-0.00026663-0.0004468i,0.0005059+0.0001623i
-0.00053084+0.0023724i,0.00046963+0.0015214i,0.0013051-0.00052258i,0.0011301-0.00060516i,0.00020301+0.00024254i,-0.00014625-0.00060579i,-0.00063743-0.0020036i,-0.0010023-0.0018081i,-0.0011216-0.00050995i,-0.0010332-9.166e-05i,-6.5973e-05-0.00030667i,0.0001083-0.00066247i,-0.00089605-0.00049486i,-0.00062933-0.00060268i,0.00029271-0.00039954i,0.00046319+0.0005367i,0.00028392+0.00067843i,0.00017974+0.00032182i,0.00033437+0.00026232i,-0.00028664+0.00023685i,-0.0011202+0.0001715i,-0.0010349-0.00071414i,-7.3786e-05-2.8662e-05i
-3.6904e-05-0.0018319i,-7.2312e-05-0.0012059i,0.00030821-0.0015806i,0.00051433-0.0014139i,-0.00012269-0.0012517i,-5.6015e-05-0.00074897i,-0.0002455-0.00053619i,-0.0011105-0.00093342i,-0.0010387-0.00091785i,-0.00017006-0.00034818i,-0.00052189+0.00028079i,-0.00025993+0.00071392i,0.00044329+0.00017396i,-0.00010792-3.3897e-05i,-0.00019792+0.00032478i,4.0491e-05+0.00052113i,-0.00038199+0.00027539i,-0.00051047-0.00021099i,-0.00034394+6.1933e-05i,0.00060829+0.00046721i,0.00097022-0.00021395i,-0.00011415-0.00081716i,-9.1261e-05-0.00096934i
0.00082112+0.00169i,0.0028905+0.00082679i,0.002918+0.00095612i,0.0014468+0.0017441i,0.00027613+0.0013697i,-0.00069244-5.0353e-05i,-0.001193-0.0014282i,-0.0020449-0.0019115i,-0.0025917-0.0011228i,-0.0012602-9.4578e-05i,0.00012136-0.0005116i,0.00063409-0.0011671i,0.00077574-0.00048867i,0.00047242+0.00062146i,9.9865e-05+0.00042621i,0.00038991-0.00011862i,0.00036767+0.0004848i,-0.00016091+0.0011553i,-0.00030777+0.00072928i,-0.00025074-0.00049657i,8.5286e-05-0.0013517i,0.00070243-0.00081988i,0.00064431-0.00024099i
0.00058829-0.00036094i,0.0018102-0.0016977i,0.0028994-0.0018641i,0.0015258-0.0014051i,-0.00092739-0.0012653i,-0.0014375-0.00028437i,-0.00048522-0.00070973i,0.00017863-0.0012437i,-0.00069431-0.00045154i,-0.00079446-9.7486e-05i,4.515e-05-0.00021871i,0.00024298+1.1774e-05i,-0.00031594+0.00014391i,-0.0011718+0.00020398i,-0.0010585+0.00011107i,-0.00035195+0.00023371i,-0.00011951+0.00052106i,6.085e-05+0.00030256i,0.00031065-8.0963e-05i,-0.00022136+2.7144e-05i,-0.00035033+0.00020903i,0.00011238+3.1961e-05i,0.00064427-0.00061885i
-0.0007191+0.0015543i,0.0009867+0.00066642i,0.0011216-4.8015e-05i,0.00060628+0.00027621i,0.00069477+0.0005936i,0.00068351-0.00071963i,-0.00077728-0.0019571i,-0.0021515-0.0019656i,-0.001658-0.001037i,-0.0010734-0.0001884i,-0.00053428+0.00017742i,-0.00057072-0.00039865i,-0.0011107-0.00081741i,-0.00089614+0.00010137i,-8.6162e-06+0.0011365i,0.0010739+0.00090054i,0.0014647+1.0669e-05i,0.00084051-0.00063347i,-0.00037102-0.0010662i,-0.00014468-0.00088526i,0.00010439-0.00022506i,-0.00031244+0.00031901i,-0.00054803+0.00025729i
0.0015995+0.00075708i,0.0020715-2.5717e-06i,0.0021307-0.0013908i,0.0010538-0.0019205i,0.00029573-0.0015984i,0.00030249-0.0016806i,0.00030642-0.0019623i,-0.00040343-0.0016258i,-0.00081922-0.0010309i,-0.00095731-8.6798e-05i,-0.0006485-0.00044681i,-0.00016594-0.0006589i,-0.00023467-0.00029146i,-0.00044166-1.9958e-05i,-0.00019141-0.00028923i,-0.00020615-0.00060013i,-0.00060151-0.00021002i,1.26e-05+6.0667e-05i,0.00098428-9.6524e-05i,0.0011402-0.00026673i,0.00049012-0.00029568i,0.00037194+0.00018488i,0.00062526+0.00016133i
-0.00037481-0.0014039i,0.00021576-0.0008327i,0.00045852-0.00046203i,-0.0010408-0.00046713i,-0.0019654-0.00036618i,-0.0020115-0.00027118i,-0.0013004-0.00087449i,-0.0005443-0.00088568i,-0.00021828-0.00040317i,-0.00033669-0.0002685i,0.00024971+0.0005897i,0.00041901+0.0003247i,-0.00012208-0.00058651i,-2.1849e-05-0.00048448i,-0.0004711+0.0003723i,-0.0005273+0.00097384i,-0.00035462-0.00011099i,-0.00010206-0.00071717i,0.00023391-0.00020061i,0.00017491-0.00077028i,0.00049799-0.0012316i,0.00059228-0.00062359i,0.00026082-0.00018183i
0.0036638+0.0021891i,0.0051632+0.0011666i,0.0050625+6.5689e-05i,0.0035257-0.0011518i,0.0010985-0.0019067i,-0.00077439-0.0014936i,-0.0018126-0.0010568i,-0.0020094-0.0010484i,-0.0017-0.00082756i,-0.0012225-0.00049879i,-0.00054671-0.00070271i,-0.0001779-0.00076079i,-0.0010136-0.0003276i,-0.0013073-0.00040476i,-0.0010674-0.00065659i,-0.00030136-0.00056172i,0.00023821-0.00046289i,0.00049766+0.00034693i,0.00055056+0.00056952i,0.000523-0.00049165i,0.0011049-0.00068201i,0.00096898+0.00011351i,0.00049467-0.00011335i
-0.00029048+0.00081109i,0.00065838+0.00043763i,0.00123-0.00038405i,0.0001503+9.2832e-05i,-0.0012938+0.00050104i,-0.0012381+9.1877e-05i,-0.0012991-0.00080144i,-0.00069198-0.0008179i,0.00010363-0.00038543i,2.9593e-05-0.00063858i,-0.00056641-0.00052836i,-0.00093458+9.7855e-05i,-0.00080973+0.00045836i,-0.00021719+0.00031729i,-0.00043587+0.00083131i,-0.0014919+0.0006192i,-0.00083258+0.00045532i,0.00037702+0.00099474i,0.00055774+0.00050021i,-0.00026545-0.00030209i,-0.00052102-7.5581e-05i,-0.00030406-0.0002108i,-0.00058189-0.00028651i
-0.0011287+0.00011441i,-2.0948e-05+0.00093119i,0.0014346+0.0010144i,0.00088799-0.00065985i,0.00070568-0.00084838i,0.0004451+7.2284e-05i,-0.00088734-0.0010476i,-0.0020868-0.0023041i,-0.0017026-0.0019353i,-0.0010074-0.00095488i,-0.000691-0.00048655i,0.00027175-0.00059204i,0.00020985-0.00022986i,2.3763e-05+0.0002565i,-6.5015e-05+0.00022669i,-0.00019058+0.0002766i,0.00024199+0.0004601i,0.0006691+7.7319e-05i,0.00048933-0.00030334i,0.00048343-0.00062695i,0.00065166+0.00043893i,0.00053929+0.0010455i,-0.00011445+0.00030184i
