-0.0016968-0.00096643i,-0.0010804-0.0010091i,-0.001117-0.0020643i,-0.0022941-0.0020051i,-0.0028158+5.5668e-05i,-0.0020681+0.0017344i,-0.0011026+0.0023843i,-0.00084662+0.00259i,-3.7206e-05+0.001781i,0.00098902+0.0013856i,0.00081338+0.00065604i,1.9494e-05-0.00017405i,2.7352e-05+9.5461e-05i,0.0010139+0.00065105i,0.00065018+0.00058452i,-0.00038783+0.00022531i,-0.0008109-0.0010488i,-0.00040521-0.0015429i,-0.00011305-0.00066012i,-0.00084304-0.00013821i,-0.00085439-0.00038444i,-0.00035657-0.00034136i,2.3881e-05+0.0001374i
0.00055051-0.00075124i,-0.00015137-0.0010278i,-0.0022098-0.00079924i,-0.0031578-1.4446e-05i,-0.0026523+0.00072729i,-0.0023442+0.00012671i,-0.0015943-0.0012891i,-0.00091121-0.00060148i,-0.0008782+0.00077872i,-0.00089887+0.00037428i,-0.00038865-1.8172e-05i,-0.00021578+0.00073018i,-0.0011574+0.0003876i,-0.0010669-0.00049071i,-0.00067671-5.5395e-05i,-0.00086108+0.0003893i,-0.00073698-0.00065661i,-0.00046161-0.001736i,-0.00017662-0.00096155i,-0.0008039-0.00013803i,-0.00048346+5.1408e-05i,-3.7381e-05+0.00042307i,-0.00053529+0.00029573i
-0.00026685-0.0009084i,-0.0003829-0.0013161i,-0.0012548-0.0016517i,-0.0020694-0.0019296i,-0.0014603-0.00079249i,-0.00015671+0.00031227i,-0.00031921+0.00046487i,-0.00051134-0.00018702i,-0.00038349-0.0004118i,-0.00015646+0.00044394i,-0.00018632+0.00039107i,-7.6745e-05+0.00068633i,0.00013055+0.0013203i,0.00017615+0.0010976i,0.00067452+0.00091708i,-0.00012466+0.00061449i,-0.00045097-0.00079837i,0.00078018-0.00087431i,0.00080902-9.5328e-05i,0.00019377-0.00030738i,-0.00012096+0.00037662i,-0.00079439+0.00069994i,-0.00042757+0.00033205i
-0.00039222-0.0017966i,-0.00028307-0.0019072i,8.7354e-05-0.0029572i,-0.00060454-0.0019588i,-0.0010409-3.4059e-05i,-0.00031916-0.00023388i,0.00010024-0.00040868i,-0.00017794-5.2315e-05i,-0.00058178-0.00032595i,-0.00047505-0.00018136i,-0.0003494+0.00024892i,-0.00063928+0.00016532i,-0.00060454+2.5582e-05i,-0.0003265-9.2089e-05i,5.0209e-06-8.4072e-05i,6.7861e-05-0.00014404i,0.00012151+0.00036101i,-2.3736e-05+0.00060366i,-0.00040611+0.00028546i,-0.00103+0.00015886i,-0.0013761+4.2079e-05i,-0.0014586+0.00052726i,-0.0012021+0.00087466i
0.00010077+0.0016521i,0.0014047+0.00079773i,0.0012422-0.00055368i,-9.178e-05-0.0020624i,9.0734e-05-0.0019223i,0.00042066-0.00079534i,7.2797e-05-0.00019612i,-0.00031195-3.2156e-05i,-0.0004294+0.00033847i,2.9247e-05+6.8167e-05i,0.00034657-5.5609e-05i,0.00069988+6.7978e-05i,0.00026892-0.000286i,-0.00083168-0.0003815i,-0.00085809-0.00084585i,-0.00011393-0.0007124i,-0.00045648-0.00085279i,-0.00060095-0.0010582i,-0.00098226-0.00096266i,-0.00104-0.00087629i,-0.00034883-0.0004571i,-0.0004998-9.1027e-05i,-0.00049928-0.00024473i
-0.00090604-0.001496i,1.8862e-05-0.00066604i,0.00021092-0.00053535i,-0.00022345-0.00068547i,-0.00060255-0.00035181i,-0.00022424+0.00015462i,0.00029722+0.00037026i,0.00031816+6.6456e-05i,0.00012662-4.198e-05i,8.974e-05+0.00018347i,0.00063221+0.00057983i,0.0005579+8.3094e-05i,-6.8172e-05-0.00036352i,-0.00032664-0.00023196i,0.00023738-0.00042137i,0.00017903-0.00035486i,-0.00055653+0.00044932i,-0.0010653+0.0005841i,-0.00053571+0.00039475i,0.00064684+0.00012182i,0.00088925+0.00014889i,-1.7773e-05+0.00017415i,-0.00066566-0.00078494i
0.00071787-0.0010599i,0.0010113-0.0015122i,0.00042326-0.001537i,-0.00071256-0.0011848i,-0.00065195-0.00075629i,-0.00050547-0.00094122i,-0.00044517-0.00044265i,0.00016671+1.3367e-05i,0.00066783-1.863e-05i,-0.00024663-0.0004581i,-0.00095027-0.00080603i,-0.00073112-0.00038279i,-0.0005629+0.00044336i,-0.00068438-0.00019098i,-0.00080809-0.00095365i,-0.00044521-0.00077031i,-0.00014281-0.00076399i,5.059e-05-0.0009097i,0.00062126-1.5778e-05i,0.0010686+0.00045836i,0.00048156-0.00028069i,-0.00057796-0.00040209i,-0.00098663-0.00023405i
-0.00019151-0.00082789i,0.00018274-0.0012716i,0.00021066-0.0027681i,4.4607e-05-0.0026931i,-0.00033561-2.0074e-05i,-0.00066446+0.0019854i,-7.5036e-06+0.00062262i,0.00064854-0.0002704i,0.001041-0.00039432i,0.0011517-0.00011822i,0.00096262+0.00036239i,0.00085725-0.00048329i,0.0005825-0.0012967i,-0.00016907-0.00048813i,-0.0002801-0.00027032i,4.9083e-05-0.00059071i,0.00010864-0.0001455i,9.7971e-05-3.6538e-05i,-0.00060961+0.00034438i,-0.00050029-0.00019631i,0.00031517-0.00057242i,-0.00024168-7.4121e-05i,-0.00067433-0.00044431i
-0.0011669+0.001128i,-7.5052e-05+0.0003837i,-0.00049144+0.00088208i,-0.00091743+0.001424i,-0.00017234+0.0014701i,0.00065293+0.00079051i,0.00063382-5.2894e-05i,0.00013093-0.00018318i,-0.00026617-0.00035461i,-0.00022345-0.00064073i,-8.6153e-05-0.00041039i,0.00021938-0.00039587i,0.00076513-0.00041113i,0.00094702-0.00021688i,0.00043849+0.00048111i,0.00027338+0.00092299i,4.3847e-05+0.00062806i,-0.00029469-8.669e-05i,8.8244e-05-0.00086935i,0.00062535-0.0011497i,0.00051493-0.00082179i,0.00059519-1.0048e-05i,0.00041304-7.2595e-05i
0.000216+0.00032702i,-0.00017335-0.00020839i,-0.00061522-0.0021921i,-0.00082916-0.0027454i,-0.00068174-0.0017161i,-0.00059653-0.00076686i,-0.00058653+0.0002883i,-0.00060886+0.00049823i,-0.00031622+0.00027795i,0.00034076+0.0007993i,0.00085226+0.0011493i,0.00058057+0.00037768i,-0.00018072+0.000152i,-0.00056823+0.00063405i,-0.00022228+0.0001935i,-8.02e-05-0.00038664i,-0.00064424-0.00015077i,-0.00037119-0.00030181i,0.00020216-0.0004371i,0.00043913-0.00011285i,0.00041696+0.00048906i,-0.00012335-0.00011463i,-0.00068814-0.00099941i
0.00026515+0.00061683i,-0.0013513+0.00053438i,-0.00045749+0.00038785i,0.00031819+0.00032276i,-3.8408e-05+0.00059499i,-8.2962e-05+0.00077905i,0.00017734-0.0002251i,-0.00037681-0.00056016i,-0.00063101+0.00047526i,-0.00013381+0.0010537i,0.00053708+0.00083338i,0.00050067+0.001085i,5.973e-05+0.0011484i,-0.00047525-9.3097e-06i,-0.00085584-0.00050547i,-0.0010384-0.00075759i,-0.0012033-0.00083557i,-0.0011832-0.00021419i,-0.00066858+0.00010554i,-0.00038808-1.3431e-05i,0.00017252-0.00043554i,0.00085037-0.00025276i,0.00097301-4.3444e-05i
