-0.0020949-0.0012244i,-8.0065e-05-0.000701i,-0.00054083+2.6007e-05i,-0.00098114+0.00032781i,-8.4085e-05+0.00050559i,0.0010177+0.00017057i,0.0014264-0.00019436i,0.00089468+0.00020551i,0.00065806+0.00075735i,0.00098494+0.00020171i,0.00060303+0.00042604i,-1.351e-05+0.00075765i,-0.00050506+0.00072914i,-0.00068667+0.00061675i,-0.00044779-2.8629e-05i,0.00022247-0.00084456i,0.00052812-0.0010532i,-0.00021066-4.9546e-05i,-0.00024359+0.00058394i,0.00024207+0.00045453i,0.0003596+0.00051279i,-6.4878e-05+0.00055804i,-0.00031456+0.00018777i
-0.0019218+0.00031912i,-0.0018323+0.0011329i,-0.0010263+0.00184i,0.00061446+0.0015676i,0.00073746+0.00067003i,0.00048857+0.00025147i,3.0363e-05+0.00018213i,0.00026882+0.00029646i,0.00021033-5.7664e-05i,-0.00076274-3.9983e-05i,-0.00037196+0.0011225i,0.00029507+0.001381i,8.0495e-05+0.0010566i,4.0879e-05+4.0097e-05i,9.3915e-05-0.00053817i,0.00048493-0.00041763i,0.0011525-0.00084162i,0.0013698+1.8168e-05i,0.00076482+0.0010667i,-1.2306e-06+0.00017563i,0.00038383-0.00087968i,0.00013526-0.00085102i,-0.00072771-0.00073745i
-0.0018829-0.00021081i,-0.0021025-0.00026181i,-0.00048525+0.00090927i,0.00062698+0.0011906i,0.00031402+0.00039948i,0.00025879-4.7721e-05i,0.00033524-0.00027591i,-8.453e-05+0.00010501i,-0.00048991+0.00033967i,-0.00033937+0.00031752i,0.00014613+0.0010824i,0.00059834+0.00097151i,0.0010239+0.00027599i,0.00091395+0.0003209i,0.00070476-0.00015388i,0.0010353-0.00082752i,0.000537-0.00063764i,-0.00049689-0.00062419i,-0.00059949-0.00086925i,-0.00010308-0.0006352i,0.00077671-0.00048288i,0.0007596-0.00010178i,6.6501e-05+0.00033512i
-0.00099324+0.00039132i,-0.0011501+0.00036147i,-0.00066911+0.0011259i,0.00099082+0.0015455i,0.0020704+0.0010556i,0.00092024-0.00017907i,-0.00034301-0.00058144i,0.00014696-7.3419e-05i,0.0006522+5.2968e-05i,0.00032015-0.0004561i,-0.00044053-0.00035565i,-0.00077166+0.00018693i,-0.00021533+0.00029699i,8.2614e-05+0.00035083i,-0.00010445-0.0002419i,-0.00039328-0.00044081i,-2.1731e-05-0.00075638i,-0.00011137-0.0014093i,-0.0004031-0.0010806i,-0.00040306-0.00014155i,-4.8269e-05+7.658e-05i,-0.0002175-0.00053991i,0.00010469-0.00052845i
-0.0010911-0.0003971i,-0.00073046+0.00019739i,-0.00020589+0.0010954i,0.00039465+0.0017061i,0.0015275+0.0014169i,0.0018429+0.00015296i,0.0007868-0.00040157i,-0.00052616-0.00052151i,-0.00069993-0.00014884i,-0.00044528+1.9752e-05i,-0.00062181+0.0005654i,-0.00055518+0.0004109i,-8.7091e-05-0.00028206i,0.00025914-0.00067535i,0.00062166-0.001145i,0.0012203-0.0012283i,0.0012432-0.00085487i,0.00022434-0.00027964i,-0.00016475-3.222e-05i,7.3268e-05-0.00039i,0.00033872-0.00030981i,0.00030665+0.00016966i,0.00014644-9.1176e-06i
0.00027177+0.0014484i,-0.00012911+0.0017282i,0.0001286+0.0020667i,0.00084829+0.0016524i,0.001255+0.0007977i,0.00056395-0.00081738i,-0.00051137-0.0012195i,-0.00037536-0.00027021i,0.00018778+8.0102e-05i,-0.00023546-0.00037663i,-0.00055941-0.00037553i,-0.00032074+0.00022079i,-0.0002944+0.00049503i,-6.8166e-05+0.00017782i,0.00030849-0.00028791i,0.0005282-0.0005724i,-0.00012722-0.00077978i,-0.00033177-0.00055001i,-2.1769e-05-0.00019902i,-8.8327e-07-0.00029428i,-3.2185e-05+4.2273e-05i,0.00023835+0.0002373i,-0.00020991-0.00018804i
0.00067561+5.8979e-05i,-0.00079615+0.00074915i,-0.00029574+0.0010595i,0.0010236+0.0012287i,0.0018308+0.00032732i,0.0010776-0.00055099i,-3.2816e-05-0.00019428i,0.00033293+0.0010166i,4.6411e-07+0.0013155i,-0.00089684+0.0008236i,-0.00057769+0.00047995i,0.00058864+0.00073814i,9.2365e-05+0.0007008i,-0.00069798+5.6495e-05i,-0.00034218+5.764e-06i,-0.00062417-0.00048952i,-0.00058926-0.0008437i,-0.00037862-0.00074558i,-0.00041681-0.00080961i,-0.00025629-0.0005105i,0.00019756-0.00040551i,0.00058588-0.00015265i,0.00039806-0.00057709i
0.00036894-1.7409e-05i,-3.6405e-05+0.00080089i,4.9107e-05+0.00086546i,-2.6309e-05+0.00086304i,0.00031539-3.3878e-05i,0.00068143-0.00014202i,0.00040961+0.00065739i,0.00036638+0.0007903i,0.00055719+0.00027995i,-7.4296e-05+0.00022164i,-0.00030888+0.00042363i,-2.44e-06+0.00058674i,-0.00047645+0.00095584i,-0.00054205+0.0011813i,-1.5128e-05+0.00045816i,0.00068332-0.00057814i,0.0015128-0.00074557i,0.0010359-0.0011486i,-0.00022576-0.0011248i,-0.00026665-0.00041424i,6.5567e-05+0.00024362i,0.00023623+0.00048391i,0.00026433-0.00010421i
-0.0013477+0.000709i,-0.00094755+0.00065913i,0.00017574+0.0013452i,0.0013391+0.0018511i,0.0019816+0.00034869i,0.0011846-0.00088214i,0.00046049-0.00033805i,0.0011278+0.00047563i,0.0014972+0.00075235i,0.0010629+0.00048551i,-0.00010552-6.5352e-05i,-0.00052697+1.2734e-05i,-1.4604e-05+0.00065368i,0.00046748+0.00073107i,0.00044681+0.00042595i,0.00036327+0.00040421i,0.0004767+0.00033801i,5.3655e-05-7.4868e-06i,-0.00060474-0.00070698i,-0.00030771-0.00031212i,9.8403e-05+0.00048988i,0.0008987-0.00031447i,0.0015822-0.00068365i
-0.0021267+0.00094811i,-0.0013414+0.0014006i,-0.00010223+0.0021102i,0.00085054+0.0020391i,0.0020844+0.001418i,0.0017358-0.00022743i,0.00078867-0.0017843i,0.00019248-0.0015052i,-0.00038828-0.00036647i,-0.00077353+0.00021457i,-0.00097626+0.0011365i,-0.00029191+0.00089931i,-0.00016725+6.8547e-07i,-0.00047098+0.00029055i,-3.3453e-05+0.00053312i,-3.1383e-05+9.234e-05i,-0.00011893-0.00050133i,-0.00022019-0.00045036i,-0.00034508+6.1154e-06i,0.0003774+0.0007458i,0.00041424+0.00070651i,0.0003807+0.0006331i,0.00064286+0.00058813i
-7.308e-05-0.00087001i,0.00040381-0.00053984i,-6.8624e-05-3.9331e-05i,-9.6053e-05+0.00029111i,0.00050589+7.1937e-05i,0.00018327-0.00055824i,-0.00049592+0.00029524i,-0.00055229+0.00022291i,-0.00058758-0.00099296i,-0.00067869-0.0010495i,-0.00029384-0.00046251i,0.00042562+0.00015507i,0.00069218+0.00071113i,0.00086588+0.00030326i,0.00052224-0.00025259i,-0.00018206-0.00050209i,-0.00032496-0.00044442i,-0.00039511-0.00054633i,-0.00048892-0.00088836i,-0.00032848-0.00030895i,-0.00011004+0.00061073i,0.0003331+0.00032963i,0.00032343-0.00015069i
-3.7247e-05+0.00063333i,-0.0013905+0.0016953i,-0.0019872+0.0017026i,-0.00062396+0.001045i,0.00061885-1.2801e-05i,0.00069656-0.00075596i,0.00089416-0.00042248i,0.0011879+3.6163e-06i,0.00068341-0.00050368i,-0.00020382-0.00019122i,-0.000858+0.00063998i,-0.00072508+0.00052058i,0.0002527+0.00081599i,0.0010134+0.0005085i,0.00069862-0.00049602i,0.00046595-0.00053193i,0.00051395-0.00022498i,0.00041978+0.00017078i,0.00050733+0.00019276i,0.00025858+8.7387e-05i,-0.00024641+0.00046222i,-0.00014329+0.00054108i,0.00018805+0.00032946i
-0.00052321-0.00061831i,0.00025227+0.00029714i,0.00063208+0.00071757i,0.00026971+0.00043182i,0.00028637-0.00051962i,0.00028957-0.0010156i,0.00054008-0.0005653i,0.00095456+0.00011409i,0.0010768-0.00016687i,0.00078119-0.00072768i,0.00036992+0.00012076i,0.00010745+0.00012377i,6.8308e-05-0.00075918i,0.00055107-0.00039247i,0.0010355-0.00010293i,0.00062716-3.611e-06i,0.0001297+0.00031426i,4.7385e-05+0.00045282i,0.00066781+0.00056315i,0.00071051+0.00024081i,0.0010196-0.00012952i,0.0010384-0.0002098i,0.00042075+0.0002799i
0.00049458-0.00012046i,0.00045191+0.00022666i,0.00026548+0.00099963i,0.00094595+0.00036636i,0.0010428-0.0005243i,-0.00030442-0.0013347i,-0.0010354-0.0010215i,-0.00079263-9.2186e-05i,-0.00023895-0.0003022i,0.00010466-0.0002789i,-0.00021064-0.00025143i,-0.00025205+0.00013392i,0.00029961+0.00055726i,0.0010551+0.00059129i,0.00089672+0.001018i,0.00089836+0.00057701i,0.00065796-0.0002934i,0.00041619-0.0003248i,0.0010816-4.0894e-05i,0.0011388-0.0003668i,0.00030026-0.00049793i,2.0883e-05-0.00040835i,-0.00038663+0.00014527i
