-0.0016569+0.00045078i,-5.0301e-05+0.00021646i,-0.00075011+0.00048149i,-0.0008662+0.00027009i,-0.00059515+0.0014652i,-0.00067006+0.0020583i,-0.0006518+0.0022142i,0.00024978+0.00287i,0.00073864+0.0023122i,0.0011655+0.0012507i,0.0014087+0.00051832i,0.00082093+3.2924e-05i,0.00038093-8.2856e-05i,0.00052483-0.00016361i,-2.5396e-05-7.9e-06i,-0.00050484-0.00023741i,3.7232e-05-0.00098947i,0.00054949-0.00065623i,0.00039097-0.00025004i,-0.00041632-0.00096902i,-8.1686e-05-0.0011182i,0.00037672-0.00078261i,7.9479e-05-0.00041032i
0.00049469-0.00046294i,0.0022556+0.00027565i,0.0022668+0.00044584i,0.00095363+1.0176e-07i,0.00074264-0.00038632i,0.00046355-0.00077546i,-0.00033655-0.0010192i,-0.00045898-0.0012107i,-0.00097069-0.00063176i,-0.0012296+0.00028854i,-0.00052094+0.00058523i,0.00033045+0.00025014i,0.0010051+9.8352e-05i,0.0005835-0.00033297i,0.0008407-0.00032732i,0.0015325-0.00032836i,0.00059583-0.00046379i,-0.00059614+0.00029142i,-0.001147+0.00099i,-0.0013988+0.00057922i,-0.00075309-0.0001741i,-0.00037744-0.00055699i,-0.00037708-8.2359e-05i
0.00034354+0.0025175i,0.0006152+0.0026489i,0.0006252+0.0015532i,0.00051928-0.00010108i,0.00019713-0.0012533i,-5.0752e-05-0.0017381i,-0.0002351-0.0019896i,-0.00019653-0.0011101i,-8.8168e-05+1.475e-05i,0.00012073-0.00052388i,0.00034723-0.00080754i,-0.00013851-7.964e-05i,-0.00062857+0.00025915i,0.00035568+0.00027646i,0.0014364+0.00041674i,0.0012515+0.00030312i,0.00075502+0.00010982i,0.00089087-4.6588e-05i,0.00067806-0.00013581i,0.00065978+0.00023924i,0.0011207+0.00065988i,0.001025-2.0718e-05i,0.00039682-6.3034e-05i
0.0010054+0.0016016i,0.00056159+0.0019111i,0.00038106+0.0017068i,0.00021567+0.0015023i,0.00034827+0.00084722i,0.00046945+0.00036253i,0.00047485-2.27e-05i,0.00010726-0.00036441i,-0.00020365+2.4872e-05i,0.00026673+0.00066927i,6.9263e-05+0.00092001i,-0.00010922+0.00041088i,0.00082582+0.00047823i,0.00071118+0.0010518i,0.00050282+4.4049e-05i,-0.00021395-0.00028084i,-0.0011074+0.00029932i,-0.00055168+0.00020571i,4.7114e-05+0.0003915i,0.0003298+0.0005279i,1.2846e-05-0.00044164i,2.3704e-05-0.0007557i,5.1116e-05-0.00036397i
0.0010234+0.0012715i,0.0024817+0.0010351i,0.0026584+0.00057838i,0.0014364+0.0004941i,-7.5583e-05+0.00097051i,-0.00076708+0.0010198i,-0.00040206-1.6664e-05i,-1.5917e-05-0.00078576i,0.00011894-0.00050101i,0.00068729+0.00024932i,0.0011938+0.00074705i,0.00058491+0.00036078i,0.00014238+3.9258e-05i,0.00031033-0.00024692i,6.2222e-05+0.00018095i,-0.00013687+0.00044226i,0.00071767+0.00018841i,0.001351-0.00010447i,0.00094614-0.00041522i,0.00065827-0.00039691i,-0.00027003-0.00039975i,-0.0014464-0.00090334i,-0.0013656-0.00053651i
0.00066557+0.00095854i,0.00051287+0.0012639i,-0.0015965+0.0010301i,-0.0027103-0.00024816i,-0.0020902-1.7836e-05i,-0.00013642+0.0002861i,0.00067946-0.00075669i,6.6471e-05-0.00060855i,-0.00046954+8.4246e-05i,-0.00014623+0.00092333i,0.00019735+0.0012616i,0.00025021+0.00036437i,0.00027337-0.00049525i,0.00037275-0.00030836i,0.00071266-0.00015097i,0.00077906-0.00077279i,0.00094903-0.00075614i,0.00071421+0.0001346i,-0.00025137+0.00073023i,4.5697e-05+0.00065006i,0.00024926+1.8478e-05i,0.00032182+0.00032071i,0.00072272+0.00076177i
0.0014507+0.00019949i,0.0011436+0.00081022i,0.0007576+0.00028815i,0.00044781-0.0004236i,-0.00023134-0.0010293i,-0.000317-0.00015897i,0.00030399+0.00051934i,0.00079968+0.0001371i,0.00067865+2.4482e-05i,0.00019094+0.00017745i,-0.00040043+0.00031652i,-0.00039456+0.00048282i,-4.3447e-05+0.001203i,0.00032655+0.0014371i,0.00083499+0.00087718i,0.0011656-0.00015212i,0.00077796-0.00054113i,1.0575e-05+0.00019298i,-0.00038337-0.00030167i,5.3062e-05-0.0011683i,0.00061799-0.0010189i,0.00029156-8.4382e-05i,-0.00056083+0.00038262i
0.001392+0.0008022i,0.0012799+0.0011704i,0.00041712+0.0006668i,-0.00077563-0.00062695i,-0.00038111-0.00084354i,0.00075907-0.00024679i,0.00075246-0.00038186i,0.00016723-0.00092337i,0.00013213-0.00068104i,0.00063659-0.00042758i,0.0010406-0.00015897i,0.00063301+0.00054289i,-1.167e-05+0.00075467i,-0.000189+0.00027931i,-0.00026623-0.00027258i,0.00022272+0.00026373i,0.00017152+0.0012651i,0.00011631+0.0018409i,0.00049542+0.001504i,0.00052163+0.00086778i,0.00091701-5.5342e-05i,0.00091949-0.00047809i,0.00067059+8.3184e-05i
0.00082989-0.00062443i,0.00039691-0.00025254i,0.00029352-0.0012321i,2.6294e-05-0.0030339i,-0.00059352-0.0026009i,-0.00014717-0.00090075i,0.00064032+8.6564e-05i,0.0010404+0.00040321i,0.00053489+0.00024116i,8.3669e-05-8.4521e-05i,-0.00024059+0.00048481i,-0.00045229+0.00047094i,0.00014358-0.00043259i,0.00073648-0.00039632i,0.0012835-0.00024595i,0.001422-4.574e-05i,0.0011111+0.00024186i,0.00083627+0.00022606i,0.00041309-8.8625e-05i,0.00078046+3.4213e-05i,0.0012047-0.00016627i,0.0006114-0.00051517i,-0.00041642-2.8732e-05i
0.0024816+0.00023699i,0.0023768-0.0010279i,0.0021125-0.0024237i,0.00091943-0.0022265i,-0.0011138-0.0015857i,-0.0020473-0.0016126i,-0.0012292-0.00060965i,-0.00058756+0.00018153i,-0.00074645+3.6328e-06i,-0.000992+7.1853e-05i,-0.00030642+0.00036464i,0.00034957+0.00060971i,0.00030883+0.0003957i,0.0008914+0.00010828i,0.00096015-2.6247e-05i,-0.0003356-0.00030253i,-0.00044203-0.00080113i,0.00034184-0.0011443i,0.0002909-0.00037454i,0.00012608+0.00068107i,0.00021739-0.00016689i,-7.4208e-06-0.00072785i,-0.00020388-0.00043538i
-0.00091688+0.0025311i,0.00014554+0.0023949i,0.001806+0.0030884i,0.0026079+0.0023268i,0.0020253-0.00013396i,0.0008631-0.0011663i,0.00012576-0.00075957i,2.7429e-05-0.00020948i,7.26e-05+0.000167i,-0.00016186+9.7466e-05i,-6.7795e-05-0.00035289i,-8.8135e-05-0.00050301i,-0.00035539-0.00027869i,-0.00068065+0.00040948i,-0.00074882+0.00056248i,-0.00088175+0.00059808i,-0.00082603-0.00021142i,-0.00031762-0.00074227i,1.6468e-05-0.00085176i,0.00020805-0.00057231i,9.4322e-05+0.00076628i,-0.00050841+0.00043672i,-0.00075876-0.0003604i
0.00018875+0.00076103i,0.00060478+0.00057935i,0.00012178+0.00088484i,-8.405e-05+0.00070687i,-0.00030551-0.00062236i,-0.00015909-0.0014139i,-0.00013983-0.0013534i,-0.00050807-0.00084127i,0.00035416-0.00017237i,0.0012797-0.00013519i,0.0005349-0.00068965i,-0.00024147-5.2296e-05i,-0.0002384+0.00076036i,3.5557e-05+0.00041304i,-0.00022206-0.00070461i,-3.3409e-05-0.0011419i,0.00010957-0.0004991i,-7.2514e-05+4.2458e-05i,-6.8282e-06+0.00014314i,7.9133e-05-0.00022088i,0.00017841-4.5827e-05i,-0.00012356-1.7333e-05i,-0.00021972-0.00040781i
-0.00014887-0.00035039i,-0.0004296+0.00025881i,-0.00094204-0.00043938i,-0.001746-0.00010031i,-0.0021921+0.00048301i,-0.00029763+0.00030329i,0.0011364-4.3533e-05i,0.0010233+0.00040828i,0.00085065+0.0010695i,-0.00010195+0.00089982i,-0.00012267+0.00087517i,0.00041328+0.00049188i,0.00087505+0.00060912i,0.00090974+0.001206i,-0.00011891+0.00070586i,1.2481e-05-7.6392e-05i,0.00087917+8.8111e-05i,0.0007385+0.00021566i,-0.00016624+5.9143e-05i,-0.0002346-8.0167e-05i,-0.00021109+5.8676e-05i,-0.00069794-8.2568e-05i,-0.00096051-0.00034164i
