-0.0010021-3.5051e-05i,-0.00073441-0.0021894i,-0.0014697-0.0031709i,-0.00084606-0.0011912i,-0.00034344+0.0015691i,-0.00043253+0.0014569i,0.00016486+0.00052389i,0.00055138+0.00055421i,0.0012277+0.00019099i,0.0013709+0.00010679i,0.0011416-0.00064209i,0.00029085-0.00099556i,-0.0005276-0.00062848i,-0.00047505-0.00085387i,-0.00036787-0.0012956i,-0.00096158-0.00095155i,-0.00096352-0.00084473i,-0.000179-0.00064629i,0.0005538-0.0007808i,1.4893e-05-0.00092704i,-0.001049-0.0002278i,-0.00049454-0.00035592i,0.00017178-0.0004355i
-0.00018466-0.00049667i,-0.00034094-0.00095841i,3.541e-05-0.00062335i,-0.00021601+0.00024235i,3.1462e-05+0.00036018i,0.00084879-0.00059647i,0.0011268-0.00073774i,0.00035457-0.00029361i,-0.00025978-0.00013998i,-0.00025905+0.00011976i,-0.00019322+7.3519e-05i,-0.00027772-0.00083842i,-0.00046901-0.0016976i,-0.00048094-0.00093714i,-0.00014918+0.00016723i,-0.00011301+0.00010099i,0.00040666-0.0001956i,0.00055584-0.00018701i,-0.00021958-0.00057724i,-9.3482e-05-0.00082989i,0.00034496-0.00048905i,0.00021732-0.00015964i,5.463e-05+0.0010588i
0.00065137-0.0018235i,0.00063488-0.0029997i,-0.00091611-0.003019i,-0.0013752-0.0010671i,-8.7098e-05-0.00031236i,0.0011987-0.0005797i,0.0013815+0.00010613i,0.00073872+0.0002754i,0.00051786-1.2803e-05i,0.00029253-4.4765e-05i,0.00057479+0.00019694i,0.00079033+0.0001178i,7.6156e-05+0.00025093i,-0.00047248+3.2873e-05i,-0.00046986-0.00053401i,-0.00088576-0.00048563i,-0.00071-0.00017621i,-0.00055536-0.00014309i,-0.00059091-0.0010319i,1.3021e-05-0.00023234i,0.00081927+0.0012762i,0.00063527+0.0014177i,-7.2634e-05+0.0011415i
-0.00067128+0.0017805i,0.00020938+0.0015312i,0.00013462+0.001375i,-0.00025656+0.0012849i,0.00049324+0.0011844i,0.0012294+0.0004405i,0.0012061-0.00053273i,0.00067434-0.00081978i,0.00015135+2.2572e-05i,0.00018406+0.00035747i,0.00086567-0.00050113i,0.00038696-0.0011363i,-0.00037871-0.00129i,-0.0002787-0.00091679i,-0.00038342-0.00044107i,0.00018344+0.00012072i,0.00085813+0.00050011i,0.0007292+0.00047378i,-2.2632e-05+0.00025077i,-0.00029282-0.00012886i,-0.0002426+3.192e-05i,-0.00034701+0.0001298i,-0.00064054-0.00013446i
0.00026131-0.00043461i,0.00045434-0.0016742i,0.00069143-0.0017487i,-0.00015557-0.0008956i,-0.00054584+0.00023024i,-0.00028504+0.00020832i,-7.5972e-05+0.00028677i,0.00042686+0.00065493i,0.00033071+0.00038854i,-0.00064819-0.00011241i,-0.0013587-0.00083214i,-0.00044046-0.0008825i,0.00036974-0.00084457i,-9.9337e-05-0.00067052i,-6.0372e-05-0.00085372i,8.7624e-05-0.0013823i,7.4653e-05-0.00083861i,0.00049304-0.0011384i,-0.000114-0.0014816i,-0.00074364-0.00058742i,-0.00032611-9.7767e-05i,0.00067536+0.00025866i,0.00063692-0.00015557i
0.00057977-0.002136i,0.00011629-0.0014332i,0.0005132-0.0016911i,0.0003688-0.0021718i,0.00029731-0.0020076i,0.00061543-0.00029842i,0.00034033+0.00093173i,0.00013094+0.00057697i,-0.00041047-9.8e-05i,-0.00043126-9.2917e-05i,0.00018915+0.00014206i,0.00016479-0.00011034i,-0.00023489-0.00042831i,-0.0002329+3.5136e-05i,0.00041634-0.00045116i,0.00087645-0.00096086i,-5.542e-05-0.00037581i,-0.00065619-0.0006411i,0.00029919-0.00026578i,0.00035322+0.00031745i,-0.00057106+0.00016996i,-0.00083488-1.1108e-05i,7.0464e-05-8.0119e-05i
0.00086724-0.00075471i,1.327e-05-0.0019324i,-0.00040052-0.0012673i,0.00031033-0.00080454i,0.0014023-0.00077029i,0.0014457-0.00057827i,0.00050339-0.0010331i,0.0001132-0.00056556i,-0.0005174+0.00025628i,-0.00087066-0.00090093i,-8.5501e-05-0.0021037i,0.00045012-0.0013106i,-0.00020013-1.1049e-05i,-0.0013253+0.00031702i,-0.001537-4.8184e-05i,-0.001092+0.00042358i,-0.00010904+0.00097644i,0.00043903-3.7035e-05i,0.00034958-0.00083225i,0.00022904-0.0010135i,-0.00071521-0.0006479i,-0.001809-0.00014167i,-0.0012041+9.0558e-05i
-0.00027892-0.00081824i,0.00098769-0.00064084i,0.0014444-0.00026756i,0.00058854+0.00040524i,0.00021928+0.0010019i,0.00039045+0.0010554i,0.00016177+0.00041354i,-0.00027993-1.5556e-06i,0.00012855+7.4311e-06i,7.202e-05-8.8832e-05i,9.9356e-06-0.00073634i,5.134e-05-0.00086606i,-0.00063814-0.00087301i,-0.00079422-0.0002382i,-0.00086589+0.00046186i,-0.00050673+0.00014458i,-0.00010431-0.00067684i,-0.00021698-0.00079329i,-5.0776e-05-0.00034241i,-3.8762e-05-7.0493e-05i,-0.00019886+0.0005679i,-0.00040114+0.0007602i,-0.00042009+0.00098597i
0.00069425-0.0018348i,0.0014696-0.001766i,-0.00037949-0.00019401i,-0.0017524+0.0008526i,-0.0015402+0.0012025i,4.6575e-06+0.0009801i,0.0003852+0.00049233i,3.3724e-05+7.0918e-05i,-0.00060881-0.00029865i,-0.00073083-0.00019075i,-0.00071277-0.00024334i,-0.00048191-0.00029014i,-0.00017733-0.00022108i,-0.00033473-0.00015207i,-0.00051096+5.9188e-05i,-0.00074441-0.00024978i,-0.00080543-0.00062161i,-0.00099658-0.00099898i,-0.0009361-0.0010273i,-0.00014909-0.00066889i,0.00018265-0.00048036i,0.00012495+4.2138e-05i,0.00057575+0.00062255i
0.00029541-0.00014199i,0.00035558-0.0014554i,-0.00024297-0.0016407i,-0.00038223-0.00050119i,-0.00032218+0.00078389i,0.00059527+0.0010457i,0.0012256+0.00074566i,0.0010723+0.0003716i,0.0010978+0.00021524i,0.00026997-0.00029076i,-0.00038346-0.00076945i,-0.00012031-0.00061778i,0.00044553+8.1033e-05i,0.00059389+0.00011055i,0.0001082-0.0003492i,-5.9876e-05-0.00036094i,0.00020548-0.00049384i,0.00028489-0.00011478i,-0.00022764-0.00045568i,-0.00037174-0.00059848i,0.00040016+9.8206e-05i,0.00086756+0.00018503i,0.00070144-3.4536e-05i
0.0022508-0.00054848i,0.0024571-0.0013409i,0.0013471-0.0020228i,0.0001895-0.0013773i,-5.1824e-05-0.00012995i,0.00020522+0.00052522i,0.00016957+0.00066897i,0.00051344+0.00046524i,0.00051763-0.00011126i,0.00017852-0.00019479i,0.00011153+9.2395e-05i,-0.00035918-0.00012965i,-0.0007327-0.00028579i,-0.00061676-0.00035423i,-0.00049163-0.00010363i,0.00019684+8.7971e-05i,0.00055099+2.6644e-05i,-0.00041914+0.00019858i,-0.00026549-0.00076578i,0.00026026-0.0010047i,-0.0001724+8.4959e-05i,-0.0005437+0.00045847i,-1.3451e-05-7.0247e-06i
0.0012593+0.00074568i,0.00055341-0.00030312i,0.00021697-0.00073375i,0.00091366-0.00010773i,0.0016214-0.00049322i,0.0017418-0.00088638i,0.0012589+2.1584e-05i,0.00063928-0.00042063i,0.00040575-0.0014508i,0.000291-0.0012703i,0.00013963-0.00041532i,-0.00026134+0.00020678i,-0.00039041-4.8453e-05i,-0.0001408+0.00012724i,-3.5566e-05+0.0010029i,-0.00012408+0.0011962i,2.3378e-05+0.0013453i,0.00027368+0.00076231i,0.00053515+7.9201e-05i,0.00079076-0.00011108i,0.00010516-0.00056555i,-0.00032655-0.00047307i,-0.00022746-0.00013299i
0.0014732-0.0014553i,0.001033-0.0011044i,0.0010134-0.00040278i,-5.3368e-06-0.00020207i,-0.00074852-0.0009369i,-0.0003023-0.00059714i,0.00015859+0.0010658i,0.00011443+0.00098661i,0.00025037-0.00015958i,-0.00029686+2.5669e-05i,-0.00074839+0.00065036i,-0.00054425+0.0002749i,-0.00038091-0.00016225i,-0.00046225-0.00024375i,-0.0011645+7.119e-05i,-0.00080853+0.00045235i,-0.0001004+0.00019886i,-0.00030174-0.00025403i,-0.00042322-4.9556e-07i,0.00019682+1.9567e-05i,0.00065916+0.00023719i,0.00033651+0.00029472i,7.1187e-06-7.036e-05i
0.00017024-0.00079664i,-4.9187e-05-0.00056226i,-0.00046027+0.00045095i,-0.00095145+0.00046461i,-0.00021073+0.00048041i,0.00082654+0.0007692i,0.0013261+0.0011877i,0.00045746+0.00039216i,-0.00066774+1.2356e-05i,-0.00024502-6.2529e-05i,0.00027564-7.5175e-06i,0.00022493+0.00036281i,-0.00035666-0.00032299i,-0.000987-0.00086646i,-0.00099703-0.00074049i,-0.00069677-0.000288i,-0.00031964+0.00031185i,-6.6366e-05-4.6098e-05i,5.8518e-05-0.00033438i,-1.995e-06+0.00014443i,-0.00037425-3.5864e-05i,-5.6909e-05-0.00055776i,-3.4403e-07+7.4508e-05i
0.00046094-0.00027202i,0.000559-0.0015718i,-0.00089499-0.0009954i,-0.00077869-0.00020094i,0.00090775+0.0004125i,0.0017018+3.7002e-05i,0.00061827-0.000544i,-0.00063919-0.00042139i,-0.0008719-0.00053723i,-0.00053875+0.00049618i,-0.00022441+0.00093431i,-2.2132e-05+0.00066578i,-3.8755e-05+0.00067042i,-0.00061538+0.00043445i,-0.00031843-0.00050246i,-0.00012706-0.000587i,-0.00086423-0.00063029i,-0.00094502-0.0010731i,-0.00057427-0.0012745i,-0.00024885-0.0011501i,0.00029452-0.00026993i,0.00047247+0.00027245i,-0.00011012-0.00010115i
0.00033219-0.00039142i,-0.00011009-0.001569i,-0.00017147-0.00092626i,-0.00024337+0.00035546i,0.00024158+0.0010409i,0.00073088+0.00082173i,0.00061171+0.00032874i,-8.8396e-05-3.2582e-05i,-0.00049711-0.0005279i,-0.00053983-0.0012249i,-0.00026661-0.00076053i,-3.3742e-05-0.00035612i,3.6535e-05+9.2127e-05i,-0.00019674+0.0011747i,-0.0010833+0.00077201i,-0.0012967-7.3657e-05i,-0.00088769-0.00016209i,-0.00082853-3.6947e-05i,-0.00036614+8.7795e-05i,-0.00018278+0.00041406i,-0.00043959+0.00022052i,-2.1866e-05-9.2334e-06i,0.00048007-0.00042022i
0.00052807-0.00067587i,-0.00010658-0.0004593i,-0.00047158-0.0011663i,-0.00096098-0.00063472i,-0.000862+0.00078288i,0.00019857+0.00052381i,0.00073273+0.00027314i,0.00015237+0.00015447i,-0.00015078-0.00022663i,-0.00033828-0.00048136i,-0.00046334-0.00085811i,0.00011597-0.00093736i,0.00031715-0.00033052i,-0.00095317-0.00028423i,-0.0010532-0.0007876i,-0.00039139-0.00050092i,-0.00047547-0.00024563i,-0.00035696-0.00066317i,-0.00058105-0.00088076i,-0.00084997-0.00092146i,-0.0004638-0.00063923i,-0.00044018+0.00029802i,-0.00022204+0.00021979i
-0.00096278-0.00099769i,-0.0011389-0.00070211i,-0.00087662-3.7593e-06i,-0.0011545+0.0010526i,-0.00043588+0.0014531i,8.2562e-05+0.0013023i,0.00013908+0.00040288i,0.00079088-6.0083e-05i,0.00078011+0.00028926i,-7.6388e-05+0.00026731i,-0.00031796-0.00023234i,0.00010157-0.00031894i,0.0002289-0.00083068i,-0.00032474-0.00077512i,-0.0009925-0.00019853i,-0.0014778-0.0006201i,-0.0010351-0.0008256i,-0.00069762-0.00042426i,-0.0011191-3.3516e-05i,-0.0011983+0.0002878i,-0.0012213+0.00030233i,-0.0011601+0.00026571i,-4.2604e-05+0.00039154i
0.0015757-0.00092936i,0.0019384-0.0013468i,0.0010684-0.0012333i,0.00073648-0.00082149i,0.00083577-0.00024628i,0.00084718-0.0002347i,0.00070583+0.00012811i,0.00010354+0.00046384i,-0.00040532+7.6864e-05i,-0.00051075-9.2737e-05i,-0.00084375-0.00016098i,-0.00083016-0.00029863i,0.00012848-8.528e-05i,0.00063626+0.0006291i,5.4443e-05+0.00053035i,5.8637e-05-7.5696e-05i,-2.8536e-05+3.4055e-05i,-0.00023257+0.00052033i,0.00011851+0.00045709i,-0.00018703+7.6862e-05i,-0.0008303-0.00012812i,-0.00098009-0.00023263i,-1.6822e-05-0.00020467i
0.0007177-0.0011813i,0.00014689-0.0017949i,-0.00018598-0.0019024i,-0.0011544-0.00082918i,-0.001322+0.00048337i,-0.00041265+0.0006413i,0.00028735+0.00073596i,0.00076914+0.00016965i,0.00090918-0.00028179i,0.00028222-8.1132e-05i,-0.00040528+0.00027382i,-0.00072204+0.00063521i,-0.00012047+0.00077558i,-0.00014033+0.00016471i,-0.00043926-0.00063555i,-3.6281e-05-0.00040995i,0.00029161-0.00042558i,-0.00051938-0.00033901i,-0.0013384+0.00049872i,-0.00098588+0.00074057i,-0.00050326+0.0010725i,-0.00055333+0.0013099i,-0.00041175+0.00012591i
0.00073662-0.0023123i,0.00090484-0.0019782i,-0.0002767-0.0015399i,-0.00034635-0.0011701i,-6.1691e-05-0.00093685i,-0.00065412-0.000215i,-0.00028722+0.00026889i,0.00012903+0.00016021i,7.9023e-05-2.2142e-05i,-0.00073336-0.00015597i,-0.0011153-4.1701e-05i,-0.00049781+0.00031037i,5.0134e-05+0.00034922i,0.0007446+0.00042675i,7.7316e-05+0.0005791i,-0.00055248+0.00066487i,-7.0959e-05+0.00035002i,-2.8503e-05-0.00024983i,-0.00048222-0.000822i,-0.00056043-0.0011048i,-0.00077478-0.0012741i,-0.00091364-0.00092703i,-0.00081032+0.00021022i
0.00088098+0.00057352i,0.00073789-0.0007328i,-0.00063228-0.0015252i,-0.00047245-0.00098804i,0.00017527+0.00035734i,-2.6133e-05-0.00013602i,0.00054824-0.0011214i,0.00042115-0.0013586i,0.00011335-0.00063471i,-3.2856e-05+0.0001727i,-0.00010097-0.00031391i,0.00054356-7.1413e-05i,-8.335e-05+0.00072937i,-0.00047627-5.7754e-05i,0.00051865-0.00010445i,5.8612e-05+0.00072227i,-0.00019531+0.00056901i,-5.7601e-05+5.3899e-05i,-0.00043294+0.000175i,-0.0002687-0.00029666i,0.00020848-0.00023857i,0.00076475+0.00046257i,0.00050103-3.969e-05i
0.003278+0.0014042i,0.0025255-0.00093418i,0.00097895-0.0031803i,-0.0001443-0.0025835i,0.00031158-0.00118i,0.00061128-0.0003996i,0.00057754+0.00016529i,0.0008636+0.00035706i,0.00047395-0.0002734i,9.9556e-05-0.0012111i,-0.00021783-0.0016558i,-0.00011728-0.0014037i,-0.00037828-0.00038551i,-0.00049911+8.0428e-05i,-0.00032083+0.00028997i,-0.00034443+0.00060117i,1.8558e-05+9.5131e-05i,0.00046534-0.00082018i,0.00037375-0.0014355i,-4.0979e-05-0.00083076i,-0.00026015+2.0638e-05i,-0.00039844+0.00067773i,-0.00066072+0.001166i
-0.00027698-0.0023038i,-0.00010279-0.0024991i,0.00012874-0.0013195i,-0.0011419+0.0011236i,-0.0014514+0.002073i,-8.4275e-05+0.001016i,0.0004708+0.00077791i,0.00010432+0.0013097i,-4.672e-05+0.00099189i,-0.00016296+0.00077568i,-0.000305+0.00038719i,0.00027908+0.00041812i,0.00010847+0.00037938i,-0.00047646-0.00034448i,-0.0003534+1.3665e-05i,-6.6613e-05+0.00080694i,8.4035e-05+0.00096124i,0.00032067-1.1577e-05i,0.0004688-0.00092241i,2.8095e-05-0.00054739i,-0.00037721+7.8502e-05i,0.00019038-0.00010149i,0.00014346-0.00034i
0.00069111+0.00086583i,0.00076879+0.00020273i,0.0013734-0.00040536i,0.001116-0.00089301i,0.00051381-0.0010022i,0.00073242-0.00030925i,0.0010315+0.0002411i,0.00074815+3.5776e-05i,0.00043409-6.8099e-07i,-0.00010479+0.0002184i,-0.00079447+0.00011264i,-0.00021509-0.00044444i,0.00083693-0.00012388i,0.00056963+0.00074674i,0.00014575+0.00016431i,-0.00017843-0.00014008i,-0.00072036-0.00049041i,0.00023698-0.00051388i,0.00070847-0.0001381i,0.00026946-0.00057281i,0.00051588-0.00046713i,0.00022868+0.00017401i,-0.00062819+0.00026035i
0.0021815+0.00068514i,0.0016695-0.00051605i,0.001188-0.00039811i,0.0014554-0.00042712i,0.0015112-0.00063878i,0.00042226-6.8253e-06i,0.00063316+0.00044441i,0.00074193+0.00041895i,0.00019697+0.00031983i,0.00014406+6.5129e-05i,-0.00020813-0.00091046i,-0.00042666-0.001061i,-0.00035396-0.00036324i,-0.0007775-3.0413e-07i,-0.00019855+0.00044382i,0.0001188+0.0011778i,-0.00015598+0.00095925i,-8.22e-06-0.00018367i,-0.00014631-0.00041692i,-0.00017199-0.0001689i,0.00013291-0.00064394i,0.00010372-0.00066016i,-0.00033739-0.0001454i
0.00039987+0.00076019i,0.0011371-0.0013449i,0.0021174-0.0025334i,0.0020175-0.0013492i,0.0010481-0.0001131i,-0.00016195-3.4586e-05i,1.7418e-05+0.00051156i,0.00045365+0.0018458i,0.00083212+0.0010782i,0.000963-0.0002193i,-4.1209e-06-0.0003682i,-0.0011339-0.00070396i,-0.001055-9.2292e-05i,-0.0005878+0.00082673i,-6.9469e-05+0.0016644i,5.6279e-05+0.0014528i,-0.00043618+0.00042119i,-0.00088781-1.1424e-05i,-0.0003687+1.4778e-06i,0.00035833-0.00012583i,-0.000136-0.0002883i,0.00010139+9.4153e-05i,0.0011129+0.00034344i
0.00092029-0.0023806i,0.00052307-0.0028845i,-0.0015202-0.0025997i,-0.0020057-0.001006i,-0.001323+0.00031504i,-9.9145e-05+5.1207e-05i,0.00014151-0.00075329i,-0.00052943-0.00066216i,-0.0010886-0.00034293i,-0.0014786-0.00048451i,-0.0012235-0.00059721i,-0.00043163-0.00072222i,0.00019007-0.0010084i,-0.00080918-0.0010581i,-0.0015157-0.00034666i,-0.00086399+0.00074789i,-0.00024066+0.00094383i,0.00021815+1.5202e-05i,0.00027232-0.00055458i,-2.7263e-06-0.00042347i,9.8944e-05-0.00081033i,0.00016453-0.00053511i,-0.00020315+0.0001655i
0.0022488+0.00010724i,0.0012169-7.7901e-05i,-0.00040991+7.8377e-05i,-0.0013036+0.00027127i,-0.00060793-7.2104e-06i,0.00034027-0.00017158i,8.3698e-05+0.00024712i,-0.00023279-0.00014518i,-0.00051031-0.00026567i,-0.00090723-0.00067406i,-0.00029356-0.0016167i,-6.0822e-05-0.0016709i,-0.00013272-0.00018096i,-0.00046992+0.00078139i,-0.00072711+0.00083332i,-0.00057259+0.00079552i,-0.00061813+8.3237e-05i,1.9007e-06+0.00015428i,0.00011801+0.00041086i,-0.0001568-9.7141e-05i,-0.00032637-0.0002666i,-0.00019513+0.00030856i,0.00041589+0.00052791i
-0.0011139+0.00011388i,-0.00093639+0.00050694i,-0.0017716+0.0012635i,-0.001156+0.0015313i,0.00016087+0.0014413i,0.00081742+0.0011171i,0.00090784+0.00016465i,0.00084375-0.00071661i,8.6918e-05-0.00070969i,-0.0002945-0.00023561i,-9.9681e-05-0.00087894i,-9.4192e-05-0.0018683i,-0.00020449-0.0012113i,-0.00013471+7.1648e-05i,-0.00012428+0.00026211i,-0.00035518+0.00034046i,-8.07e-05+0.0010625i,-8.9747e-05+0.00052736i,-0.00024916-0.00024365i,-0.00045765+0.00043467i,-0.00039515-3.2045e-05i,5.3151e-06-0.0006594i,-2.651e-06-0.00040651i
0.00014286-0.0010141i,-0.00010222-0.0023737i,-0.0015529-0.0011814i,-0.0017645+6.2341e-05i,-0.00072812+0.0010589i,-0.00047402+0.00181i,2.0206e-05+0.0012255i,8.8543e-05+0.00052067i,-0.00063735+0.00057457i,-0.00091746+0.00021736i,-0.00046394-0.00089047i,-0.00026993-0.0012685i,-0.0003679-0.00082516i,0.00024347-0.00061993i,0.00020296-0.0007752i,-0.00032763-0.00025007i,-0.000373-0.00020403i,-0.00011833-0.00057688i,-0.00040348-0.0001059i,-0.00063131-0.00026933i,0.00022631-0.00061619i,0.00092049-0.00055147i,0.00027939-0.00058817i
0.002241-0.0004278i,0.0033083-0.0015974i,0.0019789-0.0029322i,0.00032195-0.0036066i,-0.00041997-0.0029231i,-0.00013831-0.0010286i,0.00048057-4.8854e-05i,0.00067031-0.00033089i,0.00025733-0.00085997i,-0.0002224-0.00085103i,-0.00031975-0.00024669i,-0.00024169+0.00024984i,-0.00079091+0.0005263i,-0.00057877+0.00046946i,1.5361e-05-0.00025184i,-0.00038832-0.00036915i,-0.00039937+0.00017225i,-0.00016208-0.00028999i,1.4106e-05-0.00085388i,-0.00018877-0.00012829i,-0.00071914+0.00040513i,-0.00061019+0.00023108i,-0.0004914+0.00062883i
-0.00038792-0.00045202i,-0.0015728-0.0006214i,-0.0017269-0.00041371i,-0.0017729+0.0013088i,-0.0016036+0.0021045i,-0.00058654+0.0016962i,0.00041312+0.0011632i,0.00041756+3.5522e-05i,0.00021894-0.00045227i,-4.5813e-05+0.00022214i,0.00033055+0.00079396i,0.00069016+0.00012723i,0.00096633-0.00048925i,0.00068928-0.00037779i,0.00018423-0.00042484i,6.1202e-05+6.8689e-05i,-0.00026145+0.00014281i,-0.00082262+0.0001203i,-0.00029245+6.3793e-05i,0.000655-0.00016143i,0.00063331-0.00030141i,0.00059994-7.5819e-06i,0.00016782+6.5983e-05i
0.00013951-0.001792i,0.00026455-0.00084475i,-0.00082598+7.6361e-05i,-0.0018075+0.00061892i,-0.0015097+0.00065353i,-0.00029559+0.00019562i,0.00068967-0.00044403i,0.00065169-0.00036402i,-0.00015195-0.00035439i,-0.00094677-0.00050576i,-0.00039719-0.00097837i,0.00032449-0.00071424i,0.00012624-0.00014429i,-0.00028942-1.0015e-05i,-0.00037507+0.00035632i,-0.00019202+2.9075e-05i,-0.00039638-0.0010075i,-0.00081083-0.001243i,-0.00025083-0.0006444i,-0.00037202-0.00070369i,-0.0007725-0.00086494i,-0.00081808-6.6335e-05i,-0.00086284+0.00054304i
0.00038317-0.0011339i,-2.487e-05-0.0014443i,-0.0001898-0.0018978i,1.3011e-05-0.0019336i,-0.00064025-0.00074165i,-0.0013362+4.2823e-05i,-0.0014337+0.00052843i,-0.00073573+8.064e-05i,-0.00041876-0.00077882i,-0.00082505-0.00019903i,-0.00070746-0.00015579i,-0.00045866-0.00078431i,-8.6228e-05-0.00059278i,5.7094e-05-6.1038e-05i,-0.00060571+8.1908e-05i,-0.00025257+1.3475e-05i,-0.00022251-0.00031479i,-0.00075075-0.00066839i,-3.605e-05-0.00031294i,0.00019965+3.5172e-05i,-7.9767e-06+0.00045021i,0.00019712+0.00025298i,-0.00014888-0.00017598i
0.00093991-0.00041388i,0.0019139-0.0011707i,0.0018609-0.0014237i,0.00094814-0.00083612i,0.0010968+6.9568e-05i,0.00055665+0.00063335i,0.00011434+0.00069956i,0.00025079+0.00031071i,0.00042095-5.9816e-05i,0.00097779-9.7648e-05i,0.00087761-0.00024898i,0.00018961+0.00061523i,-0.0005064+0.0010421i,-0.00064697+0.00050202i,-0.00047942+0.00066757i,-5.1143e-05+0.00035668i,0.00051282-0.00030536i,0.00053015-0.00068325i,0.00027794-0.00084873i,0.00025738-0.00031973i,0.00018161+0.00029712i,-0.00054797+0.00066306i,-0.00097906+0.00026703i
0.00070261-0.0013932i,0.00087786-0.0023607i,0.00032141-0.002382i,-0.00036974-0.00050373i,-0.00065018+0.00047379i,-0.00012227-7.7867e-05i,0.0004478-0.00053268i,4.8919e-05-0.00041221i,-0.00083624-8.6677e-05i,-0.0010926-9.2442e-05i,-0.00072084+3.736e-05i,0.00019013+0.00023376i,0.00050944+0.00060865i,0.0001988+0.00096415i,-0.00048236+0.001029i,-0.00067284+0.00064596i,0.00029842+0.00045411i,0.00025492+0.0002821i,-6.0656e-05+9.8308e-05i,0.00010351-0.00069922i,-0.00038394-0.00088573i,-0.00061625+8.4586e-05i,-0.0005391+0.00041035i
0.00098789-0.002524i,0.0007117-0.0021576i,-0.0013751-0.0018836i,-0.0026561-0.00016714i,-0.0019846+0.0017869i,-1.3694e-05+0.0025145i,0.0012269+0.0012967i,0.00094038-6.6802e-05i,-3.3953e-06-0.00031382i,0.00019669+0.00028195i,0.00054723+0.00039969i,0.00035906-0.000163i,-5.779e-05-0.00081843i,-0.00023709-0.0010601i,-0.00025088-0.00025514i,-0.00036246+0.00024995i,-0.00067428-1.455e-05i,-0.00073606-0.00024485i,-0.00054431+0.00026079i,-0.00016756+0.00085357i,0.00029223+0.00024963i,0.00082306+0.00012986i,0.00099584+0.00049872i
0.001865-0.0018031i,0.0013129-0.0022954i,0.0008454-0.0025773i,0.00022424-0.0024796i,0.00013808-0.0016707i,-0.00012089-0.00089719i,-0.00030613+0.00034659i,0.00015506+0.00091422i,0.00022532+5.0127e-06i,-0.00060514-0.0007479i,-0.00041701-0.00079052i,-0.00024811-0.0010359i,-3.1845e-05-0.0011061i,0.0003046+0.00020465i,0.00046821+0.00093861i,0.00077901+0.00050602i,0.00042148-0.00035524i,-7.805e-05-2.5027e-05i,-0.00045569+0.00011719i,-0.0005143-0.00035459i,-0.00061099-0.00049012i,-0.00058817-0.00043569i,0.00010599-0.00044336i
0.0014835-0.0023803i,0.00027448-0.0020323i,-0.00063957-0.0009511i,-0.0011501-0.00072047i,-0.0011788-0.00046704i,-0.00050596+0.00049438i,0.00011955+0.00078589i,0.00080022+0.00063497i,0.0011842+0.00057304i,8.7141e-05+0.00026481i,-0.00068878-0.00064322i,-0.00060973-0.0010937i,-0.0004817-9.2756e-07i,-0.00010105+0.0011918i,5.2225e-05+0.00079592i,0.00020138+0.00079314i,-0.00031902+0.00063174i,-0.00059637-7.4766e-05i,-0.00036953-2.7768e-05i,-5.1869e-05-0.00029133i,0.00044601-0.00055855i,0.00046064-7.9649e-05i,0.00072411+0.0004569i
0.0025538-0.00068345i,0.0021802-0.001943i,0.00088071-0.0028456i,-0.00076691-0.0017159i,-0.0012713-0.00062621i,-0.000166-0.00014006i,0.00077406+9.8131e-05i,0.0005907+0.00023311i,-6.9282e-05-0.00023688i,-0.00069068-0.00072868i,-0.00096734-0.00047085i,-0.00063278+3.4338e-05i,-0.00023639-0.00083413i,6.992e-05-0.0022941i,5.5043e-05-0.001492i,-0.00076008+0.00018239i,-0.0012565-0.00049053i,-0.00052897-0.0010876i,2.4048e-05-0.00041646i,0.00012744-8.9233e-05i,5.9138e-05+2.0543e-05i,0.00019402+0.00021136i,9.1823e-05+0.00015614i
-0.00043308+0.0013922i,0.00063141+0.0010427i,0.00056855+0.0011154i,3.9245e-05+0.0014058i,0.00058377+0.0014046i,0.0012445+0.00038455i,0.00071932-0.00055326i,0.00011163-0.00023613i,0.00034147+3.742e-06i,0.00013803-0.00012216i,-0.00024753-0.00084395i,-0.0007677-0.0010167i,-0.0012111-0.0002853i,-0.001397+0.00032143i,-0.0013505+0.00046466i,-0.00092217+0.00043474i,-0.00061925+0.00031934i,0.00035684-0.00026599i,0.00087399-0.00050981i,0.00072415-6.0134e-05i,0.00074273+0.0006553i,0.00053661+0.00016294i,0.00040565-0.00021045i
0.0017191-0.00096459i,0.0010091-0.0014947i,-5.0726e-05-0.0014333i,-0.00029919-0.0019567i,-0.00043686-0.0019162i,-0.00049903-0.00053674i,-6.1731e-05+0.00049491i,0.00041622+0.00056352i,-0.00018389+7.3961e-05i,-0.00094911-0.00088469i,-0.00073847-0.00076181i,-0.00044705+0.00027315i,-0.00034251+0.00032499i,-0.00046467+0.00027586i,-0.00054237+0.00019961i,-0.00021444-0.00011582i,-0.0002408-0.00043831i,-0.00063894-0.00057677i,-0.00089622-0.00020331i,-0.00081933-0.00049228i,-0.00057457-0.00056552i,-0.0011785-3.4512e-05i,-0.0011972+8.4256e-05i
