-0.0039338-0.0017598i,-0.0037714-0.0023779i,-0.0032883+8.5766e-05i,-0.0019306+0.0026517i,-0.0014562+0.0019608i,-0.00089799+0.0013259i,-0.00060103+0.0016357i,-0.00028998+0.0016181i,9.0411e-06+0.0013634i,0.00041613+0.00086088i,0.0012126-0.00074552i,0.0015631-0.0023111i,0.00092114-0.0026379i,0.00015091-0.0023998i,-0.00043225-0.0017621i,-0.0006793-0.00092813i,-0.00043644-0.00059311i,-0.00029855-0.00050072i,-0.00030813-0.00021987i,-0.00062345+0.00019465i,-0.00095639+3.9785e-05i,-0.00081098-0.00054018i,-0.0004333-0.0004986i
-0.00038884+0.00045844i,-0.00016151+6.071e-05i,0.00085024-0.00069764i,0.0010152-0.00076815i,0.0012085-5.6549e-05i,0.0014678-0.00060214i,0.00057646-0.00096144i,-0.00056719+0.00039355i,-0.00071472+0.00080798i,-0.00045556+0.00079668i,0.00036402+0.00026442i,0.00084013+1.8072e-05i,0.00070564-2.8463e-05i,0.0008888-0.00066496i,0.00095396-0.0004192i,0.00059222+9.2639e-05i,0.00044527-9.9988e-05i,0.00032312-0.00015604i,-0.00015777+0.00040232i,-0.00016739+0.00053166i,-0.00037641+0.00026289i,-0.00057351+0.00027816i,0.00016459-0.00017274i
-0.001171+0.0025774i,-0.0017367+0.0034617i,-0.00038182+0.0034765i,0.0011401+0.0019303i,0.0013705-0.00021388i,0.00051371-0.0011551i,0.00014299-0.00053269i,0.00026287+0.00033272i,0.00059982+0.00050594i,0.00054648+0.00036765i,0.00010555+0.00054882i,-0.00029102+0.00021828i,-0.00020386-0.00048295i,-0.00051415-0.0013197i,-0.0012591-0.0014654i,-0.00094098-0.00051124i,-0.00017848+3.2174e-05i,-0.00080485+0.00025747i,-0.00095757-6.6986e-05i,0.00015972-0.00033765i,5.9605e-05+0.0003821i,-0.0003705+0.00066567i,-0.00038953+0.00052788i
-0.00048211+0.00011279i,-0.0014097-0.00083832i,-0.0018585-0.00053197i,-0.0008727+0.00031115i,0.00055446+7.1882e-05i,0.00096155-0.00041788i,0.00031809-0.00081307i,-0.00042329-0.00058176i,-0.00070464-0.00030667i,-0.00054664-0.00036217i,-0.00026376-0.00017649i,0.00054639+0.0003998i,0.0010886+1.3786e-05i,0.00021066-0.00028979i,-0.00046394+0.00018985i,-0.00029307-0.00023679i,-0.0003047-0.00097094i,-0.0004938-0.0014912i,-0.00046075-0.0013002i,2.8593e-05-0.0012273i,-0.00024625-0.00068097i,-0.00044801+0.00013913i,-9.2931e-05+9.2877e-05i
-3.5829e-05+0.0014335i,0.00016432+0.0016804i,0.0006945+0.00097522i,0.0012447+0.00060384i,0.0010125+0.00014369i,0.00059269+0.00034021i,-0.00038899-3.9184e-05i,-0.0012566-0.0004652i,-0.00093906-0.0003458i,-0.00038462-0.00012033i,-0.00059778+0.00035601i,-0.00071336-0.00030342i,-0.00049972-0.0008734i,-0.00059459-0.00020918i,-0.00092349+0.00034724i,-0.00034121+9.6717e-05i,0.00070284+0.00011102i,0.0012572-0.00039096i,0.00091238-0.0010235i,0.00034793-0.00029692i,0.00036831+0.0006502i,-0.00023128+0.00069606i,-0.0011099-0.00025871i
-0.0023989+0.00085382i,-0.0015088+0.0011031i,-0.0010499+0.00099124i,-0.00026537+0.00058292i,0.00060083+6.5583e-05i,-0.00011493-0.00029089i,-0.000724+1.0324e-05i,-0.0011917+7.7957e-05i,-0.0010884-0.00011201i,-0.00065429+0.00049197i,-0.00060381+0.00053051i,-1.6233e-05+0.00035667i,0.00060603-0.00011433i,0.00059843-0.0006107i,0.00048991+0.00038339i,0.00023468+0.00043271i,0.00010873-6.9177e-05i,0.00010856-0.00023427i,-2.3108e-05-0.00081358i,0.0001796-0.0011276i,0.00045637-0.00037558i,0.00056265+0.0001184i,0.00054183+0.00035974i
2.7509e-05+0.00032366i,-0.00028505+0.001121i,0.00026546+0.0012228i,0.00074363+0.00095684i,0.00038175+0.00017049i,0.00033919-0.0015607i,0.00062089-0.0015369i,3.6264e-05-0.00024705i,-0.0010565+0.00021293i,-0.0010675+0.00026472i,-0.00036748+0.00042905i,2.7527e-05+0.00053723i,-7.9806e-05+0.00024073i,-0.00055842+0.00052771i,-0.00080942+0.00041173i,-0.00062498+2.1997e-06i,-1.0661e-05+2.2402e-05i,0.00067771-0.00013575i,0.00068729-0.00017201i,-0.00016903-0.0003568i,-0.00097505-0.00091441i,-0.0002564-0.00043308i,0.00068022+0.00074672i
0.0002222-0.0010071i,0.00058758-0.0013032i,0.00096564-0.00018108i,0.00068102-7.6042e-05i,4.1543e-05-0.00093115i,-0.00040552-0.0012351i,-5.7303e-05-0.0012244i,-0.00015109-0.000297i,-0.0012826+0.00027303i,-0.00018355-0.00020176i,0.00042706+0.00054226i,-3.6527e-05+0.0011677i,0.0001594+0.00057813i,0.00047061+4.779e-06i,0.0001427+0.0001479i,-0.00050872+0.00036432i,-0.00079215+5.9779e-05i,-0.00086798-0.00074025i,-0.00050797-0.00078802i,-0.00043456-6.6905e-06i,-0.00042502+0.00042741i,5.6039e-05+0.0010513i,0.00095358+0.0012447i
-0.0010229+0.0024601i,-0.00071466+0.0016396i,0.00031397+0.00061923i,0.00075417-1.1266e-05i,0.0011463-0.00043656i,0.00052263-0.00097325i,-0.00041781-0.00097052i,-0.00055876-0.00014444i,-0.00087377-0.00046622i,-0.0009042-0.00068402i,-9.0963e-05-3.8242e-05i,0.00044637-0.00037032i,0.00068003-0.00083373i,0.00078055-0.00053825i,0.00046633-0.00022068i,0.0005882-0.00036292i,0.00063302-0.00089549i,0.0003028-0.0011972i,-0.00033348-0.0011187i,-0.0010286-0.00091532i,-0.00069088-0.00011051i,0.00038541-0.00028247i,0.0007232-0.00091548i
-0.0011314-0.0017186i,-0.0015511-0.00097707i,-0.0013694+0.00016955i,0.00039819+0.000143i,0.0013812-4.1674e-05i,0.00021008-0.00033158i,-0.001195-0.00084761i,-0.00073585-0.00061852i,0.00050057-7.5634e-05i,0.00060592+0.00028469i,-0.00038305+0.00044965i,-0.00010741-7.7417e-05i,0.0011151-0.00058631i,0.00122-0.00090323i,0.00039201-0.00066214i,-0.00027713+0.00015746i,-0.00091955-0.00023178i,-0.00037004-0.00042814i,-1.3293e-05-0.00028867i,-0.00068036-0.00079386i,-0.00082878-0.0012857i,-0.00092861-0.001465i,-0.00077824-0.0010775i
0.0015961-0.0019211i,0.0010905-0.0012354i,-0.00042373-0.0019767i,-0.00065836-0.0016654i,-0.00063348-0.0011955i,-0.00066739-0.00072545i,-0.0017831+0.00044056i,-0.0021489+0.00054554i,-0.0010619-6.7141e-05i,-0.00080129-0.00034407i,-0.00031203-0.00041663i,0.00048947-0.00062647i,0.00070259-0.00094321i,0.00065886-0.00079022i,0.00088183-0.00073423i,0.0004525-0.0006246i,-0.00052118-0.00043673i,-0.00028504-0.00049686i,-1.5851e-05-0.00010178i,-0.00023875-0.00048289i,3.248e-06-0.00078017i,0.00015571+0.0003361i,-0.00051081+0.00093765i
