-0.00017042+0.00071939i,-3.5988e-05+0.00024724i,-3.6256e-05-0.00061383i,-0.00032506-0.00023874i,-0.00074609+0.00054077i,-0.00028669+0.0013293i,-0.00025395+0.0016794i,-0.00082157+0.0016133i,-0.0012109+0.00084886i,-0.0012714+0.00028149i,-0.00062085+0.00053424i,0.00014807+0.00057296i,0.00023219+0.00059125i,-7.653e-05+0.00035261i,6.8926e-05+5.7358e-05i,-0.00012462+9.6878e-05i,-2.9586e-05-6.8443e-05i,0.00054211+0.00058155i,0.00034646+0.00044431i,-0.00019367-0.00047377i,9.7104e-05-0.00022541i,0.0003617+0.00061468i,0.00060804+0.001068i
0.0014649+0.0012393i,0.0012913+0.00067772i,0.0020019-1.2126e-05i,0.001532-0.00032252i,0.00047098+0.00021713i,0.00079907+0.00057853i,0.00046257+0.00062936i,-0.00054732+0.00073934i,-0.00037341+0.0012091i,-0.00014786+0.0014336i,-1.9578e-05+0.00047345i,-0.00032787-0.00040399i,-0.0008516-0.00037692i,-0.0002383-0.0002258i,0.00060671+0.00025057i,0.00047847+0.00039854i,0.00028797-0.00042153i,0.00013831-0.00082983i,0.00013096-0.00065306i,0.00031374-0.00048645i,0.00025913-0.00068982i,0.00035166-0.00074813i,0.00039729-0.00014911i
0.000661-0.00166i,0.00046787-0.0012947i,8.3708e-05+5.4255e-05i,-4.72e-05+0.00045602i,0.00075545+0.00021168i,0.00079927+0.00089295i,0.00055052+0.0012368i,0.00014927+0.00026101i,-0.00055683+0.00039364i,-0.0009972+0.00018479i,-0.0010845-0.0002732i,-0.00045247-0.0001976i,0.00028627+1.1907e-05i,-9.3335e-05+7.4085e-05i,-0.00038498-6.9806e-05i,-0.00019987-0.00023895i,0.00022987-0.00040281i,0.00053672-0.00021913i,0.00057105+7.4016e-07i,0.00023495+2.575e-05i,-8.2418e-05-8.3204e-05i,-2.4839e-05+7.7561e-05i,-5.3036e-05+0.00036064i
0.00068401-0.000528i,0.0004657-0.00052474i,-0.0012417-0.00082233i,-0.0019739-0.0003805i,-0.0018939+0.00021747i,-0.0016869+0.00014171i,-0.0014019-0.00055596i,-0.0010497-0.00055511i,-0.00042213+0.00086886i,-0.00051561+0.00088298i,-0.00044338-0.00017213i,-0.0002073-0.00028973i,-0.00066214+0.00051499i,-0.00058468+0.00068089i,2.2658e-05-0.00029725i,0.0008224-0.00068258i,0.0012716+0.00028043i,0.00029707+0.0006723i,-0.00041522+0.00017885i,-0.0004197+0.00060842i,-0.00045356+0.00064734i,0.00027454+5.7024e-05i,0.00075948+0.00030485i
-0.00043658+0.00092374i,-0.00015185+0.00097749i,-0.00040899+0.00030297i,-0.00043602-0.000374i,-0.00020199+0.0007454i,-0.00042643+0.00075211i,-0.00046438-0.00038378i,-0.00083328-0.00066776i,-0.00082865-0.00047982i,0.0001698+7.3271e-05i,0.00066267+0.00043727i,0.00044685+0.00051239i,7.462e-06+0.00016112i,-0.00038205-0.00035493i,7.7072e-05-0.0002613i,0.00098294-1.2694e-05i,0.001263-5.9046e-05i,0.0008942+0.00042766i,0.00019683+0.00056952i,-0.0005154-0.00049034i,-0.00089996-0.00072447i,-0.00062321-0.00014159i,-0.00058302+0.00018049i
0.0028073-0.0002359i,0.0027539-0.00065992i,0.0024279-0.0018491i,0.00073462-0.002195i,-0.00091179-0.00047269i,-0.0010553+0.00061428i,4.6306e-06+0.00074418i,0.00042717+0.0010265i,0.00029523+0.00065779i,-0.00016673+0.00011519i,-0.00082781+5.8831e-05i,-0.00036589+9.4213e-05i,0.00034457-0.00029499i,-0.00046487+1.2388e-05i,-0.00073911+3.6863e-05i,-0.001049-0.00040476i,-0.00066903-0.00029425i,0.00077236-0.00019359i,0.0011306-0.00028057i,0.0005351-8.1355e-05i,9.1852e-05+0.00044114i,2.5476e-05+0.00017818i,0.00042787+0.00012323i
0.0010276+0.00041194i,0.00020187-0.00088515i,-0.00056889-0.0014226i,-0.00059602-0.0010766i,0.00010669-0.00064456i,0.00099156-0.00038412i,0.0010126-0.00060464i,0.00081349-0.00020417i,0.00026335-4.9393e-05i,-0.00044574+0.00010705i,-0.00011235+0.00032344i,-8.6893e-05+0.00041544i,-0.00053515+0.00023447i,-0.00034155-0.00054294i,-0.00026939-0.0013745i,-0.00039191-0.00046431i,-0.00027967+0.00053552i,-0.00041419-4.3827e-05i,-0.00027471-0.00028783i,0.00032858+0.00078425i,0.00098776+0.00097636i,0.00077233+0.00011834i,-0.0005698-0.00067251i
0.00057064+0.00098012i,0.0015577+0.00068379i,0.0022646+0.00040656i,0.0014304+0.0010319i,-0.00021609+0.00062579i,-0.00091051-0.00023769i,-0.00080016+0.00026481i,-0.00012929+0.0005851i,0.0010642+0.00041993i,0.0010782+9.9031e-05i,0.0002015-0.00079873i,0.00012597-0.00064397i,0.00013606-0.00019503i,-2.1873e-05+4.039e-05i,-9.2992e-05+0.00038028i,-5.0861e-05+0.00028717i,-0.00052156+3.3592e-05i,-0.00069399+0.00014576i,-0.00041065+0.00078391i,-0.00031889+0.00088604i,0.00032754+0.0003474i,0.00080943+0.00025857i,0.00047282+0.00046655i
0.00083142+0.0026166i,0.0017525+0.001787i,0.0021304+0.0014151i,0.0022176+0.00035768i,0.0020522+7.9588e-05i,0.0010865-6.2303e-05i,0.00048441-1.0791e-05i,0.0011323+0.00014252i,0.0021942+0.00025948i,0.0017669+0.00078369i,0.0012326+0.00089803i,0.00068389+9.0005e-05i,0.00015783-0.00010028i,0.00054324-0.00019707i,0.0011806-0.00046234i,0.00026377-0.00076695i,-0.00043805-0.00088498i,-0.00046556-0.00023656i,-4.7939e-05-0.00042824i,-0.00052822-0.0012082i,-0.00097128-0.0012332i,-0.00036324-0.0012455i,-0.00033198-0.00095099i
-0.0021037+0.00035056i,-0.0007968+0.00025278i,-0.0010037+0.00075688i,-0.0012789+0.0010106i,-0.00051031+0.0016724i,0.0001681+0.0017301i,0.00027398+0.00037412i,7.0549e-05-0.00074958i,-0.0005094-0.00060045i,0.00018545+0.00028444i,0.0012264+0.0006911i,0.0010061+0.00029258i,0.00015119+0.00057638i,-0.00020566+0.00047984i,-3.492e-05-1.4608e-05i,0.00029059-0.00069159i,0.00079581-0.00051156i,0.0010585-1.7576e-05i,0.00084589+0.0003452i,0.00041251+0.00025398i,0.00025495+0.00032234i,-0.0001058+0.00054834i,0.00017296-3.1291e-05i
