-0.0019703+0.0021082i,-0.00097996+0.0017659i,-0.0013544+0.00051801i,-0.00056778+0.00062988i,0.00017808+0.0017485i,0.00034042+0.0015343i,0.00041473+0.0010377i,0.00067149+0.00086876i,0.0009448+0.0010296i,0.00071217+0.00060708i,-0.00011968+0.00032657i,-0.0007189+0.00024978i,-0.00058789-0.0002481i,8.5543e-05-0.0010619i,-0.00016586-0.0013409i,-0.0002954-0.00012174i,-0.0004351+0.0010538i,-0.00020849+0.0014468i,0.00068581+0.0013639i,0.00070277+0.0010425i,4.4892e-05+0.00084121i,-0.0003739-0.00016111i,0.00012976-0.0012162i
-0.0018268+0.00070624i,-0.00056821+5.3404e-05i,0.00077115+0.0012699i,0.00064627+0.0023008i,0.0006843+0.00099668i,0.0011386-0.0003083i,0.00085473-0.00047625i,0.00032306-0.00079357i,0.00048649-0.0013285i,0.00076501-0.0013964i,0.00064237-0.0011149i,0.00047059-0.00073026i,-0.00013739+0.0001891i,-0.00035151+0.00059032i,-0.00020202+0.00028324i,-0.00038572-2.6714e-05i,-2.4284e-05+2.8411e-05i,0.00035578+8.04e-05i,-0.00052361+0.0002393i,-0.00053375+0.00049763i,5.887e-07+0.00048995i,0.00061691-0.00012926i,0.00052088-0.00034604i
5.4226e-05+0.00036121i,0.00013987+0.001298i,0.00044903+0.00053313i,0.00073262-0.00044001i,-0.00045319-8.1023e-06i,-0.0015944+0.00036847i,-0.00050627-0.00027767i,0.00061163-0.00057164i,0.00061785-0.00054801i,0.0010091+4.5755e-05i,0.00068595+0.00043913i,-0.00014684+0.00038025i,-0.00015467+0.00048278i,-7.4678e-05+0.00062121i,0.00018958+0.00089175i,0.00010048+0.00083654i,-0.00020764+0.00038549i,-0.00047697-9.751e-05i,-0.00022706-0.00046388i,0.0001965-9.7087e-05i,0.00023291+1.3829e-05i,-0.00023677-0.00010183i,-0.00012196-0.00025934i
0.0010209-0.0010695i,0.00029889-0.0014524i,0.00014411-0.0016509i,-0.00073719-0.0010528i,-0.0014713-0.00018161i,-0.0014255+9.2306e-06i,-0.00035427+0.00041955i,0.0001023+0.00037229i,0.0002871+0.0002622i,0.00011579+0.00031739i,-0.00019103+0.00034178i,-1.0667e-05+0.00051954i,2.7153e-05+0.00050308i,-0.00023295+0.00048402i,0.00047041+0.00049545i,0.00087379+0.00075964i,0.00071451+0.00020147i,0.00058225-0.00033975i,0.00012453-0.00068357i,0.00011004-0.0009082i,-0.00016937-0.00033152i,-0.00060629-0.00047919i,-0.00010086-0.0011522i
-0.00033781-0.00015876i,0.001299+0.00015877i,0.0021503+0.0015496i,0.0018346+0.0015041i,0.0012181+0.00068746i,0.0014335+2.6936e-05i,0.00069383-0.00039063i,-0.0006009-0.0012331i,-0.00028106-0.00094954i,-0.00063466+0.00037368i,-0.00045331+0.00045975i,0.00063381+0.00039054i,0.00062651+0.00055991i,0.00018565+7.9722e-05i,-5.7199e-05+0.00022128i,0.00053199+0.0005162i,0.0010794+0.00053173i,0.00048886-0.00011125i,-0.00030694-0.00058733i,-0.00016194+1.6328e-06i,0.00032413+0.00012051i,0.0002723-0.00030607i,5.6089e-05+0.0001388i
0.00038886-0.00079431i,0.0010374-0.0010471i,0.001488-0.0013556i,6.9334e-05-0.0017761i,-0.0014986-0.0015597i,-0.0019817-0.00091347i,-0.001198-0.001352i,0.00017458-0.00086864i,0.00051543-0.00022037i,-0.00030359-0.00053769i,-0.00052824-0.00031657i,-1.0202e-05+0.0001358i,0.00049396+0.00021241i,0.00043267+0.00014245i,-0.00025987+0.00010511i,-0.00046524+0.00032034i,-0.00041113+0.00053729i,-0.00044346-0.00017989i,-0.00046659-0.00012998i,-0.00073718+0.00025807i,-0.0010707-0.00014503i,-0.00037877+0.0003057i,0.00027461+0.00048265i
0.00055635+0.00040994i,0.0010798+0.00045809i,0.0011381+0.00083388i,0.00092591+0.00053668i,0.0010536+0.00041827i,0.00050375-3.245e-05i,-0.00011767-0.00028856i,-0.0014169-0.00026532i,-0.0022769-0.0014524i,-0.0010255-0.0014697i,0.00030172-0.00024155i,-0.00022654+0.00018042i,-0.0005678+0.00010772i,0.00017328+0.00054319i,7.1717e-05+0.00077052i,-0.00086878+0.00043021i,-0.00078619-3.9915e-05i,-1.0493e-05-0.0002499i,-0.00015673-0.00016837i,-0.00020373-0.00045369i,0.00024802-0.00026166i,-7.3697e-05+5.1928e-05i,-0.00049068-0.00043884i
-0.0013039+0.00085925i,-0.0010421+0.0015676i,9.6055e-05+0.001693i,0.0012084+0.00095489i,0.001474-0.00055913i,0.0012637-0.0018325i,0.00020289-0.0017239i,-0.00015051-0.00090343i,0.00066449-0.00014419i,0.0013243+9.2019e-05i,0.0017111-0.00023336i,0.00092293+7.0265e-05i,-0.00034977+0.00066004i,-0.00056846-8.0548e-05i,-0.00017024-9.3499e-05i,5.5425e-05+0.00078509i,-0.00038875+0.00054364i,-0.00071744+0.00054862i,-0.00030166+0.00074022i,-0.00019861+0.000599i,-0.00021507+0.00021468i,-0.00031897+2.7011e-05i,-0.00032843-9.1735e-05i
0.0020899-0.00050596i,0.0024119-0.00030517i,0.00088536+7.4332e-05i,-0.00047499+0.00089839i,-0.00096652+0.0010113i,-0.002331+0.00074273i,-0.0022231+0.00053666i,-0.00053439-6.9627e-06i,0.00031582-0.00048176i,0.00016922+0.00011322i,0.00016757+0.00037953i,9.6239e-05+0.00034011i,0.00027654-0.00017321i,0.00056502-0.00032644i,0.00060038-0.00029333i,0.00092843-0.0006839i,0.0010964-0.00055541i,0.00085973-0.0002737i,0.00047777-1.0016e-05i,0.00023683-7.7253e-05i,0.00015475+6.5039e-05i,-0.000359+0.00080237i,-0.0005862+0.00036592i
-0.0021391+0.0021634i,-0.001614+0.002i,-1.1561e-05+0.00096667i,0.00094239+0.00049857i,0.00095183+0.00029948i,0.0011268-0.0009579i,0.000934-0.00078855i,-0.00016626-0.00039944i,-0.00016042-8.3303e-05i,0.00068887+0.00068813i,0.0010418+0.00015733i,0.00082052-0.00067939i,0.00082644-0.00041063i,0.00077387+8.5694e-05i,0.00014539+0.00037951i,-0.00076468+0.0004982i,-0.00058358+1.1265e-05i,0.0003229+9.3436e-05i,0.00066395+0.00035734i,-0.00018742+0.000298i,-0.00079787-0.00014286i,-0.00031829-0.00053216i,-0.00025713-0.00027226i
0.0010772+0.00064877i,0.00010628+0.00041935i,-0.000257+9.1008e-05i,-2.4599e-06-0.00076649i,6.857e-05-0.001818i,-0.00062875-0.0018586i,-0.00042565-0.00046328i,0.00080208+7.9618e-05i,0.00090641-0.00030636i,0.00020877-0.00018613i,8.0369e-06-6.7508e-05i,0.00030671+0.00029126i,0.0005326+1.8985e-05i,0.00072909-0.00066208i,0.00029973-0.00072855i,-0.00055427-0.00052043i,-0.00037649-4.4453e-05i,-0.00023049-0.00016792i,-0.00025456-0.00038715i,-0.00046727-0.00011688i,-0.00032063+9.2979e-06i,0.00016342+7.369e-05i,0.00021228-0.00034533i
-0.0012001-0.0001146i,-0.001123+0.0011702i,-0.00023478+0.0013348i,8.7981e-06-0.00017063i,-0.00067354-0.0014909i,-0.00073709-0.0012537i,-4.2429e-05-0.00040774i,0.00028953-0.0003799i,-0.0001339-0.00028673i,-0.00043251+0.00034397i,0.00018429+0.0008212i,0.00082753+0.00092914i,0.00064105+0.0010166i,-0.00014854+0.00087813i,-0.00078702+0.0005084i,-0.00026922+0.00012224i,-9.8558e-05+0.00034564i,-0.00050309+0.00063674i,-0.00036476+0.00011823i,-0.00015773-7.9549e-05i,-0.00075338-0.00030814i,-0.00078711-0.00050159i,0.00012008-0.00054779i
