-0.0014813-0.00062558i,-0.00059578-0.00067284i,-0.00037504-0.00032552i,-0.0015089+0.0011487i,-0.0019874+0.0019465i,-0.0014372+0.0011723i,-0.00068116+0.00046855i,0.00094747+0.00088064i,0.0020655+0.0014607i,0.001985+0.00088582i,0.0015059+0.00024117i,0.0014155+0.00045252i,0.001305+0.00054583i,0.00095327+3.0717e-05i,0.00053166-0.00031379i,-0.0004194+0.00019825i,-0.00070459-0.00010795i,-0.00047363-0.00036598i,-0.00044163-0.00058857i,1.3125e-05-0.0011762i,0.0003348-0.00098942i,0.00072229-0.00015266i,0.00048853+0.00019752i
0.000274+0.0037421i,8.5623e-05+0.0027528i,7.8026e-05+0.0031062i,0.00074063+0.0021908i,0.0014983+0.00027164i,0.0014934-0.0006946i,0.0011987-0.00095962i,0.0005381-0.00089143i,0.0002772-0.00077804i,0.00012806-0.00042627i,0.0001922-0.00040936i,0.00048654-0.00078332i,0.00056333-0.0010215i,0.0015151-0.0011845i,0.0015096-0.0012188i,0.00055008-0.00093402i,0.0001855-0.00066842i,0.00025173-0.00073221i,0.00036839-0.00075918i,0.00041065-0.00045762i,0.00073353-0.00048331i,0.00059522-0.00037831i,0.0004619-0.00029821i
-5.6074e-05+0.0021682i,0.00010543+0.001152i,0.00073059+0.0014341i,0.0012703+0.0014228i,0.0016979+0.0014508i,0.0008025+0.00047072i,-0.00048941-0.0012938i,-0.0013494-0.0013689i,-0.0013106-0.00072732i,-0.00033463-0.00013782i,0.00070894-0.00048898i,0.00043281-0.00057777i,0.00025296+0.00036807i,0.00048965+0.00023835i,0.00044124-0.00038609i,0.00016575-0.00074003i,0.00030474-0.00030468i,0.00056407+0.00066351i,0.00032876+0.00023873i,7.3657e-05-0.00010313i,0.00056508-0.00014649i,0.0011551-0.00036889i,0.0011695-0.0012498i
0.00053443+0.0022017i,0.0011581+0.002752i,0.0015062+0.0025538i,0.0017367+0.0022793i,0.001074+0.0012254i,0.00052817-0.00031193i,0.00026236-0.00012521i,0.00015195+0.00023457i,0.0001274-0.00052601i,0.00047231-0.00090795i,0.00064888-0.00042706i,0.00047074-0.00027607i,0.00039467-0.00025005i,0.0005134+0.00028707i,0.00039031+0.00066818i,9.0235e-05+0.00047511i,-0.00029256+9.5057e-05i,4.4669e-06+4.0301e-05i,0.00046903-0.00015754i,-8.5017e-05-0.0010858i,0.00017978-0.0012201i,0.00078334-0.00026282i,0.00029124+0.00028914i
-0.00055529+0.00078929i,-0.0013728+0.0012157i,-0.0012444+0.0016112i,-0.00026027+0.0016769i,0.00052672+0.0010149i,0.000584+0.00054799i,0.00084902-0.00032434i,0.0007756-0.0014408i,-0.00048172-0.00096851i,-0.0015841-0.00012895i,-0.0014064+0.00016786i,-0.0007489+0.00036726i,-0.00033194+9.1527e-05i,-0.00020796+0.00012931i,-0.00039234+0.00091375i,-2.3516e-05+0.00098359i,0.00085724-9.7066e-05i,0.00093592-0.00045054i,0.00032191-0.00023651i,-0.00042815+0.00031045i,8.5732e-05+0.00050476i,0.0011315+2.9258e-05i,0.001043+0.00013026i
-0.00067665-0.003031i,-0.0011231-0.0023541i,-0.0017819-0.0019272i,-0.0020222-0.00084589i,-0.0018404+0.0003209i,-0.0006166+0.00093695i,0.00044496+0.00020027i,8.4983e-05-0.00063186i,-0.00044313-0.00066355i,-0.00076616-0.00045274i,-0.00087797-0.00030097i,-0.00058172+3.2142e-05i,-0.0005656+0.00039578i,2.4485e-05+0.00018481i,0.00096166+0.00020479i,0.00047499+0.00025953i,-0.00038958+0.00015064i,-0.00043291+0.0002214i,-0.00031226-6.4477e-05i,0.00014137-0.00050655i,0.00052162-0.00011186i,-0.00010498+0.00017838i,-7.2645e-05+2.3333e-06i
-0.00014093+0.001861i,-9.4589e-07+0.0023647i,-0.0013804+0.001875i,-0.00077325+0.0015687i,0.00068814+0.0013129i,0.00098668+0.00029809i,-2.5996e-05-4.6402e-05i,-0.00063729-0.00052951i,-0.00027794-0.0011917i,-0.00022199-0.00066626i,-0.00018346-7.0531e-05i,0.00046465-0.000128i,0.00047587-0.00034332i,-3.2224e-05-0.00068902i,0.00049849-0.00091246i,0.00040785-0.00067096i,-0.00018023-4.079e-05i,-0.00017742+0.000357i,-0.00015887+0.00024994i,-0.00071658-0.00010372i,-7.603e-05-0.00089726i,0.00088229-0.00089921i,0.00050837+7.7497e-05i
-0.00095967+0.00072016i,-0.0013322+0.00024169i,-0.00010669+0.00072878i,0.0006482+0.00045644i,0.00031139+0.00068924i,-8.2696e-05+0.0005589i,-0.00018918-0.00060246i,-0.00046721-0.00054605i,-0.00059878-0.00078232i,-0.00080793-0.00083063i,-0.0012827-0.00034757i,-0.00015077-0.00052571i,0.0006866-0.00053811i,0.00052122-0.00011598i,0.0003631-0.00017919i,-4.4629e-05-0.00037726i,0.00014901-5.2461e-05i,0.00058826-0.00021552i,0.00070788-0.0004229i,0.00070972-5.2226e-06i,9.0643e-05-0.00028799i,0.00017337-0.00086541i,0.00048552-0.00045161i
0.0017442-0.00010783i,0.00092097-0.00057811i,0.00056701-0.0010872i,0.00064815-0.00093434i,0.00022771+0.00013023i,-0.00079487-9.3919e-05i,-0.00077427-0.0008463i,-0.00019126-0.00091442i,-0.0001218-0.00067108i,0.00022933-0.00070218i,0.00094918-0.00025929i,0.00059367-0.00039723i,-0.00045799-0.00017039i,-0.00066759-0.00010816i,-0.00027108-0.00041427i,-0.00046918-0.00036783i,-0.001006-0.00047728i,-0.00076222-0.00045861i,-0.00034581-0.00054938i,-0.00025878-0.0008855i,3.2056e-05-0.00024021i,0.00020841+0.00044772i,7.4558e-05+0.00058089i
-0.001549+0.0029849i,-0.0014228+0.003314i,-0.0006924+0.0023338i,-0.00024505+0.002668i,0.00017591+0.0023313i,0.00043285+0.00042253i,0.00027963-0.00086603i,0.00028597-0.0011046i,3.8756e-05-0.00087618i,-6.2547e-05-0.00097367i,-0.00026981-0.00068825i,-6.7767e-05-0.00067087i,0.00033206-0.0007975i,0.00014713-0.0004977i,0.00037825-0.00029372i,0.00052561+0.00036203i,0.00011127+0.00046265i,3.5404e-05+0.00071486i,-0.00011462+0.00095731i,0.00027358+0.0013628i,0.00058266+0.00112i,0.00045521+0.00033571i,4.5395e-06-0.00038141i
0.0015532-0.00081698i,0.00021235-0.00062642i,6.3678e-05-0.0003119i,-2.5652e-05+5.9999e-05i,-0.00056491-0.0006023i,-0.0013785-0.00097692i,-0.001258-0.00056038i,-0.00051154-0.00081383i,-0.00039179-0.001188i,-0.00068955-0.0013006i,-0.00043898-0.00096639i,-7.5537e-05+0.00028748i,1.1796e-05+0.00011761i,-0.00043685-0.00095333i,-0.00048051-0.0009187i,-0.00047985-0.00019548i,-0.00036976+0.00070541i,3.2647e-05+0.00036144i,-0.00010206+0.00029292i,-0.0005664+0.00089428i,-0.00057852+0.00070651i,-0.00045254+0.0009224i,-0.00065492+0.00085209i
