-0.00092295+0.00049586i,0.00026676-0.00072921i,-0.0019643-0.0020677i,-0.0036047-0.0012408i,-0.0029393+0.00065242i,-0.0016835+0.0015232i,-0.00046645+0.00054319i,-0.00016138+0.00067837i,-0.00015098+0.00087865i,-0.00013974+0.00035059i,0.00035068+3.7085e-05i,0.00012865-0.0004894i,-0.00078646-0.00059596i,-4.7352e-05-0.00045467i,8.5967e-05-0.00072305i,-0.0005922-0.00074972i,-0.00050797-0.00066012i,-0.00056432-0.00052062i,-0.00060873-0.00087791i,-0.00040473-0.00059591i,-0.00057449-0.00014341i,-8.6314e-05-0.00065274i,0.00083419-0.00010428i
0.002198+0.00085252i,0.0016373-9.3502e-05i,0.0013391-0.00088827i,0.0012191-0.00094776i,0.00014249-0.00051542i,8.5112e-05-0.00030168i,0.0006204-0.00050962i,-0.00018414-0.00037316i,-0.00012535+9.0798e-06i,0.00012069-0.00027444i,-2.1488e-05-0.00064961i,-0.00053111-0.0004541i,-0.00048288+1.2202e-05i,0.00012865+0.00024885i,-4.6219e-05+0.0002044i,-6.0421e-05-0.00013356i,-4.7648e-05-0.00059598i,-0.00014039-0.00047294i,-0.00013693+2.1118e-05i,-0.00043748-0.00044597i,-0.00040713-0.00032568i,-0.0002391-0.00038378i,0.00026941-0.00068577i
-0.0013248+0.002047i,-0.00039701+0.0020722i,-0.00056453+0.0017627i,-0.00050922+0.001586i,-2.233e-05+0.0012681i,0.00034906+0.00031575i,0.00083674-0.00036966i,0.00078947+0.00024737i,-0.00029895+0.00071574i,9.8083e-05+0.00085356i,0.00070177+0.00038525i,0.00050511-7.3628e-05i,0.00052857-1.3483e-05i,0.00043852+0.00030377i,1.4016e-06+0.00046436i,-0.00030941+0.00063396i,-0.00036134+0.00068234i,-0.00026453+0.00046999i,-2.149e-05+0.00030913i,-0.00027059+2.3707e-05i,-0.00030943-0.00074543i,-0.00052665-0.00049818i,-0.00075066+0.00019695i
0.00094537+0.0021049i,0.0012212+0.0016293i,0.0016496+0.0006077i,0.00092606+0.00010399i,0.00059245-1.2262e-06i,-3.1195e-05+5.357e-05i,-0.00076513-9.6826e-05i,-0.0011417-4.1043e-05i,-0.000492+6.5128e-05i,0.0011474+0.00032196i,0.001338+0.0004515i,0.00074736+0.00042079i,0.00053694+0.00051455i,-0.00027652+0.00018168i,9.6674e-06-0.00025323i,0.00049133-0.00041423i,-0.00011409-0.00046549i,-0.00031786-0.00023448i,8.2795e-05+9.1909e-05i,0.00032382-0.00019561i,0.00033784-0.00062879i,-3.8883e-05-0.00010972i,-0.00028731+0.00042239i
0.0011662+0.00082716i,0.0012083+0.00020052i,0.001509-0.00082283i,0.00025853-0.00093897i,-0.00069664-0.00025925i,-0.0011774-5.8841e-05i,-0.0013215+1.634e-05i,-0.0012415+0.00030347i,-0.0002075-5.8456e-05i,0.00030415-0.00083153i,-0.00031345-0.00079519i,-0.00020643-0.00025991i,-6.001e-05-0.00045355i,-0.00042376-0.00071072i,-0.00088138-0.00040283i,-0.0003143-0.00020667i,0.00048819-0.00049122i,0.000478-0.00026462i,0.00026661+7.8285e-05i,-0.00035899+1.5468e-05i,-0.00087527-0.00021091i,-0.000857+0.0001513i,-0.00060575+0.00022729i
-0.0012661-0.00076347i,-0.0013742-0.0017933i,-0.0018358-0.00023969i,-0.0021308+0.0012149i,-0.00091087+0.0012882i,0.0003438+0.00026773i,1.1096e-05-0.0012458i,-0.00028527-0.00088587i,1.9922e-05+3.108e-05i,-8.8104e-05-0.00018808i,-6.918e-05-0.00058373i,0.000372+0.00013083i,0.00042524+0.00010775i,2.041e-05-0.0012059i,-0.00011601-0.0012583i,-0.00014612-0.00053013i,-0.00063785-0.00059298i,-0.0012147-0.00068899i,-0.00078614-8.132e-05i,1.4382e-05+0.00037737i,-0.00013254-0.00062061i,-0.00032517-0.0010202i,0.00019637-2.4074e-05i
0.0028355-0.0015336i,0.0025313-0.0016631i,0.0013775-0.0020885i,0.00038983-0.00057599i,-0.00055495+0.0017198i,-0.00092769+0.0016049i,-0.00050697+0.00035014i,-0.00033439-0.00026587i,0.00022973+0.00020692i,0.00087892+0.00042835i,-0.00013495-0.00022927i,-7.821e-06-0.00016733i,0.00096844+0.00056501i,0.00035168+0.00041169i,-0.00042268-0.00015229i,-0.00050381-0.00053394i,7.534e-05-0.00058582i,0.0003676+0.00012491i,0.00044437+0.00050067i,0.000237-7.6507e-05i,-5.7936e-06-0.00069852i,-1.9181e-05-0.00067792i,0.00032485-0.00056333i
-0.0015076+0.0025213i,-0.0018122+0.0020809i,-0.0023885+0.0013176i,-0.0012616+0.0012634i,0.00043396+0.0017508i,0.0015505+0.00081726i,0.0017104+3.0759e-05i,0.00089318-3.8694e-05i,-4.1986e-05+0.0002479i,0.00017902+0.0010172i,0.00091055+0.00016562i,0.00041017-0.00056604i,2.1335e-05-0.00051315i,0.00052833-0.00050118i,0.00069399+8.8233e-05i,0.00045278+0.00047826i,-5.8588e-05+2.9417e-07i,-0.00065107-0.00037147i,-0.00017715-0.00036156i,0.00043022-0.00050959i,0.00077334-0.00057176i,0.00061565-0.00030573i,0.00023685+0.0001946i
0.0002991-0.00027916i,-5.5909e-05-0.00017192i,-0.00062377-0.00090301i,-0.00089431-0.00060974i,-0.00040057+0.00018415i,0.00082396-0.00024757i,0.0006424-0.0011772i,-0.0002171-0.0012265i,-0.00019461-0.00050845i,-0.0003913-0.00013964i,-0.0006935-0.00018548i,-0.00059579+0.00017633i,-0.00092187+0.00054346i,-0.00094747-0.00010556i,-0.00058171-0.00092928i,-0.00029397-0.0011133i,-0.0002376-0.00075581i,-0.00022765+2.2666e-05i,9.6803e-05+0.00022778i,0.00081879-0.00093403i,0.00068382-0.0014496i,0.00027996-0.00078634i,0.00063454+0.00018661i
-0.00071572-0.00014294i,-0.0016308-0.00051847i,-0.0016037+0.00016237i,-0.0018206+0.0010444i,-0.0011754+0.0016074i,0.00021841+0.0011929i,-0.00028835-0.00014631i,-0.00079477-0.00041787i,-0.00080709+2.9475e-05i,-0.00081688+4.0423e-05i,-0.0010376+0.00013964i,-0.00049871+0.00025762i,-0.00014061+0.00023666i,-0.00064033+0.00010938i,-0.00058279+0.00019116i,-0.00032778+0.00013407i,-6.1631e-05+2.667e-05i,-0.0006846+0.00070206i,-0.00097023+0.0007114i,-0.00052253-0.00011833i,2.429e-05+4.5143e-05i,-0.0001591+0.00046566i,-0.0005943+6.8414e-05i
0.00073733-0.0011761i,0.0001293-0.00095451i,-8.3851e-05-0.0008342i,-0.00017292-8.4125e-05i,0.00010894+0.00061811i,0.00070234+0.00044687i,0.00074161-3.3692e-06i,0.00051908-0.00017921i,0.00044085-0.00024615i,8.9414e-05-0.00051108i,-0.00045526-7.6797e-06i,-0.0006208+0.00024286i,0.0001134-3.2705e-05i,0.0002621-8.9989e-05i,0.00014299-0.00035841i,0.00013575-0.00077091i,0.00016753-0.00092175i,0.00025508-0.00066234i,0.00024799-0.00025917i,0.00022717+0.00046868i,-0.00042918+0.00080415i,-0.00073563+0.00026668i,6.556e-05-4.0949e-05i
