-0.0012864-0.0011237i,0.00068603-0.001259i,0.00052245-4.2621e-05i,-0.00033569+0.00036979i,-0.00079454+0.00086417i,-0.0003166+0.00082731i,0.00041564+3.0996e-05i,7.4413e-05+0.0005192i,0.00054198+0.0012166i,0.0010509+0.0010084i,0.00022177+0.00038354i,-0.00065615-0.00020937i,-0.00066915-0.00081112i,-0.00045728-0.00052049i,0.00033251-0.00021887i,0.00045445-0.00094727i,0.00059683-0.00026046i,0.00066877+0.00049066i,0.00018118-8.3561e-05i,-0.0004788-0.00074056i,-0.00074993-0.00060729i,-0.00012141-0.000666i,0.00038528-0.0010129i
0.0011997+0.0012231i,0.0011719+0.00076845i,0.0009342-0.0010091i,0.00015916-0.0019169i,-0.00052929-0.00062101i,-0.0010617+0.00069979i,-0.0010195+0.00066884i,-0.00042367+0.00068984i,-0.00017019+0.00086834i,0.00021786+0.00046791i,0.00011887-0.00023692i,-0.00011847-0.00020116i,0.00025624+0.00049416i,0.0004585+0.0002616i,0.0001096+9.2386e-05i,-0.0002857+0.00010375i,-0.00022536-0.00038909i,0.00018138-0.00034576i,0.00035509+0.00038731i,-0.00010992+0.00015418i,-0.00065027+0.00029828i,-0.00075673+0.00035594i,-0.00069544+0.00025874i
-0.00038978+0.0014459i,-0.00056234+0.0016718i,4.6088e-05+0.0013592i,-5.0353e-05+0.00032481i,-0.00055525-0.00070793i,-5.4546e-05-0.0010339i,3.6022e-05-0.00063085i,-0.00060712-0.00017875i,-0.00077121+6.4966e-05i,-0.00050305-8.9613e-05i,-0.00068053-0.00021641i,-0.00036299-0.00016088i,0.00027903+0.00014495i,-6.5411e-06+0.000679i,-0.00053505+0.0011795i,-0.00021632+0.0010816i,3.7402e-06+0.00085131i,0.00031209+0.00086207i,0.00085029+0.00043236i,-0.0003037-0.00016593i,-0.0012989-0.00040659i,7.397e-06-0.00058978i,0.00053578-0.0012052i
0.0026604+0.00025111i,0.002286+1.6468e-05i,0.0010574-0.00085282i,-3.804e-05-0.0012191i,-0.00062789-0.0011246i,-0.00074304-0.00053834i,-0.00025783-0.00030592i,0.00013833-0.00036268i,0.00013374+0.0004698i,6.8247e-05+0.00077647i,1.5548e-05+4.1353e-05i,0.00016319-0.00085071i,0.00030644-0.00092627i,0.00076091+0.00049743i,0.00044075+0.00097156i,0.000148+0.0010637i,0.00014195+0.00063258i,0.00065754+0.00017655i,0.0010228+0.00027646i,0.00061116-0.00038164i,0.0002453-0.00019208i,-0.00033724+0.00055681i,-0.00070986+0.00022656i
-0.00021949+0.001458i,0.0006061+0.0014172i,0.0010755+0.00055746i,0.00031139-0.0010335i,-0.00051165-0.0010675i,-0.00071691-0.00046511i,-0.00032669-4.5444e-05i,-0.00020849+0.0002662i,-1.0814e-05+0.00054918i,-0.00024833+0.00078076i,-0.00052394+0.00059395i,6.2237e-06+6.9839e-05i,8.7589e-05-0.00011272i,-0.00014372+0.00095875i,-0.00048831+0.0015588i,-0.00078243+0.00061177i,-0.00064998+0.00030851i,-0.00075454+0.0011663i,-0.00041439+0.00088858i,0.00029755+0.00038454i,-0.0010114+0.00033812i,-0.0016854+6.0588e-05i,-0.00065261-0.00073643i
0.00044823-0.0017243i,0.00081758-0.00095899i,0.0010171-0.00015337i,0.00080123+0.00020227i,-9.3421e-05+0.0008124i,-0.00089683+0.00088456i,-0.00069458+0.00029217i,-0.00019049-0.00052452i,-0.00024648-0.00038852i,-0.00032103+0.00042654i,7.6572e-05+0.00048908i,0.00054363+0.00024178i,0.00012285+0.00032508i,0.00043721+0.00049298i,0.0012745+0.00084745i,0.00095589+0.0014925i,0.00034349+0.0012128i,0.00028769+0.00071973i,-0.00046671+0.00071126i,-0.00073531+9.0715e-05i,-1.5216e-06+0.00034573i,0.00048198+0.00069162i,0.00064001-0.00015262i
0.001831+0.0014343i,0.0017146+0.0010734i,0.00082277-0.00055579i,-0.00022445-0.0023598i,-0.00034528-0.0021054i,-0.00083617-0.00010437i,-0.0012446+0.00037169i,-0.0007577+0.00036673i,-0.00035336+0.00092543i,0.0001018+0.0011797i,0.0010896+0.0010816i,0.00044281+0.00063883i,-0.00027014-4.0278e-05i,0.00056366-0.00011261i,0.00080812+0.00022289i,0.00057879+0.00053819i,0.00049029+0.00066909i,0.00026464+0.00061233i,-0.00046568+0.00018294i,-0.00082181-4.4531e-05i,-0.00076646-0.00010787i,-0.00050943-0.00018332i,-0.00036926-7.7603e-05i
-0.0023788-0.0013855i,-0.00093333-0.001163i,-0.00040316-0.0002667i,-0.0011236+0.0004256i,-0.001542+0.00087218i,-0.00021734+0.00039653i,0.0011405-0.00050856i,0.00028386-0.00020807i,-8.3499e-05+0.00089926i,0.000136+0.0011798i,0.00013309+0.0011521i,0.00031755+0.0008469i,0.00055979-0.00027875i,0.00064264-0.00037196i,0.00026489+0.00011273i,-0.00053773+0.0004682i,-0.00060381+0.00067072i,-0.00055042+0.000691i,-0.00013072+0.00055451i,0.00061626+0.00010647i,0.00087764-0.00029289i,-0.0001404-0.0007062i,-0.0015329+8.7488e-06i
0.0021596+0.0010661i,0.0012976+0.00041674i,0.00010615-0.0016057i,-0.00045808-0.0017392i,-0.00092671-0.0008429i,-0.00033952+2.8988e-05i,9.6122e-05+0.00026411i,-0.0010632+0.00022463i,-0.0017695+4.9039e-05i,-0.0011007+0.0002384i,-0.00084812+0.00041742i,-0.00063297-0.00042261i,-0.00050818-8.29e-05i,-0.00058949+0.00064044i,-0.00061361+0.00010195i,-0.00047217+0.00011879i,-3.8059e-05+0.00062941i,0.00046451+0.0002381i,0.00063988-0.00051132i,0.00078149-0.00080443i,0.0005848-3.6666e-05i,-0.00049118+0.00026999i,-0.00091065+0.00023183i
-0.00060782+0.0015645i,0.00092851+0.0014216i,0.0014242+0.00049841i,0.00038023-0.00020358i,-0.00048333-0.0004802i,-0.00090743-0.00024247i,-0.001188+0.00023119i,-0.00027882+0.00051152i,0.0002277+0.00062344i,7.1631e-05+0.00034039i,-0.00024879-0.00015072i,-0.00062105+6.7734e-05i,-0.00029729+0.0006113i,6.2222e-05+0.00072911i,-0.0001636+0.00049066i,1.4284e-05+0.00080453i,0.00055707+0.0013429i,0.0013019+0.0016822i,0.0010344+0.0014263i,0.00062522+0.00062704i,0.00060434+0.00039057i,0.00068251+0.00058839i,0.00018054+0.00052123i
0.0023669-0.0013913i,0.0019807-0.00063907i,0.0006201-0.00051992i,-0.00074449-0.0010545i,-0.0013306-0.00033701i,-0.0013748+0.00017161i,-0.0010427-1.497e-05i,-0.00050472+0.00020174i,-0.00048918+0.00065168i,-0.00096823+0.00045009i,-0.00087693-2.1193e-05i,-0.0011125+0.0005899i,-0.0013161+0.00078315i,-0.00027537+0.00027014i,0.00063059+0.00016587i,0.00034716+0.00049079i,-0.0003099+0.0008382i,-0.0003075+0.00032932i,0.00014309-0.00042528i,0.00054097-0.00017485i,0.00052106+0.0004763i,-0.00019015+0.0006835i,-0.00068226+0.000353i
