0.00051126+0.00092267i,0.0013519-0.0011909i,-0.00048753-0.0026227i,-0.0018715-0.0018535i,-0.0020814-0.00013968i,-0.0013887+0.0010793i,-0.0007508+0.0018481i,-0.00026213+0.0012721i,0.00033573-1e-05i,0.00034138-0.00034116i,-0.00063345-0.0010373i,-0.0010167-0.0016982i,-0.00083806-0.00096724i,-0.00053742+8.9106e-05i,-0.00030826+0.00061063i,-0.00043625+0.00034065i,-0.00072101+0.00064236i,-0.00046+0.0013408i,0.00011448+0.00092434i,0.0002793+3.7764e-05i,-4.908e-05-0.00011836i,-0.00038359+0.0002487i,-0.00066076+0.00010517i
-0.00046521+0.0028861i,0.00030416+0.0017632i,0.00065509+0.0022281i,0.0010344+0.0019293i,0.0014246+0.0001962i,0.00095764-0.00067143i,0.00042801-9.0403e-05i,0.00070203+0.00028422i,-0.00016649+0.0002042i,-0.000518+0.00053005i,-0.00020396+0.00032832i,0.00012515-3.7036e-05i,0.00029193+8.4975e-05i,-0.000118+0.0005077i,-0.0004224+0.0012645i,-4.26e-05+0.0012464i,5.0948e-05+0.00077862i,-0.00076464+0.00015383i,-0.00080035-0.0003586i,-0.00021581-0.00033977i,0.00059389-0.0003229i,0.00043939-0.00027912i,1.1443e-05-0.00031295i
-0.0006778-0.0011718i,-0.0013768-0.00059724i,-0.001554+0.00039514i,-0.0019777+0.0013572i,-0.0023938+0.0017319i,-0.0019118+0.0021147i,-0.00043703+0.0020196i,0.00040232+0.0010893i,0.00067827-0.00028618i,0.00043314-0.00063328i,-2.0614e-06-0.00024387i,-2.6746e-05+0.00026693i,-0.00017664-0.00073802i,-0.0003553-0.0018205i,0.00021596-0.0013449i,0.00089282-0.00043592i,0.00090879+0.0002159i,0.00084508+0.00064955i,0.00061219+0.00097506i,0.00010843+0.00087058i,-5.5903e-06+0.00062132i,0.00024293-3.4152e-05i,0.0006478-0.00035748i
-0.0011526+0.00038834i,-0.00030079+0.00020027i,-4.7233e-06-0.00070637i,0.00058175-0.00078545i,0.0012377+0.00016291i,0.00066548+0.00033633i,0.00050959+0.00025059i,0.0005791-0.00013446i,7.2189e-05-0.00073917i,-0.00078455-0.00064864i,-0.00070567-0.00040771i,-0.00069652-0.00055561i,-0.0013782-0.00011003i,-0.0013887+0.00086205i,-0.00097341+0.0004455i,-0.00078378-5.1924e-05i,-0.00050939+0.00046927i,-0.00052974+0.00051134i,-0.00037285+0.00032963i,0.00034968-4.1914e-05i,0.0006485-0.00026684i,0.00052588-0.00058732i,-0.00018027-0.0011797i
-0.0014976-0.00095483i,-0.0020815-0.00079444i,-0.0022621-0.00013119i,-0.0014938+0.00072428i,-0.0010999+0.00066713i,-0.00049538+0.00026925i,0.00022212+0.00065674i,0.00086611+0.00056811i,5.96e-05+0.00051488i,-0.00070006+0.00087152i,-0.00045744+0.00079631i,-0.00030531-0.00020959i,-0.00032631-0.00063267i,-0.00063813-9.187e-05i,-0.00073217-0.00029297i,-0.0003079-0.0003433i,-0.00010711-0.00013512i,0.00038666+0.00013504i,0.00099181-0.00015286i,0.00099808-0.00058682i,0.00058719-0.00024107i,0.00019769+4.392e-06i,0.00044669-0.00016938i
0.00093342+0.0002806i,0.00086746-0.0013906i,0.0014204-0.0016965i,0.0014714+0.00011879i,0.0005471+0.00052721i,-0.00042369-2.913e-05i,-0.00011513+0.00017041i,0.00064127+0.00045161i,0.00021063+0.00033069i,-0.0003445+0.00029007i,0.00035649+0.00011903i,0.0006161-0.00025053i,-3.9783e-05-0.00078861i,-0.000665+8.6921e-05i,-0.0008643+0.00094868i,-0.00031166-0.00018835i,-0.00039317-0.00061734i,-0.0001536+0.00057455i,0.00038967+0.00081809i,0.00014433+0.00035503i,-0.00028514+0.00053792i,-0.00066538+0.00062652i,-0.00048546+0.00094272i
0.0001398+0.0010066i,0.00088364+0.0010854i,0.00063029+0.0010452i,-0.0006133+0.00090627i,-0.00097754+0.00029528i,-0.00062165-0.00023292i,-0.00015079-0.0004811i,-8.657e-05-0.00039734i,-0.00049129-0.00068439i,-0.00045985-0.00045844i,-0.00032859-0.00014303i,-0.00024638-0.00053183i,-0.00019657-0.00073887i,-0.0003884-0.00040264i,-0.00080539-0.00066436i,-0.00057184-0.0010918i,0.00022917-9.4758e-05i,-0.00079465+0.00086435i,-0.00077853+0.00021745i,0.00037812+0.00021898i,0.00037373+0.00075775i,0.00058841+0.00071379i,0.0010972+0.00084454i
0.00041467+0.0012374i,6.4312e-05+0.00099024i,0.00091885+0.00038945i,0.00051006+0.0001816i,0.00028718+8.7705e-05i,0.00016868-8.6592e-05i,-0.00012897+5.9074e-05i,-0.00018982+8.1347e-05i,-0.00074156+0.00011988i,-0.00062323-0.00018897i,-0.00026703+0.00022339i,-0.00046602+0.00050814i,-0.0010183+0.00071057i,-0.0006634+0.00037366i,-0.00045358+0.00048367i,-0.00041547+0.00098831i,-0.00092766+0.0010362i,-0.0013569+0.0011329i,-0.00079611+0.0014478i,-0.00047692+0.0014304i,-0.0001465+0.00057901i,0.00079566+0.00041802i,0.00042941+0.00050652i
-0.001531+0.00060039i,-0.0015891+0.001305i,-0.0013164+0.0012461i,-0.0011957+0.00059008i,-0.00059055+0.00066702i,0.0001549+0.0011458i,0.00065523+0.00040528i,0.00056546-0.00034998i,9.836e-05-0.00050423i,-0.00023433-0.00026441i,-7.4951e-05-0.00087924i,-0.00011433-0.0011263i,-0.00089459-0.00036567i,-0.0013373-0.00034999i,-0.00083142-0.00052884i,-0.00039196-0.00025076i,-0.00033578+0.0005096i,-0.00050454+4.856e-06i,-0.00056908-0.00078119i,3.1654e-05-0.00070316i,0.00041251-0.0003429i,0.00043246+0.0001164i,0.00019728+0.00015568i
-0.002377+0.0012767i,-0.0010657+0.0021293i,0.00061773+0.0032741i,0.0011132+0.0034212i,0.00083555+0.0024607i,0.0006798+0.00065592i,-0.00015622+3.2063e-05i,-0.00044238+0.00011668i,1.2033e-05+0.00016682i,0.00062671-5.741e-05i,0.00095754-0.00035323i,8.5641e-05-0.00045996i,-0.0010733-0.00074002i,-0.0012982-0.00070845i,-0.00070836-0.00020332i,-0.00054619+0.00010906i,-0.00053008-0.00038764i,4.9017e-05-0.00063741i,0.00055853-3.9538e-05i,0.0006103+0.00066192i,0.00040813+0.00033971i,0.00081409-0.00025249i,0.00047483-0.0003253i
-0.0013286-0.0019466i,-0.0017516-0.00068332i,-0.001863+0.00022376i,-0.0017346+0.00020704i,-0.0011251+0.00053529i,0.00021728+0.00054386i,0.00014386+0.00055225i,-0.00070689+0.00059477i,-0.0017038-0.00035421i,-0.0016943-0.00057897i,-0.00067094-0.00027403i,2.6697e-05-0.00023194i,0.00073928-0.00033965i,0.00066352-0.0002217i,2.9212e-05-0.00034568i,0.00017108+0.00024574i,0.00038705+0.00093144i,0.00036881+0.00031085i,0.00018534-0.00062672i,-7.3592e-05-0.00078996i,0.00029633-8.4439e-05i,0.00057129+0.00024006i,-0.00020038-0.00039105i
