-0.00093788+0.0013884i,0.00043302+0.00049441i,-0.0011863-2.8714e-06i,-0.0017548+9.8369e-05i,-0.00091107+0.00055711i,-0.00064386+0.0022689i,-0.00067873+0.0042279i,-0.00046758+0.003375i,0.00038578+0.0011725i,0.0014426-0.00029024i,0.0018512-0.00065074i,0.0008588-0.001016i,-0.00055074-0.00011444i,-0.00067906+0.00081864i,-0.00086576-9.5073e-06i,-0.00084509-0.00078398i,-3.4134e-05-0.00052489i,-0.00014021+3.4041e-06i,-0.00042302-0.0001797i,0.00018151-0.0007581i,0.0006134-0.0010708i,0.00027867-0.0012291i,-0.0005663-0.00067378i
0.0019933-4.7767e-05i,0.00077882+0.0016639i,0.00065987+0.0026588i,0.00067768+0.0021735i,0.00075169+0.0016748i,0.00072694+0.00053002i,0.00034336-0.00040233i,-5.7318e-05-0.0002794i,0.00014708-0.00017368i,8.0266e-05+0.0002989i,0.00034182+0.001035i,0.00059712+0.0011132i,0.00019936+0.00060319i,0.00024119+0.00026898i,0.00036856+0.00016056i,-0.00018823-0.00087912i,-0.00033839-0.0012802i,-0.0005163-0.0008245i,-0.000559+7.5912e-05i,0.00014827+6.9505e-05i,0.00074609-0.00066399i,0.00030794-0.0010889i,-0.00039473-0.0015007i
0.0010314-0.0019045i,0.0011034-0.002188i,0.0031376-0.001888i,0.0041351-0.00042012i,0.0022864+0.00011816i,-2.2531e-05+0.00018608i,-0.00068594+0.00062921i,-1.3559e-05+0.00066296i,0.00054749+9.8476e-05i,0.00022091-0.00010226i,0.00039467+0.00067951i,0.00052259+0.0010349i,-0.00029724+0.00080276i,-0.00055167+8.6814e-05i,-0.0001378+3.0446e-05i,-0.00020294+0.00060919i,-0.00020581+0.00048463i,0.00035815-0.00025605i,0.0003382-0.00047493i,0.00049132-0.00055136i,0.00059657-0.00071047i,0.00083832-0.00064935i,0.00083248-0.00052723i
-0.00082205+0.00037914i,-0.0010676+0.00043044i,-0.0014577+0.0011971i,-0.00088506+0.00073885i,0.00066572-0.00011896i,0.00089845+7.2571e-05i,-0.00010739+0.00044084i,-0.00052207+0.000665i,-0.0012604+0.0012322i,-0.00033648+0.0009703i,0.0011382+0.00014359i,0.00068451+0.00038098i,9.8919e-05+0.0011069i,0.000658+0.00091147i,0.0011745+0.00047653i,0.0012714+0.00029733i,0.00091428+9.1391e-05i,0.00023433+0.00032086i,0.00022197-0.0002436i,-0.00026152-0.00020699i,-0.00092864+0.00020918i,-1.0936e-05+0.00028979i,0.00044675+0.0003737i
0.00051665+0.0041202i,0.00011202+0.0039988i,0.0010755+0.004391i,0.0011779+0.003669i,0.0018389+0.0029919i,0.0016985+0.0015325i,0.0011172+0.00066952i,0.0010809+0.00068512i,0.00077636+0.00067469i,0.0015565+0.00074239i,0.0017192+0.00015739i,0.00051182-0.00074259i,0.00040732-0.0013017i,0.0013298-0.00082853i,0.0012749-0.00030727i,0.00067096-0.00054099i,0.00015145+4.1214e-05i,-0.00050851+0.00052916i,-0.0010758+0.00034648i,-0.00062987+0.00012428i,0.0001792+0.00058255i,0.00038719+0.00058443i,0.00015674-0.00052663i
-0.00095236+0.00041215i,-0.00080711+0.00080974i,9.4223e-05+0.0017053i,0.0012072+0.001617i,0.0019597-0.00036813i,0.001889-0.00098875i,0.0011171-0.00048659i,0.0002366-5.7192e-05i,-0.00029009-0.00070221i,-0.00056644-0.0011158i,0.00017246-0.00045433i,0.00050386-0.00038662i,-0.00027526-0.00041825i,-3.1953e-05+0.00056623i,-0.0003353+0.0011487i,-6.7735e-05+0.00036413i,0.00090625-0.00024258i,0.0010395-0.00029159i,0.00085027-0.00016349i,0.00079885-2.2644e-05i,0.00067865+0.00054493i,0.00041866+0.0008749i,0.00027657+0.00050605i
-0.00078377+0.0013898i,-0.00035446+0.001011i,-4.3277e-05+0.00025951i,0.001696+1.0322e-05i,0.0024677+0.00015223i,0.0014125+0.000561i,0.0003067+0.0012463i,-0.000251+0.0015402i,-0.00029627+0.0013199i,0.00016293+0.001282i,0.00029571+0.00075755i,0.00017073+0.0002104i,0.00051524-4.1766e-05i,0.0003655-0.00020835i,-0.00045673-0.0003534i,4.0733e-06-3.4273e-05i,7.8208e-05-8.3934e-06i,7.1319e-06-0.00031185i,-0.00018618-0.00046887i,-0.0012257-0.0004241i,-0.00064776+0.0003437i,-0.00022252+0.0002898i,0.00044507-0.00040204i
0.00048993-0.0019603i,0.00072392-0.0013916i,0.00097359-0.00049621i,0.00019892-0.00032665i,-2.9849e-05-0.0007895i,-0.0007598-0.00086006i,-0.0014768-0.00058723i,-0.0011254+6.9636e-05i,-0.00011065+0.00042749i,0.00022521+7.0677e-05i,1.2426e-05-0.00074246i,0.00044358-0.0014978i,0.00024154-0.0016271i,-0.00039665-0.00092525i,-0.00047216-0.00029333i,-0.00020388+1.9972e-05i,0.00027616+0.00013438i,0.00033166+0.00069505i,-0.00031232+0.00075149i,-0.00012985-6.3628e-05i,0.00028632+8.5449e-05i,-0.00048707-0.0004339i,-0.00081392-0.00090633i
-0.0017561+0.0011642i,-0.0012495+0.00055654i,3.0321e-05+0.0018933i,0.0011359+0.0020235i,0.0015364+0.0010633i,0.0011897+0.00073684i,0.00027901+0.0001084i,-0.00032083-1.3733e-05i,-0.00039995+6.7801e-05i,-0.00011568+0.0001642i,0.0006245+0.00060308i,0.0007176+0.00092713i,-0.00031249+0.0005325i,-0.00014991+0.00023342i,-3.9247e-05-0.00035281i,-0.0002213-0.0003176i,0.00064416+0.00012301i,0.00094388+1.5518e-05i,0.00065032-0.00024767i,0.00015753-0.00014534i,4.7245e-05+0.00049901i,7.436e-05+0.00055488i,-8.0941e-05+0.00047133i
0.0031745+0.00061114i,0.0034049+0.0017221i,0.0038517+0.0015344i,0.0040469-8.6956e-05i,0.0030307-0.00080544i,0.0011574-0.0003485i,0.00068794+0.00013956i,0.0011062+0.0004798i,0.0013564+0.00050397i,0.0012116-7.3694e-05i,0.0006428-0.00036323i,-0.00015072-0.00037962i,-0.00012031-0.00026851i,0.00011026+0.00019731i,0.00047173+0.00017121i,0.00068126-2.9011e-05i,0.00013308-0.00068082i,-0.00059026-0.00047812i,-0.00030812+0.00055305i,0.00053471+0.00071033i,0.0006456-0.0001647i,0.00046294-0.00033042i,-1.1038e-06-0.00019824i
-0.0011601-0.00078699i,-0.00014424-0.0013839i,-0.00031863-0.0015476i,-0.00034705-0.00092917i,0.0007739-0.00036071i,0.0011085-0.00023522i,0.00062212+0.0006529i,-0.00052113+0.0010988i,-0.0012301+0.00024748i,-0.00038984+0.00035199i,0.00010955+0.0011406i,0.00018132+0.0012117i,0.00042729+0.0011001i,0.00018444+0.00088565i,0.00032621+0.00033939i,0.00064711+3.1745e-05i,0.0006358+0.000189i,0.00048026-0.000332i,-0.0005557-0.00071942i,-0.0011066-0.00025223i,-0.00021228-0.0002309i,0.00034267+6.6845e-05i,0.00037293+0.00033153i
