2.1802e-06+0.0013819i,-0.00081815+6.082e-06i,-0.0013918-0.0015887i,-0.0021397-0.0020021i,-0.0025682-0.00077349i,-0.0027584+0.00037927i,-0.0015393+0.00039402i,0.00027643+0.00057084i,0.00040804+0.00079476i,-0.00029686+0.00036036i,-0.00012777+0.00032343i,-0.0001273+0.00048981i,-0.00029353-0.00018795i,-1.19e-05-0.00040209i,-0.00035306+0.00021898i,-0.0006812+0.00018896i,0.00026492-4.0331e-05i,0.00066629-8.2989e-05i,0.00017069-1.0106e-05i,-3.9972e-05-0.00015026i,0.00013557-0.00093043i,0.0011236-0.00088147i,0.0011618-0.00044054i
-0.0013193+0.0011843i,-0.00095797+0.00054052i,-0.0011952-0.00032855i,-0.00055673+0.00011674i,0.00017458+0.0012904i,0.00096867+0.00064058i,0.00084636-0.00091837i,-0.00015914-0.0010879i,-0.000652-0.00037744i,0.00031784+9.4895e-05i,0.001063+0.0012044i,0.00013152+0.0014735i,-0.00021354+0.0014613i,0.00050511+0.0016152i,0.00026729+0.00079814i,-0.00022902-6.9214e-05i,5.7519e-06-0.00055835i,0.00034301-0.00029204i,0.0005326+0.00040156i,0.001299+0.00029797i,0.0014793+0.00011718i,-3.1052e-05+0.00019019i,-0.00075368-0.00044006i
0.00011778-0.000827i,-4.5105e-05-0.001235i,-0.0015018-0.0011122i,-0.0022887+0.0002235i,-0.0026033-8.8909e-05i,-0.0016568-0.00010809i,-8.5332e-05+0.00085035i,-0.0007236+0.00091794i,-0.0016876+1.7317e-05i,-0.0012683+4.3324e-05i,-0.00046775+0.00039321i,-8.717e-05+4.0042e-05i,-0.00048096+0.00031268i,-0.00047621+0.0001284i,0.00055529-0.00060963i,0.00086226-0.00055661i,0.00029752-0.0005813i,-0.00014593-0.00019901i,-5.1623e-05+6.7175e-05i,2.1356e-05-0.00091406i,-0.00013912-0.00055959i,-0.00075212+0.0003387i,-0.00079989+0.00017261i
0.0015111-0.0006017i,0.00094479-0.0013191i,2.93e-05-0.0026099i,-1.7812e-05-0.0015211i,-0.00029022+0.00043371i,0.00043285+0.0005842i,0.001578-0.000293i,0.001233-0.00075727i,0.00082219-0.0003821i,0.00044931-0.00017818i,0.00048912-0.00016585i,3.3841e-05+0.00019015i,-0.00045393+0.00090599i,-0.00016224+0.0006067i,0.00026173+0.00036029i,0.00083625+0.00036247i,0.0009438-0.00024348i,0.00030683-0.00018406i,-0.00021632-0.00024743i,-0.00037906-0.00028923i,-5.816e-05+0.00017392i,0.00054123+0.0001334i,0.00071341+0.00020105i
0.0025684-0.0016779i,0.0019831-0.0015938i,0.0015548-0.0018503i,4.4659e-05-0.0015276i,-0.0013969-0.00096634i,-0.0013863-0.0005379i,-0.00070372-0.00051264i,-0.00087865-0.00082073i,-0.0014623-0.00048668i,-0.0017095-3.9686e-05i,-0.001013-0.00053609i,-0.00066478-0.00094332i,-0.00038918-0.0006565i,0.00032267+5.2688e-05i,0.00031686+0.00041057i,0.00045047+0.00033604i,0.00084571+0.00085913i,0.00011543+0.00063314i,0.00025282+9.3405e-05i,0.00070396+0.00053114i,0.00056455+0.00075632i,0.00058036+0.00012831i,0.0002812-0.00050466i
-0.00039952+0.0011311i,0.00015449+0.0011322i,0.0010013+0.00084336i,0.00081277-3.9506e-05i,0.00054793-0.00042741i,9.6353e-05+0.00077517i,0.00065208+0.0015327i,0.0010888+0.00065752i,0.0001203-0.00053423i,-0.00022783-0.00035196i,-0.00019829+0.00063903i,0.00031618+0.0004432i,0.00077469+0.00021916i,0.00072237+0.00016692i,0.0010512-0.00020397i,0.0012544-0.00031206i,0.00030765-0.00022024i,-0.00012233+8.3984e-05i,-0.00029173+0.00019012i,-0.00032075-0.00034766i,6.0141e-05-0.00032047i,0.00039572+0.00026532i,0.00022426+0.0010153i
0.00038294+0.00049604i,0.00081769+0.00041396i,-0.0007954-0.00021284i,-0.0020822-0.00047627i,-0.0013343-0.0006815i,-0.00058581-0.00079996i,-0.00078837-0.00073199i,-0.00087179-0.0016808i,-0.000658-0.001702i,-0.00045987+0.00014018i,-0.00031686+0.0011211i,-0.0012496+0.00080796i,-0.0014968+0.00032601i,-0.00012623-6.3626e-06i,0.00080799+0.00020796i,0.0008672-2.9697e-05i,0.0012546-0.00076305i,0.00082823-0.00021908i,5.2047e-07-0.00014527i,0.00025755-0.00037646i,2.7368e-05+0.00048071i,-0.00061436+0.00046877i,-0.00042925+0.00014633i
0.0021308-0.00016758i,0.0020703+0.00021667i,0.0020082-0.00098713i,0.00067331-0.0014477i,-0.001327-0.00029233i,-0.0017324+0.0011852i,-0.00062611+0.0016144i,-0.00052449-0.00017557i,-0.0018373-0.0012023i,-0.0016879-0.00042453i,-0.00067057-3.8823e-06i,-0.00019958-0.0003146i,-0.00083821-4.9106e-05i,-0.00087205+0.00048758i,0.0002192+0.00036881i,0.00039763+0.00046044i,-6.2948e-05+0.00011401i,-0.00026611-4.2152e-06i,-7.5431e-05+0.00022662i,4.1419e-05+0.00020032i,0.00040026-0.0001222i,0.00020087+0.00013761i,-6.4348e-05+0.00021008i
-0.003216-0.00082797i,-0.0021761+0.00052859i,-0.0024383+0.0010887i,-0.0024259+0.0012691i,-0.0014809+0.0016978i,-8.4872e-06+0.0015086i,-0.00010664+0.00075233i,-0.00050369-0.00081929i,-0.00018249-0.001402i,-0.00048979-0.00034875i,-0.00067684+0.00015545i,-0.00032493-0.00027352i,0.00025107+0.00030999i,0.00072237+0.00081743i,0.00017999+0.00060407i,-0.00047598+0.0001253i,0.00020466-0.00010456i,0.00052296+0.00027279i,0.00032276+0.00087369i,0.00055115+0.001001i,0.00052191+0.00059459i,0.00023413-0.00028727i,-0.00052125-0.00037878i
0.00061456-0.00087828i,0.0012546-0.00071555i,0.0012724-0.00013209i,0.00094561+9.3538e-05i,0.00012723+0.00036265i,-0.00062196+0.0001412i,-0.00065415+0.00064145i,-0.00063022+0.00074882i,-0.00058049+0.00035655i,-0.00011527+0.00037408i,0.00045262+0.00050952i,-1.0511e-05+0.00053156i,-0.00033226+0.00036374i,-9.6035e-05+0.00055012i,-0.00033839+0.00098844i,-0.0002445+0.00057288i,0.00066654-0.00038268i,0.0011824-0.0002749i,0.00015568+1.0045e-05i,-0.00019256-3.0632e-05i,0.00057166+0.00011934i,0.00099337+0.00051883i,0.00066064+0.0001284i
-0.00031154-0.00050693i,-0.00016009-0.00097725i,0.00032633-0.00075212i,-0.00021682-0.00071171i,-0.0011061-0.00057428i,-0.001072-0.00062693i,0.00031667-0.00054402i,0.00066576-0.00045944i,-0.00036484-0.00047724i,-0.00057599+0.00017256i,-0.00078618-0.00051786i,-0.00072792-0.00088656i,-0.00022926-0.00033668i,3.6722e-05-5.0137e-05i,0.00034159+0.00010944i,0.00035655+0.00047179i,0.00023494+0.00074812i,0.00038343+0.0003614i,5.9978e-05+5.9385e-05i,-0.00027107+0.00031018i,-0.00048899+9.351e-05i,-0.00011985-9.669e-05i,-0.00069937-0.00015706i
