-0.001492+0.0025337i,-0.002102+0.0016232i,-0.0020449+0.00023474i,-0.001776-0.00029337i,-0.0012511+0.00055639i,-0.00015968+0.0011627i,7.5982e-05+0.0016065i,0.00082202+0.00083109i,0.0013796-0.00038515i,0.0013658-0.00028225i,0.0013342-6.1102e-05i,0.00035701-0.0008366i,-0.00062337-0.0014727i,-0.00053148-0.0012544i,5.1194e-05-0.00038569i,0.000498+8.7857e-05i,0.00025122-0.00013239i,-0.00033043-0.00048159i,-0.00032152+6.8469e-05i,-0.0007001+3.1657e-06i,-0.0014786-0.00029967i,-0.00085823+0.0003149i,-0.00020185+9.7205e-06i
0.00089174+0.00010788i,6.7223e-05+0.00028174i,-4.5054e-05-0.00074473i,-3.8242e-05-7.6933e-05i,-0.00049432+0.00091806i,-0.00083279+0.0012073i,0.00028715+0.0017728i,0.00081606+0.0013048i,0.0003358+0.00039881i,-0.00031646+0.00030306i,-0.00068444+0.00031571i,-0.0002621+0.00069515i,-3.2142e-05+0.00049593i,6.6427e-05-0.00011407i,-7.869e-05-0.00010427i,-0.00060757+0.00062282i,-0.00041899+0.00064705i,0.00040203+0.00027181i,-0.00011407+0.0001385i,-0.00071975+4.1698e-05i,-0.00053637+0.00017715i,-0.0007098-0.00023801i,-0.00075813-0.00066796i
-0.00095381+0.00010068i,-0.00038978-1.602e-06i,-0.00028774-1.3369e-05i,-0.00033161+0.00052803i,-0.00042746+0.00072377i,0.00034656+0.0010648i,0.0005921+0.0015705i,0.00051383+0.0012466i,-0.00016386+0.00034305i,-0.0004641-4.468e-05i,-0.00012548+0.00042812i,-0.00075542+0.00070424i,-0.00071827+0.00054529i,0.00015187+0.00058679i,0.00040091+0.00063577i,0.00031839+0.0004981i,0.00028798+0.00038752i,0.0005594-0.00044638i,0.00057206-0.0006447i,-0.0001839-0.00088577i,0.00034753-0.00081602i,0.00081921-0.00018958i,0.00026348-0.00026645i
-0.00015958-0.00023388i,-8.2071e-05+7.305e-05i,0.00047599-0.00012702i,-0.00011745+9.408e-05i,-0.00011619+0.00030306i,0.000187-0.00032836i,2.7347e-05+0.00022175i,-0.00035368+0.00078427i,0.00022807+0.00011359i,0.00018442+0.00014139i,-0.00032067+0.00082551i,-0.00085008+0.00079716i,-0.0011016+0.00031734i,-0.00060871-0.0003085i,0.00024748-0.00047109i,0.00053528-0.00019024i,-7.9955e-05-1.7917e-05i,-0.00010721+0.00027417i,0.00034736+0.00028208i,0.00050476+0.00012474i,0.00057763-0.00015343i,0.00017963-0.0005783i,0.0001517+0.00024972i
0.0016205+5.283e-05i,0.00084548+0.00045715i,0.0010089+0.00037055i,0.00071975-0.00010896i,7.6816e-05-0.00093075i,-0.00015695-0.0012128i,3.2336e-05-0.00026831i,-0.00042694+5.1511e-05i,-0.00073835-0.00015031i,-0.00050877-0.00025526i,-0.0008308-0.00076528i,-0.00075397-0.00032034i,-2.2625e-05+0.00067435i,-0.00030113+0.0002879i,-0.00051176-0.00039847i,0.00021263-0.00038147i,-0.00010142-0.00034902i,-0.00041191+4.0584e-06i,0.00011822+0.00020004i,-6.5452e-05+0.0006143i,-0.00022802+0.00037012i,-4.2648e-05-0.00044628i,1.0967e-05-0.00028499i
-0.0016238+2.2397e-05i,-0.0023417-0.00047939i,-0.00098812-0.00047625i,-0.00067499-0.00030191i,-0.00030102-0.00035821i,0.00088683+0.00057281i,0.0015344+0.0014022i,0.00091911+0.0012071i,-0.00049982+0.00067242i,-0.0015582+0.00027904i,-0.00056531+4.2404e-05i,0.00085714+0.00011627i,0.00027492+0.00033565i,-2.9986e-05-0.00010132i,-4.5925e-05-0.00066408i,-0.0002051-0.00085709i,0.00011566-0.00042265i,0.00014474+0.00019948i,-0.00063534+0.00029297i,-0.00122-0.00044943i,-0.00076207-0.00082952i,-0.00018515-0.00050238i,-0.0003182+0.00017081i
0.00044847-0.00062172i,0.00077991-0.0007331i,0.0010453-0.00068133i,0.00059192-0.00052785i,-0.00027225-8.5041e-05i,-0.00017612+0.0002726i,-9.6673e-06+0.0011563i,-0.00015472+0.00070016i,0.00018792-0.00047896i,0.00064562-0.00051019i,0.00060912-0.00044466i,0.00034455-0.00030088i,0.0010397-0.00014658i,0.0016012-0.00011795i,0.0010027-0.00065768i,0.00058437-0.00081771i,-2.5918e-05-0.00053325i,-0.00016972-0.00016942i,1.024e-05+0.00058132i,-0.00092441+0.00021694i,-0.0011437-0.00076151i,-0.00011712-0.00067886i,0.00064464+6.0547e-05i
0.00076422+0.0029736i,0.0010612+0.0015421i,0.00077053+0.00023749i,0.0010363-0.00016875i,0.0015302-0.00061746i,0.00077882-0.00092381i,-9.835e-05+0.00065186i,-0.00023854+0.0020206i,-0.00048214+0.0013231i,-0.00037466-9.0708e-05i,0.00060299-0.00010131i,0.00032562+0.00067577i,-0.00071719+0.00071749i,-0.00045419+0.0004939i,-0.00018905+0.00014555i,-0.00011435-0.00037455i,-0.00021649-0.00076671i,-0.00019006-2.2472e-05i,-0.00033724+0.00083486i,0.00017122+0.00044895i,0.00065419+0.00010524i,0.00073125+0.00021982i,0.00070026+0.00010728i
0.0002138+0.00057674i,-0.0001064+0.00040872i,-0.000215-0.00033188i,-2.9002e-05-0.0011798i,0.00044626-0.00090462i,0.00025308-0.00027422i,-8.3193e-05+0.00010372i,0.0004451-6.9868e-05i,0.00085079-0.00042292i,0.00032176-0.00022292i,-0.00080719+0.00019779i,-0.00096662-2.8679e-05i,-0.00072581-0.00031815i,-0.00050798+9.4312e-05i,0.00039837+0.000925i,0.00031311+0.00052388i,0.00015177+6.6214e-06i,0.00046955+0.00041347i,0.0010185+0.00026553i,0.00079238-0.00010876i,0.00024844-0.00049432i,0.00014988-0.00056451i,0.0003045-0.00069017i
0.0011344+0.0010621i,0.0010136+0.00058002i,0.0011707-0.0004092i,0.0007197-0.0007068i,0.00044821-0.00044362i,-0.00064693-0.00028552i,-0.0008164-0.00059891i,0.00069803-4.2759e-05i,0.00093694+0.00045377i,0.00037147+9.4712e-05i,0.00049682-1.5966e-05i,2.2319e-05-0.00070839i,-0.00050562-0.0009072i,-0.00016272-0.00024515i,0.00032335+0.0002441i,0.0003837+6.6984e-05i,0.00031674-0.00023178i,-6.1306e-05-0.00025629i,-0.00070247+0.00039569i,-0.00056584+0.0010785i,-0.00039619+0.0011503i,-0.00010694+0.00073479i,0.00034465+0.00018149i
-0.00086488-9.1035e-05i,-0.0013192-3.4684e-05i,-0.0006717-0.00029616i,-0.000206-0.00028187i,9.3648e-06-5.0903e-05i,0.00035671-0.00040191i,0.00047429-1.2824e-05i,-2.6692e-05+0.0007798i,-0.00032054+0.00068097i,0.00066339-0.00023849i,0.0012775+9.3156e-05i,0.00074282+0.00025358i,0.00037227+4.7239e-05i,0.00011273-0.00027508i,-0.00030833-0.00031399i,-0.0009514+0.00033248i,-0.00082488-0.00034599i,-0.0010055-0.00060329i,-0.0014997+0.00026459i,-0.0010869+0.00028111i,-9.7471e-05+0.000134i,0.0007931+0.00086218i,0.00023808+0.0017965i
