-0.00036785-0.00045595i,-0.00016602-0.00024792i,5.4308e-05+0.00067891i,-0.00023507+0.00083931i,-0.00039189+0.00097296i,-0.00047924+0.0024052i,-0.00053711+0.0029451i,-0.00025911+0.0021689i,0.00091417+0.0015207i,0.0013679+0.00046118i,0.00051618-0.001013i,-0.00040344-0.0015764i,-0.00070003-0.0011924i,-0.00028766-0.00045629i,5.3217e-05+0.00019377i,-0.00033044+0.00047516i,-0.00019082+2.855e-05i,0.00069019-0.00011208i,0.00065867-0.00021314i,-0.00040525-0.00043773i,-0.00076645-0.00018342i,-0.00059583-0.00014191i,-0.00070007-0.00059785i
0.00052142-0.00040296i,0.00057-7.7156e-05i,0.0002631-0.00021099i,-0.00045384-0.00082038i,-0.00061696-0.00073617i,-0.00051691+0.00010087i,0.00042835+0.00099632i,0.00098498+0.0010869i,0.00071628+0.0010984i,0.00044863+0.00055122i,-9.4148e-05-0.00048687i,-0.00031346-0.00068998i,8.8917e-05-0.00099087i,-0.00049053-0.00099812i,-0.0010223-0.00059693i,-0.00025125-0.00060366i,0.00024438-0.00014179i,0.00014222-5.12e-05i,-0.00012818-0.00032327i,0.00047757+0.00021564i,0.0006302+0.00081932i,0.00037155+0.00076155i,0.0002356+0.00032093i
0.0010393-0.0016838i,0.00082725-0.0022191i,0.00013704-0.0018528i,-0.0011134-0.0015857i,-0.00098902-0.0013389i,-0.00053554+1.2747e-05i,-0.00030423+0.00084954i,-0.0001671-1.3676e-05i,0.000178-0.00019874i,0.00048395-9.8679e-05i,0.00070987-0.00056693i,-4.9152e-06-7.7208e-05i,-0.00044667+0.00035764i,-0.00018657-5.7749e-05i,-0.00020253-0.00055233i,-0.00041856-0.00037448i,-0.00034299-9.4747e-05i,-0.00030587-9.5778e-05i,-0.00052989-6.9313e-05i,-0.00054946+0.00024393i,-0.00062751+0.00028696i,0.00025184-0.00021137i,0.00084529-0.00024737i
0.0004469+0.00039923i,0.00064549-0.00014319i,0.0007685+4.9394e-05i,0.00032031+0.0011847i,-0.00020583+0.0016187i,0.00018204+0.001522i,0.00080714+0.001832i,0.00048079+0.0022444i,-0.00012807+0.0018885i,-6.6959e-05+0.00045645i,-0.00011578-0.00038918i,-0.00033853-0.00049213i,-0.00021731-0.00033131i,-0.00056996-0.00023039i,-0.00061978-0.00061157i,-0.00051737-0.00014471i,-0.00076411+0.00023025i,-0.00083171-0.00012297i,-0.00058562-0.00015653i,-0.00036173+3.4024e-05i,-8.3287e-05+0.00023501i,0.00020567-2.0608e-05i,0.00026336-0.00033085i
-0.00017922+0.00032989i,-0.00044344-0.0013306i,-0.00052876-0.0012873i,0.00014225-0.00013356i,0.00086731+0.00017823i,0.00046482-0.00069153i,0.00032404-0.00085813i,0.00062169-0.00021872i,4.3057e-05+0.00011921i,-0.0005694-5.47e-05i,-0.00057755-0.00014392i,-0.00063393-0.00030667i,-0.00080535-0.00081598i,-9.4398e-05-0.00099781i,0.00020641-0.00045707i,-0.0001243-0.00047234i,0.00061584-0.00042553i,0.00043092-5.0725e-05i,-0.00061802-0.00080585i,-0.00083946-0.0012739i,-0.00028745-0.00036454i,0.00050918+0.0011575i,0.00096753+0.0017381i
9.8908e-05-0.00017101i,0.00069897-0.00040413i,0.0015233+5.7789e-05i,0.00079499+0.0010215i,-0.00028527+0.001821i,0.00047292+0.0016034i,0.0016526+0.0014628i,0.0016629+0.0011633i,0.00093822+0.00046384i,0.00051486+0.00012234i,0.0006799-1.4773e-05i,-6.3597e-05+0.0002797i,-0.0005269+0.00054197i,-9.5528e-05+0.00020645i,-8.2103e-05-0.00012098i,-0.0004918-0.00019042i,-0.00042163+5.3397e-05i,0.00021592-0.00040588i,-0.00024454-0.00038317i,-0.00038961+0.00031302i,-0.00034104-0.00014546i,-0.00058832-6.6743e-05i,-0.00052452+0.00034471i
0.00060771+0.00049674i,-4.9545e-05+0.00087243i,0.00010335+0.00045787i,0.0001161-0.0005409i,0.00016768-0.00063804i,0.00010052+0.0001538i,-0.00018339+0.00019151i,0.000316-0.00037984i,0.00081103-0.00010927i,0.00087249+0.00016249i,0.00039411-0.00016045i,-0.00021199-0.00017769i,-0.00068719+0.00047104i,-0.00091154+0.00096325i,-0.00084579+0.00065234i,-0.00066945+9.9632e-05i,-9.0653e-05-0.00032289i,0.00054426+9.5805e-06i,0.00065781+0.00031185i,7.9789e-05+0.00020536i,-0.00061095-0.00033522i,-0.00038372-0.00090886i,-0.00029057-0.00079873i
0.00023813-4.2825e-06i,-0.00074862-0.00092778i,-0.0012692-0.0012538i,-0.0011117-0.00084902i,-0.00057449-0.00085419i,-0.00019421+0.00013269i,-0.00043664+0.0016716i,-0.0004288+0.0016404i,-0.00023918+0.0010565i,8.1102e-05+0.00040409i,0.00043206-0.0005857i,0.00034736-0.00035653i,-0.00012215-0.00019938i,9.9451e-05-0.00072493i,-5.0504e-05-0.00079531i,-0.00046709-0.00059668i,-0.00088686-0.000164i,-0.0013174-0.00079086i,-0.00060847-0.0011899i,0.00033565-0.00012728i,-2.5155e-06-5.5473e-05i,-0.0011584-0.00036636i,-0.00040728-0.00043821i
0.00057118-0.00046388i,0.00031956-0.00080528i,-0.00090117-0.00054814i,-0.00059216+0.00060773i,0.00012428+0.0010209i,0.00011873+0.00088608i,0.00036933+0.00036254i,0.00028514+0.00014593i,0.00040556+8.1454e-06i,0.00072755-0.00011039i,0.00012033+0.00039018i,-0.00034185+0.00071466i,-0.000443+0.00031177i,-0.0004117-4.3184e-05i,8.8737e-05-0.0004242i,0.00031012-0.00022835i,5.1091e-05+0.00034586i,7.6203e-06+0.00052013i,-0.00037029+0.0010179i,0.00015768+0.0012977i,0.00059874+0.00078558i,0.00076012+0.00014588i,0.00053204-0.0001858i
0.00034815+0.00077682i,0.00069136-0.00072006i,0.00099652-0.0016881i,0.00041302-0.0017958i,0.00049017-0.00077451i,0.00086538-0.00013249i,0.00041054+0.00013164i,7.3931e-05+0.00060376i,-0.00056913+2.2773e-05i,-0.001002-0.00068007i,-0.00039947-0.00074107i,-0.00083442-0.00062662i,-0.00075168-0.00039097i,0.00075804-0.00028578i,0.00094965-0.00039554i,0.00014021-0.00043242i,-5.4095e-05-1.1183e-05i,-2.3849e-05+0.00031308i,6.8787e-05+0.00027906i,0.00018138+0.00019378i,0.000291+0.00027998i,0.000152+0.00074912i,-7.2841e-05+0.0010221i
0.00022838-0.00063426i,-0.00014585+6.1763e-05i,0.00030459-0.00015538i,0.00020366+4.6105e-05i,-0.00090862+0.00088489i,-0.0008548+0.00078689i,-0.00047102+0.00027661i,-4.3641e-05+0.00041978i,2.7844e-05+0.0015795i,0.00047003+0.0010177i,0.00069206-7.3484e-05i,-3.7e-05+0.00028437i,-0.00016446+0.00069839i,-0.00024774+0.00025583i,-0.00059988+0.00026507i,-0.00028179+5.6366e-05i,-0.00056174-0.00024031i,-0.00056313-0.00039254i,0.00039545-0.00020604i,0.00070105+0.0002496i,0.00036548+0.00048629i,0.00026651+0.00038252i,0.00017967-1.6177e-05i
