-0.00088589+0.0019396i,-0.0009632+0.0021957i,-0.0021128+0.0018374i,-0.0017483+0.00047177i,-0.0013897+0.00039892i,-0.00042418-0.00033623i,0.0002034-0.00066909i,0.00012544-0.00066245i,0.00049822-0.00036331i,0.0010762-0.00020711i,0.0014202-0.00076231i,0.00059557-0.0014228i,0.00037291-0.0017742i,0.00059046-0.0018444i,0.00034568-0.0013602i,-0.00015297-0.00020919i,-7.2404e-05+0.00085956i,0.00032357+0.00010231i,0.00021057-0.00044823i,-0.00037507-6.8149e-05i,-0.0011163+0.00016765i,-0.00065361+0.0009347i,-0.00022602+0.0011236i
-0.0012767+0.00092527i,-0.00021493+0.001154i,-0.00011218+0.00061991i,0.00017079-0.00012551i,0.00048279+0.00019782i,0.00022475-0.00017066i,-0.0003522-0.0015354i,-0.0004436-0.0012173i,0.0001696-0.00044967i,0.00056643+5.0635e-05i,0.00046084+0.0001104i,0.00065053+0.00016988i,0.00045828-0.00038392i,0.00040812-0.00094097i,0.00017307-0.00031424i,0.00028531-0.00030559i,0.00056068-0.00042895i,-0.00041-0.00013662i,-0.0005855+0.00042453i,0.00031592+0.00077134i,0.00031728+0.00078745i,-0.00018315+0.00034809i,0.00040671-0.00045985i
-0.0013911+0.00074832i,-0.00061864+0.0013603i,-0.00056761+0.0020436i,-0.0001366+0.0017024i,0.00037849+0.00052164i,0.00073438-0.00020704i,0.00056964-0.00017153i,0.00018698-0.00037857i,-0.00067916-0.00050377i,-0.00088202-0.00017619i,9.4676e-06+0.00020774i,0.00062405+4.9843e-05i,0.00094835-0.00024079i,0.0011488-0.00035251i,0.00057223-0.0001075i,-0.00061834-0.00039612i,-0.00051556-0.00062651i,-0.00025051-0.00020028i,-0.00069172+9.5936e-05i,-0.0011436+0.00035627i,-0.00051586+0.0005237i,0.00018689+0.0003344i,0.00046362+2.404e-06i
0.00074891+0.0013313i,0.0011065+0.0014895i,0.00091938+0.0018369i,0.00046145+0.00095634i,0.00043783-0.00020884i,-0.00074753-0.00068938i,-0.0012746-0.00095798i,-0.00075494-0.00023943i,-0.00046289+0.00039247i,-0.00053532-6.1329e-07i,-0.00063441+7.5561e-05i,-0.00025311+0.00045363i,-0.00066075+0.00041191i,-0.0009771-0.00015124i,-0.00019355-0.00048905i,0.00037576-0.00040076i,3.3309e-05-0.00042252i,0.00036368-0.00024049i,0.00080759+6.9716e-05i,0.00057019+5.3879e-05i,5.5427e-05+0.00010259i,-0.00024768+0.00025475i,4.4758e-05+0.00033558i
-0.001314+0.0019827i,-0.00019674+0.00094135i,0.0014686-2.9292e-05i,0.0011015-0.00027467i,-0.00025276-0.00065855i,-0.00088569-0.00067268i,-0.0011875-0.00019297i,-0.0014234+0.00038407i,-0.00060914+0.00068033i,-0.00067029+0.00053145i,-0.0013202-0.00016559i,1.9013e-05-0.00010363i,0.00013078+0.00024075i,-0.00055637-8.92e-05i,-0.0006105-0.00010051i,-0.00050091+0.00022801i,-0.00046911+0.00019223i,-0.00055622+0.00032895i,-0.00031489+0.00081882i,-0.0001581+0.0013273i,-0.00050239+0.00098265i,-0.00029526+0.00057609i,-0.00014658+0.0008666i
-0.00066514-0.0011002i,-0.00092351-0.0008169i,-0.00056642-0.00082186i,0.00028511+0.00028528i,0.0004417+0.0011651i,-0.00044402+0.00068257i,-0.0010542-0.00030305i,-0.00024309-0.00089901i,0.0012222-0.00067125i,0.0013565-0.00090273i,0.00059196-0.0011071i,0.00027954-0.00040478i,0.00015003-0.00019768i,0.00022527+0.00015273i,0.00039576+0.00082548i,0.00031325+0.00029363i,-0.00024785-0.00081049i,-0.00060431-0.0010154i,0.00014803-0.00011158i,0.00042955+0.00091941i,3.1257e-05+1.7644e-05i,0.00021204-0.001321i,0.0009472-0.0014107i
-0.00089782+0.0035987i,0.00048361+0.0024328i,0.0021757+0.0012761i,0.0019492+0.0016289i,0.00080805+0.0011591i,0.00027088-0.00012705i,-0.00055118-0.0014253i,-0.0010563-0.0015985i,-0.0011412-0.0012796i,-0.00057056-0.0005165i,0.00027565+0.00030448i,0.00040274-3.9195e-05i,0.00038902-0.00069525i,0.00041741-0.0010122i,0.00010165-0.00059214i,-0.00041016-0.00037974i,-0.00040004+0.00016159i,-4.6325e-05+0.00034622i,-8.7927e-05-0.00050035i,-0.00012008-0.00045503i,0.00018908+0.00076584i,0.00032304+0.0010311i,0.0010173+0.00084418i
-0.0017068+0.0040752i,-0.00089724+0.0039616i,-0.00018054+0.0033099i,0.00051339+0.0019488i,0.00059604+0.00035353i,3.7519e-05-0.00020085i,-0.0016255+9.7542e-05i,-0.0015949+0.00037981i,-0.00011359+0.00028i,0.00066154+0.00036084i,0.00097248+0.00017147i,0.001052-0.0008i,0.00060088-0.0010833i,-0.00015416-0.00059129i,3.834e-05-0.00063719i,0.00056324-0.0002523i,0.0010028+0.0008338i,0.00075906+0.00082878i,-0.00047639+0.00062196i,-0.0014273+0.00082242i,-0.00099837+0.00067879i,-0.00053017+0.00011604i,-5.8666e-05-0.00018647i
0.00024675+0.00030554i,0.00025763+4.9936e-05i,-0.00022025-0.0017051i,-0.0004162-0.0021755i,-2.8405e-05-0.00091485i,-0.00031688-0.00062203i,-0.0009418-0.00057247i,-0.0012217-9.4901e-05i,-0.00086729+0.00010661i,-3.3087e-05+0.00032555i,0.00030805-0.00052858i,0.0012035-0.0013904i,0.00067152-0.00082681i,-0.0010793-0.00040514i,-0.0014727-5.752e-05i,-0.0013236+0.0003479i,-0.00091389+0.00070291i,-0.00020512+0.00091908i,-0.00025596+0.00031654i,-0.00086709-0.00026013i,-0.00046444-0.00025095i,1.699e-05+0.00027683i,-0.00041535+0.00047614i
-0.00060628-0.0003555i,-0.00046552+0.00032325i,-0.00020955+0.00094096i,-0.00017815+0.0010915i,-0.00012458+0.0012199i,-1.1817e-05+0.00066482i,-0.0006591-0.00089687i,-0.001537-0.001402i,-0.00080229-0.00031241i,-1.8417e-05+0.00038307i,0.00035791+9.4873e-05i,0.0010094+0.0001747i,0.0013044+0.00035804i,0.0010967-0.00046105i,0.00090265-0.00018809i,0.00075243-9.0838e-05i,0.00056314+5.041e-05i,0.00026926+0.00024183i,0.00039804-0.00011729i,0.00052343-3.871e-05i,-0.00012206-0.00020216i,-0.00035522+0.00016126i,0.00021623+0.00113i
0.00079616+7.5639e-05i,0.0014039+0.00049078i,0.0016048+0.00064822i,0.0004556+0.00036268i,-0.00018922+0.0003216i,-0.00029827+0.00051339i,-0.0002951+0.00061445i,-0.00048191-4.2885e-05i,-0.00051802-0.00056714i,-0.00053665-0.00092977i,-0.00047223-0.0016364i,0.00013279-0.0012441i,0.0005862-0.00013263i,0.00055049-8.4857e-05i,0.00041717-2.4623e-08i,0.00085545+0.00091515i,7.9596e-05+0.0010481i,-0.00026896+0.00070465i,0.00016481+0.00080408i,-0.0001942+0.00085001i,0.00039785+0.00074048i,0.00075545+9.0887e-05i,0.00051755-0.00025788i
