-0.00088589+0.0019396i,-0.0009632+0.0021957i,-0.0021128+0.0018374i,-0.0017483+0.00047177i,-0.0013897+0.00039892i,-0.00042418-0.00033623i,0.0002034-0.00066909i,0.00012544-0.00066245i,0.00049822-0.00036331i,0.0010762-0.00020711i,0.0014202-0.00076231i,0.00059557-0.0014228i,0.00037291-0.0017742i,0.00059046-0.0018444i,0.00034568-0.0013602i,-0.00015297-0.00020919i,-7.2404e-05+0.00085956i,0.00032357+0.00010231i,0.00021057-0.00044823i,-0.00037507-6.8149e-05i,-0.0011163+0.00016765i,-0.00065361+0.0009347i,-0.00022602+0.0011236i
-0.00074808+0.00035658i,-0.00040497+0.00060288i,0.00060507+0.0009232i,0.0010336+0.00015012i,0.0014146-0.00050205i,0.0012078-0.00115i,0.00095388-0.0015333i,0.0010163-0.00084759i,0.00085755-0.00029i,0.00032986-0.00024809i,-8.5425e-05-0.00037579i,-0.00047025-0.00086354i,-0.00070187-0.00071796i,-0.00042875-0.00080725i,0.00028622-0.00060259i,0.00033032+0.00020404i,-2.5455e-05+0.00033651i,-7.6455e-05+0.0011198i,3.5334e-05+0.0017719i,-0.00033195+0.0011349i,-0.00058351+0.00040741i,0.00021129-0.00011804i,0.00069157-6.6544e-05i
-0.0023221+0.00092481i,-0.0017013+0.0017906i,-0.0012115+0.0015434i,0.00039903+0.0010659i,0.0008435+5.8199e-05i,0.00014439-0.0011924i,-0.00017015-0.0015922i,-0.00046918-0.0011144i,0.00024163+0.0001945i,0.00082528+0.00083207i,0.00028257+0.00082934i,-0.00030782+3.593e-05i,-0.00055929-0.00038907i,-0.00057047-8.8672e-05i,0.0002095-8.782e-05i,0.00021802+0.00039257i,-6.8984e-05+0.0005043i,0.00031769+0.00011559i,0.00062904+0.00031625i,0.00029062+0.0002485i,-0.00021293+0.00032525i,0.0001133+0.00040398i,0.00095376+0.00028092i
0.00014959+0.00034798i,0.00033517-0.00037417i,0.00089917-0.00053851i,0.0015322-0.00024526i,0.00060062-0.00040831i,-0.0009681-0.00087504i,-0.0012122-0.0010229i,-0.0010135-0.00026162i,-0.0011215+0.00056983i,7.0174e-05+0.00011147i,-6.2757e-07+6.7002e-05i,-0.00072865+0.00035228i,-6.7116e-05-6.0608e-05i,0.00023809-9.5874e-05i,-0.00069711-0.00038878i,-0.00078751-4.8187e-05i,-0.0001552+0.0013294i,-0.00030781+0.0013811i,-0.00016651-0.00022553i,0.00028168-0.00052502i,0.00019-0.00026212i,-0.00070097-0.00036403i,-0.00049076+0.00038112i
0.00056842-0.00046661i,0.00044558-0.00076786i,0.00027356-0.0007586i,-0.00076068-0.00019688i,-0.00070983-0.00031254i,-0.00016906-0.00049879i,-0.00028164-0.00018474i,-0.0003169+0.0002338i,-0.00033567-0.00023101i,0.00046298-0.00054225i,0.0012268-0.000663i,8.576e-05-0.00044339i,-0.00061286+2.9284e-05i,0.00066747+5.3269e-05i,0.0011599-0.00035805i,0.0015422+0.00035147i,0.0012985+0.0010129i,0.00039597+0.00055545i,0.00010924+0.00052594i,-0.00010168+0.00026565i,-0.00070732-0.00021421i,-0.00046331-0.00025588i,-0.00031249-0.00037764i
-0.0020654+0.0030936i,-0.0013269+0.0042864i,-0.00041733+0.0050113i,0.00098178+0.0030428i,0.0014406+0.00027444i,-0.00027379-0.0015293i,-0.0012509-0.0019281i,-0.00088739-0.0013855i,-0.00010625-0.0011031i,0.00061245-0.0004982i,0.00026123-0.00025193i,-4.8621e-05-0.00096998i,0.00050615-0.0010551i,0.00041166-0.001092i,0.00016867-0.00098429i,0.00029905-0.00011183i,-0.00040261+0.00041029i,-0.00094469+0.00078445i,-0.00079214+0.00081984i,-0.0009118+0.0002019i,-0.0007015+0.00013943i,0.00027288+0.0005012i,0.00058692+0.00032395i
-0.00092547-0.00030317i,0.00076485+0.0011554i,0.0019658+0.00042534i,0.0015603-0.00022954i,0.0014231-0.00086678i,0.0012314-0.0015294i,0.00012892-0.0020033i,-0.00058768-0.0014535i,-0.00075309-0.00025504i,-0.00046936+0.00010639i,0.00024416+0.00057943i,0.00046062+0.00082819i,0.00058293+0.00024471i,0.00042621-0.00023268i,0.00055547-0.00063125i,0.0005439-0.001022i,0.0001432+0.00043608i,-0.0002242+0.0011395i,0.000643+8.1708e-05i,0.0010517+2.487e-05i,0.00027711+0.00017272i,0.00010014+0.00017579i,-3.8787e-05-0.00035146i
0.0010678-0.0013927i,0.0008168-0.00095611i,-0.00045761-0.00032739i,-0.0013037+0.00098461i,-0.0015762+0.0012763i,-0.0013061+0.00056237i,-0.00081049+3.1678e-06i,-0.0010571-0.0008651i,-0.0011325-0.0010115i,-0.00085363+0.00033381i,-0.00097682+0.00044584i,-0.0002089+0.00045808i,0.00032832+0.00087057i,0.0002671+0.0015827i,0.00045619+0.0013706i,0.0004678+0.00071602i,0.00070159+0.0010408i,4.249e-05+0.0010494i,-0.00013361+0.00096983i,0.00017981+0.00080934i,2.3591e-06+0.00029873i,0.00057772+0.00025539i,0.00069405+0.00024447i
0.0014583-0.00072563i,0.00035056-0.00011759i,0.00061093-0.0016029i,0.00028168-0.0024031i,-0.00099636-0.0010814i,-0.0013799-0.00032689i,-0.00077685-0.00047434i,0.00022969-0.00032429i,-0.00041948+0.00032994i,-0.00067544+0.00054407i,-0.00042996+0.00035589i,-0.00029233+0.00013888i,0.00038552-0.00012122i,0.00067626-0.00059213i,0.0004545-0.00064484i,-0.00012373+0.00012092i,-0.00024877+0.00076723i,0.00045747+0.0010147i,0.00080936+0.0008132i,0.00021502-0.00019059i,-0.00063788-0.00039631i,-0.00020943-0.00048138i,0.00046922-0.00062666i
-0.003198-0.00012828i,-0.0026555+0.00061452i,-0.0019232+0.0012504i,-0.00082529+0.0011839i,0.00062611+0.00011604i,0.0011628-0.0016994i,9.0869e-05-0.0024996i,-8.5456e-05-0.0014749i,0.00049314+0.00035371i,0.00065338+0.0010954i,0.00069276+7.7584e-05i,0.00057791-0.00018558i,0.001087-9.0876e-05i,0.0012157-0.00069025i,0.0008836-0.00071252i,0.00032885-0.00060223i,-0.00058989-0.00053946i,-0.00045001-0.00056038i,-0.0004303+2.7151e-05i,-0.00056485+0.00080695i,-0.00073718+0.00096817i,-0.00060692+0.00066821i,0.00017776+0.00056596i
0.00095765+0.0014628i,0.0017+0.0017963i,0.0023668+0.0015316i,0.002076+0.0015928i,0.001248+0.0017052i,-0.00014091+0.00083263i,-0.00051821+0.00014395i,-8.4246e-05-3.1437e-05i,-0.00057345+0.00011842i,-0.00088354+3.1097e-05i,-0.00046101-0.00079992i,-7.5091e-05-0.00060092i,-0.00022912+0.000773i,-0.00095139+0.00099896i,-0.00038282+0.00017494i,0.00040203+0.0001578i,0.00046335+0.00076619i,0.00054192+0.00073543i,0.00024744+0.00041364i,-0.00017596+0.00044291i,-1.7848e-05+0.00011927i,-0.00011113+8.2856e-06i,-0.00043482+0.0001042i
-0.00058234-0.0017092i,-0.0020953-0.0012738i,-0.0026981-0.0015768i,-0.0024112-0.001238i,-0.0016492-0.00029757i,-0.0002582-0.00055448i,0.0011326-0.0010492i,0.0014695-0.0014324i,0.00069872-0.0013599i,8.3896e-05-0.00032765i,-0.00043122+0.00039036i,-0.00092807+0.00038603i,-0.00090751+0.00029531i,-0.00059134+0.00069396i,9.5791e-05+0.0016495i,0.00023561+0.0011276i,0.00015974-8.4419e-05i,-0.00029041-0.00099279i,-0.00020021-0.00073662i,0.00049166-0.00022674i,0.00080924-0.00080734i,0.00047931-0.00086635i,3.2219e-05+0.00018068i
-0.0010817+0.0010188i,-4.2788e-05+0.0014713i,0.00056611+0.0025859i,0.0011732+0.0017892i,0.0016845+0.00013797i,0.00033732-0.0011671i,-0.0017278-0.0014592i,-0.0016485-0.00075663i,-0.00018623+0.00023316i,0.00074585+0.00063703i,0.00071156+0.00088727i,-8.9311e-05+0.00025163i,-0.0002411-0.00079378i,-0.00019378-0.0010647i,0.00020723-0.0011254i,0.00086032-0.001076i,0.00078561+7.2589e-05i,0.00029878+0.00089593i,-0.00040171+0.00065025i,-0.00073084+0.00062348i,-0.00036297+0.00043408i,-0.00040484-6.7735e-06i,-0.00090186-0.00038639i
0.00071715+0.0017208i,0.0016863+0.0015793i,0.0010881+0.0020872i,0.00080931+0.0019609i,0.00016947+0.0011775i,-0.0010112+0.00071987i,-0.00034211+0.00085103i,0.00012625+0.0010595i,-0.00011744+0.0011693i,-0.00022462+0.00079058i,-0.00012679+0.00029343i,-3.3293e-05-6.2591e-05i,2.7637e-05+9.1586e-05i,-0.00050453+0.00075164i,-0.00045171+0.0003683i,-1.9067e-05-0.00031206i,-0.00028504-0.00035133i,-0.000323+0.00014744i,-0.00019808+0.00055689i,0.00014652+0.00052361i,0.00014685+0.00021878i,-0.00025282+9.8013e-05i,-0.00062499+9.7935e-05i
0.0002146+0.00076984i,-0.00061361+0.00092028i,-0.0015603+0.00094643i,-0.0024949+0.0002856i,-0.0021517-5.7138e-05i,-0.0010203-0.00048605i,3.0388e-05-0.00077004i,0.00043405-0.00094543i,0.00024923-0.00092282i,-4.6138e-05-0.00092216i,0.00053075-0.00037347i,0.0012295-9.8235e-05i,0.00029175+2.6739e-05i,-0.00033089+0.00022465i,0.00021735+0.00040414i,-0.00020993+0.00064095i,-0.0011509+0.00033308i,-0.0011123-0.0001624i,-0.001094+0.00054113i,-0.0011649+0.00166i,-0.00090407+0.0011791i,-0.0008968+0.00022037i,-0.00062709+0.00052409i
-7.8319e-05+0.0011047i,0.0009225+0.00032118i,0.0012031-0.00035855i,0.00097887-0.00095464i,0.0006999-0.001118i,-0.00012682-0.00040611i,-0.00051823-0.00052077i,-0.00016178-0.00036699i,8.8525e-05-4.3866e-05i,0.00021183-0.00010376i,0.0002323+0.00049475i,-0.0002831-0.00028125i,-0.00067628-0.0017587i,-1.0186e-05-0.0016913i,0.00015189-0.00057448i,0.00042241+0.00031996i,0.00031631+0.00073095i,-0.00055385+0.0011343i,-0.00088182+0.0015157i,7.7777e-05+0.00088751i,0.00039108+0.00092898i,-8.8711e-05+0.0011951i,0.0002767+0.00071446i
9.6633e-05-0.0021036i,0.00037672-0.0017927i,0.00014965-0.0012764i,0.00052339+3.5824e-05i,0.00095644+0.0011184i,0.0013208+0.00025437i,0.00087647-0.00084521i,-0.00044677-0.0016128i,-0.00019987-0.0017053i,0.00059868-0.00058134i,0.00012973+0.00045016i,0.00020918+0.00045542i,0.00077411+0.0012842i,0.00098257+0.0011991i,0.0012045+0.00034246i,0.00071204+0.00039159i,-0.00011297-0.00023148i,-0.00019062-0.0012385i,-0.00050847-0.0013261i,-0.00080777-0.00093642i,-0.00066785-0.00081597i,-0.00038914-0.0010243i,-0.00011432-0.00087357i
-0.00040597+0.0017099i,-0.00022246+0.0023718i,-0.0009192+0.002595i,-0.0017883+0.0011473i,-0.00074652+0.00020861i,0.00024837+0.00012881i,0.00012496-0.00087144i,0.00016638-0.0009723i,-4.0515e-05+3.2914e-05i,-0.00053168+0.00057042i,-0.00060659+0.0015156i,-0.00066172+0.0020015i,0.00013185+0.0011493i,0.00069227+0.00079953i,0.00042068+0.00035827i,0.00031785-0.0002586i,0.00023766-0.00043137i,-9.4862e-05-0.00036614i,-0.00040504-0.00028049i,-3.8962e-05-0.00010591i,-0.00014768-6.2993e-05i,-0.00047073-0.00080995i,0.0001171-0.00073476i
0.0013465+0.0010964i,0.0014244+0.00066832i,0.00079004-0.00069514i,-1.447e-05-0.0019904i,-0.00045211-0.0015575i,-0.000336-0.00022553i,0.00033225+0.00023227i,0.00076805+0.00043055i,0.00088273+0.00028555i,0.00051822+5.3673e-05i,-1.7722e-05-9.3574e-06i,1.1688e-05-2.64e-06i,0.00032038+0.00016956i,0.00012431+0.00019298i,-0.00057717+0.00032346i,-0.0012224+0.00044266i,-0.0013561+0.00028731i,-0.00066643-3.103e-05i,2.7405e-05-0.00068101i,5.021e-05-0.00085208i,-0.00026217+7.843e-06i,-0.00062935+0.00077644i,-0.00042654+0.00052266i
-0.0012175-0.00072708i,-0.00099575-0.00064839i,-0.0010429+0.00084727i,-0.00049367+0.0011794i,0.00025486+0.00022661i,0.00086037-0.00071446i,0.0011159-0.0014269i,0.0014273-0.0013116i,0.00069642-0.00069746i,-0.00062623-2.0626e-05i,-0.0003914-0.00039309i,0.0004144-0.00091721i,0.0012777-0.00017513i,0.0015166+0.0007284i,0.00083413+0.00034462i,0.00037815-0.00054575i,4.9451e-06-0.00022959i,3.0049e-05+0.00077048i,0.000569+0.0013635i,0.00031568+0.00021295i,-0.0006022-0.0009485i,-0.0013567-0.00038895i,-0.0010715+0.00017063i
-0.0010441+0.0011666i,-0.00061936+0.0019095i,-0.001322+0.0017784i,-0.0014754+0.0011944i,-0.0011654+0.00070266i,-0.00078477+1.3456e-05i,-0.00057426-0.00047808i,-0.00037773-0.00092768i,-0.00012966-0.0015299i,-0.00019981-0.00076957i,-7.876e-05+0.00042869i,6.9815e-06-0.00019866i,0.0002889-0.00080979i,4.4699e-05-0.00064116i,-0.00045296-0.00054515i,-0.00020675-0.00022013i,-0.00024244+0.00016722i,-6.8524e-05+0.00036857i,0.00022173+0.00023942i,0.00018903+0.00055315i,0.00065695+0.0013403i,0.00028798+0.00052573i,-0.00020428-0.00075567i
-0.00096649+0.0014049i,-0.00030338+0.0020463i,0.00012104+0.0014449i,0.00061453-5.7788e-05i,0.0013612-0.0013304i,0.0015667-0.0019041i,0.00076544-0.0021378i,-0.00025434-0.0015687i,-0.00066501-0.00036578i,0.00033916+0.00064868i,0.00052073+0.00096348i,0.00058673-7.8448e-05i,0.00098895-0.00039188i,0.00010517-0.00037764i,-0.0006155-0.00072256i,-0.00088879-0.00041688i,-0.001345+0.00018982i,-0.0013646+0.00030869i,-0.0010613+0.00014393i,-0.0013138+3.842e-05i,-0.00079266+0.00035759i,6.307e-06+0.00050092i,0.00054911+0.00027387i
0.00084565+0.00082527i,0.0014001+0.0024392i,0.0011543+0.0015541i,0.0011775+0.0002008i,0.00070798-0.00088734i,0.0001326-0.0015788i,-0.00059207-0.0011375i,-0.00011108-0.00055955i,0.00032388-5.5358e-05i,6.9648e-05+0.0001136i,0.00051878-0.00048421i,0.00096552-0.00047231i,0.0013389+0.00061345i,0.00074053+0.00099629i,-6.567e-05+0.00049714i,0.00012074+0.00036834i,0.00070898+4.6556e-05i,0.00044949-0.00019362i,-6.2392e-05+0.00039714i,-0.00011049+0.00029344i,8.7157e-06+2.1884e-05i,-0.00042706+0.00028041i,-0.0010859+0.00053745i
-0.00036439+0.00032198i,8.7149e-05+0.00035412i,0.0020183+0.00053392i,0.0014478+0.00051426i,0.00049006+0.0003262i,-5.1262e-05-0.00014868i,-0.00038506-0.0005499i,-0.00045397-0.00049422i,-0.00047744-0.00046423i,-3.5717e-05-6.3901e-05i,0.00062058-7.9792e-05i,0.00098755+0.00013008i,0.00042733+0.00024129i,-0.00041586-0.00012009i,-0.00058737+1.3256e-05i,-1.8078e-05+4.1522e-05i,0.000259-5.7438e-06i,-4.3669e-05-0.00014437i,-0.00021511-2.1684e-05i,-0.00039127+0.00034123i,-0.00017852+0.00043028i,0.00029128+0.00026793i,0.00079128+0.00094528i
-0.0014712+0.00061897i,-0.0011318+0.00093293i,-0.0010797+0.0012473i,-0.00036066+0.0011657i,-9.7957e-05+0.00074186i,0.00011045+0.00021057i,-0.00013061-0.00057517i,-0.00074458-0.0011318i,-0.00052436-0.000887i,0.00037508-0.00019312i,0.0012692+0.00017461i,0.00087366+0.00013624i,0.00032086-0.00056241i,0.00066971-0.0011343i,0.00080712-0.00091002i,0.0008933-0.00063494i,0.00058231-0.00052413i,-0.00034705-0.00078776i,-0.00054353-0.00094774i,0.00016243-1.3366e-05i,0.00021897+0.00032728i,-0.00063143-0.00022048i,-0.00065237+0.00028234i
-7.3196e-05+0.0010064i,0.0005384+0.001294i,0.0010366+0.0017631i,0.0010696+0.001155i,0.0012434+0.00059416i,0.0019001+0.00039232i,0.0010275-6.5836e-05i,2.2614e-05-0.00050711i,5.5884e-05-0.00030261i,4.4683e-05-5.0551e-05i,-0.00011929+0.00044695i,-0.00043731+0.00075805i,-0.00036466-3.6197e-05i,9.4052e-06-5.6902e-06i,7.5408e-05+0.00034408i,9.2364e-05+0.00015269i,0.00018432+2.8778e-05i,-0.00019781-0.00018054i,-0.00040916+0.00033343i,0.00014994+0.00071603i,0.00026946+0.00099436i,-9.5475e-05+0.00092719i,-7.4293e-05+0.000234i
-0.0022269-0.00051786i,-0.0016084+0.001323i,-0.0012401+0.0016213i,-0.00053608+0.00039855i,-3.2981e-05-5.5309e-05i,0.00013764-0.00023127i,-0.00074228-0.0011366i,-0.00091232-0.00084382i,-0.00032659+0.00029068i,-7.3152e-05+0.00051687i,-0.00016863+0.0012018i,-6.529e-05+0.0011428i,0.00035341+0.00031403i,0.00065303+0.0001224i,0.00089528-0.00020474i,0.0011756-7.9331e-05i,0.00023612+0.00015949i,-0.00031887-7.1641e-05i,-0.00025126-0.00022162i,-0.0015074-0.00058639i,-0.00092843-0.00076852i,0.0001143-0.0005011i,9.7455e-05+0.00037055i
-0.00024898+0.00057654i,-3.8348e-05+0.0019591i,0.00036482+0.0019616i,0.00088203+0.00028627i,0.00075503-0.00041018i,-4.4544e-05-0.0010201i,-0.0008488-0.0012519i,-0.0013273-0.00075189i,-0.00091512-0.00016341i,-6.2471e-06+0.0008827i,0.00045931+0.0012891i,0.00077977+0.00061392i,0.00070407+5.9355e-05i,0.00092032-0.00079382i,0.0014015-0.0010964i,0.00074053-0.00055008i,-0.00050162-0.001138i,-0.00031411-0.0015455i,-5.6289e-05-0.00070372i,-0.00041324+0.00020634i,-0.00012422+0.0008193i,5.9821e-05+0.0014249i,-0.00069142+0.00077234i
-0.0012087+0.0013664i,-0.0010218+0.00094296i,-0.00044148+0.00061986i,-0.00037597+0.00010536i,-0.00090169-0.00017836i,-0.0008939-0.00078846i,-0.00030692-0.0005289i,-0.00011669+0.00066627i,0.00012572+0.00058983i,0.00054314-0.00037153i,0.00092982-0.00096745i,0.00045765-0.0010771i,0.00025844-0.0010972i,0.00035383-0.00083162i,-1.2458e-05-0.0012022i,-0.0001548-0.0010839i,-0.00030844+5.9328e-06i,-0.00066969-1.9283e-05i,-0.0002123-0.00018005i,-8.9438e-05-7.933e-05i,-0.00089908+0.00023501i,-0.00081099+0.00084764i,-0.0003549+0.00096016i
-0.00021576+0.00097754i,0.00034352+0.0017844i,0.00086463+0.0024442i,0.0003983+0.0017377i,-0.00019288+0.00026556i,-0.00057127-0.00050901i,-0.00029983-0.0014104i,0.00017837-0.0015652i,0.00041355-0.00052548i,5.7354e-05-9.6043e-05i,-0.00021968-0.00019136i,0.000166+0.0002028i,0.00082408+0.00041318i,0.0007582+0.00042848i,0.00031589+0.00011474i,0.00044228-0.00018981i,0.00088842-0.00037966i,0.00058266-4.2678e-06i,-0.00011119-0.00011217i,0.00011796-0.00033186i,0.00049941-0.00020334i,0.00025387-0.0002159i,0.00042986-2.7e-05i
-0.00061651+0.00091606i,0.00020106+0.00054828i,0.00065217+0.0010552i,3.9569e-05+0.00028217i,0.00087051-0.0011075i,0.0014136-0.001371i,0.00071551-0.0018547i,-0.00022462-0.0013472i,-0.00065737-0.00068622i,-0.00033329+2.0038e-05i,5.2606e-05+0.00017325i,0.00076937-2.5336e-05i,0.00066606-0.00021655i,0.00032026-0.00062654i,6.1104e-05-0.00040543i,0.00029819-0.00010375i,0.00091538+0.00020877i,0.0011087+0.00078044i,0.000991+0.0012486i,0.0010793+0.00094219i,0.00065925+0.0001048i,-6.6104e-05-0.00029816i,0.00021574-0.00058905i
-0.0018384-0.00039825i,-0.0013186+0.00010359i,-0.00072773+9.0481e-05i,-0.00014067+0.00044032i,0.00011639+0.00082432i,0.00014979+0.00022614i,-0.00040946-0.00069605i,-0.00026076-0.00080775i,4.2558e-05-0.00023097i,-0.00052509+0.00028074i,-9.2219e-05+0.00063797i,0.0010024+0.00069665i,0.00033076+0.00012106i,7.4505e-06-3.2839e-05i,0.00086176-0.0001868i,0.00057949-0.00058465i,-0.00043115-0.00082598i,0.00010646-0.00046989i,0.00049658+0.0001552i,-0.00014512-8.5196e-05i,7.0883e-05-0.00029081i,0.00065345-0.00047012i,0.00079382+0.00041765i
-0.0002879+0.00022927i,-0.00091116+0.00040996i,-0.00092973+0.00076968i,-0.00069408+0.00065974i,-0.00083684+0.0010249i,-0.0011401+0.00092243i,-0.0012502-0.00054892i,-0.00093212-0.001345i,0.00013689-0.00079502i,0.00077033-0.00045062i,0.00044279-8.2634e-05i,0.00044832+0.00023071i,0.00066264+0.00069048i,0.00047772+0.00037967i,0.0004791-0.00024543i,0.00074285+0.00019861i,0.0002811+0.0005817i,-0.00068149+0.00040622i,-0.00095141+0.00089679i,-0.00070086+0.0013311i,-0.00044902+0.00074269i,-0.00044053+0.000498i,-0.00075259+0.0004169i
0.00094557+0.0022283i,0.00079102+0.0021066i,0.0015869+0.0017407i,0.0014002+0.00037797i,0.00057671-0.00042215i,-2.2842e-05+1.6387e-05i,-9.1199e-05-0.00037239i,-1.9023e-05-0.00033967i,-0.00012978+0.0005968i,-0.00018303+0.00089462i,0.00025973+0.00043317i,0.00024278-0.000416i,-0.00039517-0.00062257i,-0.00072306-0.00022793i,-0.00115-0.00010126i,-0.0014981+2.7233e-05i,-0.00095878-8.4821e-06i,-0.00083361+0.00023707i,-0.0011644+0.00088551i,-0.0010403+0.001458i,-0.00065596+0.0013489i,-0.00050967+0.00093726i,-0.00011004+0.0011154i
-0.00066865+0.00089015i,-4.6664e-05+0.00067662i,9.2225e-05+0.00025857i,2.3328e-05-0.00020451i,-0.00053216-0.0004457i,-0.00024296-0.00090028i,-0.00022379-0.0010544i,0.00025299-0.0003655i,0.00064597+0.00031076i,1.9499e-05+0.00031943i,-0.0004237+0.00031298i,-6.1577e-05+0.00022641i,0.00024591-0.00017389i,0.00091263-0.00069158i,0.0008078-0.00026776i,0.00080754+0.00036544i,0.00049416+0.00019833i,-0.00093388+0.00016641i,-0.0016905-0.00029259i,-0.00097246+6.9498e-05i,-0.00016322+0.00088904i,-0.000234+0.00064224i,-0.0010642+0.00055544i
-0.0012201+0.00059149i,-0.0010543+8.3493e-05i,-0.00018868-0.0001309i,0.00014695+0.00051645i,0.000116+0.00033516i,0.00033483-0.00080662i,0.00014276-0.0011009i,-0.0004241-0.0010626i,-0.00064522-0.00082995i,0.00010556-0.00034191i,0.00068839-0.0002257i,0.00079588+0.00033251i,0.00019842+0.00066287i,-0.00031658+0.00054138i,-0.00024516+0.00028839i,0.00043377+0.00061516i,0.00059447+0.0010768i,0.00018422+0.00090593i,0.00031429+0.00015391i,0.00017713+1.1022e-05i,-0.00032306+0.0001166i,-0.00021788-0.00029784i,-0.0005441-0.00025455i
0.0030826+0.00099993i,0.0028492+0.00044259i,0.0021025+6.6093e-05i,0.0014428-0.00054528i,0.00086971+7.2956e-05i,0.00013065+0.0010982i,-0.0010495+0.00057164i,-0.0014029-0.00028083i,-0.00047359-0.00022791i,0.0004555+0.00038123i,0.00030673+0.00035892i,-0.00011458+9.6799e-05i,-0.00016889-1.6099e-06i,-5.6991e-05+0.00057115i,0.00038971+0.0014423i,0.00096727+0.0011371i,0.00079624+0.00050754i,-3.8104e-05-0.00040059i,-2.5803e-05-0.0011159i,0.00032791-0.00041773i,0.00041297-0.00037064i,0.00016509-0.00051435i,-0.0008812-6.6401e-05i
-0.00032163+0.0010365i,0.0011141+0.0022024i,0.0019636+0.0023136i,0.0015093+0.00050527i,0.00078677-0.00070141i,0.00037739-0.00069216i,-0.000265-0.0010115i,-0.0010369-0.00068374i,-0.0011987-0.00045013i,-0.001053-0.00083584i,0.00020427-0.0003474i,0.0014309+0.00023732i,0.00066463+0.00030819i,-0.00054039+0.00047973i,-0.00031656+0.00021688i,-0.00053422+0.00040531i,-0.00063103+0.00050211i,4.3183e-05-0.00010982i,0.00060492-0.00030085i,0.00081408+2.4238e-05i,0.00056479-0.00011025i,8.3043e-05-0.00012149i,-0.00028623+0.00016045i
0.0013245+0.0012111i,0.0012233+0.00093864i,0.0004839+0.0011282i,0.00019699-3.7876e-05i,0.00032157-0.0014804i,-0.00015278-0.0027878i,-0.00043731-0.0013213i,-0.00064439+0.00030479i,-0.00078696+0.00014941i,2.8594e-05-0.00038548i,0.0005092-0.00069292i,0.00022564-0.00055495i,3.2607e-05+0.00061219i,-0.00026358+0.00042502i,-0.00024292-0.00049168i,-0.00071903+0.00053993i,-0.0012936+0.0011671i,-0.00085952+0.00075177i,4.0923e-05+0.00098646i,-4.2804e-06+0.0016734i,-0.0004052+0.0012668i,-0.00041802+0.00089185i,0.00012338+0.00025899i
-0.00013945+0.00086049i,-0.00014055+0.00036708i,0.00035805-0.0011897i,0.00044901-0.0013515i,8.3751e-05-0.00079075i,-0.00037706-0.00043279i,-0.00082861-0.00031855i,-0.00051302-0.0003667i,-0.00013364+0.00015318i,0.00036103+0.00033665i,0.00052319+0.00019306i,6.1599e-05-0.00021224i,-0.00017399-0.00023154i,-0.00088542+0.00039865i,-0.0013718+0.00061567i,-0.00081192+0.00015701i,-0.0002761+0.00016406i,-0.00011848+0.00060337i,-0.00037222+9.6019e-06i,-0.00074549-0.00051375i,-0.0012114-0.00060752i,-0.0012226-0.00057637i,-0.00044565-0.00017725i
0.0013821+0.00013851i,0.0010455+0.00010263i,0.00079916-0.00020518i,0.00048452-0.00092461i,0.0005747-0.00061717i,0.00070573+0.00042856i,0.0012629+0.0004612i,0.00061612+0.00039309i,-0.000358-2.8753e-05i,-0.00027857-0.0006656i,-0.00089726+4.0241e-05i,-0.0016818+0.00036489i,-0.0010678-0.00065108i,-0.00039581-0.00064327i,-0.00074351+0.00037166i,-0.00036154+0.00070085i,-0.00014995+0.00053947i,-3.4764e-05-2.5536e-05i,0.00030034-4.8741e-05i,0.00029155-0.00056658i,0.00025323-0.001027i,0.00044461-0.00021529i,0.00027993+0.0013097i
0.00026114+0.0022797i,0.0019936+0.0028817i,0.0023538+0.0037629i,0.0012642+0.0027656i,0.0010279-0.00049172i,0.00073725-0.0022448i,-0.00031702-0.0016506i,-0.00051743-0.00074047i,-0.00022739-8.7182e-05i,0.00038234+0.00051768i,0.0012493+0.00045257i,0.0015909-9.9033e-05i,0.0010351-0.0003634i,0.00045108-0.00056557i,0.00033188-0.0010734i,0.00037827-0.00079669i,0.00030715-0.00027733i,0.00045945+4.2891e-05i,-9.1809e-05-0.00030007i,-0.000708-0.00015634i,-0.00018874+0.00058925i,0.0007483+0.00067825i,0.00049303+0.00096263i
-0.00073426-0.00033264i,0.00038098-0.000825i,0.001165-0.0001547i,0.001001+0.00049973i,-0.00016912+3.824e-05i,-0.00033-0.0011581i,-0.0003231-0.0014989i,-0.00042631-0.0012606i,-0.00052473-0.00098336i,-0.00069486-9.6762e-05i,0.00020513+0.00080307i,0.00095308+0.0009885i,0.0010099+0.00067i,0.0010461+0.00052381i,0.0012006+7.4173e-05i,2.012e-05+0.00065012i,-0.00045138+0.00098174i,0.0008714+0.00039725i,0.00092833+0.00042814i,0.00011109+0.00071314i,-3.3232e-05+0.00052885i,-0.00050086-9.069e-05i,-0.00098904-1.7342e-05i
