-0.00086089+0.0022324i,0.00014707+5.3945e-05i,0.00012419+0.00013734i,-0.00016483-2.6077e-06i,9.2297e-05+0.0005596i,0.00013425+0.0018625i,8.0809e-05+0.001643i,0.00086226+0.001038i,0.00082605+0.0011631i,0.00013501+0.00068359i,7.9944e-05-8.7498e-05i,0.00011316-0.00052313i,-0.00053094-0.00049724i,-0.00075109-0.00033784i,-0.00028292-5.9811e-05i,0.00022762+0.00064744i,0.00050364+0.00014445i,0.00052089-0.00048472i,0.00034232+0.00020378i,0.00026129+0.00070706i,3.3709e-05-0.00011412i,-0.00034182-0.0002237i,1.8178e-05-9.7178e-05i
-0.0022174+0.001131i,-0.0024934+0.0010063i,-0.0021514-0.00013298i,-0.0015818+0.00023112i,-0.00063261+0.0013672i,0.00010193+0.0009013i,0.00057079+0.00012774i,-0.0001443-0.00034259i,-4.3761e-06-0.00044171i,0.00054273+0.00033386i,4.1934e-05+0.0010417i,1.8375e-05+0.00039819i,0.00043751-0.0002298i,0.00060464+7.5888e-05i,-9.9346e-05-8.9404e-05i,-0.00041468-0.00092115i,-0.00067803-0.00073034i,-0.00044156-0.00015302i,0.00073858-0.00026225i,0.00074736-0.00052954i,0.0003836-0.00041976i,3.1321e-05+0.00044368i,-0.00010055+0.00050867i
0.0010416+0.00023032i,-5.0194e-05+0.00114i,0.0004903+0.0014853i,0.0012655-3.7065e-05i,0.00014673-0.0011251i,9.8777e-05-0.00067028i,0.00020697-0.00011895i,-0.00036641-0.00018577i,-0.00032003-0.00033121i,-0.00015866-0.00046209i,-6.3028e-05-0.00085774i,-0.00058338-0.0006747i,-0.00085534+0.00024905i,-0.0010597+0.00036775i,-0.0011389-0.00018044i,-0.00044158-0.0002494i,7.6214e-05-3.0387e-05i,0.00010853-0.00019475i,0.00037375-0.00052223i,-1.5065e-05-0.00033038i,0.00011551-0.00064683i,0.00059098-0.00022144i,0.00074246+0.00057831i
0.00025752+0.001502i,0.00070928+0.0011414i,0.00093059+0.0017737i,0.00064574+0.00099105i,0.00094662-0.00052552i,0.0015116-0.001165i,0.0012502-0.00069578i,0.00077737-3.2999e-06i,0.00023368+0.00030104i,0.00034289+0.0006511i,0.00027249+0.00033893i,0.00026789+0.00010131i,0.00031944+0.00057567i,-0.00012969-0.00013653i,4.5122e-05-0.0012667i,0.00018676-0.00062644i,-8.0478e-06+0.00030379i,-0.00023671+0.00034527i,-0.00019528+0.00029215i,0.00025259+0.00067779i,9.0394e-05+0.00098047i,-0.00013065+0.00048673i,-0.00012385-0.00020839i
0.00062522+0.00075353i,0.00035252+0.00099465i,5.7024e-05+0.00019323i,0.00010348-0.00069956i,-8.6919e-05-0.00088491i,-2.3274e-05-8.4793e-05i,0.00041868-9.167e-06i,0.00057411-0.00073032i,0.00087-0.00086573i,0.00086531-0.00038496i,-0.00015187-0.0002724i,-0.00052302+0.00019971i,-0.00046938+0.00084395i,-0.00062163+0.0012406i,-0.0010183+0.0021263i,-0.00094373+0.0024329i,-0.0010845+0.0013101i,-0.0010305+0.00051347i,-0.00070046+0.00082571i,-0.00064538+0.00061823i,-0.00070068+0.00025702i,-0.00089037+0.00031057i,-0.00072492-0.00015469i
-0.00022079+0.0012842i,0.0013057+0.0020344i,0.0013628+0.0013606i,0.0002733+0.0010648i,-0.00011551+0.0011368i,0.00063971+0.00030732i,0.0011496-0.0014272i,0.00051319-0.0017491i,0.00010805-0.00070207i,-9.3137e-05-0.00016382i,-0.00017661+0.00014833i,-0.00034889-0.00024115i,-0.00017682-0.00084961i,0.00026551-6.8809e-05i,0.0004216+0.00049318i,-2.0533e-05+2.7153e-05i,-0.00043677-0.00035078i,-0.00070372+0.00026289i,-0.00070259-0.0003646i,9.3791e-05-0.00053569i,0.00022985+0.00042529i,0.00015324+0.00049775i,0.00027563+0.00033323i
0.00038316-0.00023297i,-0.00093671-0.00017999i,-0.00050986-0.00058726i,0.00044756+0.00026175i,0.00017976+0.00042545i,0.00087112+6.556e-05i,0.0014763+9.6994e-05i,0.00084037-9.0629e-05i,0.00012667-7.4768e-05i,-0.00012095+4.5313e-05i,0.0003048-2.5823e-05i,2.123e-05+2.9016e-05i,-0.0012865-0.00019684i,-0.001557-0.00012223i,-0.00031176+0.00034483i,0.00029641-6.3632e-05i,1.2228e-05-0.00038031i,0.00014774+0.00037116i,0.00045364+0.00042923i,0.00032068-0.00012314i,-0.00062023-0.00017213i,-0.0010857-0.00025239i,-0.001087-0.00065933i
-0.0011726+0.00097286i,-0.001215+0.0007861i,0.00029726+0.0011144i,0.00046701+0.00039921i,0.00035075-4.6587e-05i,0.00048578+0.00020103i,0.00068407+0.00014574i,0.00023252-1.9648e-05i,0.00021218+6.2469e-05i,0.00051731-0.00038482i,0.00073133-0.0009204i,0.0010293-0.000514i,0.0011232+0.00079793i,0.00033454+0.0013336i,-5.0189e-06+0.00054986i,0.00016436+0.00013123i,1.5011e-05+0.00015088i,0.00019381+0.00052079i,0.00031547+0.00041495i,-0.00055622+0.00023249i,-0.00050214+0.00042311i,0.00030026-0.00017802i,0.0006419-0.00026404i
5.1901e-05-0.001263i,-0.00045704-0.00059709i,-0.00057182-0.0011257i,-0.00051566-0.00051944i,-0.00088243+0.00046101i,-0.00021601+0.00079089i,0.00043476+0.0006052i,0.00025077+0.00033118i,-0.00028654+0.00062679i,-0.0010331+0.00089742i,-0.0015434+0.0010195i,-0.001206+0.00051478i,-0.00015064+0.00032034i,0.00090419+0.000777i,0.0015115+0.00087748i,0.0011873+0.00045391i,0.00056505-0.00044897i,-6.8531e-05-0.00040483i,-0.00021377-0.00080117i,-0.0002497-0.0010648i,-0.00081904-0.00056589i,-0.0013923-0.00065732i,-0.00098528-9.2984e-05i
-0.00064706-0.0012181i,-0.0013214-0.00013176i,-0.0025585+0.00087444i,-0.001844+0.0010446i,-0.00024749+0.00061904i,0.0010568-4.1759e-05i,0.001128-0.00054651i,0.00015861-0.00068777i,-1.635e-05-0.0007048i,0.00048327-0.00041511i,0.00071229+0.00021042i,0.00014002+0.00039207i,0.00031845+5.0036e-05i,0.00096789+0.00032762i,0.00065419+0.00090249i,-0.00013087+0.00090725i,-0.0007435+0.00077956i,-0.00067016+0.00061226i,-0.0010342-0.00015716i,-0.0012868-0.00075299i,-0.00079177-0.00066063i,-0.00024613-0.00017955i,0.00034205-0.00011181i
0.00048364+0.0012559i,0.00051333+0.0007794i,0.00079885-0.00016575i,0.00068126-0.00092569i,0.00012652-0.0012935i,3.8536e-05-0.00079875i,0.00062982-0.00021206i,0.00015059-0.00045168i,-8.8053e-05-0.00052003i,0.0001431-0.00055554i,1.6363e-06-0.00088552i,-0.00025299-0.00038306i,-0.00044711-0.00013457i,-0.00044636+0.00029401i,-0.00079714+0.0011036i,-0.00086511+0.0011107i,-0.00035479+0.00044734i,0.00010004-2.739e-06i,0.00055298-2.5645e-06i,-2.1692e-05-0.00026929i,-9.3797e-05-0.00032522i,0.00041155+4.0671e-05i,-9.0383e-05-0.00061899i
-0.0016728+0.0032747i,-0.0010963+0.0019319i,-3.3394e-05+0.00092942i,0.0010718+0.00086744i,0.0015178+0.00094655i,0.0006449-0.00033211i,0.0004438-0.0014418i,0.00046629-0.00091155i,-0.00016623-0.00051297i,0.00015283-0.00056776i,0.00024273-0.00063461i,-0.0002028-0.00089355i,-0.00034718-0.0010288i,-0.00028838-0.00041961i,-0.00056235-0.00015855i,-0.00084283-0.0005332i,-8.1715e-05+7.696e-05i,0.00079253+0.00064567i,0.00070457+0.00079628i,-0.00045463+0.00034595i,-0.00062128-5.0356e-05i,0.00015602+0.00037463i,-9.2473e-06+0.00072198i
