0.0026478-0.0022606i,0.0030529-0.0025381i,0.0014345-0.0025119i,-0.00062953-0.0015602i,-0.0008094-0.0004972i,-7.3936e-05+0.0011119i,-2.0394e-05+0.0015821i,-0.00104+0.0011101i,-0.00047944+0.00028894i,-0.00028518-0.00014252i,-0.001037-0.00075851i,-0.00054405-0.00087667i,-0.00044532+0.00043399i,-0.00040075+0.00083862i,0.00010511+8.666e-05i,-0.00035679-8.5967e-05i,-0.00046628-7.6884e-05i,9.2e-05-0.00028051i,-2.9343e-05-0.000405i,-0.00026663-0.00029652i,3.0765e-05+3.7923e-05i,0.00015875+0.00011091i,-0.00038726-7.0746e-06i
-0.00064906-0.0004055i,-0.0010325+0.0001685i,-0.0015704-0.00050834i,-0.0016536-0.00033055i,-0.00090285+0.00056259i,-0.00021234+0.0010707i,0.00026756+0.0014194i,5.4266e-05+0.0014599i,-0.00021862+0.0016737i,-0.00065942+0.0010155i,-0.00058104+0.00026989i,-0.00026858+0.00016382i,-0.0007612-0.00064796i,-0.00069771-0.00015161i,-3.6143e-05+0.00092327i,4.9026e-05+0.00072809i,-0.00036493+0.0004027i,-0.0006359-1.5838e-05i,-0.00064339-9.7993e-05i,-0.0013426-9.2523e-05i,-0.0015947-0.00016492i,-0.0014751-0.0004503i,-0.0011861-0.00044798i
-0.00032887-0.00137i,-0.00029448-0.0013623i,-0.0012744-0.0012462i,-0.0015437-0.00077769i,-0.00093322+0.00017499i,-0.00048306+0.00091347i,0.00038331+0.00043098i,0.00065839+0.00045097i,0.0001962+0.00060721i,5.0466e-05+0.00015459i,-0.00017465-8.6511e-05i,5.9807e-05+0.00014181i,0.00023616+7.6316e-05i,7.6585e-05-0.00031711i,-0.00032938+0.00047595i,-0.00068852+0.00097687i,-0.00013394+0.00077456i,-0.00018343+0.00065824i,-0.0007671+0.00035989i,-0.00068938+3.451e-05i,1.6445e-05+0.0001552i,0.00035411+0.000285i,0.00049999+6.1442e-05i
-0.00059061+0.0022084i,-0.0008413+0.0012988i,-0.0002206+0.0014428i,0.00029643+0.00086953i,0.00048117+0.00014896i,-0.00014259-0.00088874i,-0.00075595-0.0011098i,-0.00089391-9.6609e-05i,-0.0011547+0.00017996i,-0.00035778-0.00017516i,0.0012452-0.00051984i,0.0014761-0.00015023i,0.00056167+0.0009479i,-0.00071182+0.001006i,-0.00071064+0.0010175i,-0.00032675+0.00061596i,-0.0003869-0.00076003i,-0.00016215-0.0008036i,0.00013113+0.00023191i,0.00046214+0.00066004i,0.00031521+0.00024858i,0.00042515-0.00042967i,0.00096353-0.00094275i
-0.00047501-0.00047199i,3.0328e-05-0.00032245i,3.9848e-06+2.3934e-05i,-0.0010352+0.0003688i,-0.0012376+0.0017824i,-0.0015792+0.0021186i,-0.001362+0.0012993i,-0.00032682+0.0010205i,-0.00023388+0.0012117i,-0.00036895+0.00055723i,-0.00048906+0.00010793i,-0.00035186+7.4148e-05i,0.0001533-0.00030146i,-6.2193e-05-0.00044802i,-6.0963e-06-0.0002836i,0.00056828-0.00022603i,0.00059875-0.00046921i,-0.00033694-0.00071728i,-0.00076739-0.00079639i,-5.1481e-06+0.00013401i,0.00029516+0.00062067i,1.0886e-05-0.00024619i,0.00035056-0.00021022i
-9.0377e-05-0.00070196i,0.00034267-0.0010628i,-0.00075908-0.0015654i,-0.0012115-0.00098714i,-0.00073407+4.3825e-05i,-0.00072346+0.00055499i,-0.0011896+0.00082553i,-0.0015583+0.0012938i,-0.0015159+0.0013504i,-0.00093602+0.00054747i,0.0001344+0.00048097i,-0.00014275+0.00094802i,-0.00037988+0.0008124i,0.00030625+0.00073021i,0.00033209+0.00039643i,0.00018451+0.00053854i,2.9238e-05+0.00086038i,3.4063e-05+0.0004236i,0.00079156+0.00028486i,0.00063565+0.00051544i,-0.00041703+0.00022367i,-0.00094163-0.00043382i,-0.0006086-0.00096275i
0.0011645-0.0002438i,0.00087562+0.00086009i,0.00056963+0.00056205i,0.00087604+0.0010097i,0.00073715+0.0014922i,-0.00034457+0.00069263i,-0.00069124-0.00012156i,0.00022879-0.00019861i,0.00057166-0.00015861i,0.00026449+0.00059626i,4.5797e-05+0.0013083i,5.4426e-05+0.0012246i,-1.8419e-05+0.00034245i,-0.0002871-0.0005635i,-0.00023572-0.00063581i,-0.00025701+0.00024151i,-0.00096085+0.00068366i,-0.00047354+0.00046212i,0.00071184+0.0010967i,0.0011001+0.0015228i,0.00032969+0.0011404i,5.4266e-05+0.00046826i,0.0006873+0.00012702i
-0.00015768-0.0010953i,-0.00092862-0.00048848i,-0.0013901-0.00095643i,-0.0012417-0.0008461i,-0.0003592-0.00080526i,0.00058135-0.00038499i,0.00025143-0.00035221i,-0.00022995-0.00079658i,-0.00069554-0.00041507i,-0.0010043-0.0002738i,-0.00067168+5.9143e-05i,-0.00045226+0.00087124i,-0.00030855+0.00097868i,-2.9619e-05+0.0002439i,0.00039224-0.00019858i,0.00058403-0.00021953i,-9.8321e-06-0.00019638i,-0.00043787-0.00044875i,-0.00058676-0.00039263i,-2.276e-05-0.0001708i,0.00025681+0.00029757i,-3.4345e-06+0.00028592i,-0.00029927+0.00016913i
0.00142+0.001266i,0.0014836+0.0019027i,0.00031984+0.0010835i,-0.0011753+0.00055815i,-0.0023708+0.00025355i,-0.0027112-0.0002051i,-0.0020176-0.00026866i,-0.0016783+0.00093453i,-0.0010628+0.0016941i,0.00018856+0.00077909i,0.00027587+0.00063703i,-0.00036467+0.00085875i,-0.00070631+0.0011291i,-0.00047195+0.00061606i,-0.00027644-0.00050774i,-0.0003224-0.00022702i,-0.00050563+7.5078e-05i,-0.00067357+7.134e-05i,-0.0010907+0.00036269i,-0.0013232+0.00021359i,-0.00066944-0.00014947i,0.00067571-0.00046714i,0.001496-2.8858e-06i
-0.0015145-0.00092019i,-0.0024159-0.00033937i,-0.0037003-0.00090172i,-0.003084+0.00016206i,-0.0016994+0.0019099i,-0.00081235+0.0020502i,-0.00088537+0.001819i,-0.00085454+0.0014134i,-0.00030503+0.00056196i,6.0185e-05+0.00048471i,-5.6494e-05+0.0013936i,0.00033121+0.0017219i,0.00086269+0.0016167i,0.0005482+0.00065147i,0.00017509+0.00045616i,0.00046767+0.0011711i,0.00076793+0.00024376i,0.00039122-0.000342i,0.0001298-1.5807e-05i,-0.00033464-7.4168e-05i,-0.00094402-0.00056647i,-0.00039551-0.00037817i,0.0001708+0.00022267i
