-0.0026409+0.00076099i,-0.0024537+0.001662i,-0.001201+0.0019848i,0.00015389+0.0010672i,0.00051988+0.0013188i,-0.00055519+0.0016801i,-0.00039113+0.0019906i,0.000203+0.0019873i,0.00036924+0.0014968i,0.0010242+0.00060804i,0.0012013+0.00010525i,-9.6845e-05-0.00054816i,0.00014528-0.0010022i,0.0015452-0.00094091i,0.001165-0.0012933i,-0.00029248-0.00058195i,-0.00073729-0.00028855i,-4.44e-05-0.0010123i,2.9041e-05-0.0012212i,-8.2245e-05-0.00069107i,-2.3603e-05+0.00039896i,-0.00011418+0.00074618i,-0.00010446+0.00020045i
0.00034184-3.2614e-05i,0.00080046+9.2435e-06i,0.00073016-0.00022099i,-8.056e-05+0.00032459i,-0.00062213+0.00097633i,-0.00064135+0.00037502i,-0.00086297-0.00074413i,-0.00064584-0.0011876i,-0.00020111-0.00054683i,-7.4472e-05-0.00073828i,0.00042272-0.00034778i,0.00090231+0.00054998i,0.00068489-0.00040705i,0.00061777-0.00067432i,0.00059295+2.5438e-05i,2.6296e-05-0.00015088i,-0.00016217-0.00067894i,0.00030635-0.0007688i,0.00010596+0.00010923i,-0.00023551+0.00065527i,-0.00016979-0.00020514i,-0.00036891-0.00060886i,-0.00095364-0.00072259i
-0.0011829-0.0011126i,-0.002897-0.00091243i,-0.0033672-0.0013553i,-0.0021768-0.00161i,-0.0017251-0.0012956i,-0.0018623-0.00075886i,-0.0016559-0.00027942i,-0.0013307-9.2243e-05i,-0.00087944+0.00069855i,-0.00026484+0.00078568i,0.00015928+0.00034346i,0.00019322+0.00020007i,0.00069173-0.00034165i,0.00096027-0.00079724i,0.00080607-0.00073562i,0.001291-0.00035692i,0.001455-0.0004059i,0.0003753-0.0014393i,-6.9633e-05-0.0017073i,-8.8104e-06-0.0011023i,-0.00035379-0.00022903i,-0.00075193+0.00023909i,-0.00042133+0.00033633i
-0.0012843+0.0015877i,-0.00084181+0.00057047i,-6.6195e-05+0.00025301i,0.00082524+0.00042452i,0.00097829+0.00020243i,0.00025257+0.00012872i,-0.00033322+0.00019143i,-0.00055294+0.00079883i,-8.3166e-05+0.0012781i,0.00054135+0.0010147i,0.00059176+0.00077931i,0.00051933+0.00031013i,0.00058162-0.000412i,0.00040539-0.00076087i,0.00052853-0.00037347i,0.00063605-0.00090628i,0.00017612-0.001328i,-0.00030651-0.00098601i,0.00029532-0.00041181i,0.0012084+0.00023966i,0.0015029-3.569e-05i,0.0013987-0.0004908i,0.0011322-0.0005643i
0.00042821+0.0010115i,0.00080793+0.00072235i,0.000834-0.0002799i,0.00049325-0.0014183i,0.00053056-0.0013377i,-0.00048645-0.00061357i,-0.001419+0.0001957i,-0.00060882+0.00045752i,-1.7228e-05+0.00027259i,0.00013694-8.932e-05i,0.00033276-2.2039e-05i,0.00060693+0.00022906i,0.00058056-2.2627e-06i,0.00024667-0.00070224i,-0.00030321-0.001677i,-0.00042588-0.0012115i,-0.00058611-0.00055323i,-0.00075148-0.00080433i,-0.00070804-0.00063207i,-8.1943e-05+2.5798e-05i,0.00063999+0.00064503i,-0.00010841+0.00061237i,-0.0005977-0.00043728i
-8.7042e-05-0.00093564i,-0.00030227-0.00040716i,-0.0012693+0.00015471i,-0.00057985-0.00016687i,-0.001338-9.4288e-05i,-0.0014745-4.1212e-05i,-1.9144e-05+0.00052539i,0.00043664+0.00080746i,-0.00032944+0.00010311i,-0.00055328+0.00049333i,-0.00060576+0.00065483i,-0.00052154-0.00011619i,-0.00034108+0.00018308i,-0.00035478-0.00023429i,0.00042426-0.0013611i,0.00076286-0.0016078i,0.0010562-0.0010732i,0.0012562-0.0005558i,0.00046059-0.00060618i,-0.00046738-0.00082262i,-0.00063919-0.00030834i,-0.00062076+8.9898e-05i,-0.00051351+0.00042472i
-0.00037192+0.00080411i,-7.6814e-05+0.00072129i,-0.00042557+0.00035325i,-0.00068653+0.00021446i,-0.00029414+0.00027477i,-0.00015624+0.00054719i,-0.00034951+0.001417i,-0.00091636+0.0016753i,-0.00069722+0.00078216i,-0.00023513+0.00010711i,0.00055315+4.8012e-05i,0.00081929-0.00045474i,0.00016962-0.00061428i,-0.00063193-0.00060562i,-0.00037823-0.00053832i,-1.5818e-06-0.00012666i,-8.1484e-05-9.6243e-05i,4.8905e-05-0.00018732i,0.00025327-3.3308e-05i,-0.00018093-0.00037424i,-0.00040323-0.00076826i,-0.00092755-7.6292e-05i,-0.00095466+0.0001369i
0.0003951-0.00020645i,2.2792e-06-0.0015005i,-0.00059996-0.0021191i,-0.00064959-0.0016425i,-0.0010752-0.0012237i,-0.0011771-0.0011657i,-0.00051371+3.9276e-06i,-0.00043826+0.0010306i,-0.00032782+0.0014286i,0.00047335+0.00060257i,0.00084215+0.00031758i,-4.7806e-05-7.2941e-05i,-0.00044861-0.0013817i,0.00039114-0.0011898i,0.00034778-0.00016262i,-0.00028247-0.00042379i,0.00011221-0.00051911i,0.00093437-0.0006389i,0.0007462-0.00093079i,0.00014915-0.00065272i,4.4261e-07-0.00029484i,-9.4581e-05-0.00020005i,0.00011262-0.00017514i
0.00035355+0.00031349i,-0.00014365-0.00043013i,4.9339e-05-0.00071579i,0.00013398+5.2086e-05i,-0.0014543+0.00023452i,-0.0016142+0.00035905i,-0.0010279+0.00095635i,-0.00056663+0.0013762i,-4.1083e-05+0.00084265i,0.00030841+0.00020967i,0.0007242+0.00071053i,0.00050129+0.00052447i,0.00021024+0.00023624i,0.000567+0.00059644i,0.00044721+0.00080128i,0.00013067+0.00086419i,-0.0007466+0.0010616i,-0.00066182+0.00066122i,-4.4553e-05+0.00017435i,-5.3763e-05+8.9572e-05i,-0.00024227+0.00053909i,-2.1378e-05+0.00048871i,0.00029168-0.00045055i
-0.001002-0.0017306i,-0.0017108-0.0015762i,-0.002219-0.0018149i,-0.0019427-0.00057238i,-0.0012799+0.00043438i,-0.0017268+0.00081872i,-0.0011239+0.00065517i,-0.00060678+0.0006064i,-0.00035916+0.00070885i,8.2399e-05+0.00061266i,-0.00023738+0.00033326i,-6.2322e-05-0.00010223i,0.00053641+0.00033323i,-4.7707e-05+0.0011052i,-0.00063322+0.00067632i,0.0001003+0.00060388i,0.00050687+0.00073544i,0.00021862+0.00010853i,-0.00030954-0.00032039i,-8.3232e-05-0.00066163i,0.00011024-0.0014072i,-0.00073866-0.0013335i,-0.00046484-0.00037602i
-0.00013096-0.0014718i,-0.00063569-0.001515i,0.00046104-0.001313i,0.00048825-0.0011116i,-0.00040843-0.0010423i,-0.00089634+2.5715e-05i,-0.00099536+0.0011006i,-0.00056254+0.0008488i,0.00010613-0.00020999i,1.7473e-05-0.0010466i,2.8463e-05-0.0011845i,-7.3022e-05-0.00047347i,-0.00064903+0.00019259i,0.00011868+0.00016678i,0.00038418+0.00038846i,0.00094886-0.00026284i,0.00086815-0.00011827i,-0.0001312+0.00071339i,-0.00058365+1.5147e-05i,-0.00036362-0.00075795i,0.0013852-0.00039834i,0.0019136-0.00061924i,0.00054033-0.00028778i
