-0.0036756+0.00063472i,-0.0026152+0.00025925i,-0.0018505+0.001889i,-0.0013767+0.0035792i,-0.0010098+0.003367i,-0.0004584+0.0031043i,-0.00011655+0.0026641i,0.00037442+0.0020673i,0.00051695+0.0016978i,0.00086462+0.00051783i,0.00087543-0.0003189i,0.00023603-7.5516e-05i,-0.00043076+7.1501e-05i,-0.00059704+0.00030318i,-0.00031402+0.0011349i,8.4172e-05+0.0013925i,0.00071492+0.00066599i,0.00044549-0.00010841i,-0.00021862+0.00011972i,-0.00021954+0.00082667i,4.8151e-05+0.00077382i,-0.00021792-4.5171e-05i,-0.00018116-0.00037867i
0.00015664+0.00058037i,0.0009347+0.00056734i,0.0012933+0.00056644i,0.0011475-9.0886e-05i,0.00076261-0.00066877i,0.00019478-0.00027835i,-0.00045073+0.00098531i,-0.0010241+0.0012518i,-0.00096903+0.0010543i,-0.00029791+0.00089953i,-2.5943e-05+0.00089822i,-0.00031308+0.00028992i,-0.00014967+0.00015106i,-5.8676e-05+0.00040445i,-0.00080795+0.00032638i,-0.00059036-7.7333e-05i,-0.00014582-0.00047626i,0.00031943-0.00031178i,0.0008996+5.078e-05i,8.7178e-05+0.00013754i,-0.00057506+9.6069e-05i,-0.00047477-0.00029361i,-3.6061e-05-0.0006504i
-0.00072716+0.0013544i,0.00011897+0.002782i,0.001329+0.0032823i,0.0016295+0.001831i,0.0016439+0.00092307i,0.00057818+0.0019592i,-0.00052862+0.0018625i,-0.00076901-7.5891e-05i,-0.00079069-0.0010382i,-0.00095383-0.0003727i,-0.00073921+0.00054602i,-9.9202e-05+0.00081276i,-0.00022725+0.00071963i,-0.0008687+0.00036408i,-0.00090088+0.00041617i,-0.00038215+0.00076775i,8.6354e-06+0.000497i,-0.00033586+0.00021575i,-0.00068472-0.00021017i,-0.00041606-0.00044081i,-0.0003593-0.00025396i,-0.00029477-0.00047316i,-0.00020516-0.00022086i
0.00083302-0.00023939i,0.00046622-0.00040322i,0.00031393-0.00083236i,0.001789-0.0010109i,0.0026217-0.00032356i,0.001897-0.00028894i,0.0005985-0.00023977i,-0.00049585-9.8921e-05i,-0.00045724+0.00035646i,0.00021389+0.0010565i,0.00016749+0.0008191i,-0.00114+0.00045092i,-0.0015147+0.00022022i,-0.0004411+0.00051444i,0.00051763+0.00078386i,0.00067334+0.00061677i,0.0001659+0.00058637i,-1.4949e-05+0.00010061i,0.00024434-0.00035731i,0.00044712+0.00011296i,0.00037144+0.00034549i,0.00024469-0.00060069i,0.00010974-0.0011605i
-0.0018322-0.0007258i,-0.00030361+0.00051485i,4.0063e-05+0.0016306i,-0.00040676+0.0019646i,-0.00061743+0.0022715i,-0.00017791+0.0020841i,0.00075437+0.0013874i,0.00016366+0.00027688i,-0.00055773-8.962e-05i,-0.00080793+0.00038954i,-0.00071845+0.00018484i,-0.00048777+0.00071383i,-0.00097919+0.00123i,-0.0010593+0.00084452i,-0.0011165+0.00027487i,-0.00069406-1.4639e-05i,4.5368e-05+0.00061543i,-0.0001287+0.00091221i,-0.00040695+0.00057795i,-0.00053533+0.00017486i,-0.00073818+5.0805e-05i,-0.00081917+0.00018107i,-0.0005312-0.00015963i
-0.002958+0.00060962i,-0.0025847+0.0019954i,-0.0020879+0.002485i,-0.00049246+0.0013991i,0.00081827+0.00049408i,0.00086319-0.0004369i,0.00023045-0.00094219i,-0.00027045-0.00061568i,-0.00070279-0.00040888i,-0.00023814-0.00047489i,-3.1257e-05-1.6773e-05i,-0.00021811+0.00026487i,-0.00029641+0.00035073i,-0.00064235+4.4269e-05i,-0.00027466-0.00016191i,0.00039747+0.0003419i,0.00054456+0.00061985i,0.0004497+0.00028108i,0.00029242-0.00017442i,0.00013392-0.00012198i,0.00015659-0.00086299i,-9.5221e-05-0.00090477i,7.0981e-05+0.0004708i
-0.00059731+4.5471e-05i,-0.0015087+2.1858e-05i,-0.000102+0.00043175i,0.00038126+0.00024066i,-0.00013869+0.0002797i,4.9211e-05+0.0010454i,0.00021877+0.0018574i,7.1845e-05+0.0016508i,0.00013342+0.00069368i,0.00026928+0.00057694i,0.0006512+0.00034748i,0.00036794-0.00010937i,7.092e-05-0.00029686i,0.00017246-0.00049928i,8.0848e-05+1.8133e-05i,3.2106e-05+0.00047048i,-0.00024859+0.00079253i,-0.00046319+0.00026306i,0.00020716-0.00031581i,0.00085176+0.00020365i,0.0010382+0.00091348i,0.0013132+0.00073705i,0.0012164+4.4695e-05i
0.0012034+0.0010266i,0.0014525+0.00082566i,0.0015099+0.00036896i,0.001677-0.00026334i,0.0012998-0.00051813i,0.0004536+0.00053615i,0.00011558+0.001174i,0.00034682+0.0011374i,0.00019996+0.00070683i,-0.00037203-0.00039859i,-0.00021036-0.00082365i,0.00035729-0.00058379i,-0.00015131+0.00015639i,-0.0003244-0.00024195i,0.00016441-0.0010696i,0.00029239-0.0011585i,0.00010252-0.0003715i,0.00023654+3.3004e-05i,5.8614e-05+0.00045552i,-0.00056427+0.00038579i,-0.00057484-0.00026534i,0.00045108-0.00012259i,0.00054237-0.00036259i
-0.00014806+0.0030473i,0.00022753+0.0025303i,0.0017484+0.0021036i,0.0024863+0.0014623i,0.0027332+0.0014801i,0.001376+0.00036751i,-0.00020412-0.00082108i,2.6883e-05+0.00016016i,0.00040587+0.00093881i,0.00014274+8.4633e-05i,-2.1213e-05-0.00017127i,0.00010933+0.00022481i,-0.00021872-0.00012123i,-0.00013251-0.00033951i,0.00049169+7.9605e-05i,0.00018423+0.00041976i,-0.00012712+0.0003708i,0.00017915+0.00031454i,0.00096068+0.00055052i,0.0018205+0.00041778i,0.0016929-0.00011202i,0.00087059+2.1043e-06i,0.00039051+0.00043874i
-0.00066631-0.00077907i,-0.00014748-0.00024076i,5.2391e-05-0.00042699i,-3.9341e-05-0.00027109i,-0.0005618-6.3284e-05i,-0.00015525+0.00051852i,0.00069371+0.00096596i,0.00091173+0.0010736i,0.00039898+0.00027391i,0.00065806-0.00058838i,0.00025009-0.00058418i,-0.00033509-0.00078912i,-0.00053806+8.6425e-05i,-0.00074895+0.0010463i,-0.0012718+0.00099295i,-0.0013345+0.00052361i,-0.00022682-0.00035248i,-0.00014783-0.0010481i,0.00017806-0.00075742i,0.00030037-0.00044822i,-0.00077028-0.00038532i,-0.0011673+0.00033428i,-0.0010737-2.9878e-05i
0.00053766+0.0016276i,0.0010142+0.0022033i,0.0019467+0.0024193i,0.0024071+0.0015052i,0.0017333+0.00086322i,0.00028086+0.00060874i,-0.00022266+0.00099568i,-0.00050347+0.00089768i,-0.00075661+0.00093946i,-0.00011117+0.0013171i,-1.6377e-05+0.0007814i,-0.0004042+0.00053819i,-0.00019404-0.00013754i,-0.00043566-0.0014006i,-0.00059507-0.0018943i,-0.00076293-0.0010638i,-0.00085126-0.00014911i,-0.00041023-5.7514e-05i,-0.00037317-0.00014718i,-1.5574e-05-9.7502e-05i,0.00063861-0.00015568i,0.00050344-0.00020966i,0.00063243+0.00052836i
