1.0585e-05-2.9973e-05i,0.0015116-0.0015899i,0.0025577-0.0022613i,0.0015984-0.0027495i,0.00070438-0.0029083i,0.00069294-0.0010242i,0.00080944+0.0010687i,0.0012115+0.0014602i,0.0016769+0.0008413i,0.0014246-0.00033318i,0.00055143-0.00063313i,-0.00045151-0.00054878i,-0.00036282-0.00069506i,0.00014541-0.0007608i,0.00036321-0.00053047i,0.00031143-0.00060826i,-0.00010396-0.00055304i,-0.00051343-0.0004034i,-0.0003312-2.7446e-05i,-0.0002639+0.00030829i,0.00024235-0.0001953i,0.00068978+1.3949e-05i,3.9546e-05+0.00017148i
0.00039947-0.0006174i,0.00053525-0.00086179i,0.00019345-0.0012701i,0.00034149-0.00093743i,0.00046407-0.00035401i,0.00056821-0.00075344i,-0.0005289-0.0012622i,-0.0010472-0.00054672i,-0.00031928+0.00022172i,-0.00060285+0.00082475i,-0.00052191+0.0010082i,6.3031e-05+0.0010091i,-5.5884e-05+0.0012412i,-0.00016317+0.0011879i,-0.00025118+6.084e-05i,0.00050861-0.00030169i,0.000325+0.00021593i,-0.00027347+0.00013459i,-0.00057345+0.0002461i,-0.001112+9.5943e-05i,-0.00031719-0.00020479i,0.00024484-0.00022991i,-0.00036517-0.0002845i
-0.00028183+0.00053065i,-0.00012204+5.3858e-05i,0.00087556-0.00071357i,0.001176-0.0013857i,0.0020727-0.0017759i,0.0026129-0.001597i,0.0018032-0.00090775i,0.00070067+7.0828e-05i,0.00019893+0.00072098i,0.00039221-5.9308e-05i,0.00074435-0.0011276i,0.00059643-6.8347e-05i,7.1636e-05+0.00025262i,-0.00045204-0.00033695i,-0.00024289-0.00021133i,0.00025243-0.00056441i,-0.00037882-0.00041902i,-0.00040741-7.1952e-05i,0.00012104-0.00023126i,7.2504e-05+0.00046289i,7.6348e-05+0.00062898i,0.00051155+5.4591e-05i,0.00054799-0.00023274i
0.00051523+0.00024069i,-0.00024677+0.00058458i,0.00027794+0.00066015i,0.0015496+0.0004351i,0.0015509+0.0001034i,0.0009715-0.00046107i,0.0011817-0.0016368i,0.0012037-0.0010048i,0.00025367+0.0004727i,-0.00022726+0.00089602i,-0.00031703+0.00099839i,-0.00048503+0.00033319i,-0.00073941-0.00088816i,-0.00065193-0.0009868i,-0.00059239-0.00099454i,-0.0011473-0.00086332i,-0.00069381-0.00078485i,-0.00013622-0.00040814i,-0.00019281+0.00016652i,0.00010279-3.3062e-05i,0.00016365+0.00029757i,-9.2994e-05+0.0003569i,-0.00031972-6.095e-05i
-0.0018748-0.00039696i,-0.0029264-0.0011363i,-0.0031794-0.001273i,-0.00064475-0.0006653i,0.0012573-3.7649e-05i,0.0012893-0.00084118i,0.0005406-0.00075587i,5.141e-06+0.00058271i,0.00028193+0.0011046i,0.0002837+0.0007603i,0.00020571-6.6622e-05i,6.2989e-05-0.00025754i,0.00038143+0.0001202i,0.00038928+0.00030287i,0.00012247+0.00027661i,-0.00014677+0.00024693i,0.0001022+0.00038933i,0.00011713+0.00029902i,-0.00033536+7.6008e-05i,-0.00059244-7.095e-05i,-0.00078323+7.9146e-05i,-0.00018533+0.00053021i,0.00024787-5.2116e-05i
-0.0017255+0.00069746i,-0.0012949+0.0015327i,0.00053072+0.0022452i,0.0016952+0.00098178i,0.0018063-0.00055833i,0.0015821-0.00085794i,0.00057291-2.7551e-05i,-0.00016918+0.00076399i,-0.00015411+0.00085292i,-0.00011574+0.00010253i,-7.8536e-05+0.00026146i,-0.00037446+0.00041018i,-8.1983e-05+0.00040646i,0.00020813+0.00073951i,0.00030116-0.00025869i,-4.6587e-05-0.00098291i,-0.00020428-0.00074588i,0.00022737-0.00092533i,0.0004404-0.00056957i,-0.00023938+0.00037965i,-0.0007547+0.00019558i,-0.00014407-5.1536e-05i,0.0011636+5.6124e-05i
-0.0016246+0.001249i,-0.0018443+0.0015383i,-0.0013632+0.0011674i,0.00054143+0.00069215i,0.002327+0.00010009i,0.0015276-0.00095725i,0.00032245-0.0021003i,-0.00046093-0.00050872i,-0.00047638+0.00088248i,-0.00010861+0.00040134i,0.00026818+0.00010139i,0.0012194+0.0003543i,0.00071849+0.00051942i,0.00021048+0.0001214i,0.00032474+0.00050407i,0.00021204+0.00048532i,-0.00017239+0.00015513i,-0.00019204-0.00011148i,-0.00017076+5.6653e-06i,9.0015e-05+0.00052278i,0.00055149+0.001206i,0.00067489+0.0015786i,-5.2802e-05+0.00030169i
0.0011454+0.0016195i,0.00044456+0.001882i,0.00024817+0.0015462i,0.0011293+0.00051741i,0.0024403-0.00092929i,0.001872-0.0016817i,0.0006637-0.0012629i,0.0005293-7.9469e-05i,6.4834e-05+0.00074867i,0.0002256+0.00088413i,0.00048678+0.0007132i,6.6788e-05-0.00011276i,-0.00019325-0.00080519i,0.00042058-0.00064785i,0.00054309+3.4219e-05i,0.00013421-0.00062102i,0.00054965-0.00099444i,8.9124e-06-0.00042487i,-0.00067904-0.00010825i,8.9451e-05-0.0003556i,0.00057435-0.0003458i,0.00014866+6.7777e-05i,-0.00026661-0.00016778i
0.00044371-0.0015955i,0.00011566-0.0023942i,-7.9185e-05-0.0032254i,0.00071514-0.0033681i,0.0017629-0.0021086i,0.0019269-1.7064e-05i,0.0014029+0.00036614i,0.00015769-0.00021882i,1.8287e-05-0.00046593i,0.00033981-9.1847e-05i,3.7044e-05+9.7715e-05i,3.7478e-06-5.9164e-05i,0.00010377+0.00035329i,-0.0006207+0.00084017i,-0.0010379+0.00071347i,-0.0011146-0.00039683i,-0.00055775-0.0010807i,-5.7137e-05-0.00082554i,-0.00020797-0.00033196i,0.00045535-0.00069577i,0.00043787-0.00051643i,-0.00031373-0.00012848i,-0.00031736-0.00015768i
0.00072803-0.0001013i,0.0015092-0.0003871i,0.00084744-0.00070661i,-9.8088e-05-0.00024964i,0.00045935-0.00042556i,0.00061346-0.0010668i,-0.00028407-0.00069714i,-0.00080146-0.00011697i,-0.00042533+0.00035126i,-0.00027234+0.00048203i,-0.00075202+0.00045346i,-0.000491+0.0004603i,-0.00047301+0.0002911i,-0.00046733-7.4398e-06i,0.00010166-0.00018024i,-2.9621e-05-0.00024495i,-0.00036756-6.4216e-05i,-0.00044158+8.5394e-05i,-0.00015033+0.00016975i,0.00041878+0.00064141i,0.00064904+0.00096063i,0.00070964+0.00057825i,0.0018057-0.00049336i
0.0014535-0.00080398i,0.00088687-0.00045543i,0.0012595+0.0002469i,0.0014909-0.00030012i,0.0012692-0.00076059i,0.00090595-0.0011121i,0.00052069-0.001436i,-0.00018975-0.00067597i,-0.00046567-0.00019557i,0.00040271-8.8813e-05i,0.00034985-4.5952e-05i,-0.00048764-0.00049209i,-0.00083976-0.0002755i,-0.00024629+0.00091073i,0.0006684+0.00097472i,0.00073709+0.00011445i,0.00056561-0.00080373i,0.00031803-0.00077984i,5.9682e-05-0.00013552i,-0.00014918+1.6609e-06i,-0.00047014+0.00026458i,-0.00019812+0.0002364i,0.00038148+0.00024941i
