-0.00080722-0.00088551i,0.00028662-0.001975i,1.7436e-05-0.00067822i,0.00039815+0.0004742i,0.0012168+0.0010335i,0.00098366+0.0010372i,0.00045054+0.00054339i,0.00093227+0.00041578i,0.0015604+0.00068879i,0.0017956+0.0010042i,0.0015633+0.00090259i,0.00056999-0.00021993i,-0.00025437-0.00055863i,-0.00059297-0.0004104i,-0.00064531-0.00014376i,-0.00016888+0.00010509i,-0.00026023-0.00057295i,-0.00041312-0.00027387i,9.9212e-05+0.00016198i,0.00031616+0.00021499i,-0.00013501-0.00033927i,-0.00040286-0.0010217i,-0.00030152-0.00082376i
0.0015615+0.0023754i,0.0020422+0.0037308i,0.0015917+0.0022987i,0.0012647+0.00024185i,0.00050085-0.0010277i,-0.00024781-0.00090834i,0.00012918-0.00058047i,0.00064112-0.00033665i,0.00067472+0.00030174i,0.00043419+0.00015687i,-2.3549e-05-0.00035081i,-6.6809e-05-0.0010264i,0.00019782-0.00061855i,-6.084e-05+0.00036582i,-0.0002036+0.00064078i,-7.3164e-05+0.00033003i,0.00060352-0.00042745i,0.00075569-0.00092589i,0.00032746-0.00094441i,6.8483e-05-0.00062328i,0.00017909+3.8572e-05i,0.00023809+0.00077257i,0.00026648+0.00076069i
-0.0038451-0.001306i,-0.0026514-0.0017702i,-0.0013288-0.00072453i,-0.00010853+0.00033614i,0.00011355+0.0011687i,0.00080596+0.00048902i,0.001647-0.00074728i,0.0013181-0.0011349i,0.00016468-0.0003303i,9.2108e-05+9.356e-05i,0.00040608+0.00012108i,0.00012611+0.00044055i,-0.00032041+0.00022962i,-0.0004142-0.00011544i,-0.00011888+0.00048489i,0.00048364+0.00044529i,0.00051258-1.0333e-05i,-0.00029955+0.00044506i,-1.7887e-05+0.00034124i,0.00070814+0.00082765i,0.00018559+0.0011799i,0.0003049+0.00069279i,0.00058078+0.00033974i
0.0021313+0.00077544i,0.0024224+0.00096067i,0.0013499+0.00025977i,0.00055754+0.00058811i,-0.00011333+0.00063714i,-0.00072392-0.00048112i,-0.0011522-0.00076032i,-0.00071852-0.00064909i,0.00023575-0.00024023i,0.00064795+0.00034755i,0.00074086+0.00058268i,0.00049016+0.00063802i,-8.9001e-05-0.00029213i,4.4585e-05-4.9222e-05i,0.00084348+0.00066427i,0.0008906+0.00029366i,0.00050301-0.00012065i,5.4017e-06-0.00044209i,-0.0001877-0.00039746i,0.0002455-0.00019536i,0.00037094+0.00041794i,-0.00027913+0.00034697i,-0.00015184-0.00040898i
-0.0018073+0.0009506i,-0.00039172+0.00094676i,0.00025618+0.00059143i,-0.00075692+7.1914e-05i,-0.0014798-0.00053998i,-0.00072172-0.00038143i,-0.00028597+0.000415i,0.00029879-8.1243e-05i,0.0014046-0.00040359i,0.001086-0.00059094i,0.00053919-0.0010765i,0.00033504-0.0004286i,-4.0537e-05+0.00020045i,0.00029158+0.00014609i,0.00050403-0.0003598i,0.0010531-0.00071238i,0.0018027-0.000755i,0.00099046-0.0003422i,-6.0053e-05+3.2555e-05i,0.00018483+0.00024422i,0.00038308+0.00056149i,-0.00036809+0.00010577i,-6.5243e-05-0.00025152i
0.0010203-0.001502i,0.0010897-0.00054012i,0.0010718-8.9016e-05i,0.0014955+0.00041273i,0.00067767+0.00051985i,-0.00029918-0.00080865i,0.00014424-0.00072432i,0.00035629-0.00046029i,0.00097718-0.00060697i,0.00078052+0.00022278i,0.00013058+0.00027222i,0.00049923-0.00010685i,0.00039974+0.00041916i,2.1677e-05+0.00046629i,3.3487e-05-0.000108i,-0.00037198-0.00066842i,-0.00021853-0.00039392i,0.0005428+0.0003845i,0.00081925+0.00015569i,0.0002566+7.7773e-08i,-0.00025946+0.00055333i,-0.00039413+0.00086445i,-4.4828e-05+0.00076464i
0.0014212+0.0023947i,0.00074349+0.0023238i,0.0011814+0.0015877i,0.0008521+7.0333e-05i,0.00027029-0.0010936i,-0.00016315-0.0011549i,-0.00044151-0.00017637i,0.00021643+0.00062691i,0.00091167+0.00012396i,0.0015013-0.0003493i,0.0013812-0.00072152i,-0.00022438-3.7227e-05i,-0.00065177+0.00085355i,-0.00017327+0.00076385i,0.00011227+0.00028423i,0.00060965+0.00035459i,0.00094204+0.00031822i,0.00089942+0.00016413i,0.00026703+0.00074104i,0.00068541+0.00088533i,0.00079392+0.00025462i,0.00030675-9.2897e-05i,-3.1859e-05-9.3236e-05i
-0.00013935+0.00030393i,-0.00017627+0.00011338i,-0.00012076-0.00025225i,-5.5398e-05-0.00026763i,9.6821e-05-0.0001281i,-7.0651e-05-0.00086118i,-0.00062107-0.00083898i,-0.00012478+7.3951e-06i,0.00054008+0.00027052i,-0.00023265-0.00013897i,-0.00028586-0.00089819i,0.00071208-0.00077333i,0.00038371-0.00060343i,-0.00031918-0.00081421i,-5.5002e-05-0.0010322i,0.00067812-0.00068105i,0.00052831+5.0132e-05i,9.42e-05+0.00051289i,4.664e-06+0.00081028i,-0.00022324+0.00044479i,-0.00016226-0.00062104i,0.0006769-0.00096016i,0.0012996+0.00014517i
0.00077804+0.00050679i,0.00057397+0.0016126i,0.0012548+0.0016018i,0.0013436+0.00073637i,0.00076768-0.00048067i,0.00075746-0.00012716i,0.0004649+0.0010599i,0.00046179+0.00068324i,0.00069992+0.00013582i,-8.053e-05+0.00062837i,-0.00061124+0.00086477i,-0.00037178+0.00041085i,3.1953e-05-0.00035791i,0.00051459-0.00014311i,-0.00033975+0.00030804i,-0.0006897-0.00019579i,0.00021613-0.00010176i,0.00067054+0.00052184i,-0.00043126+0.00078276i,-0.0010877+0.00032086i,0.00010713-0.00057634i,0.00055907-0.00082915i,0.00037079-0.00033994i
-0.0012444-0.0015796i,-0.00032372-0.0011038i,-0.00052806-0.001129i,-0.00076091-0.0014282i,-0.00031537-0.00017916i,-0.00070756+0.00062596i,-0.00053422-3.7305e-06i,0.00080933-0.00027232i,0.00047007+0.00070763i,-0.00012943+0.00099892i,0.00037857+0.00029619i,0.00088505-4.8003e-06i,0.00044639+0.00017285i,-0.00019376+0.00033261i,-0.00022078+0.00013148i,-0.00066721+0.0001632i,-0.00077382+0.00034408i,-0.0004528+0.00018509i,5.019e-05-0.00027748i,0.00043511+0.00015285i,-1.6493e-05+0.00072838i,-0.00033074+0.00095595i,-0.00068641+0.00082366i
0.00093075+0.00078922i,0.0017351+0.00078679i,0.0020963+0.00093953i,0.0021583+0.00086691i,0.0008559+0.00029864i,-0.00044388-0.00015582i,-0.00014759+4.5698e-05i,0.00059914+0.00041046i,0.0011977+0.00038311i,0.00058535-3.7166e-05i,0.00019251-0.0001322i,0.00098515+0.00026566i,0.00050692-0.00015073i,-0.00027523-0.00017966i,0.00033732+0.00048961i,0.00055769+0.00036507i,0.00048219-0.00032406i,-0.00019354-0.00042615i,-0.00050701+0.00073923i,-0.00017927+0.0010501i,-0.00021821+0.00020742i,-0.00013913+0.00026701i,0.0004607+0.00059521i
-0.0006031+0.00035332i,-0.0008679+0.00064584i,0.00052565+0.00020203i,0.0012043-0.00052463i,0.0010415-6.0716e-05i,0.00043392+0.00014992i,-0.00011016+0.00013486i,0.00014377+0.00068358i,0.0012871+0.0010943i,0.00097597+0.0015271i,-2.7139e-05+0.00085514i,0.00011661+3.2124e-05i,-0.00031727+5.8381e-05i,5.9185e-05+1.5233e-05i,0.00089668-0.0006172i,0.00060435-0.00097145i,0.0002246-0.00062689i,0.00018967-8.1573e-06i,2.4163e-05+0.00065227i,-0.00022585+0.00097594i,1.8689e-05+0.0011845i,-0.00025306+0.00057999i,-0.00044912-0.00057234i
0.001825-0.0011104i,0.001475-2.4543e-05i,0.00044334-0.00052513i,0.00020762-0.0013963i,6.0492e-06-0.0013135i,0.00038523-0.00035771i,0.0014494+0.00039409i,0.001392+0.00077265i,0.00066013+0.00064646i,-0.00020459+0.00027325i,-0.00029428-0.00020764i,-0.00036086-0.00020359i,-0.00034754+0.00035419i,0.00023039+0.00046498i,0.00052577+0.00018927i,0.00089746-0.00011221i,0.00088635-0.00029334i,-0.00010859+0.00039263i,-0.00070976+0.0011509i,-0.00039087+0.00060614i,-8.1492e-05+0.00023915i,0.0001014-0.00018249i,8.8752e-05-0.00070703i
0.00010952+0.0011379i,7.988e-05+0.0016764i,0.0003729+0.0015708i,0.0006717-2.4752e-05i,0.0005409-0.00077114i,-0.0003369-0.0003086i,-0.00058183-5.5899e-05i,-3.263e-05-0.00014141i,0.00048942+0.00013671i,0.00050164+0.00012399i,0.00043133-0.00066552i,0.00040657-0.0011565i,0.00085347-0.0011166i,0.0005833-0.00045352i,0.00017958-2.6607e-05i,0.00057416+0.00021846i,0.00028646+0.0005856i,-7.7558e-05+0.0006493i,-0.00026718-8.8387e-05i,-0.00013485-0.0005651i,0.00020312-0.0004599i,0.00041153+0.00036601i,0.0010029+0.00091152i
1.151e-05+0.00068581i,-0.00057669+0.00030015i,3.9521e-05+2.279e-05i,0.00094866+0.00032765i,0.00029278+0.00034858i,-0.00034824-0.00068148i,0.00031537-0.001024i,0.00059031-0.00044367i,0.00028191-7.7088e-05i,0.00024861-7.7967e-05i,0.00058761+0.00042018i,0.00092652+0.00043643i,0.00094693+0.00010388i,0.00019864-0.00015745i,0.00026823+0.00026314i,-0.00017435+0.00089714i,-0.0010621+0.00071392i,-0.000722+0.000821i,3.6127e-05+0.00090252i,0.00033987+0.00032799i,0.0001267-0.00048129i,0.00041531-8.2683e-05i,0.0011804+0.00025548i
0.00031031+0.00065531i,0.00030697+0.00022876i,0.0014049-0.00050974i,0.0014832-0.00039779i,0.00083287-9.4919e-05i,0.00048763+0.00047362i,0.00071769-8.8795e-05i,0.0010955-0.000487i,0.00078902-0.00014034i,-2.6942e-05+0.00053727i,-0.0001613+0.00081278i,-0.00028637+0.00040381i,-0.00074777+0.00042167i,-0.00052544+0.00014548i,-0.00011132+0.00022322i,0.00014159+0.00069999i,-0.00024213+0.00027708i,-4.8183e-06-0.00017472i,0.0010366+0.00024315i,0.00080062+0.00070683i,0.0001697+0.00083198i,0.00032784+0.00055422i,-8.1163e-05-6.2751e-05i
-0.001127+0.0018175i,-0.00043616+0.0026442i,0.00061418+0.002587i,0.00083754+0.0013765i,0.00020895+0.00047779i,0.00010112+0.00014829i,0.00047792-0.00014938i,0.00038219-0.00017006i,0.00021111-0.00053467i,0.00018492-0.00022596i,-0.00060844+0.0011213i,-0.00079182+0.0011135i,-0.00043175+0.00035534i,-0.00019388+5.7568e-05i,-0.00010306-0.00039898i,0.00029927-0.00095391i,0.00024865-0.00076977i,9.7073e-05-0.00022116i,0.00063768-0.00018134i,-0.00014987-0.00022537i,-0.00070257+0.00025821i,-0.00051432-5.5239e-05i,-0.00067283-0.00016081i
0.00011964+0.000625i,-9.0178e-05-0.0004102i,-4.0294e-05-0.000508i,-0.00046749+0.00036734i,-0.0012015+0.00043698i,-0.00071751+0.00047128i,-0.0004449+0.00046523i,0.00017207+8.5696e-05i,0.00035893-0.00017277i,5.3366e-05+0.00011213i,0.00043095+0.0011885i,0.0007073+0.0010241i,0.00067028+0.00013539i,0.00019688-0.00015079i,-0.00052387+0.00018816i,-6.3716e-05+0.00019222i,0.00065452-1.2555e-05i,0.00096514+0.0004616i,0.00067731+0.00038751i,0.00080196-0.00039517i,0.0012213-0.00021198i,0.00082032+0.00061964i,0.00097477+0.00091542i
7.0474e-05-0.00027923i,-0.000283-0.00035406i,1.0554e-05+0.00066595i,0.00077155+0.00057082i,0.0012023+0.00053837i,0.00066682+0.00028509i,0.00047945-0.00025442i,0.00081035+0.00033066i,0.00035344+0.00064753i,-0.00025597+0.0002564i,-0.00032608+0.00042159i,-0.00070545+0.00038338i,-0.00021988+0.00015734i,0.00039187+0.00028683i,0.00067329+0.00014908i,0.00049315-1.5619e-05i,-0.00016691+0.00020526i,-0.00072723+0.00017062i,-0.00055284-0.000266i,1.7439e-05-0.00077134i,0.00047693-0.00063082i,0.00029267-0.00026365i,4.2835e-05+0.00015198i
-0.00025047+0.00029669i,0.00080157-0.00023828i,0.00010428-1.6757e-05i,-1.1992e-05-0.00096983i,0.00079044-0.00093603i,0.00044959-0.0004938i,-0.00025997-0.00081607i,0.00020565-0.00048091i,0.0001419+0.0011866i,0.00010741+0.0015019i,0.00094875+0.00014123i,0.0010057-0.00056258i,0.00056042-0.00034484i,7.493e-05+4.4092e-05i,0.00012637+0.00036354i,0.00028757+0.00053225i,0.00035905+0.00043339i,0.0002664-0.00036417i,0.00042301-0.00073124i,0.00049378+0.00010071i,-0.00038866+6.5712e-05i,-0.00060847-0.00044124i,-3.1971e-05-0.00026279i
-0.00039895+0.0029869i,-0.00013683+0.0021521i,0.00061946+0.0013072i,0.0012155+0.00089658i,0.0016964+0.00034204i,0.0011891+0.00014952i,0.00026393+7.8524e-05i,0.0003411-7.3492e-05i,0.00072984-2.3337e-05i,0.00070139+0.00026337i,0.00046515+0.00048084i,0.00058921+0.00065983i,-0.00043855+0.00017238i,-0.0010039-0.00094389i,0.00041616-0.00054838i,0.00093506+0.00021841i,0.0004214+0.0004402i,0.00072252+0.00046614i,0.00070818+0.00039188i,0.0003422+0.00065884i,0.00046299+0.00068238i,0.00021309+0.00032231i,-0.00032901-1.8584e-05i
