-0.003089-0.0012343i,-0.0025015-0.00088583i,-0.0026941+0.00012599i,-0.002887+0.00012528i,-0.0032319+0.00042067i,-0.0021612+0.00079448i,-0.0011351+0.00040328i,-0.00065125+0.00043951i,-0.00045929+0.00056279i,-0.00036863+0.0002875i,-0.00022078+0.00043589i,0.00023556-0.00036753i,0.00059349-0.00087775i,0.00076832+0.00048058i,0.0002612+0.0014037i,-0.0001762+0.0014259i,-0.00024667+0.00096055i,-0.00064542+8.5848e-05i,-0.00087883-0.00021072i,-0.0008092+5.2698e-05i,-0.00096558+0.00020283i,-0.00061495+0.00018501i,-0.00036595+0.00071232i
-0.00012646-0.00059502i,-0.00058179-0.00062554i,-0.0011392-0.00030969i,-0.0015601+0.00014897i,-0.00094971+6.7129e-06i,0.00035864+0.00065324i,0.00088233+0.00074592i,0.00061026-0.00040847i,0.00018778-0.00063723i,-0.00066017-0.00045412i,-0.0010862-0.00015274i,-0.00027927+0.0006137i,5.3531e-05+0.00079972i,0.00085611+0.00067545i,0.0019593+0.00038333i,0.0017612+3.2246e-05i,0.00029542-0.00041587i,-0.00017671-0.00082835i,0.00030285-0.00043764i,5.4203e-05+0.00034469i,0.00029164+0.00060146i,0.00074084+0.00057486i,0.00023809+0.00013004i
-0.0013449-0.00046544i,-0.0024182-0.00049348i,-0.002707-0.00080512i,-0.002813-0.00020135i,-0.0021063-7.8878e-05i,-0.00040793+0.00066815i,0.00028468+0.00092085i,0.00068207+7.5573e-05i,0.00034072-0.00055039i,-0.00063361-0.00068268i,-0.00025401-0.00011283i,0.00040271+3.7862e-05i,0.00076451-0.00061186i,0.0010122+6.9036e-05i,0.00075657+0.00070917i,0.00064605+0.00038228i,0.00069593+0.00033495i,0.000339-2.8686e-05i,-0.00060438-0.00036477i,-0.0007058-7.16e-05i,-0.00016818+0.00051125i,-0.00066908+0.00022969i,-0.00098821+0.00014509i
-0.000372+0.00071298i,-0.00032121-0.00021956i,-0.00031982-0.00068967i,-0.0014734-0.00022878i,-0.0017396-0.00016351i,-0.00027439-0.00028343i,-5.7937e-06+0.00010638i,-0.0010087-0.00016342i,-0.0011888-0.0002764i,-0.0010818-2.2924e-05i,-0.00075183+8.475e-05i,0.00023079+0.00011416i,0.00074893+1.2043e-05i,0.00057053+0.00046121i,0.00050985+0.0014874i,0.00028551+0.0011805i,0.00022299-3.7306e-05i,0.00014856-0.0008044i,0.00056966-0.00025201i,0.00065993+0.00068867i,0.00044254+0.00034691i,0.00045664-0.00063097i,0.00058144-0.00053391i
-0.00046291-0.0027754i,-0.0012916-0.0023444i,-0.0024238-0.0029269i,-0.0028102-0.0023971i,-0.0030992-0.00070523i,-0.002828+0.000734i,-0.0011777+0.00045792i,6.3912e-05-0.00045751i,-0.00015787-0.0010478i,-0.00091082-9.7509e-05i,-0.0011215+0.00046509i,-0.00055215+0.00017623i,0.00039195+0.00050153i,0.00027356+0.00061381i,0.0003809+0.00067478i,0.0011522+0.00086537i,0.00063716+0.00056055i,-0.00021748-0.00070858i,-0.00068251-0.00076186i,-0.00083951+1.3089e-05i,-0.00031431-6.0346e-05i,-0.00027955-0.00035601i,-0.00085096-0.0006137i
-0.0004883-0.0011032i,-0.001172+0.00074547i,-0.0028355+0.0004809i,-0.0036053+0.00011716i,-0.0038184-6.8737e-05i,-0.0032166+0.00062584i,-0.0016492+0.00084518i,-0.00050606-0.0002741i,-0.00075819-0.00020109i,-0.00057456+0.00022654i,-0.00030279+0.00055515i,-0.00031431+0.00052629i,-0.0003+0.00025829i,-0.00057754+0.00058969i,-0.00041639+0.0010866i,0.00014487+0.00074596i,0.00041804-0.0003793i,-9.4168e-05-0.00058369i,-0.00025795+0.00026679i,-0.00051167+0.00064986i,-0.00051182+0.00044335i,-0.0010145+0.00077144i,-0.0013502+0.00081061i
0.00087371-0.00092798i,0.00022446-0.0010702i,-0.0012159-0.0018543i,-0.0022165-0.0020431i,-0.0023606-0.0010662i,-0.00099976+0.00010085i,0.00060025+0.0002704i,0.00057097-0.00039817i,4.3258e-06-0.00077176i,-0.00059768-0.00042821i,-0.00020791+0.00016472i,0.00025288+0.00068141i,-0.00021443+0.00097218i,-0.00044137+0.00089472i,-0.00026124+0.0012361i,0.00064904+0.0008425i,0.0012342+3.7698e-05i,0.0010699+0.00090814i,0.00031252+0.0018344i,-0.00016835+0.0010198i,-0.00012036-0.00027373i,-6.0597e-05-0.00096729i,-0.00032216-0.00072807i
-0.0022884-0.002534i,-0.0025837-0.0023462i,-0.0032011-0.0023329i,-0.0038108-0.0013191i,-0.003036-0.00026044i,-0.0012218+0.00067365i,-1.5112e-05+0.0011828i,-8.4488e-06+0.00010603i,-0.00061368-0.001079i,-0.00092978-0.0013702i,-0.00069733-0.0010025i,-0.00028087+0.00034591i,0.00016173+0.00049245i,0.00052639-0.00027956i,0.00043471-0.00010845i,0.00034609+0.00036532i,0.00064101+0.0010389i,0.00028842+0.00044516i,4.9863e-05-0.00036428i,0.00049847-0.00067661i,0.00048449-0.00073952i,0.00016969-9.0379e-05i,0.0004222+0.00032888i
0.00091278-0.0015368i,-8.0174e-05-0.0021293i,-0.0018436-0.0023785i,-0.0024495-0.0019376i,-0.0022678-0.0019044i,-0.00071069-0.0014066i,0.0010096-0.00045202i,0.00069523-8.4944e-05i,-0.00062182-0.00032092i,-0.0015891-0.00084847i,-0.0017948-0.00058595i,-0.00082572-2.6758e-05i,2.8029e-05+0.00037871i,0.00065242+0.00054759i,0.00027244+0.00030539i,-0.00016273-0.00035132i,3.9406e-05-0.00086461i,0.00043444-0.00024128i,0.0006644+0.00085805i,0.00017016+0.00025676i,-0.00019455-0.00071428i,-0.00060135-0.00073683i,-0.0013918-0.00055807i
0.00031374-0.00085539i,-0.00038968-0.00037909i,-0.00072577-0.00084568i,-0.0010893-0.00088467i,-0.0012174-0.00073828i,-0.0013217-0.000256i,-0.0014073-0.00012261i,-0.00022315-0.0016485i,-0.00013659-0.0013795i,-0.0013646+0.00036648i,-0.00073813+0.0010346i,0.00025724+0.00097425i,-0.00011828+0.00038302i,-0.00044365+0.0002068i,-0.00050257+0.00086116i,3.8284e-05+0.00023525i,0.00078389-0.00052787i,0.00071466-0.00030852i,-1.9335e-06-0.00020399i,-0.00011868-0.00048418i,0.00019177-9.0397e-05i,-0.00061512+0.00035827i,-0.0011581-0.0001393i
-0.00035379-0.00070785i,-0.0005302-0.00080394i,-0.00029642-0.00099482i,-0.0014663+0.00039645i,-0.0029238+0.0015097i,-0.0028641+0.0012812i,-0.0010513+0.00036094i,0.0004041+3.4492e-06i,-0.00046279+8.0974e-05i,-0.0011448+6.0857e-05i,-0.00037452+0.00087694i,-0.00024632+0.0010169i,-0.00040628+0.00037899i,-9.4278e-05+0.00067077i,0.00012604+0.00096613i,0.00034552+0.0010117i,7.8886e-05+0.00087583i,-0.00037759+0.00074466i,-0.00025736+0.00029626i,0.00012093+0.00034678i,-0.00021575+0.00099914i,-0.00017856+0.0011312i,0.00021798+0.00091324i
