-0.0029595-0.00018372i,-0.0021674-0.0015798i,-0.0039048-0.00096631i,-0.0038002+0.00030936i,-0.0029996+0.001171i,-0.0015861+0.0011493i,-8.8853e-05+0.0019604i,0.0011574+0.0019328i,0.0016781+0.0014755i,0.0015827+0.0010406i,0.0019855+0.00026486i,0.0021759-0.00043666i,0.0015619-0.00036213i,0.0009153+0.00038738i,0.00082868+0.00052259i,0.00061564+0.00048401i,0.0003725+0.00018285i,0.00083702-0.00017479i,0.00063504-0.00077826i,0.00010105-0.00074126i,0.00010736-7.3042e-05i,0.00054991+0.00017704i,0.00095211+0.00071911i
0.0020468-0.00014985i,0.0019722-0.00025039i,0.00093372-0.00083203i,0.00010994-0.00065845i,-0.00083428+0.00018542i,-0.00093875+0.00011725i,-0.00015624-0.00034112i,0.00019507-0.0010365i,0.00062718-0.00091915i,0.00050252-7.7661e-07i,5.0461e-06-0.00012583i,7.7721e-05-0.00035778i,0.00025541-0.00091357i,0.00015492-0.00097731i,-4.1203e-05-0.00041638i,4.6704e-05-0.00023221i,0.00015542+0.00040966i,0.00027463+0.00082931i,0.00038123+0.00057136i,-0.00015844+0.0009143i,-0.00031928+0.00051095i,-8.4966e-05-0.00018622i,8.8549e-05+0.00018376i
0.0013073+0.0003656i,0.001407+0.00040131i,0.00088276-0.00061932i,-0.00013776-0.0011535i,-0.00025324-0.00030364i,-0.00017524-0.00018569i,0.00024233-2.9542e-05i,0.00079497+0.00027319i,0.0006063+0.00039618i,5.719e-06-0.0001687i,-8.576e-05-0.00051954i,0.00042985+0.0003985i,0.00077101+0.0007226i,0.000247+0.0003392i,-0.00019945+0.00046976i,5.2265e-05+0.0003961i,-0.00060319-0.00049609i,-0.00093776+0.00014076i,-0.00081608+0.0011712i,-0.0010772+0.0011768i,-0.00076858+0.00051403i,0.00016697+1.3715e-05i,0.00024413+8.9248e-05i
-8.7262e-06-0.0013581i,-0.00075297-0.00071971i,-0.0018995-0.00052453i,-0.0018259-0.00083263i,-0.0013247-0.00033835i,-0.00097977+0.00052013i,-1.0684e-05+0.00086277i,0.00060938+0.00094075i,-0.0004179+0.00095157i,-0.00059182+6.9641e-05i,-0.00026482-0.0003916i,-0.00021639+0.00085199i,0.0002417+0.0010068i,0.00079689+0.00045384i,0.00045252+0.0005216i,-0.00035637+0.0004737i,-0.00040364-4.6469e-05i,-0.00043548+0.00044601i,-0.00043365+0.00078059i,-0.00044857+0.00037362i,-0.00020498-0.0002669i,0.00018959-0.00038355i,-0.00012086-4.3961e-05i
-0.00089198+0.00075722i,-0.0015886+0.00049218i,-0.00058338+0.00023639i,0.0003253+8.1519e-05i,0.00012159-7.0173e-05i,0.00029741+1.3094e-06i,0.00083361-0.00018587i,0.0003991-0.00040904i,-0.00038718-0.00068009i,0.00023408-0.0006778i,0.0012221+0.00036394i,0.0014977+0.00098225i,0.00051795+0.00014016i,-0.00015019-0.00046506i,-0.0003786-0.00017336i,-7.9283e-05+0.00013491i,3.9523e-05+0.00063371i,-0.00014751+0.00041892i,0.00027897+9.8832e-06i,0.00034863+0.00020222i,0.00046727+0.00046083i,0.0011033+0.00077976i,0.00061299+0.00069235i
0.00026762+0.001284i,4.8385e-05+0.00098873i,2.564e-05+0.0012575i,-0.00068718+0.0012731i,-0.0015315+0.00077602i,-0.00074923-0.00033734i,-0.00018568-0.00040092i,-0.00052522+0.00018658i,-0.00066405+0.00021187i,-0.00030937+0.00058768i,-0.00031124+0.00051911i,-5.1155e-05+0.00023909i,0.00027524+0.0006536i,0.00024114+0.00029019i,0.00026159-8.9476e-06i,0.00033531+0.00022736i,0.00051112-0.00028608i,2.2128e-05-0.00011539i,-0.00039615+0.00062788i,0.00022069+0.00016957i,0.00045798+0.00028263i,0.00083169+0.00040457i,0.00073272-0.00022027i
-0.00057139-0.0001916i,-0.0010725-0.00080987i,-0.00067924+7.1528e-06i,-0.00019789+0.00018473i,1.3398e-05+0.00034093i,-0.00023711+0.00061122i,-4.5672e-05+6.2953e-05i,0.00012017-0.00018898i,-0.00022605+0.00010777i,0.00025027-0.00013045i,0.00061762-0.00054274i,0.00051655-9.0553e-06i,0.00015182+0.0010315i,-0.00015233+0.00088461i,-6.101e-05+0.00044381i,3.5726e-05+0.00039398i,0.00043355+3.2493e-05i,0.00053906+8.0987e-06i,0.00050193-0.00024794i,0.00048266-0.00015434i,0.00051597+0.0001578i,0.0002003+0.00029089i,0.00010471+5.026e-05i
-0.00097331-4.8579e-05i,-0.0020987+0.00062872i,-0.0026665+0.0012217i,-0.0018126+0.0022005i,-0.0011983+0.0014067i,-0.00086092+0.00020968i,-8.5603e-06+0.00015975i,0.0006131+1.9097e-05i,0.00086422-0.0001183i,0.00022072+0.00013941i,-6.7333e-05+0.00050342i,0.0010911+0.00032978i,0.00078548-1.8514e-06i,0.00030726+0.00054578i,0.00080318+0.00017828i,0.00084725-0.00050308i,-0.00048942+0.00061594i,-0.001382+0.0015345i,-0.00082882+0.00056703i,-0.00019749+7.5616e-05i,0.00015761+0.00054385i,0.00014054+0.00080745i,0.00063579+0.00060109i
8.6757e-07-0.0009263i,-0.0013524-0.0011117i,-0.0022471-0.00063718i,-0.0021872-0.00033457i,-0.0018142+6.3286e-05i,-0.00098759+0.00079623i,0.0001674+0.00035685i,0.00087512-0.00015462i,0.00068433-0.00012171i,0.00041059-5.335e-05i,-0.00024709+0.00063883i,0.00025631+0.00077485i,0.0012928-4.9124e-05i,0.00066684+0.0005571i,0.00015346+0.0013058i,0.0009666+0.00075055i,0.0011906+0.00041321i,0.00031787+0.0010514i,-0.00048703+0.00042757i,-0.00057905-0.00053803i,-5.4074e-05+6.2501e-05i,0.00075218+0.0012683i,0.00053593+0.0012829i
0.00023066+0.0019767i,-0.00017021+0.001582i,0.00035161+0.0017993i,6.1559e-05+0.00071623i,-0.00012719+3.5278e-05i,-0.00011242+0.00067181i,7.0671e-05+0.0005032i,0.0010048-0.00040657i,0.0012066+3.1495e-05i,0.00027748+8.0419e-05i,-0.00012065-0.00011281i,-3.1766e-05+0.00091104i,-0.00016041+0.001283i,-0.00063198+0.00097275i,-0.00027656+0.0008395i,-8.0528e-05+0.00073465i,-0.00068506+0.00084855i,-0.0011391+0.00067205i,-0.00058737+0.00069101i,0.00018155+0.0004578i,0.0007265+0.00063702i,0.00048106+0.00086538i,3.4179e-05+0.00067027i
-0.0010646+9.7891e-05i,-0.00093406+0.0014739i,-0.0016233+0.0017927i,-0.0013166+0.0012862i,-1.1061e-05+0.0014438i,0.0013266+0.00068514i,0.0013993+0.00056474i,0.0004703+0.0006362i,4.4429e-05+4.6461e-06i,0.00030443-0.00024149i,0.00021864-0.00074572i,1.1521e-05-0.00067505i,0.0011565-2.476e-05i,0.0023086-8.5789e-05i,0.0018009-0.00084956i,0.00098483-0.00087121i,0.00052048-0.00026889i,0.00092099-0.00014196i,0.0010472+7.1355e-05i,0.0012103-0.00010368i,0.0006603-7.1699e-05i,-0.00054345+0.0002553i,-0.00047508+0.00015518i
-0.00044507-0.0003196i,-0.00022451-0.00089823i,-0.00070201-0.0020565i,-0.00082776-0.0017941i,-0.00078715-0.0012151i,-0.00071153-0.0011856i,-0.00013184-0.00051188i,0.00058677-0.00018918i,0.00075377-0.00050127i,0.00034456-0.00033596i,-0.00018113+9.5517e-05i,-0.00020983+0.00016669i,-0.0003207+6.4871e-05i,-0.00036334-0.00049271i,-0.00023462-0.00084293i,1.9224e-05-0.00022119i,-0.00032573-0.00024148i,-0.00012434-0.00011976i,2.3499e-05+0.00025732i,0.00022803+0.00051557i,0.0004362+0.00090678i,0.00050664+0.00053822i,0.00063857-0.00018757i
