-0.0021304+0.00060039i,-0.0022704+0.00077269i,-0.0018986+0.0011551i,4.9498e-06+0.0011536i,0.00074687+0.0016587i,0.00036302+0.0024926i,0.00075956+0.0030264i,0.0016998+0.0021013i,0.001355+0.0010778i,0.00021221+0.00063592i,0.00052884+0.00014078i,0.00089069-1.2687e-05i,8.1519e-06-0.0001641i,-0.0003322-0.00021204i,-0.00040479+0.00015785i,-0.00081669-4.5558e-05i,-0.00091293-0.00031692i,-0.00023739-0.00035019i,-8.2829e-05+0.00031234i,-0.00012933+0.0011932i,-0.00063499+0.00087518i,-0.00068921+0.00036814i,0.00028749+7.9705e-05i
-0.00087773+0.00018495i,-0.00089634+0.00054496i,5.1679e-06+0.00063171i,-0.00078672+0.0013949i,-0.0016386+0.0015574i,-0.00067893+0.00049254i,-3.9081e-05-0.0003415i,-0.00032081-0.00063633i,-0.00050537-0.00017504i,-0.0010141+0.00011999i,-0.0013074-2.2091e-05i,-0.00054428-0.00023365i,0.00012908-9.6048e-06i,-0.00040624+0.00062471i,-0.00023797+0.0009634i,0.00036276+0.00041231i,-0.00013102-0.00020235i,-0.00011871-0.00071086i,0.00050037-0.0011869i,0.00057285-0.00069005i,0.00043301-0.00047015i,0.00048886-0.00055507i,0.00054054-0.00051501i
-0.00011698+0.0029292i,0.00086711+0.0034905i,0.0013419+0.003064i,0.0012514+0.0023837i,0.0015013+0.0017237i,0.002512+0.0010186i,0.0027598+0.00026007i,0.001026+5.8562e-05i,0.00040021+0.00063744i,0.00045339+0.00096114i,-5.6525e-05+0.00073391i,-0.00019914+0.00053414i,-0.00018191+0.00071824i,0.00010762-1.9798e-05i,0.00062146-0.00062171i,0.00032759-0.00076578i,0.00038595-0.0010265i,0.00039138-0.00026788i,0.00054559-0.00057424i,0.00054177-0.00074167i,0.00052683-0.00020576i,0.00062155-0.00028774i,0.00038301+0.00042623i
-0.00033138+0.0011055i,-0.00027706+0.00010896i,0.00062067+0.0002173i,0.0016068+0.00095288i,0.0022283+0.0010937i,0.0016307+0.00059785i,0.00024167+0.00017679i,-0.0010226+0.00049507i,-0.001788+0.00095126i,-0.0013993+0.00042784i,-0.00055803+0.0004879i,-0.00048686+0.0010103i,-0.00024651+0.0011634i,0.00018642+0.00029859i,0.00071068-0.00054084i,0.00064965-0.00052641i,0.00055158-0.00021087i,0.00050007-0.00026954i,-0.0003637-6.3617e-05i,-0.00081793+0.00028244i,-0.0002934-7.8131e-05i,0.00032881-0.00019527i,-3.2223e-05+1.8894e-05i
0.0021063+0.0012639i,0.0023944+0.00085616i,0.0029409+0.00042741i,0.0028953-0.00015447i,0.0020256-0.0004964i,0.0015878-0.00048484i,0.00082943-0.00051581i,-8.4218e-05-0.00012099i,-0.00066964+0.00033012i,-0.00033772+0.00075741i,0.00036245+0.00037957i,-0.00022376-7.585e-05i,-0.00078296+8.1383e-05i,-0.00054182+4.6142e-05i,-0.00019468-0.000288i,0.00042397-0.00074995i,0.00061896-0.0013382i,0.00070724-0.0010745i,0.0010416-0.00032472i,0.00044087-0.00020971i,-8.1206e-05+0.00036119i,-0.00056882+0.00045967i,-0.00049683-0.00041588i
0.00043747+0.0016186i,-0.00050049+0.0012183i,-0.00018095+0.00066467i,0.0011345+0.00062312i,0.0015466+0.00050262i,0.0013846+0.00088182i,0.0017552+0.00067413i,0.0018153+0.00011711i,0.00029908+0.00051267i,-0.00086202+0.0010956i,-0.0011213+0.001128i,-0.0006193+0.00039282i,0.00040265-0.00015298i,0.00057796+8.5775e-05i,-0.00011495-0.0001226i,-0.00020377-0.00024107i,0.0002611+0.00021873i,0.0005066+0.00035047i,0.00062182+0.00028366i,0.00096488+0.00020499i,0.00020189-0.00025381i,-0.00012894-0.00061733i,0.00048907-0.00027108i
0.0017474-0.000597i,0.0021414-0.00173i,0.0020643-0.0025706i,0.0014732-0.0023541i,0.00043604-0.00061321i,-0.00033971+0.0012936i,9.0996e-05+0.0016594i,5.3385e-05+0.0011012i,-0.00074397+0.00052077i,-0.00099424+0.0005099i,-0.00040497+0.00052821i,-0.00016904+0.00017279i,-0.00049971+4.1337e-05i,-0.00037616+0.00058805i,-0.00029641+0.00079014i,1.2596e-05-0.00022781i,0.00078173-0.001033i,0.00087989-0.001356i,0.00040199-0.0016463i,0.00044487-0.0012956i,0.00064478-0.0011779i,0.00072486-0.0007356i,0.00095764-0.00015541i
-0.00026465-0.00080474i,-0.00069685-0.0015931i,7.8934e-05-0.0023717i,4.3014e-05-0.0020994i,0.00065309-0.0010792i,0.0019383-0.00011988i,0.0014847-0.00026427i,0.00067614+9.2128e-05i,-0.00030782+0.00035556i,-0.00063247-3.8781e-05i,-0.00042957+0.0002788i,8.1068e-05+0.0003145i,0.00070117+0.00012274i,0.00045734+6.6012e-05i,0.00057377+0.00042981i,0.00084992+0.00029693i,0.00052812-9.0035e-05i,9.2414e-05-0.00033954i,0.0002964-0.00050217i,0.00082101-0.00032526i,0.00037841+0.00017931i,-0.00104+0.00077174i,-0.0014422+0.00040701i
0.00031213-0.00088379i,0.00025532-9.8367e-05i,0.00072387+0.00047523i,0.0025249+0.00044736i,0.0029462+4.3744e-05i,0.0021385+3.0364e-05i,0.0012277+6.3249e-05i,-0.0005289+0.00029356i,-0.0011422+0.00016735i,-0.00016811+3.1674e-05i,-0.00011458+4.075e-05i,-0.00070827-0.00027163i,-0.00032397-0.00035453i,4.9619e-05-0.00035454i,-0.00013272-0.00049161i,0.00011914-0.00010361i,0.0006328-8.4055e-06i,0.00038309-0.00048949i,-2.5816e-05-0.0005224i,0.00060998-0.00045918i,0.00049379+0.00018081i,-0.00069274+0.00071055i,-0.0012357+0.00025812i
0.00068254+0.0012108i,0.00059863+0.00047792i,0.00045428-0.00060658i,0.00067917-0.001233i,0.00097173-0.001327i,0.00083055-0.00080965i,0.00091458-0.00010227i,0.00076597+0.00049767i,0.00048399+0.00071342i,1.107e-05+0.00065539i,0.00010812+0.00068362i,0.00016987+0.00042039i,-3.9347e-05+0.00080067i,0.00026423+0.00092172i,0.00016978+0.00060099i,0.00026508+0.00030815i,0.0004853-0.00046571i,0.00031214-0.00039616i,2.6164e-05-0.00034566i,-0.00037536-0.00053735i,-1.498e-05-6.1834e-05i,0.00092701+0.00056812i,0.00076837+0.00060234i
-0.00042339-0.00024227i,-0.00082568-0.00080568i,-0.00027716-0.00095837i,0.00022352-0.00028395i,0.0005921+0.00080553i,0.0011438+0.0016536i,0.0011958+0.00042513i,0.00035355+0.00025753i,0.00040911+0.00056961i,0.00017864+0.00035435i,-0.0013553+0.00089941i,-0.0014593+0.00091365i,-0.0008537-0.00025844i,-0.00039077-0.00084753i,-0.00043497-0.00042643i,-0.00063746-0.00059857i,-0.00046233-0.00038998i,5.0073e-05+0.00034616i,0.00037448+0.00077111i,-1.2381e-05+0.0010353i,-0.00033994+0.00080713i,-0.0002734-1.4612e-05i,-0.00014165-0.00015626i
