-0.0044642-0.0005217i,-0.001994-0.0011883i,-0.0020115-0.0010094i,-0.00132+0.0014048i,-8.5163e-05+0.0030682i,0.00022098+0.0030597i,0.00013091+0.0020581i,0.0006866+0.0013484i,0.0006375+0.0012057i,0.00041944+0.00095203i,0.000637+0.00034105i,0.00047585-0.00080469i,0.00028684-0.0013542i,0.00027168-0.0010479i,0.00050493-0.00026163i,0.00054131-0.00011698i,-0.00044489-0.00092683i,-0.0012065-0.00059162i,-0.00095541+0.0006243i,-0.00047553+0.0011236i,2.527e-07+0.00070914i,-0.00017498+0.00058462i,-0.00052172+0.00084915i
3.9418e-05+0.0001285i,0.00055091-0.00089922i,0.00055363-0.00083794i,0.00053361-3.2518e-05i,0.00081878+0.00032504i,0.00078399+0.00021755i,2.0894e-05+0.0004028i,-0.00066196+0.00049026i,-0.00019697+0.00064558i,5.7918e-05+0.00084334i,-0.00060399-0.00016735i,-0.0005943-0.0014525i,-0.00066779-0.0012551i,-0.00087203-0.00013891i,-0.00041728+0.00014934i,-2.4344e-05-0.00033018i,-0.00025707-0.00048338i,-0.00048868-3.7914e-06i,-0.00024867+0.00025164i,-0.00017485-0.0001394i,-0.00079603+0.00024697i,-0.00045149+0.00097843i,-0.00037219+0.00039441i
7.9129e-05+0.002116i,-1.9433e-05+0.0018077i,0.00075809+0.0012848i,0.0019028-0.00024921i,0.0016974-0.0016599i,-2.7513e-05-0.0015376i,-0.00037259-0.00078367i,0.00024908-0.0012962i,-0.0002254-0.0015682i,-0.00037434-0.00011095i,0.00059168+0.00050317i,0.0011735+0.00027029i,0.00054191+2.4267e-05i,-0.00027812-0.00045192i,-6.3318e-05-0.0002266i,-0.00025956+0.00023036i,-0.00029838+0.00029152i,0.00039045+0.00058904i,-0.00016873+0.00079i,-0.00085708+0.00024771i,-0.0002202-0.00016862i,-2.5313e-05-0.00019252i,0.00016823+8.1466e-05i
0.0037674-3.06e-05i,0.0029355-0.0011438i,0.0022386-0.0019191i,0.0018172-0.0018782i,0.00098846-0.0014141i,-0.00027142-0.0010665i,-0.00056229-0.00013732i,-9.0349e-05-1.811e-05i,0.00019021-0.0006571i,9.4599e-05-0.00071401i,-0.00010076-0.00058147i,2.4651e-05-0.00040159i,0.00033109+0.00010176i,4.9295e-05+0.0001012i,-0.00064869-0.00021295i,-0.0010718+6.2467e-05i,-0.0013575+0.00012938i,-0.00071108+0.00017618i,0.00043359+0.0005058i,0.00079295+0.00069797i,-3.49e-05+0.00065327i,-0.00051878-0.00023915i,-0.00024851-0.00035318i
-0.00091872-0.0017863i,-0.0009859-0.0013028i,-0.0010837-0.0019992i,-0.0005333-0.0011132i,-0.00051362+0.00052259i,-0.00056545+0.00081778i,-9.1418e-05+0.0006724i,0.00024781+0.00048407i,-2.565e-06-1.3585e-06i,0.00023491-0.00067727i,0.00066936-0.00015524i,0.0004093+0.00069361i,0.00063048+0.00062915i,0.0013328-0.00010051i,0.0016385-0.00026567i,0.0010301-5.4543e-06i,0.00097952+0.00017536i,0.00062537-4.419e-05i,0.00013763+5.0932e-05i,0.00038474+0.00045801i,0.0011319-0.00021106i,0.00078008-0.00078243i,-0.0001504-0.00039825i
-0.0015993-0.0012075i,-0.00095038-0.0025612i,-0.0011344-0.0021192i,-0.00024836-0.00032849i,0.00028796+0.00020425i,-0.00023568-8.3266e-05i,0.00055749+0.00011673i,0.0015369-6.4412e-05i,0.00069165-0.0005836i,9.0989e-05-0.00024935i,7.2471e-05+0.00022288i,-0.0006547+3.5182e-06i,-0.00039203-0.00042808i,4.132e-05-0.0005607i,0.00050778-0.00060844i,9.254e-05-8.1965e-05i,-0.00070547-0.0001559i,-0.00060789-0.00017852i,-0.00023476+0.00066056i,8.9939e-05+0.0007998i,9.9575e-05+0.00059696i,0.00042482+0.00070221i,0.0005737+0.00052986i
0.0018758-0.0024652i,0.0010502-0.0035485i,-6.1422e-05-0.0036213i,-0.00076479-0.0021825i,-0.00025085-0.00076947i,-0.00031858+0.00019635i,-0.00048196+0.00073578i,-0.00067737-0.00086287i,-0.0010525-0.001935i,-0.00051553-0.001239i,4.7451e-05-0.0002924i,0.00034715+0.00027252i,0.00036302-0.00015864i,0.00014348-0.00090876i,-0.00027228-0.00076906i,-0.00076012-0.00023904i,-0.00054287-0.00029405i,-0.00034122-0.00025819i,-0.00043927-0.00076741i,7.5623e-05-0.0014075i,0.00083352-0.0015563i,0.00081885-0.0016267i,0.00034357-0.00081187i
0.0017926+8.0179e-05i,0.0018318-0.0017576i,0.0018898-0.0023082i,0.00064033-0.0012248i,-1.4241e-05-0.00059104i,0.00044655-0.00039956i,0.00051722-0.00044032i,-7.7502e-05-0.00061039i,-0.00046095-0.00030291i,-0.00079678-0.00032288i,-0.0012602-0.00049927i,-0.0010657-4.818e-05i,-0.00072401+0.00011264i,-0.00029431+0.00039725i,0.0004115+0.00024752i,0.0005534+0.00030218i,1.5801e-05+3.1392e-05i,0.00027159-0.0011268i,0.00079557-0.00075108i,0.00098658+0.00094558i,0.00061198+0.0013512i,0.00021089+0.00029558i,0.00016909-0.00045696i
0.0014479-0.0015613i,0.0014225-0.0017987i,0.00083997-0.0013079i,0.00051286-0.00093177i,0.00013696-0.00084006i,0.00021375-0.00086384i,0.00010161-0.00026758i,-0.00036366+0.00021213i,-0.00080533-0.00070519i,-0.00070009-0.0011692i,-0.0003038-0.00067711i,-0.00049686+4.9229e-05i,-0.00095758+0.00025385i,-0.001001+0.00030967i,-0.00033634+0.00083585i,0.00049541+0.00070585i,7.5427e-05+0.00015794i,-0.00089546+0.00046544i,-0.0012429+0.00054611i,-0.00036908+0.00065855i,0.00056576+0.00019015i,0.00064952-0.00080448i,0.00077643-0.0004665i
0.00034589-0.0015653i,-0.00077976-0.0008936i,-0.0014518-0.0010851i,-0.00070075-0.00088588i,-0.00035283+6.9638e-05i,-0.00096869-2.0923e-05i,-0.00075428-0.00046008i,0.00035013-0.00097069i,0.00052584-0.00093415i,-0.00062568-0.00057993i,-0.00088194-0.00073563i,-0.00021353-0.00022582i,-0.00031191+0.00014348i,-0.00022011-3.2638e-05i,0.00035243+0.00019951i,0.00051828+0.00042347i,0.00072127+0.00022743i,0.00053501+0.00042218i,0.00027934+0.0004572i,0.0010569+0.00022816i,0.001524+0.00041087i,0.00090793+0.0007009i,0.00062149+0.00034131i
-0.00019855-0.0012897i,0.00036675-0.0018044i,0.00080902-0.002288i,0.00039805-0.0015729i,0.00018442-0.00095074i,-7.4459e-05-0.001356i,-0.00048953-0.0011223i,-0.00065929-6.2617e-05i,-0.00057924+3.262e-05i,-0.00013527+0.00040843i,1.2941e-05+0.00069613i,-8.0847e-05+0.00032002i,5.0981e-05+0.00067459i,0.00061887+0.00075395i,0.00098551+0.00038871i,0.00091364+0.00028197i,0.00015062+0.0001258i,-0.00020965-0.00025324i,-1.4946e-05-6.773e-05i,-0.00038263-0.00015006i,-0.00039502-0.00050413i,0.00049349-0.00047148i,0.0010127-0.0006018i
