-0.0010593-0.00070846i,-0.00095299-0.0018619i,-0.0027731-0.0011518i,-0.0032441-0.00089684i,-0.0025784-0.0010934i,-0.0018904-0.0004984i,-0.0018875+0.00030334i,-0.0020495+0.00040342i,-0.0007092+0.00077141i,0.001405+0.00086528i,0.0020943-0.00068643i,0.0012279-0.0011906i,0.00094575-0.00028572i,0.00072742-0.00043138i,0.00012148-0.0004863i,-0.00041701+3.5225e-05i,-0.00055299+0.0003154i,-0.00027131+0.00073118i,0.00010788+0.00061697i,1.9454e-05+9.2018e-05i,0.00023263+0.00046956i,0.0002014+0.00092087i,0.0001319+0.00082475i
-0.0011374+0.00065948i,-8.0049e-05+1.332e-06i,0.0003198+0.0001324i,0.0011595+0.00050102i,0.0012238+0.00020158i,0.00045387-0.00016307i,0.0005193-0.00039739i,0.00083673-0.00037408i,0.00046919+2.8186e-05i,0.0004263+4.9441e-05i,0.00048548-0.00064267i,0.00026999-0.00040087i,0.0001784+0.00021292i,-0.00034915+8.0777e-05i,-0.00087667+0.00027399i,-0.00065955-4.9382e-05i,-0.00014665-9.2925e-06i,-0.00096115+0.00064179i,-0.0010629-6.1458e-05i,-0.00016109-0.00064663i,-0.00074797-0.00049606i,-0.00084511-0.00036851i,0.00012929+0.00016431i
-0.0020927+0.00022348i,-0.0026902-0.0012647i,-0.0025444-0.00219i,-0.0014625-0.002045i,-0.00083011-0.0011516i,-0.00067112-0.0014975i,-0.00057386-0.0010304i,0.00013767+0.00060899i,0.00042935+0.00074339i,0.00017249-0.00035324i,0.00015686-0.00026498i,-0.00030991+0.00063729i,-0.00084831+3.8752e-05i,-0.00052873-0.00064817i,-0.0009822-0.00043013i,-0.0015507+1.7752e-05i,-0.0010961+0.00024948i,-0.00018429+0.00053299i,0.00030448+0.00031485i,0.00053382-0.00030021i,0.0013493-0.00017986i,0.0015663+5.1429e-05i,0.00092318-8.2498e-05i
0.0011661+0.00058651i,0.0012592+0.00075818i,0.00078947-0.00024625i,-7.13e-05-0.0017289i,-0.001161-0.0028453i,-0.0018163-0.002156i,-0.0010828-0.00066798i,-0.00058586+0.00056969i,-0.00089781+0.00047889i,-0.00039245-0.00022298i,-0.00021862-0.00050479i,-0.00090549+0.00019851i,-0.0007888+0.0011265i,0.00040949+0.00063173i,0.00064011+0.00060914i,3.804e-05+0.0010202i,0.00022588+0.0010036i,-4.1369e-05+0.00040389i,-0.00083769-0.00013641i,-0.0010211-0.00010304i,-0.00038716-0.00027869i,2.9245e-06-0.00050169i,0.00036519-0.00032343i
-0.00049248+0.00088016i,-0.0016242+0.00024473i,-0.0022975-0.0003161i,-0.0011277-0.00067666i,-1.1134e-05-0.00088798i,-0.0001749-0.00046449i,0.0003601+4.2106e-05i,0.00059871-4.5064e-05i,0.0003694+0.00013949i,0.00031593+0.0002783i,-0.00024414+0.00018143i,-0.00076262+0.00064178i,-0.0003253+0.0010386i,0.0001967+0.00077397i,-0.00021847+1.982e-05i,-9.158e-05-0.00035417i,0.00041578-0.00048257i,-8.2297e-05-1.3203e-05i,-0.00041432+0.0003442i,-0.00015257-2.7168e-05i,0.00010711-0.00082956i,0.0004103-0.00043868i,0.0010041+0.00013086i
-0.00048533+1.3744e-05i,-0.00074939-0.0013823i,-0.00068416-0.0024135i,-0.00031528-0.0028763i,-0.00089817-0.0024717i,-0.001717-0.0018324i,-0.0014563-0.00077574i,-0.00062864-0.00027697i,0.0001574-0.00011978i,0.00025813+0.00093592i,-0.00018658+0.0010798i,0.00036135+0.00035785i,-8.0081e-05+0.0007391i,-0.00074369+0.00069683i,-0.0011358+0.00061485i,-0.0016716+0.0009939i,-0.00071338+0.00046492i,0.00013097-0.00012543i,0.00036362-4.9353e-05i,0.00054634+0.00046245i,0.00015559+0.0011297i,-0.00037645+0.0014601i,-0.00063762+0.00054603i
-0.00020424+0.00014683i,-0.00010193-0.0006165i,-0.00030073-0.002097i,-0.00051374-0.0021117i,-2.7111e-05-0.0012153i,1.9307e-05-0.00050129i,-0.00028145+0.00032193i,-0.0004632+0.00060509i,-0.00029644+0.00020425i,0.00011786-0.00052507i,0.00054414-0.00027546i,0.00026787-5.6848e-06i,1.8583e-05-0.0011535i,-0.00027774-0.0015216i,-0.00058928-0.00057386i,-0.00062039-0.00024758i,-0.00055493-0.00043286i,-0.00072243-0.00025068i,-0.00082365-0.0004244i,-0.00028319-0.00085073i,4.3434e-05-0.0012729i,-0.00028614-0.00096154i,-0.00040541-3.7591e-05i
-8.8623e-05-0.00062316i,0.00036994-0.00035986i,0.00019213-7.9109e-05i,0.00012774+0.00013841i,2.5501e-06+3.2893e-05i,-0.00070087+4.222e-05i,-0.0010248+0.00016735i,-0.00028526+4.0363e-05i,0.00033715-0.000434i,0.00063689-0.0006651i,0.0003414-0.00047282i,-0.00025437-0.00053466i,-0.00072815-0.00044639i,-0.00099035-0.00023438i,-0.00053046-0.00054453i,-4.1965e-06-0.00073626i,0.0004565-0.00068576i,0.00022489+6.4482e-05i,5.1722e-05+0.00077455i,0.00014931+0.00013628i,-9.7607e-05-0.00064568i,-0.00040526-0.00011423i,-0.00047489+0.00078222i
-6.8139e-05-5.4435e-05i,-0.000903-0.0011678i,-0.0015073-0.0014626i,-0.0011766-0.0016565i,-0.00039168-0.0028311i,3.5781e-05-0.0021727i,0.00050397-0.0011111i,0.00075273-0.0007646i,0.00048148-0.00079888i,0.00055531-0.00046291i,0.00025427+0.0002797i,-0.00086357+0.00036796i,-0.0012183+0.00025156i,-0.0005916+0.00029255i,0.00044044+0.00042747i,0.00067193+0.00036328i,3.665e-05-8.3525e-05i,-1.9957e-05-0.00052175i,0.00011041-0.00064359i,0.00013866-0.00016459i,0.00073588-4.3397e-05i,0.00075735+1.6971e-05i,0.00035729+0.00058729i
-0.0001895-0.0018266i,-0.0001252-0.0015877i,-0.0012019-0.0016441i,-0.0018687-0.001471i,-0.0013394-0.0010469i,-0.0012507-0.00011111i,-0.00095119+0.00038003i,8.8176e-06-0.00039438i,0.00075348-0.0010445i,8.3721e-05-0.00075767i,-0.00046742-0.00075102i,-0.0008232-0.00054248i,-0.00062844-0.00010404i,0.00020627+4.0863e-05i,0.00010562+0.0002361i,0.00036195+0.00035849i,0.00030477+0.00014445i,-0.00043938+0.00048793i,-0.00065621+0.001003i,9.1493e-05+0.0012428i,0.0007418+0.0010731i,0.00021582+0.00033493i,-0.00011597+0.00059467i
0.00035783+0.00018783i,0.00044895+3.852e-05i,0.00050044-6.3783e-05i,-0.00016636+0.00028293i,-1.9549e-05+0.0010757i,0.00027236+0.00061812i,0.0002059+0.00041151i,0.00066245+0.00043887i,0.001024-0.0004646i,0.00061227-0.00021328i,-0.00011663+0.00023563i,5.5445e-05+0.00066108i,0.00033873+0.0010808i,-4.5372e-07+0.00099472i,0.00016576+0.00089456i,-6.1048e-05+0.0013368i,-0.00053149+0.0010687i,-5.0921e-05+0.00015201i,0.0005687-0.00012427i,0.00032264-1.5124e-05i,0.00019771-0.00018419i,-7.2372e-05+0.00036732i,-0.0004324+0.00075468i
0.00099157+0.0003758i,-0.00059083+0.00020319i,-0.0010079-0.0006301i,0.00030875-0.0020707i,0.00072518-0.0023496i,0.00013679-0.0017548i,-2.6597e-05-0.0006204i,-0.0001982+0.00041389i,-0.00090698+0.0003451i,-0.0010095-0.00015963i,-0.00040823-0.00030586i,-9.6157e-05-0.00012721i,-0.00012106+0.00076077i,-5.8649e-05+0.00065317i,-0.00032144-1.7159e-05i,-0.00035067-4.779e-05i,9.9548e-05-0.00027081i,0.00043898-0.00073213i,0.00020791-0.00065551i,-0.00013579-3.4935e-05i,-0.00086023+0.00013426i,-0.0012382-0.00061217i,-0.0003772-0.00010852i
-0.0018964+0.00034229i,-0.002317-0.0001486i,-0.0016724-0.00080363i,-0.00063465-0.001756i,-0.00066636-0.0021126i,-0.00080197-0.0014987i,-0.00059272-0.00068244i,5.8283e-06-0.00054462i,0.0012225-0.00031242i,0.0011243+6.1239e-05i,0.00072243+0.0005712i,0.00068672+0.00023633i,-3.6584e-05-0.00078955i,-0.00021361-0.0005418i,0.00034792-0.00097792i,0.0014555-0.0014475i,0.0012251-0.0010063i,-8.0605e-05-0.00035325i,-0.00033293+4.6255e-05i,0.0001188-0.00016437i,0.00033792+2.3088e-05i,-2.0129e-05+0.00038594i,-0.00021905+0.00038101i
-2.2081e-05-0.00038739i,-0.00021707-0.00073146i,-0.00051183-0.0013083i,0.00051741-0.0019852i,0.00080741-0.0017423i,0.00014202-0.0012188i,-0.00050379-0.00040703i,-9.625e-05-0.00026656i,0.0004898-0.00073092i,0.00074966-0.00077274i,6.4628e-05+0.00010041i,-0.00016192+0.00043745i,0.00019772+0.00040087i,-0.00034148+0.00074472i,-0.0005842-1.8399e-05i,-0.00039854-0.00061404i,-0.00029042-0.00016735i,-0.00053036+0.00018253i,-0.00047355-0.00019502i,0.00060502-5.2969e-05i,0.00065409+0.00039038i,0.00017353-9.2434e-05i,4.5703e-05-0.00064408i
-0.00049828+0.00069992i,-0.00053694+0.0011063i,0.00034364+0.00096116i,0.00060756-0.0008948i,0.00030498-0.002019i,-0.00086871-0.0020862i,-0.00084633-0.001236i,0.00022974-0.00026422i,0.0010774+0.00012322i,0.00093738-7.3491e-05i,0.00030079-0.00054489i,-3.7774e-05-0.00060398i,-0.00021369+5.0068e-05i,-0.0004826+0.00068805i,0.00035079+0.0004345i,0.00127-0.00029774i,0.00087747-0.00039594i,0.00011242-0.0007599i,-4.0369e-05-0.00069935i,-0.00012644+0.00028274i,-6.8983e-05+0.00032113i,5.6753e-05+0.00014349i,-0.00039856+4.6689e-05i
-0.001157-0.00056741i,-0.0013798-0.00076996i,-0.0020075-0.0014298i,-0.0018735-0.0016715i,-0.0015572-0.0010734i,-0.0012495-0.00038714i,-0.00011997+4.5101e-05i,0.00022499-0.00021563i,-0.00012724-0.00032212i,-0.00033407+0.00048123i,-0.00019172+0.00060521i,0.00016952+0.00038913i,-0.0002228+0.00011267i,-0.0011659+0.00045373i,-0.00068534+0.00084103i,-0.00051041+0.00085531i,-0.0012237+0.00077131i,-0.0011245+8.9209e-05i,-0.00013242-1.8524e-05i,-0.00020386+3.6334e-05i,-0.00025838+0.00011253i,0.0004761+0.00095885i,0.00032452+0.00042453i
-0.00090945-0.0014043i,-0.00044523-0.0022144i,-0.0016502-0.0023213i,-0.0012704-0.0017357i,-0.0011629-0.0014649i,-0.00059076-0.001149i,0.0012334-0.00071776i,0.0012191-7.0116e-05i,-0.00026233-0.0001377i,-0.00051706-0.00077551i,-6.7236e-05-0.0011261i,-0.00031768-0.0010269i,-0.00059936-0.001213i,0.0001733-0.0014103i,0.0010919-0.00080463i,0.0014607+0.00055586i,0.00048432+0.00085249i,-0.00054244+0.00074792i,-0.00053103+0.00065705i,-0.00025161+2.2491e-05i,-0.00039878-0.00017994i,0.00019054-8.6173e-05i,0.00040828+2.9739e-05i
0.00040162-5.272e-05i,0.00083407-0.00030737i,0.00084723-0.0014313i,0.00077015-0.0017624i,0.00026126-0.0010706i,0.00039272-0.0005592i,0.00011544+0.00031577i,0.0004546+0.0006565i,0.0012103+7.4474e-05i,0.00060741-6.2615e-05i,-0.00048873+0.00048435i,-0.00071037+0.00033657i,-0.00036026+5.9588e-05i,-0.00028223-0.00029469i,-8.0315e-05+3.4541e-05i,0.00034598+0.00043208i,7.1766e-05+4.5053e-06i,-0.0005705-0.00051184i,-0.00041288-0.00014542i,-7.3108e-06-3.4054e-05i,0.0003506-0.00037124i,0.00061014+0.000393i,-0.00012684+0.00080489i
-0.00075943-0.00027429i,-0.0016778-0.0005353i,-0.0011573-0.0014582i,-0.00015456-0.0020127i,0.00010812-0.0022708i,0.0002597-0.0020423i,-5.9502e-05-0.0011661i,-3.6388e-05-0.00045617i,0.00035554-0.00025605i,0.0004473+0.00037377i,-1.972e-05+0.0004582i,-0.00043627-0.00024401i,-0.00016707-7.8826e-05i,-3.7392e-05+0.00018019i,0.0004036+9.9868e-05i,0.00088365+0.00040018i,0.00032277-0.00031943i,-7.2599e-05-0.00087327i,-4.7487e-05-0.00011466i,0.00099277+0.00018358i,0.0011342+0.00061884i,-0.00023079+0.00077889i,-0.00083379+9.5657e-05i
-0.0010825-0.00045801i,-0.0011646-0.00047563i,-0.0020846+0.00011986i,-0.0015288+0.00038004i,-0.00019567+0.00013691i,0.00011101-0.00022822i,-0.00076134-0.001078i,-0.0010248-0.001198i,-0.00074093-0.00047163i,-0.0011047-0.00028885i,-0.00065712-5.5921e-05i,-0.00011235+0.00055485i,0.00015128+0.00069717i,-0.00048717+0.00018829i,-0.0009063-5.1503e-05i,-1.805e-05+0.00028138i,0.00047478+0.00094815i,0.00043244+0.0013391i,0.00018096+0.0005611i,-0.00070499-0.00031316i,-0.00023774-7.6534e-05i,0.0010478+0.00038711i,0.0006612-0.00013256i
-0.00035901-0.0015402i,-0.00015734-0.0016052i,-0.00089008-0.0016244i,-0.00069529-0.0015423i,-0.00031193-0.001459i,-0.00075462-0.0011809i,-0.00014796-0.00093416i,0.00017657-0.0011047i,-0.00047216-0.00081895i,-0.00062662-9.5805e-05i,-0.00055182+5.997e-05i,-0.00027608-0.00018371i,0.00011835-0.00079525i,-2.4198e-05-0.0011715i,9.7711e-05-0.00074777i,4.441e-05-0.00038752i,0.00011892-0.00057039i,-8.0867e-05-0.00054447i,0.0005772-8.0414e-05i,0.00094802+0.00066992i,0.00061533+0.0008203i,0.00015075+0.00036453i,5.2312e-05-0.00015698i
0.00030145+0.00051088i,-0.00021135-0.00081154i,-3.6399e-05-0.0018561i,0.00082499-0.0027957i,0.00096009-0.0031664i,-0.00035777-0.0017721i,-0.0012173-0.00097566i,-0.00027356-0.00026734i,-6.6823e-05+0.00067216i,-0.00036751+0.00063405i,-0.00058035+7.7241e-06i,-0.00042256-0.00011369i,-4.0147e-05+8.8785e-05i,-0.00066345-6.8836e-05i,-0.00067154+0.00045865i,-0.00061787+0.0013119i,-0.0006595+0.00074977i,-3.36e-05+9.5638e-05i,-0.00017605+0.00041807i,-0.00033489+0.00088286i,0.00011355+0.000504i,0.00020452-0.000541i,0.00035382-0.0010835i
0.00081929+3.0321e-05i,0.00012998-0.00062488i,-0.00067554-0.0012854i,-0.00032404-0.0019061i,-0.00052545-0.0024457i,-0.0015451-0.0019281i,-0.0010115-0.0007107i,-0.00011684-0.00030376i,0.0006302+5.8087e-05i,-0.00036924+0.0010824i,-0.0012537+0.0014491i,-0.0003533+0.00075525i,0.00041474+0.00013873i,0.00047333+0.00053082i,-2.2607e-05+0.00058943i,-0.00045505+0.00015243i,-0.00031662+0.00029162i,-2.4012e-05+0.00041508i,0.00036481+0.00055833i,4.9339e-07+0.00077944i,-0.0003272+0.0010136i,-0.00054327+0.00055834i,-0.00050803+0.00044694i
-0.0014588+1.1575e-07i,-0.0011717-0.00037377i,-0.00084747+5.3748e-05i,-0.0010171-0.00053033i,-0.00042623-0.0012813i,-7.8787e-05-0.00064167i,-0.00022493-0.00060651i,8.017e-05-0.0008796i,6.5236e-05+0.00017757i,-0.00011197+0.00035793i,-5.0538e-05-0.0003327i,0.00013067-9.2538e-05i,-0.00058322+0.00020519i,-0.00061365-0.00014398i,0.00069924-0.00015906i,0.0010844-0.0001225i,0.00078313-0.00017849i,0.00095148-1.0546e-05i,0.00039755-1.0179e-05i,-0.00048105-0.00014376i,-0.00056313+0.0004377i,0.00034135+0.0010783i,0.0011034+0.00080213i
-0.00013446-0.0018795i,-0.00014035-0.0032293i,-0.00046535-0.0035561i,-0.00045111-0.0030877i,-0.0010793-0.0026349i,-0.0013611-0.0027884i,-0.00065529-0.0017624i,-0.00018794-0.00059042i,-0.00030037-0.00072548i,9.05e-05-0.00032502i,-0.00018384+0.00028637i,-0.00096618-0.0006214i,-0.00081268-0.0009399i,-0.0010466-0.00013928i,-0.0011557-0.00039744i,-0.00026723-0.00060519i,0.0002041-0.00013585i,-0.00021247+0.00026223i,-0.0007221+0.00027325i,-0.00031877+0.0001875i,0.00045899+6.8617e-06i,0.00045165-0.00030747i,0.00038829-0.00063078i
-0.00035581+0.00068648i,-0.00011427-8.7603e-05i,0.00023058-0.00065077i,6.683e-05-0.00073055i,-2.0779e-05-0.0011705i,-0.00027248-0.0012097i,-0.00045416-0.00048411i,0.00017512+0.00019557i,0.00054023-0.0002178i,-0.00019327-3.8889e-05i,-0.00018519+0.00011814i,0.0001988-0.00057887i,0.00019322-0.00047179i,0.00048992+0.00022639i,-0.00027991+8.5122e-05i,-0.00053183-0.00039687i,-9.6587e-05-0.00010326i,-0.000326+0.0001608i,-0.0003601+0.00019229i,-0.00064231+0.00077383i,-0.00090375+0.00074034i,-0.00063392+0.00032092i,-0.00037576-0.00042263i
-0.00057519+0.00019626i,-0.0012341-0.00054628i,-0.0012042-0.0016814i,-0.0011276-0.0019131i,-0.0013509-0.0019052i,-0.0010317-0.0011036i,-0.00051261+0.00072197i,-0.00036958+0.00058382i,-0.00016125-0.00058995i,-0.00027949-0.0005397i,-0.00066053-0.00045097i,-0.00063696-0.00051234i,-0.00027572-0.00034437i,-7.3166e-05-0.00025538i,0.00013919+0.00014253i,0.00036178+0.00016958i,7.7662e-05+0.00050185i,-0.0007764+0.0010568i,-0.00072908+0.0011313i,-0.00032073+0.00074934i,-0.00045668+0.00075643i,-0.00038378+5.4496e-05i,-0.00041991-0.00029156i
-2.1146e-05-0.00036103i,-0.00017432-0.00082646i,-0.00023034-0.00079978i,-0.00071477-0.00070428i,-0.0010056-0.0019463i,-0.0012568-0.0027891i,-0.0014126-0.0019024i,-0.00061045-0.0004372i,1.4834e-05+0.00034355i,0.0002737-4.257e-05i,-0.00031362+2.5485e-05i,-0.00059588+6.1164e-05i,-0.00087651-0.00021174i,-0.0015303-4.4104e-05i,-0.00067084+2.8082e-05i,-0.00029308-4.0772e-06i,-0.0010121-0.00018385i,-0.00059264-0.00060884i,0.00019654-0.00079024i,0.00059073-0.00056453i,0.00078338-0.0002214i,0.0001645-0.00020558i,-0.00010924-0.0002981i
0.000185-0.0011754i,0.00042948-0.0011268i,0.00028385-0.0015926i,-0.00080613-0.0020877i,-0.0015181-0.0029371i,-0.0011323-0.0020077i,-0.0008218-0.00062235i,-0.00020426-0.00036702i,-7.3417e-05-0.00050141i,-8.5831e-05-0.00015001i,7.2823e-05+2.3787e-05i,-9.1516e-05+2.4139e-05i,-0.00033791+0.00064622i,-0.00083985+0.00065721i,-0.0010522+0.00085174i,-0.000577+0.00097989i,-0.00052649+0.00049739i,6.5998e-05+7.6699e-05i,0.00068796+0.00011133i,0.0007043+0.00033427i,0.00064724+0.00074769i,0.0007221+0.00034412i,0.00082582-7.0407e-05i
-0.0006204+0.00022456i,-0.00082029-0.00076841i,-0.00032669-0.00070484i,-0.0002866+5.2899e-05i,-0.00014768-9.7165e-05i,-0.00059727-0.0015163i,-0.0006944-0.0013111i,-0.00024708-6.0287e-05i,-0.00018727-8.1898e-05i,0.00036494+0.00022504i,0.00023+8.3287e-06i,-0.00046172-0.00019524i,6.0069e-05-0.00015331i,0.00053654-0.00045504i,2.0291e-05-3.331e-05i,-0.00015936+0.0001565i,0.00013103+0.00064697i,-5.4252e-06+0.00065199i,0.00010364+0.0010497i,0.00053908+0.00092624i,0.00096921+0.00052157i,0.00087539+0.00028096i,-2.1375e-05-0.00014844i
-0.00037875-0.0010029i,-0.00059476-0.0020026i,-0.00087794-0.0025694i,-0.00028783-0.0026214i,5.5281e-05-0.0021998i,-0.0011712-0.001429i,-0.0018347-0.00021561i,-0.00082549+0.00024274i,0.00014978-2.6586e-05i,0.00035353+7.1884e-05i,0.00017099+0.00065731i,-7.4484e-05+0.00076221i,-0.00017762+0.00030953i,-0.00036569+0.00053463i,-0.00026509+4.2047e-05i,0.00021157-0.00039308i,-0.00020119+0.00044336i,0.00022698+0.00081295i,0.00060341+0.00053085i,-0.00011154+0.00026775i,-0.00020593-0.00027265i,-6.1108e-05-0.0006676i,-0.00015912-0.00049194i
-0.00049308+0.0013477i,-0.0017427-0.00053865i,-0.0015117-0.00019327i,-6.2158e-05+0.00040742i,0.0012557-0.00046888i,0.0011599-0.001565i,0.0006318-0.0011523i,0.00072924-0.00014248i,0.00069225+0.00036251i,-0.00012547+0.00023474i,-0.00032007-0.00023226i,-0.00070667-0.00048763i,-0.001326-0.00020054i,-0.00111-0.00027186i,-0.00043353+0.00035249i,-0.00039513+0.0011501i,-0.0011137+0.00075611i,-0.0012013-2.3654e-05i,-0.00061909+7.4535e-05i,-0.00043261+1.456e-05i,-0.00064357+0.00021446i,-0.0012978+6.5158e-05i,-0.00074398-0.00018148i
