-0.0010593-0.00070846i,-0.00095299-0.0018619i,-0.0027731-0.0011518i,-0.0032441-0.00089684i,-0.0025784-0.0010934i,-0.0018904-0.0004984i,-0.0018875+0.00030334i,-0.0020495+0.00040342i,-0.0007092+0.00077141i,0.001405+0.00086528i,0.0020943-0.00068643i,0.0012279-0.0011906i,0.00094575-0.00028572i,0.00072742-0.00043138i,0.00012148-0.0004863i,-0.00041701+3.5225e-05i,-0.00055299+0.0003154i,-0.00027131+0.00073118i,0.00010788+0.00061697i,1.9454e-05+9.2018e-05i,0.00023263+0.00046956i,0.0002014+0.00092087i,0.0001319+0.00082475i
0.0004287-0.00047556i,-8.6072e-05-0.0016987i,-0.00034918-0.0023831i,-0.00018047-0.0021663i,-0.00021634-0.0014717i,1.964e-05-0.00066228i,0.00049859-0.00017094i,0.00090445+0.00026605i,8.429e-05+5.2139e-05i,-0.00032119-0.0002504i,0.00043062+6.7561e-05i,0.0003235-0.00019722i,0.00019518-0.00015856i,0.00051791+0.00037287i,0.00014038+0.0004772i,0.0001131-4.1043e-05i,0.00048191-0.00076508i,0.00015824-0.0007668i,0.00022622+4.9101e-05i,0.00071503+0.00029193i,0.00079842+0.00094694i,-0.00023854+0.00028148i,-0.0008341-0.00048533i
9.8914e-05-0.0003933i,-0.00011358-0.00076076i,-0.00074517-0.00035095i,-0.00072766-0.00063262i,-1.7053e-05-0.0014886i,-0.00046975-0.00077081i,-0.0013567-0.00035298i,-0.00099265-0.00014085i,-0.0002645-4.4874e-05i,0.00075122-0.00064816i,0.0012784-7.8271e-05i,0.00039841+0.00022891i,-8.29e-05+3.7817e-05i,2.8053e-06+0.00051158i,-0.00039261+0.00061486i,-0.0001951+0.00054231i,-0.000223+0.00053093i,-0.00032656+0.00057538i,-0.0002171+2.2183e-05i,-0.00013946-0.00049269i,0.0001038-8.5482e-05i,0.00039978-0.00019211i,-0.00022049-0.0011818i
0.0011436+0.0022147i,1.2238e-05+0.0010131i,-0.00034401-0.0010073i,-0.00061095-0.0024197i,-0.0015601-0.003018i,-0.0017566-0.0022183i,-0.0015534-0.00082321i,-0.0011467+1.8508e-05i,-0.00027172+0.00012141i,-7.0558e-05-0.00027232i,-0.00033113-0.00062688i,-4.3867e-05-0.00034262i,-0.00044788-1.6964e-05i,-2.7693e-05-0.00014665i,0.00069282+0.00038878i,0.00068642+0.00024915i,0.00014278+0.00030407i,-0.00026619+0.0014866i,-0.00090019+0.0018224i,-0.00088583+0.0011099i,-0.00049376+0.00060248i,-0.0003448+4.9213e-05i,-0.00061339-0.00048737i
-0.0015843-0.00052229i,-0.0017181-0.00072632i,-0.0024063-0.00072564i,-0.0024268-0.0004927i,-0.002698-0.00023078i,-0.0026313-0.00011839i,-0.00071098-0.00020385i,0.00045137-0.00014863i,-4.7754e-05-0.00038573i,-0.00041837-0.00090378i,0.00052961-0.0010356i,0.00089814-0.00044923i,7.0311e-05-0.00066081i,-0.00072045-0.0010762i,-0.0011549-0.00078767i,-0.0011642-0.00058212i,-0.000915-0.00073023i,-0.00037627-0.00057813i,0.00041497+0.00041048i,0.0010102+0.00055184i,0.00064519-4.0764e-05i,0.00017892-0.000145i,0.00024013+0.00083675i
0.0011526-0.0018751i,0.0008238-0.0013574i,5.2413e-05-0.001515i,-0.0001684-0.00132i,0.0002069-0.00076055i,0.00013268-0.0012308i,-0.00028973-0.00097515i,-0.00027288-7.4419e-05i,-0.00018929-9.3086e-05i,-9.7347e-05+0.00010021i,-0.00016474+0.00023698i,-0.00075194+0.00034614i,-0.00044407+0.00020027i,0.00040228-0.00019544i,0.0001594-0.0004152i,-0.00056181-0.00052072i,-0.00076811-0.00047341i,-0.0001244-8.6758e-05i,-0.00012365+0.00044253i,-0.00031514+0.00013377i,-0.00021937-0.00016361i,-0.00059725+0.00034092i,-0.0006563+0.00054047i
0.0015923+0.00022826i,0.0012796-0.00034446i,0.00055374-0.0016337i,-5.2976e-05-0.00241i,-0.00054555-0.0017794i,-0.00068743-0.00092895i,-0.00031717-0.00017472i,-0.0001687-0.00011521i,-0.00034877-0.00038978i,-0.00055012-0.00023048i,-0.000773+0.00021959i,-0.00059207+0.00026421i,5.7887e-05+0.00041175i,0.0005236-6.9485e-06i,0.0005784-0.00020018i,0.0003498+0.00020105i,-0.00054042+0.00033099i,-0.00030423+0.0001443i,4.8814e-05-8.8875e-05i,-0.00058895-0.00013172i,-6.5481e-05+0.00054887i,0.00051809+0.00038735i,0.00021125-0.00055156i
-0.0014534+0.0006558i,-0.0011846-6.0108e-05i,-0.0019182-0.00055903i,-0.0024106-0.0012218i,-0.0025137-0.0019666i,-0.0026584-0.0015036i,-0.0015645-0.00075379i,-4.4567e-05+2.6347e-05i,0.00031484+0.00025604i,0.00029929-0.00027015i,0.00047377-0.00028123i,-0.00022284-0.0002388i,-0.00067139-0.00031133i,-0.00045289-0.00058063i,8.6695e-05-0.00039084i,0.0004058+0.00043366i,0.00047391-0.00012037i,0.00083717-0.00092208i,0.0010673-0.0001281i,0.0005501+0.00071446i,0.00027851+0.00039994i,0.00014798-0.00063436i,0.00055491-0.00087865i
-0.00094987-0.00075716i,-0.0010271-0.0014822i,-0.0011875-0.0010772i,-0.0016535-0.00066721i,-0.0013217-0.00070195i,-0.00039611-0.0013867i,0.00042089-0.00098047i,0.0012208+1.6475e-05i,0.0014535-0.00076005i,0.0005701-0.00044297i,-0.00022642+0.00055315i,-0.00061733+0.0005602i,-0.00045528-0.00010683i,-0.00033017+8.8388e-05i,-0.00071263+9.5626e-05i,-0.00034644-0.00023827i,-7.2567e-06-0.00025701i,-0.00039065-0.00077389i,-0.00055526-0.00082893i,-6.1346e-05-0.00016197i,0.00011267-3.7152e-05i,-0.00038641-0.00045794i,-0.00085736+7.8877e-05i
0.00010805+0.00029287i,0.00087706-0.00041478i,0.0016877+0.00023437i,0.0013505+0.00014629i,0.00077896-0.00093829i,0.00020161-0.0012777i,0.00032021-0.00053913i,0.00052088-0.00036134i,6.3392e-05-0.00095566i,-0.00012623-0.00084567i,-0.00016687-0.00015275i,-7.4341e-05-0.00010738i,-0.00025943-0.00018686i,0.00035531-0.00046053i,0.0014315-3.1134e-05i,0.0010442+0.0003915i,6.5862e-06+0.00052438i,-0.00067949-0.0002026i,-0.0003649-0.00059287i,2.5626e-05-0.00025742i,0.00047553-0.00027833i,0.0010391-0.00033074i,0.0010933-0.00012774i
7.4714e-05-0.00098595i,-0.00039374+3.8412e-05i,-0.0018906-0.00020984i,-0.0021236-0.0019212i,-0.0015927-0.0016821i,-0.0011086-0.00060117i,-0.00053688+7.8368e-05i,-0.00069382-0.00036819i,-0.0010559-0.00049679i,-0.00087235-0.00015289i,-0.00071326-0.00042145i,-0.00041517-0.00022835i,-0.00022278-0.00019988i,-6.5981e-05-0.00037154i,-0.0005578-0.00022339i,-0.00034887-0.00063379i,0.00056696-0.00037601i,0.00082761-0.00019611i,0.00061867-8.6647e-05i,0.00045074+0.0001352i,0.00043038-5.7249e-05i,8.4035e-05-3.1389e-05i,0.00053286+0.00030211i
