-0.00024062-0.00065549i,-0.00022466-0.0025516i,-0.0014454-0.0030532i,-0.0024786-0.0018882i,-0.003067-0.00054264i,-0.0024279+0.0011597i,-0.00059184+0.0021415i,0.0003177+0.0019596i,0.00088795+0.0001945i,0.0012243-0.0015953i,0.00037775-0.0011065i,-0.00012331-0.00051996i,-0.00052958-0.00029685i,-0.001163-0.00030781i,-0.00028326+0.00044069i,-0.00052751+0.0009487i,-0.0007512-0.00012058i,-7.3162e-05-0.0010047i,8.6793e-05-0.00066427i,-0.00012206-0.00023139i,-0.0004963-0.0011075i,-0.00016458-0.0015644i,3.4227e-05-0.00091437i
-0.0015271-0.0019429i,-0.0022422-0.0021459i,-0.0014808-0.0016159i,-0.00082485-0.00025343i,6.5963e-05+0.00065182i,0.0011194+0.00086391i,0.00030394+0.00027203i,-0.00053745-0.00095516i,-0.00026868-0.00089575i,0.00050285-0.00025349i,0.00075433+0.00016604i,0.00069085+0.0003813i,0.00071909+0.00036098i,0.00078171-0.00026603i,0.0011292+0.00017821i,0.0013922+0.00046847i,0.00091255+0.00013335i,0.00055232-9.0017e-05i,0.00011617-0.00055256i,-0.00087173-0.00097626i,-0.0010795-0.00097639i,-0.00084132-0.00023731i,-0.00045236+0.00015512i
0.00013074-0.0019217i,-6.9669e-05-0.0012716i,-0.0013708-0.0004555i,-0.0024892+0.0016826i,-0.0014613+0.0031168i,-0.00044991+0.0027309i,-0.000744+0.0020767i,-0.00044957+0.00078036i,2.1248e-05-0.00031678i,-0.00023074-0.00048645i,-0.00050947-0.00061323i,-0.00071301-0.00096702i,-0.00022539-0.00060838i,0.00041392+0.00011701i,0.00030041+0.00070022i,8.637e-06+0.00090752i,-0.00085489+0.00065722i,-0.0013065+0.00010048i,-0.00014593-0.00017952i,0.0006119-0.00013082i,-0.00025023-0.00063574i,-0.00051791-0.00082371i,-0.00010756+0.00017205i
5.8571e-05-0.00032474i,-0.0010287-0.00094661i,-0.00043051-0.000408i,2.1888e-05-0.0005179i,-0.00038364-0.0006266i,-0.00041254-0.00015018i,-0.0001989+0.00054565i,0.00035604+0.0015245i,0.0005341+0.00080072i,2.2369e-05+0.00020991i,-0.00013162-0.00052134i,-0.00033371-0.00047738i,-0.00019358+0.00039476i,0.0008376+0.00036383i,0.0010139+0.00057511i,-0.00034337-5.7401e-05i,-0.0012328-0.00066249i,-0.001107-0.0006387i,-0.00050677-0.00076808i,-5.8073e-05+0.00034837i,8.8974e-05+0.0010117i,-4.9593e-05+0.00065218i,-0.00038128-0.00024026i
-0.0015281-0.00048991i,-0.0014611-0.00078516i,-0.002012+0.00028276i,-0.001791+0.0015304i,0.00032143+0.0015991i,0.0011848+9.8667e-05i,0.00045383-0.0015039i,0.00013502-0.00097999i,0.0004748+0.00022336i,0.0013903+5.1186e-05i,0.0013818-7.7369e-05i,-8.8078e-05-0.00048063i,-0.00045303-0.00065246i,-8.1478e-05-0.00107i,-0.00052801-0.0016267i,-0.00049322-0.00089995i,-0.00036614+0.00028537i,-0.00059674+0.00060398i,-0.00089109-7.4064e-05i,-0.00042209-0.00048911i,0.00029995-0.00012205i,-6.881e-05+0.00022063i,-0.00045522+0.00017641i
0.0017863+0.00032071i,0.0014564-0.00094744i,0.0014948-0.0010065i,0.00098449-0.00034561i,3.1407e-05-0.00025807i,-0.0008202-0.00041132i,-0.001154-0.00027257i,-0.0010598-0.00015014i,-0.00060655+0.00037117i,-0.00015318+0.0013957i,-2.6817e-05+0.0012632i,-3.0458e-05-0.00012775i,-0.00018015-0.00064956i,-0.0010274-0.00051721i,-0.0013543-0.00088668i,-0.0010502-0.00095137i,-0.00071551-0.00085604i,-8.0539e-05-0.0012912i,0.0003132-0.0010148i,0.0006619-2.1984e-05i,0.00046187-2.5821e-05i,0.00014143-0.00037842i,-0.00063506+5.0733e-05i
-0.00074619+0.00093243i,0.00021255+0.0012393i,0.00051087+0.001211i,-1.2251e-06+0.0015446i,0.00027221+0.0023174i,0.0007068+0.0014191i,0.00029201-0.00025176i,0.00026399-0.00047801i,0.00020121-0.00024446i,0.0005547-0.00026169i,0.00032274+0.00035864i,-0.00036868+0.00054955i,-0.0012327-0.00030974i,-0.0020414-0.0014912i,-0.0016018-0.0016235i,-0.00093615-0.0015673i,-0.00030831-0.0012796i,9.3212e-05-0.00074799i,0.00016906-0.0010547i,0.00019758-0.0011767i,-0.00079877-0.00071258i,-0.00112-0.00050614i,-0.00015169-0.00057535i
-0.00023081+0.00068826i,-0.00018045-0.00026432i,0.00028139-0.00048057i,-0.00043377-0.0004735i,-0.0010168-0.00051767i,-0.00058876-0.0010665i,-0.00032259-0.0017285i,-0.00056778-0.0012753i,-1.9224e-05-0.00061472i,0.00036183+0.00021249i,0.00022695-0.00030649i,0.00024877-0.0010329i,-0.00018968-0.0006992i,-0.0005488-0.00029763i,-0.00087371-0.0001675i,-0.00076757-0.00050432i,-0.00046329-0.0005427i,-2.2823e-05-0.00030535i,0.00055402+0.00012963i,0.00043902-0.00016046i,-0.00038483-0.00099853i,-0.00062533-0.0009057i,0.0003595-9.2024e-06i
-0.00014391+0.0033882i,-0.00016515+0.0023432i,9.1639e-05+0.0018833i,0.00035831+0.0010809i,-0.00017486-0.0004536i,-0.0012833-0.0008194i,-0.0017171-5.9723e-05i,-0.0011511+0.00076754i,-5.694e-05+0.00055404i,0.00085695-0.00069513i,0.0015526-0.0013703i,0.0011439-0.0012733i,-0.00023156-0.00094909i,-0.00046526-0.00082703i,-0.00045009-0.00050873i,-0.00065023-0.00065965i,-0.00012805-0.00023025i,0.00061202+0.00037246i,0.00072579+0.00058279i,0.0002347+0.00063942i,-0.00018271-0.00012636i,-4.7818e-05-0.001145i,-2.268e-05-0.001482i
-0.0020333-6.0111e-05i,-0.0015804+0.00017442i,-0.0005176+0.0002825i,0.00010752+0.00094672i,8.3534e-05+0.0014458i,-0.00048826+0.0004538i,-0.00060056+0.00012257i,-0.00058756+0.00087375i,-0.00044675+0.00094035i,0.0004008+0.00081304i,0.0016304+0.00057346i,0.0011847-0.0003873i,0.00026675-0.0008553i,0.0005562-0.00018088i,0.00071424-0.00058416i,0.00061053-0.0014063i,0.00015797-0.00060375i,-0.00047139+0.00037751i,-0.00089354+0.00040818i,-0.00058676+0.00061874i,0.00040739+0.00062983i,-6.6882e-05-0.00055461i,-0.00087802-0.0010194i
-9.0583e-05-0.00091581i,-7.4974e-05-0.0013002i,-0.00074445-0.0015653i,-0.0019314-0.00065051i,-0.0020515+9.6129e-06i,-0.0012657+0.0010001i,-0.00072156+0.0008401i,-0.00012885-0.00046923i,0.00030656-0.00050196i,-0.00075786-3.5955e-05i,-0.0014728+4.3373e-05i,-0.00077024+0.00026645i,-0.0010033+0.00030688i,-0.0010928+0.00032378i,-3.2018e-05+0.00046598i,0.00048693+0.001027i,0.00051131+0.0016644i,0.0007364+0.0020796i,0.0010177+0.0014352i,0.00029264-7.3604e-06i,-0.00082733-0.00096946i,-0.00080039-0.00098572i,-0.00015163-0.00079787i
0.00024495-0.00042688i,0.00065614-0.0001282i,-0.00026465+0.00066573i,-0.00053294+0.0017706i,-0.00047975+0.0015192i,-0.00037412+0.00063897i,-0.00066288+0.00019954i,-0.00080529-4.5692e-05i,-0.00038929+0.0002245i,0.00057014+0.00050924i,0.0012288+0.00037809i,0.00047397+0.00059818i,-0.00057509+0.00063049i,-0.00035303+0.0002199i,8.0893e-05-0.00024719i,0.00022401+0.00036034i,0.00022293+0.00089281i,0.00016839+0.00050606i,-3.8448e-05-0.00018498i,-0.00055133-8.5348e-05i,-0.00021641+0.00013422i,0.00016137-9.5918e-05i,-0.00053349-0.00043386i
-0.00083594-9.2412e-05i,-0.00069404+0.00054059i,-0.0021426-0.0001516i,-0.0033173-0.00056841i,-0.0016585-0.00057271i,0.00031161-0.00018406i,0.00013099-0.00037757i,-0.00041443-0.0014003i,-0.00026099-0.00070585i,2.9952e-05-8.3717e-05i,0.00063265-0.00035604i,0.0010907-0.00034267i,0.00087261-0.00051905i,0.0007524+7.9461e-05i,-0.00033046+0.00021176i,-0.0013258-5.1521e-05i,-0.0012995+0.00033165i,-0.00094766+9.7134e-05i,-0.0010875-0.00019967i,-0.0011243-0.00063934i,-0.00020726-0.0007891i,0.00048198-0.00048567i,0.00083661-6.2079e-05i
-0.00060832-0.0007723i,-9.442e-05-5.8339e-05i,-0.00070686+2.9735e-05i,-0.0011578-0.00022289i,-0.00058523+0.00084418i,-0.00085675+0.0013332i,-0.00081722+0.00034135i,-0.0002336+5.7979e-05i,0.00010769+0.00013108i,0.00017991+0.00018256i,0.00015473+0.00015461i,0.0006567-0.00019004i,0.00089751-6.6119e-05i,0.0007819-9.6847e-06i,0.00035005-0.0003757i,-0.0011325+8.3176e-05i,-0.0020959+0.00068896i,-0.0012184+0.00078904i,0.00026729-0.00016594i,0.00042285-0.00045337i,0.00021453+0.00015196i,0.00094853+0.00032113i,0.00096017+3.9486e-05i
-0.002889-0.00050205i,-0.001669+0.00035202i,-0.00046062+0.00040371i,-0.00070987+0.00067212i,-0.00095323+0.0010178i,-0.00019623+0.00034089i,3.4137e-05+0.00018926i,-0.00024771+0.00011275i,-0.00018902-0.00012305i,-9.5469e-05-0.00027871i,-0.00027884+0.00041362i,-0.00055187+0.00091122i,-0.0006024+0.00044206i,-0.00035654-0.00042639i,0.00027435-0.00084134i,0.00039868-0.00068708i,-0.0002321-0.00098654i,-0.0011802-0.00059701i,-0.0011117+6.3299e-05i,-0.00013722+0.00018772i,4.2647e-05+0.00049324i,6.3267e-05+0.00062786i,-5.9079e-05+0.0011139i
-0.001606-0.00063551i,-0.0010056-0.0015278i,-0.00027831-0.00076047i,-0.00021982+0.0001944i,-0.00023266+0.00067439i,0.00029873+0.00044017i,0.00064602-9.6559e-05i,0.00026961-8.3161e-05i,-0.00053658+0.00043086i,0.0002771+0.00035084i,0.00089602-4.4209e-05i,0.00055869-0.00026206i,0.00054179+0.0005708i,2.0802e-05+0.0009344i,-0.0002598-0.00035313i,-0.00018567-0.0003971i,-0.00050043+0.00011696i,-0.0003026-0.00019848i,0.00037445-0.00066908i,0.0003478-0.00097435i,0.00049652-0.00020105i,0.000421+0.0012832i,0.00035243+0.0011434i
0.0013944+0.00081521i,0.00096185+0.00030967i,-3.602e-05-0.00048284i,-0.0012102-0.00074559i,-0.0020146-0.00049601i,-0.0024436+9.4593e-05i,-0.0021776+0.0006274i,-0.0011602+0.00031732i,0.00015172-0.00011104i,0.00077542-0.00034487i,0.00051929-0.00050639i,-9.6604e-05-0.00051552i,0.00018034-0.00044424i,0.00057387-0.00023689i,0.00031039-0.00086675i,-0.0001154-0.00081215i,-0.00062175-2.4936e-06i,-0.00068217-8.0084e-05i,-0.0007712-1.0582e-05i,-0.00071542+0.00028006i,-0.00017664+0.00050363i,0.00028802+0.00058658i,0.00018177+0.0012825i
3.3964e-05+0.0022996i,9.9225e-06+0.0020724i,-0.00018736+0.0014995i,0.00060912+0.00092318i,0.00091308+0.00040973i,0.00057159+7.0642e-05i,6.5081e-05+0.00096863i,-0.00011289+0.00090258i,0.00064715-0.00069012i,0.0012868-0.0013389i,0.00085639-0.0015394i,-0.00018609-0.0014269i,-0.00033885-0.00034533i,-0.0006567-0.00040827i,-0.00052692-0.0020247i,-0.00010189-0.0022596i,-0.00030127-0.0010886i,-3.3921e-05-0.00031852i,0.0002029+0.00052241i,-9.0078e-05+0.00011275i,-0.0001648-0.00083783i,-0.00033908+0.00027382i,-0.00069576+0.00089728i
-0.0021819-0.0010561i,-0.0027481-2.2233e-05i,-0.0030897+0.0006719i,-0.0031978+0.00070279i,-0.002715+0.00065152i,-0.0016839+0.0006557i,-0.001033+5.3419e-05i,-0.00078525-0.00011152i,-0.00061242+0.00060495i,-0.00041763+0.00134i,-0.0004672+0.0014234i,-2.6046e-05+0.00087013i,0.00078251-0.00013597i,0.0011055-0.00012287i,0.0014455-0.00018433i,0.0011002-0.00091751i,0.00059103-0.0011116i,0.00059414-0.0013264i,0.00075731-0.00072922i,0.00081895-9.1135e-05i,-0.00022025+2.6988e-05i,-0.00095841+0.00023555i,-0.00046732-3.02e-06i
0.00032222+0.0015116i,0.00045962+0.00075202i,-0.00030193-0.00079818i,-0.0013688-0.0015189i,-0.0013131-0.0013617i,-0.0012974-0.0012942i,-0.001095-0.0010124i,-0.00066408-0.0001387i,0.00048102+0.0002205i,0.0014609+5.5007e-05i,0.00074368-0.00021395i,0.00014972-1.1695e-06i,-0.00022702-0.0012176i,-0.00056005-0.001627i,-0.00078032-0.00017912i,9.4389e-05-0.00030769i,0.0012706-0.00097264i,0.0010859-0.00053498i,-4.6676e-05-5.3796e-05i,-0.00055477+0.00034302i,0.00039291+0.00035616i,-5.182e-05-0.0002741i,-0.00044798-0.00067266i
-0.0021489-0.0003664i,-0.0020243-0.00069038i,-0.0020702+0.00032137i,-0.0018561+0.00159i,-0.0010868+0.00197i,-0.00042122+0.0004315i,-0.00016583-0.00078471i,-0.00035376-0.001116i,-0.00012917-0.00039697i,0.00048852+0.00068046i,0.00040916+0.0008018i,0.00038364+5.3935e-05i,0.00040441-0.00036277i,0.00079422+0.00013192i,0.0011742+0.00035466i,0.0003041-0.00042078i,0.00036606-0.001282i,0.00093121-0.0010719i,0.00092126-0.001147i,7.4492e-05-0.0012485i,-0.00058514-0.00098416i,-0.00045396-0.00073519i,-0.00040501-0.00016362i
0.001302-0.00097614i,-8.5182e-05-0.0011312i,-0.00076077-0.0012884i,-0.00096305-0.0010415i,-0.00079662-0.0006173i,-0.00024782-0.0011645i,0.00013156-0.001187i,9.6742e-05-0.0002204i,9.5813e-05+0.00034166i,-2.7015e-05-0.00033622i,-0.00040762-0.00097674i,-0.00088172-0.00041834i,-0.00042822+0.00018211i,0.00050311+0.00040907i,-1.3537e-05+0.0010491i,-0.00084258+0.0017405i,-0.00037005+0.0017188i,-5.0881e-05+0.0013505i,0.00012228+0.0011864i,0.00022725+0.00108i,-0.0004206+0.00015268i,-0.0010501-0.0011922i,-0.00062553-0.0010553i
0.0015457+0.0013801i,0.0020959+0.00081527i,0.0015512+0.00038045i,0.00021164+7.0679e-05i,-0.0003795+9.5653e-05i,-0.00012546+4.5081e-05i,-0.0001447+0.00033077i,-0.00033528+0.00095962i,-0.00047642+0.00026328i,-0.00020422-0.00065848i,7.2116e-05-0.00034636i,6.3501e-06+0.00049032i,-6.5976e-05+0.00044217i,-0.00031306+0.0010392i,-0.0004548+0.0011108i,0.00026153+0.00071774i,0.00032293+0.00079108i,1.8774e-05+0.00077237i,0.00022069+5.8135e-05i,5.3303e-05-0.00077156i,0.00012809-0.00078075i,0.00080367-0.00039453i,0.00059549-0.00022373i
-0.00016519+0.00041776i,-0.00016494+0.0011285i,-0.00054821-0.00022353i,-0.0016057-0.00092112i,-0.0022385+0.00011285i,-0.0023273+0.00063215i,-0.0025792+0.0007925i,-0.0017497+0.00098294i,-4.363e-05+0.0010082i,0.00085358+0.00055006i,0.00036115+0.00054804i,-0.0010124+0.00065749i,-0.0013366-0.00013028i,-0.00050883+3.124e-05i,-0.00063793+7.6175e-06i,-0.00067108+0.00017538i,-2.0894e-05+0.00077456i,0.0011605+0.00065118i,0.0015206+0.00031726i,0.0012615-0.00035284i,0.00080823-0.00057244i,-2.9548e-05-0.00078695i,0.00031791-0.00018478i
-0.00023864-0.0030159i,-0.0020633-0.0026032i,-0.0027458-0.0023398i,-0.0021953-0.0014961i,-0.0011125-0.0010563i,-0.00070427-0.0011802i,3.7743e-05-0.00095281i,0.00028592-0.00065026i,-0.00078278-0.00068229i,-0.00034696-0.00077443i,0.00058768-0.00093862i,0.00085962-0.00045927i,0.00090854+0.0010558i,0.00070359+0.0014986i,3.3904e-05+0.00078567i,-0.00062905+0.00010278i,-0.00061745+0.00025459i,-0.00060019+7.6275e-05i,-0.00036676-0.00078624i,0.00051634-0.00069685i,5.4657e-05-0.00018992i,0.00019024-0.00031195i,0.00070915-0.00020797i
0.0006164-0.0017649i,0.000159-0.0025603i,-0.00064285-0.0010123i,-0.0015577+0.00088469i,-0.0018108+0.001341i,-0.0016267+0.0010211i,-0.0011097+0.00030617i,8.9737e-05+0.00010066i,0.0010586-0.00028028i,0.00020278-0.00031241i,-0.00071444-0.00034254i,-0.00079839-1.9238e-05i,-0.000701+0.00038303i,9.1618e-05+0.00070701i,0.00065116+0.0007465i,0.00042758+0.00049451i,-0.00018865+0.00045385i,-0.00035176+0.00082632i,0.00028202+0.0014432i,0.00041939+0.0011769i,0.00026753+0.00049256i,-0.00071645+0.00051886i,-0.0010591+0.00013771i
0.00031703-0.00098243i,-0.00053535-0.00083459i,-0.00063236+0.00054248i,-0.00097728+0.00051287i,-0.00080816+0.0002887i,-0.00025464-0.00027511i,-0.000127-0.00018416i,-0.00042589+0.00067304i,6.4825e-05+0.0003108i,0.00043299-0.0010616i,-0.00068902-0.0014951i,-0.001508-0.00064537i,-0.0010072-0.00016896i,-7.2197e-05-0.00044141i,6.7983e-05-0.00065892i,-0.00020401-0.00070997i,-0.00036449-0.00059751i,-0.00053575-7.5375e-05i,-5.8702e-05-0.00024049i,0.00048672-0.0003759i,3.1913e-05+0.00023861i,-0.00011023+0.00092588i,-0.00023361+0.00091472i
0.0017275-0.0028479i,0.0007726-0.0033467i,-0.0014128-0.0022269i,-0.0027431-0.00018193i,-0.0018027+0.00063382i,-0.00075487+0.00069024i,-0.00072221+0.00065842i,-0.00055749+2.2051e-05i,-0.00028135-0.00062428i,-0.00023734+3.1449e-05i,-0.0010268+0.00086133i,-0.00097482+9.7097e-05i,-0.00023755-0.00021238i,-0.00058317+0.00049808i,-0.00061961+0.00062302i,-0.00055738-0.00020083i,-0.00067663-0.00059874i,-0.00015061-0.00052993i,0.00091411-0.00081234i,0.00067615-0.00051846i,-1.7025e-05+0.00023518i,-0.00014156+0.00077156i,1.7159e-05+0.00087724i
-0.0012257+0.0005349i,-0.0011694+0.00075959i,-0.0028306+0.00065273i,-0.0029176+0.00093692i,-0.0011655+0.0010917i,0.00026851+8.0519e-05i,0.00019289-0.0006828i,-0.00035181+0.00033956i,-0.00037287+0.0015053i,0.00046313+0.0011908i,0.00057934-0.00032572i,0.00057045-0.00099951i,0.00021742-0.00067313i,-0.00016552-0.000777i,0.00035015-0.0011466i,-9.628e-06-0.0018307i,-0.00060574-0.0013741i,-0.00041058-0.00044785i,0.00033992+2.3155e-05i,0.00072407+0.00065396i,0.00039147+0.0010217i,5.2751e-05+0.00077158i,-0.00015853+0.00055888i
-0.0031576-0.00051321i,-0.0029818+0.00060189i,-0.0020466+0.0011719i,-0.0010137+0.0014267i,-0.0001066+0.00048765i,-0.00036588-0.00040019i,-0.0013547-0.00062616i,-0.001104-0.0001592i,0.0001249+0.00078963i,0.0014445+0.00042381i,0.0019972-0.00091766i,0.0018725-0.0014091i,0.0016261-0.0013829i,0.00094953-0.0011929i,-0.00029524-0.00058607i,-0.00062774-0.0007431i,-0.00014959-0.00075692i,-0.00024359-0.00064124i,-0.00080346-6.7864e-05i,-0.00069051-2.2928e-05i,-0.00077933-0.00031057i,-0.00063054-4.7528e-05i,-0.00041598-0.00013527i
0.0028587-0.00093542i,0.0024461-0.0021667i,0.00071777-0.0020658i,-0.00077702-0.00048308i,-0.0011768-0.00021128i,-0.0014764-0.00052285i,-0.0010585-0.00055554i,-0.00036838+0.00044153i,-0.00021619+0.00098099i,-0.00031647+6.2326e-05i,-0.00059599-0.00051786i,-0.00059595-6.801e-05i,0.0002151+0.000517i,0.00035085+0.001017i,-0.0003121+0.0010224i,-0.00066751+0.00074364i,-0.00045392+0.00014203i,-0.00012876-4.3391e-05i,-0.0001372+0.00076451i,-0.00017138+0.00099465i,-0.00056321+0.00043054i,-0.0010467+0.00012628i,-0.0012979+1.7017e-05i
5.0458e-05+0.0021885i,0.00054759+0.0031799i,0.00014853+0.0027606i,-0.0003249+0.0011i,-0.00076098+0.00033698i,-0.00089746-0.00025809i,-0.00072755-0.00073158i,-0.00030525-0.00058554i,-6.9601e-05-0.0002901i,-0.00029953+0.00030441i,-0.00026954+0.00069244i,0.00011661+0.00058956i,-5.6135e-05+0.0005568i,-0.00012279+0.00027018i,0.00029096+0.00046476i,0.0002278+0.00095593i,0.00045924+0.00046541i,0.00068153-0.00067535i,0.00052865-0.00077036i,0.00013308-0.0008808i,-0.00061753-0.00048226i,-0.0012825-0.00042629i,-0.0016254-0.00091042i
0.001006+0.00070008i,-0.00011466+7.6907e-05i,-0.00034186-0.00025302i,-0.00066061+6.9761e-05i,-0.0012017+0.00028981i,-0.0017998-0.00053462i,-0.001775-0.0010374i,-0.0013481+8.2918e-05i,-0.00035314+0.00042135i,0.00025428-0.00022943i,4.4017e-05-0.00033629i,-0.00020139-0.00023324i,-0.00028491+0.0010873i,-0.00055841+0.0016159i,-0.00083563+0.00055705i,-0.00038386+9.3422e-05i,0.00022224+0.00012106i,-0.00016148-0.00060294i,-0.00068754-2.958e-05i,-0.00012514+0.0001498i,0.0003885-0.00073088i,0.00031164-0.0013783i,0.00032316-0.00089561i
0.00043835+0.00022869i,-0.00022565+0.00073378i,-0.00097698-0.00010134i,-0.0010995-0.0022041i,-0.00042232-0.0029262i,-0.00047813-0.001666i,-0.0011836+0.00035124i,-0.0010286+0.00070737i,-0.00042854+0.00031523i,-0.00075235-5.9987e-05i,-0.00068283-0.0012629i,-0.00034752-0.0015763i,-0.00023408-0.00084346i,-0.00053103-7.1149e-05i,-0.0011897-0.00025458i,-0.0012799-0.0010183i,-0.00041271-0.00020862i,-2.0756e-05+0.00069283i,-0.000729+0.00028835i,-0.00068096-0.0002399i,0.0002382-4.7111e-05i,-0.00013568-0.00054532i,-0.00073965-0.00045893i
-0.001197-0.0012829i,-0.001339-0.0013772i,-0.0023998-0.0017072i,-0.0027026-0.00065256i,-0.0021766+1.1868e-05i,-0.0010968-0.00021668i,-0.00030208-0.00014229i,0.00038757-0.0004012i,0.0014002-0.00047386i,0.0014857+0.00034046i,0.0012226+0.0008037i,0.00075527+0.00055798i,0.0001874+0.00053091i,2.1841e-06+0.00033213i,0.00013591-0.00016748i,0.00011489-0.00040839i,-0.00030016-0.00036121i,-7.2529e-05-0.00036679i,0.00020519-0.00049168i,4.1421e-05-0.00033952i,0.00054339-0.00069982i,0.0007356-0.00065701i,0.00012913+0.00010492i
-0.00076305-0.0010005i,-0.0023238-0.001398i,-0.0025276-0.00089336i,-0.0018568+0.0012179i,-0.0017018+0.0018791i,-0.00066137+0.00066293i,-0.00044196-0.00049866i,-0.00076025-0.0004625i,-0.0006462-0.00025227i,-0.00081496-0.00033349i,-0.00054037+3.8457e-05i,-0.00035258+0.00045266i,-0.0010975+0.00041762i,-0.00074413-0.00014862i,0.00062952-0.00065756i,0.00057985-0.0011955i,-0.00023528-0.00083595i,0.00052708+0.00098195i,0.0012307+0.0016053i,0.00086153+0.00084449i,-0.00055609+0.00054372i,-0.00043737+0.00076939i,-8.8381e-05+0.00055064i
0.00084428-0.00057382i,0.00081618-2.6464e-05i,-0.00018659-4.5334e-05i,-0.0011991+0.00011504i,-0.00072471+0.00041174i,-0.00015508+0.00024099i,8.3405e-05-0.00074323i,0.00081408-0.0011074i,0.0011742-0.00028492i,0.00070588+0.00018002i,-0.00026425-0.00024821i,-0.00052071-0.00023813i,0.00010071+0.00047747i,0.00040756+0.00064287i,0.0010397-0.00035812i,0.0014902-0.0013324i,0.00044864-0.00082312i,-0.00086209+9.5107e-05i,-0.0013467+0.00022248i,-0.00057274+0.00022389i,0.00022025+0.00052697i,0.00022451+0.00044738i,6.3125e-05-0.00013862i
-0.00080882+9.3437e-05i,-0.0012021+0.00073928i,-0.0015275-7.8648e-05i,-0.0015105-0.00050353i,-0.00092085-0.00026843i,-0.00046909-0.00076339i,-0.00069821-0.000661i,-0.00073414+0.00024311i,7.0338e-05+0.00076883i,0.00069554+0.00037393i,0.00012602-0.00025615i,-0.00038245-0.00016262i,-0.00040448-0.00013987i,-0.00022339-0.00015367i,-0.00050917+0.00045698i,-0.00072205+0.00060655i,-0.00079367-0.00047673i,-0.0010286-0.00071539i,-0.00068733+0.00048126i,-0.00065789+0.00088612i,-0.00041009+0.00034832i,-0.0002436-0.00032084i,-0.00016465-0.0004679i
-0.00011358-0.0010782i,-0.0011422-0.0018578i,-0.0017611-0.0022932i,-0.0019818-0.00050511i,-0.00097457+0.0007182i,0.00045418+0.0005015i,0.00083864-0.00041346i,0.0002871-0.00072605i,-0.00025456-0.00014709i,-0.00041566-3.3322e-05i,8.0623e-05-0.00011699i,0.00040744+0.00039642i,0.00024191+0.00060265i,0.00050053+0.00066781i,0.00067963+0.001022i,0.00076566+0.00042114i,0.00082083+0.00028754i,0.00046489+0.00082865i,0.00044153+0.00070091i,5.5427e-05-0.00016693i,-0.00069802-0.00043331i,-0.00095201+0.00042433i,-0.00054419+0.00043585i
0.0018689+0.0015617i,0.0009419+0.00084226i,0.00026348+0.00044334i,0.00036977+0.00011486i,0.00026579-0.00067941i,-9.4984e-06-0.00086521i,-0.00031991+8.2602e-05i,-0.00064372+0.00077994i,-0.00034294+0.00059015i,0.00029588+0.0003936i,0.00024721+0.00044078i,0.00023554+0.00047237i,0.00012471+0.00046289i,-6.0217e-05+0.00070654i,0.00086618+0.00018502i,0.00098281+0.00013607i,0.00020794+0.00059912i,-0.00036383+0.00045812i,-0.00069161+0.0008653i,-0.00045659+0.00030521i,-0.00043802-0.0002175i,-0.00071472+0.00069776i,-0.00016126+0.00065758i
0.0008196-0.00034959i,8.8877e-05-0.00055787i,-0.00036518-0.00082734i,0.00014748-0.00027926i,0.00052566-3.1193e-05i,0.00065336-0.001021i,0.00053242-0.0010529i,-0.00088651-0.00050714i,-0.00058511-0.00053377i,0.00025469-0.00060165i,-0.00020632-0.00061325i,-5.6596e-05-0.00077359i,9.2123e-05-0.00027206i,-0.00032039+0.000383i,-0.00021543+0.00040769i,-0.00016854+0.00013562i,-0.00063968-0.00022411i,-0.00093036-0.00096836i,-0.0002169-0.0010572i,0.00015956-0.00072179i,-0.00025294-0.00082855i,-0.00061897-0.0010057i,-0.00059427-0.00031974i
0.0013554-0.0014135i,0.00023101-0.0017739i,-0.0009439-0.0011939i,-0.0010646-0.00081837i,-0.0010607-0.00015676i,-0.0012734+8.3429e-05i,-0.00065544+2.887e-05i,0.00017856-1.4578e-05i,0.00087967-6.7035e-05i,0.0010178-3.0623e-06i,-2.0392e-05-0.00017113i,-0.00080272-0.00056734i,-0.00054926-7.7711e-05i,-0.000342+0.0009636i,-0.00048208+0.0013551i,-0.000233+0.0011588i,-0.00051754+0.00042205i,-0.0011176+0.00039426i,-0.00071116+0.00070141i,-0.00013521+0.00012417i,-0.00010794-0.00085375i,5.5125e-05-0.0011849i,-0.00025165-0.00080339i
0.0001911+0.0020844i,0.00050994+0.0015384i,0.00026265+0.0013602i,-0.00032326+0.00077791i,-0.0005212-0.00043572i,-0.00038923-0.0013958i,-0.0011574-0.00084509i,-0.0012858+0.00033319i,-0.00014175+0.00075i,0.00076983+0.00023424i,0.00070563+1.8606e-05i,8.6731e-05+0.00023086i,-0.00056967-2.5745e-05i,-0.0012297-0.00060949i,-0.001581-0.001315i,-0.00071712-0.00090167i,-0.00013727-1.1945e-05i,-0.00062315+0.00047068i,-0.0011222+0.00050846i,-0.00050946+0.00012464i,0.00043046+5.8708e-05i,0.00044724-0.00029253i,0.0001646-0.00034007i
